Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2020-01-22,25.07,28.2,24.94,24.98,25.07,28.2,24.94,24.98,149300.0,0.0,1.0,1.0,2.5
2020-01-23,24.92,25.02,24.88,25.0,24.92,25.02,24.88,25.0,39500.0,0.0,1.0,1.0,0.0
2020-01-24,24.94,24.94,24.81,24.86,24.94,24.94,24.81,24.86,27000.0,0.0,1.0,1.0,0.0
2020-01-27,24.62,24.65,24.6,24.6,24.62,24.65,24.6,24.6,24300.0,0.0,1.0,1.0,1.24
2020-01-28,24.7,24.8,24.65,24.7,24.7,24.8,24.65,24.7,55500.0,0.0,1.0,1.0,0.0
2020-01-29,24.73,24.75,24.68,24.68,24.73,24.75,24.68,24.68,19800.0,0.0,1.0,1.0,1.23
2020-01-30,24.57,24.74,24.57,24.74,24.57,24.74,24.57,24.74,2900.0,0.0,1.0,1.0,1.23
2020-01-31,24.59,24.59,24.48,24.51,24.59,24.59,24.48,24.51,15900.0,0.0,1.0,1.0,0.0
2020-02-03,24.63,24.65,24.58,24.59,24.63,24.65,24.58,24.59,24400.0,0.0,1.0,1.0,0.0
2020-02-04,24.79,24.79,24.73,24.73,24.79,24.79,24.73,24.73,176600.0,0.0,1.0,1.0,0.0
2020-02-05,24.99,25.02,24.98,24.99,24.99,25.02,24.98,24.99,9300.0,0.0,1.0,1.0,0.0
2020-02-06,25.12,25.14,25.07,25.07,25.12,25.14,25.07,25.07,5400.0,0.0,1.0,1.0,0.0
2020-02-07,25.0,25.03,24.92,24.97,25.0,25.03,24.92,24.97,176100.0,0.0,1.0,1.0,0.0
2020-02-10,25.21,25.21,25.06,25.06,25.21,25.21,25.06,25.06,2500.0,0.0,1.0,1.0,0.0
2020-02-11,25.16,25.18,25.15,25.16,25.16,25.18,25.15,25.16,4500.0,0.0,1.0,1.0,0.0
2020-02-12,25.15,25.15,25.15,25.15,25.15,25.15,25.15,25.15,2500.0,0.0,1.0,1.0,0.0
2020-02-13,25.1,25.13,25.09,25.09,25.1,25.13,25.09,25.09,5300.0,0.0,1.0,1.0,0.0
2020-02-14,24.94,24.96,24.94,24.96,24.94,24.96,24.94,24.96,400.0,0.0,1.0,1.0,0.0
2020-02-18,24.88,24.99,24.87,24.99,24.88,24.99,24.87,24.99,5600.0,0.0,1.0,1.0,0.62
2020-02-19,25.2,25.2,25.09,25.09,25.2,25.2,25.09,25.09,2600.0,0.0,1.0,1.0,0.0
2020-02-20,25.12,25.19,25.06,25.13,25.12,25.19,25.06,25.13,41300.0,0.0,1.0,1.0,0.0
2020-02-21,25.06,25.12,25.04,25.09,25.06,25.12,25.04,25.09,2900.0,0.0,1.0,1.0,0.0
2020-02-24,24.69,24.72,24.63,24.63,24.69,24.72,24.63,24.63,4400.0,0.0,1.0,1.0,1.25
2020-02-25,24.59,24.59,24.08,24.08,24.59,24.59,24.08,24.08,3700.0,0.0,1.0,1.0,-0.0
2020-02-26,24.18,24.18,23.91,23.91,24.18,24.18,23.91,23.91,400.0,0.0,1.0,1.0,0.0
2020-02-27,23.55,23.68,23.23,23.23,23.55,23.68,23.23,23.23,7000.0,0.0,1.0,1.0,4.18
2020-02-28,22.48,22.81,22.48,22.81,22.48,22.81,22.48,22.81,3500.0,0.0,1.0,1.0,0.0
2020-03-02,23.14,23.44,23.12,23.44,23.14,23.44,23.12,23.44,1800.0,0.0,1.0,1.0,0.0
2020-03-03,23.56,23.56,23.2,23.24,23.56,23.56,23.2,23.24,3700.0,0.0,1.0,1.0,0.0
2020-03-04,23.4,23.74,23.4,23.74,23.4,23.74,23.4,23.74,14800.0,0.0,1.0,1.0,0.0
2020-03-05,23.46,23.5,23.2,23.3,23.46,23.5,23.2,23.3,111500.0,0.0,1.0,1.0,0.0
2020-03-06,23.02,23.2,22.82,23.11,23.02,23.2,22.82,23.11,114800.0,0.0,1.0,1.0,1.17
2020-03-09,23.11,23.11,21.68,21.68,23.11,23.11,21.68,21.68,2400.0,0.0,1.0,1.0,3.45
2020-03-10,22.25,22.25,21.55,21.81,22.25,22.25,21.55,21.81,21900.0,0.0,1.0,1.0,0.0
2020-03-11,21.57,21.83,21.43,21.83,21.57,21.83,21.43,21.83,23000.0,0.0,1.0,1.0,0.0
2020-03-12,21.83,21.83,20.0,20.15,21.83,21.83,20.0,20.15,8000.0,0.0,1.0,1.0,0.0
2020-03-13,20.19,20.86,19.79,20.86,20.19,20.86,19.79,20.86,197200.0,0.0,1.0,1.0,0.0
2020-03-16,19.96,20.76,19.32,19.32,19.96,20.76,19.32,19.32,14200.0,0.0,1.0,1.0,3.63
2020-03-17,19.48,20.4,19.14,20.08,19.48,20.4,19.14,20.08,6400.0,0.0,1.0,1.0,0.48
2020-03-18,19.21,19.32,18.74,19.05,19.21,19.32,18.74,19.05,12600.0,0.0,1.0,1.0,0.0
2020-03-19,19.3,19.47,19.06,19.47,19.3,19.47,19.06,19.47,3000.0,0.0,1.0,1.0,0.0
2020-03-20,19.44,19.66,18.66,18.66,19.44,19.66,18.66,18.66,11000.0,0.0,1.0,1.0,0.0
2020-03-23,18.64,18.64,18.01,18.16,18.64,18.64,18.01,18.16,4700.0,0.0,1.0,1.0,0.0
2020-03-24,19.96,19.96,19.06,19.56,19.96,19.96,19.06,19.56,11900.0,0.0,1.0,1.0,0.0
2020-03-25,19.56,20.42,19.54,19.88,19.56,20.42,19.54,19.88,10800.0,0.0,1.0,1.0,0.0
2020-03-26,20.28,20.6,20.28,20.55,20.28,20.6,20.28,20.55,7400.0,0.0,1.0,1.0,0.0
2020-03-27,19.84,20.26,19.84,20.0,19.84,20.26,19.84,20.0,5400.0,0.0,1.0,1.0,0.0
2020-03-30,20.25,20.61,20.16,20.48,20.25,20.61,20.16,20.48,60700.0,0.0,1.0,1.0,0.5
2020-03-31,20.4,20.47,20.2,20.21,20.4,20.47,20.2,20.21,118000.0,0.0,1.0,1.0,1.52
2020-04-01,19.64,19.74,19.64,19.7,19.64,19.74,19.64,19.7,870.0,0.0,1.0,1.0,2.01
2020-04-02,20.0,20.12,19.8,19.93,20.0,20.12,19.8,19.93,18200.0,0.0,1.0,1.0,0.0
2020-04-03,19.83,19.89,19.79,19.82,19.83,19.89,19.79,19.82,6400.0,0.0,1.0,1.0,0.0
2020-04-06,20.59,20.69,20.51,20.69,20.59,20.69,20.51,20.69,2800.0,0.0,1.0,1.0,0.0
2020-04-07,21.03,21.06,20.57,20.73,21.03,21.06,20.57,20.73,4700.0,0.0,1.0,1.0,0.0
2020-04-08,20.92,21.24,20.8,21.19,20.92,21.24,20.8,21.19,12700.0,0.0,1.0,1.0,0.0
2020-04-09,21.66,21.75,21.57,21.73,21.66,21.75,21.57,21.73,17300.0,0.0,1.0,1.0,0.0
2020-04-13,22.2,22.2,21.28,21.45,22.2,22.2,21.28,21.45,7900.0,0.0,1.0,1.0,0.0
2020-04-14,21.87,21.87,21.4,21.72,21.87,21.87,21.4,21.72,19200.0,0.0,1.0,1.0,0.0
2020-04-15,21.34,21.35,19.98,21.14,21.34,21.35,19.98,21.14,41200.0,0.0,1.0,1.0,0.0
2020-04-16,20.99,21.21,20.99,21.21,20.99,21.21,20.99,21.21,12800.0,0.0,1.0,1.0,0.0
2020-04-17,21.55,21.77,21.54,21.77,21.55,21.77,21.54,21.77,2600.0,0.0,1.0,1.0,0.0
2020-04-20,21.6,21.67,21.46,21.46,21.6,21.67,21.46,21.46,75000.0,0.0,1.0,1.0,0.0
2020-04-21,21.19,21.19,20.98,21.01,21.19,21.19,20.98,21.01,13200.0,0.0,1.0,1.0,1.61
