Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2014-10-09,39.96,39.96,39.75,39.75,39.96,39.96,39.75,39.75,5400.0,0.0,1.0,1.0,-10.0
2014-10-10,39.54,39.69,39.54,39.6,39.54,39.69,39.54,39.6,9700.0,0.0,1.0,1.0,9.9
2014-10-13,39.54,39.54,39.54,39.54,39.54,39.54,39.54,39.54,500.0,0.0,1.0,1.0,0.0
2014-10-14,39.54,39.54,39.54,39.54,39.54,39.54,39.54,39.54,0.0,0.0,1.0,1.0,0.0
2014-10-15,39.5,39.5,39.14,39.15,39.5,39.5,39.14,39.15,750.0,0.0,1.0,1.0,0.0
2014-10-16,39.97,39.97,39.03,39.37,39.97,39.97,39.03,39.37,4000.0,0.0,1.0,1.0,0.0
2014-10-17,39.41,39.51,39.4,39.51,39.41,39.51,39.4,39.51,10600.0,0.0,1.0,1.0,0.0
2014-10-20,42.95,43.0,39.42,39.58,42.95,43.0,39.42,39.58,6200.0,0.0,1.0,1.0,0.0
2014-10-21,39.12,39.6,39.12,39.53,39.12,39.6,39.12,39.53,1400.0,0.0,1.0,1.0,0.0
2014-10-22,39.73,40.22,39.67,39.67,39.73,40.22,39.67,39.67,860.0,0.0,1.0,1.0,0.0
2014-10-23,39.68,40.02,39.6,39.7,39.68,40.02,39.6,39.7,32600.0,0.0,1.0,1.0,0.0
2014-10-24,39.41,39.88,39.41,39.88,39.41,39.88,39.41,39.88,7800.0,0.0,1.0,1.0,0.0
2014-10-27,39.71,39.81,39.7,39.79,39.71,39.81,39.7,39.79,3900.0,0.0,1.0,1.0,0.0
2014-10-28,39.91,40.1,39.86,39.93,39.91,40.1,39.86,39.93,3000.0,0.0,1.0,1.0,0.0
2014-10-29,40.01,40.02,40.0,40.02,40.01,40.02,40.0,40.02,6700.0,0.0,1.0,1.0,0.4
2014-10-30,40.3,41.17,39.96,40.07,40.3,41.17,39.96,40.07,3200.0,0.0,1.0,1.0,0.0
2014-10-31,40.85,42.9,40.15,40.6,40.85,42.9,40.15,40.6,19900.0,0.0,1.0,1.0,0.0
2014-11-03,40.13,40.77,40.11,40.7,40.13,40.77,40.11,40.7,15700.0,0.0,1.0,1.0,0.0
2014-11-04,40.94,40.94,40.26,40.37,40.94,40.94,40.26,40.37,9800.0,0.0,1.0,1.0,0.0
2014-11-05,40.92,40.92,40.14,40.41,40.92,40.92,40.14,40.41,4000.0,0.0,1.0,1.0,0.0
2014-11-06,40.21,40.54,40.2,40.54,40.21,40.54,40.2,40.54,8000.0,0.0,1.0,1.0,0.0
2014-11-07,40.54,40.97,40.46,40.74,40.54,40.97,40.46,40.74,11700.0,0.0,1.0,1.0,0.4
2014-11-10,40.26,40.33,40.26,40.32,40.26,40.33,40.26,40.32,7900.0,0.0,1.0,1.0,0.0
2014-11-11,40.54,40.54,40.29,40.4,40.54,40.54,40.29,40.4,10800.0,0.0,1.0,1.0,0.0
2014-11-12,40.49,40.49,40.35,40.47,40.49,40.49,40.35,40.47,3600.0,0.0,1.0,1.0,0.0
2014-11-13,40.47,43.44,40.47,40.58,40.47,43.44,40.47,40.58,71200.0,0.0,1.0,1.0,0.0
2014-11-14,40.96,40.96,40.27,40.36,40.96,40.96,40.27,40.36,2700.0,0.0,1.0,1.0,0.0
2014-11-17,40.97,40.97,40.27,40.32,40.97,40.97,40.27,40.32,5400.0,0.0,1.0,1.0,0.0
2014-11-18,40.33,40.72,40.32,40.42,40.33,40.72,40.32,40.42,4700.0,0.0,1.0,1.0,2.42
2014-11-19,41.09,41.09,40.44,40.44,41.09,41.09,40.44,40.44,18200.0,0.0,1.0,1.0,0.0
2014-11-20,40.34,40.72,40.34,40.44,40.34,40.72,40.34,40.44,7200.0,0.0,1.0,1.0,0.0
2014-11-21,40.66,40.82,40.47,40.68,40.66,40.82,40.47,40.68,12600.0,0.0,1.0,1.0,0.0
2014-11-24,40.8,40.8,40.45,40.5,40.8,40.8,40.45,40.5,5800.0,0.0,1.0,1.0,0.0
2014-11-25,40.83,40.83,40.44,40.64,40.83,40.83,40.44,40.64,9400.0,0.0,1.0,1.0,0.0
2014-11-26,40.75,40.75,40.49,40.55,40.75,40.75,40.49,40.55,5100.0,0.0,1.0,1.0,0.4
2014-11-28,40.49,40.5,40.49,40.5,40.49,40.5,40.49,40.5,370.0,0.0,1.0,1.0,0.0
2014-12-01,40.73,40.73,40.21,40.21,40.73,40.73,40.21,40.21,1800.0,0.0,1.0,1.0,0.0
2014-12-02,40.32,40.43,40.32,40.4,40.32,40.43,40.32,40.4,1300.0,0.0,1.0,1.0,0.0
2014-12-03,40.26,40.75,40.26,40.53,40.26,40.75,40.26,40.53,14000.0,0.0,1.0,1.0,0.0
2014-12-04,40.55,40.69,40.55,40.68,40.55,40.69,40.55,40.68,5300.0,0.0,1.0,1.0,0.0
2014-12-05,40.58,40.87,40.57,40.75,40.58,40.87,40.57,40.75,16900.0,0.0,1.0,1.0,0.0
2014-12-08,40.8,41.1,40.43,40.66,40.8,41.1,40.43,40.66,166500.0,0.0,1.0,1.0,0.0
2014-12-09,40.42,40.86,40.41,40.44,40.42,40.86,40.41,40.44,84100.0,0.0,1.0,1.0,0.0
2014-12-10,40.47,40.68,40.46,40.46,40.47,40.68,40.46,40.46,13600.0,0.0,1.0,1.0,0.0
2014-12-11,41.08,41.08,40.47,40.5,41.08,41.08,40.47,40.5,13200.0,0.0,1.0,1.0,0.0
2014-12-12,40.42,40.42,40.06,40.32,40.42,40.42,40.06,40.32,4200.0,0.0,1.0,1.0,0.0
2014-12-15,40.38,42.6,40.1,40.38,40.38,42.6,40.1,40.38,35400.0,0.0,1.0,1.0,5.99
2014-12-16,40.06,40.74,40.06,40.33,40.06,40.74,40.06,40.33,3500.0,0.0,1.0,1.0,0.0
2014-12-17,40.69,41.15,40.13,40.81,40.69,41.15,40.13,40.81,10400.0,0.0,1.0,1.0,0.0
2014-12-18,40.37,41.13,40.37,40.64,40.37,41.13,40.37,40.64,11100.0,0.0,1.0,1.0,0.0
2014-12-19,40.48,40.96,40.48,40.81,40.48,40.96,40.48,40.81,22400.0,0.0,1.0,1.0,0.0
2014-12-22,40.75,41.71,40.24,40.95,40.75,41.71,40.24,40.95,47800.0,0.0,1.0,1.0,0.0
2014-12-23,40.62,41.16,40.62,41.14,40.62,41.16,40.62,41.14,12500.0,0.0,1.0,1.0,2.03
2014-12-24,40.64,41.45,40.63,41.18,40.64,41.45,40.63,41.18,20100.0,0.18,1.0,1.0,0.0
2014-12-26,41.49,41.58,40.65,41.01,41.49,41.58,40.65,41.01,5700.0,0.0,1.0,1.0,0.0
2014-12-29,42.58,42.58,40.86,41.01,42.58,42.58,40.86,41.01,17100.0,0.0,1.0,1.0,0.0
2014-12-30,40.88,41.95,40.87,41.4,40.88,41.95,40.87,41.4,35300.0,0.0,1.0,1.0,0.0
2014-12-31,40.94,41.26,40.94,40.94,40.94,41.26,40.94,40.94,9600.0,0.0,1.0,1.0,0.0
