Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2015-07-14,15.14,15.14,15.1,15.14,15.14,15.14,15.1,15.14,7800.0,0.0,1.0,1.0,0.0
2015-07-15,15.14,18.16,15.13,18.16,15.14,18.16,15.13,18.16,6286.0,0.0,1.0,1.0,0.0
2015-07-16,15.22,15.29,15.17,15.29,15.22,15.29,15.17,15.29,1700.0,0.0,1.0,1.0,0.0
2015-07-17,15.38,15.38,15.13,15.16,15.38,15.38,15.13,15.16,10080.0,0.0,1.0,1.0,0.0
2015-07-20,15.11,15.11,15.06,15.06,15.11,15.11,15.06,15.06,6600.0,0.0,1.0,1.0,0.0
2015-07-21,15.02,15.02,14.98,14.98,15.02,15.02,14.98,14.98,3700.0,0.0,1.0,1.0,0.0
2015-07-22,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,0.0,0.0,1.0,1.0,0.0
2015-07-23,15.09,15.09,14.8,14.8,15.09,15.09,14.8,14.8,3900.0,0.0,1.0,1.0,0.0
2015-07-24,14.67,14.69,14.6,14.69,14.67,14.69,14.6,14.69,1100.0,0.0,1.0,1.0,0.0
2015-07-27,14.62,14.62,14.61,14.61,14.62,14.62,14.61,14.61,1300.0,0.0,1.0,1.0,0.0
2015-07-28,14.63,14.63,14.63,14.63,14.63,14.63,14.63,14.63,250.0,0.0,1.0,1.0,0.0
2015-07-29,14.78,14.87,14.4,14.4,14.78,14.87,14.4,14.4,25057.0,0.0,1.0,1.0,0.0
2015-07-30,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,0.0,0.0,1.0,1.0,0.0
2015-07-31,14.87,14.88,14.84,14.88,14.87,14.88,14.84,14.88,1900.0,0.0,1.0,1.0,0.0
2015-08-03,15.06,15.06,14.88,14.88,15.06,15.06,14.88,14.88,856.0,0.0,1.0,1.0,0.0
2015-08-04,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,0.0,0.0,1.0,1.0,0.0
2015-08-05,14.81,14.81,14.81,14.81,14.81,14.81,14.81,14.81,100.0,0.0,1.0,1.0,0.0
2015-08-06,14.79,14.79,14.65,14.77,14.79,14.79,14.65,14.77,1500.0,0.0,1.0,1.0,0.0
2015-08-07,14.77,14.77,14.71,14.71,14.77,14.77,14.71,14.71,1800.0,0.0,1.0,1.0,0.0
2015-08-10,14.76,14.89,14.71,14.89,14.76,14.89,14.71,14.89,3100.0,0.0,1.0,1.0,0.0
2015-08-11,14.86,14.86,14.86,14.86,14.86,14.86,14.86,14.86,6.0,0.0,1.0,1.0,0.0
2015-08-12,14.86,14.86,14.86,14.86,14.86,14.86,14.86,14.86,0.0,0.0,1.0,1.0,0.0
2015-08-13,14.91,14.91,14.9,14.9,14.91,14.91,14.9,14.9,589.0,0.0,1.0,1.0,0.0
2015-08-14,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,300.0,0.0,1.0,1.0,0.0
2015-08-17,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,0.0,0.0,1.0,1.0,0.0
2015-08-18,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,0.0,0.0,1.0,1.0,0.0
2015-08-19,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,0.0,0.0,1.0,1.0,0.0
2015-08-20,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,0.0,0.0,1.0,1.0,0.0
2015-08-21,14.66,14.66,14.56,14.59,14.66,14.66,14.56,14.59,1300.0,0.0,1.0,1.0,0.0
2015-08-24,14.64,14.64,13.39,14.13,14.64,14.64,13.39,14.13,6500.0,0.0,1.0,1.0,0.0
2015-08-25,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,100.0,0.0,1.0,1.0,0.0
2015-08-26,14.22,14.22,14.22,14.22,14.22,14.22,14.22,14.22,182.0,0.0,1.0,1.0,0.0
2015-08-27,14.35,14.39,14.35,14.39,14.35,14.39,14.35,14.39,462.0,0.0,1.0,1.0,0.0
2015-08-28,14.44,14.45,14.44,14.44,14.44,14.45,14.44,14.44,600.0,0.0,1.0,1.0,0.0
2015-08-31,14.41,14.45,14.18,14.41,14.41,14.45,14.18,14.41,4500.0,0.0,1.0,1.0,0.0
2015-09-01,14.31,14.31,14.06,14.06,14.31,14.31,14.06,14.06,1271.0,0.1,1.0,1.0,0.0
2015-09-02,14.11,14.11,14.04,14.04,14.11,14.11,14.04,14.04,400.0,0.0,1.0,1.0,0.0
2015-09-03,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,0.0,0.0,1.0,1.0,0.0
2015-09-04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,0.0,0.0,1.0,1.0,0.0
2015-09-08,14.31,14.31,14.29,14.3,14.31,14.31,14.29,14.3,491.0,0.0,1.0,1.0,0.0
2015-09-09,14.35,14.35,14.32,14.32,14.35,14.35,14.32,14.32,200.0,0.0,1.0,1.0,0.0
2015-09-10,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,273.0,0.0,1.0,1.0,0.0
2015-09-11,14.18,14.18,14.18,14.18,14.18,14.18,14.18,14.18,500.0,0.0,1.0,1.0,0.0
2015-09-14,14.18,14.18,14.18,14.18,14.18,14.18,14.18,14.18,0.0,0.0,1.0,1.0,0.0
2015-09-15,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,160.0,0.0,1.0,1.0,0.0
2015-09-16,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,0.0,0.0,1.0,1.0,0.0
2015-09-17,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,400.0,0.0,1.0,1.0,0.0
2015-09-18,14.4,14.44,14.4,14.4,14.4,14.44,14.4,14.4,1079.0,0.0,1.0,1.0,0.0
2015-09-21,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,0.0,0.0,1.0,1.0,0.0
2015-09-22,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,0.0,0.0,1.0,1.0,0.0
2015-09-23,14.32,14.32,14.29,14.29,14.32,14.32,14.29,14.29,1300.0,0.0,1.0,1.0,0.0
2015-09-24,14.24,14.24,14.23,14.23,14.24,14.24,14.23,14.23,1100.0,0.0,1.0,1.0,0.0
2015-09-25,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,0.0,0.0,1.0,1.0,0.0
2015-09-28,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,0.0,0.0,1.0,1.0,0.0
2015-09-29,13.95,13.95,13.77,13.77,13.95,13.95,13.77,13.77,1312.0,0.0,1.0,1.0,0.0
2015-09-30,13.9,13.9,13.89,13.89,13.9,13.9,13.89,13.89,800.0,0.0,1.0,1.0,0.0
2015-10-01,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79,0.0,0.1,1.0,1.0,0.0
2015-10-02,13.94,13.94,13.9,13.92,13.94,13.94,13.9,13.92,900.0,0.0,1.0,1.0,0.0
2015-10-05,14.16,14.16,14.15,14.15,14.16,14.16,14.15,14.15,200.0,0.0,1.0,1.0,0.0
2015-10-06,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,0.0,0.0,1.0,1.0,0.0
2015-10-07,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,0.0,0.0,1.0,1.0,0.0
2015-10-08,14.51,14.51,14.51,14.51,14.51,14.51,14.51,14.51,200.0,0.0,1.0,1.0,0.0
2015-10-09,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,1000.0,0.0,1.0,1.0,0.0
2015-10-12,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,0.0,0.0,1.0,1.0,0.0
2015-10-13,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,100.0,0.0,1.0,1.0,0.0
2015-10-14,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,0.0,0.0,1.0,1.0,0.0
2015-10-15,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,0.0,0.0,1.0,1.0,0.0
2015-10-16,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,157.0,0.0,1.0,1.0,0.0
2015-10-19,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,0.0,0.0,1.0,1.0,0.0
2015-10-20,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,200.0,0.0,1.0,1.0,0.0
2015-10-21,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,100.0,0.0,1.0,1.0,0.0
2015-10-22,14.66,14.67,14.66,14.66,14.66,14.67,14.66,14.66,1200.0,0.0,1.0,1.0,0.0
2015-10-23,14.66,14.66,14.66,14.66,14.66,14.66,14.66,14.66,0.0,0.0,1.0,1.0,0.0
2015-10-26,14.96,14.96,14.66,14.66,14.96,14.96,14.66,14.66,1300.0,0.0,1.0,1.0,0.0
2015-10-27,14.5,14.51,14.5,14.51,14.5,14.51,14.5,14.51,359.0,0.0,1.0,1.0,0.0
2015-10-28,14.47,14.48,14.47,14.48,14.47,14.48,14.47,14.48,300.0,0.0,1.0,1.0,0.0
2015-10-29,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,0.0,0.0,1.0,1.0,0.0
2015-10-30,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,0.0,0.0,1.0,1.0,0.0
2015-11-02,14.36,14.43,14.36,14.43,14.36,14.43,14.36,14.43,300.0,0.1,1.0,1.0,0.0
2015-11-03,14.43,14.43,14.43,14.43,14.43,14.43,14.43,14.43,0.0,0.0,1.0,1.0,0.0
2015-11-04,14.89,14.89,14.47,14.48,14.89,14.89,14.47,14.48,600.0,0.0,1.0,1.0,0.0
2015-11-05,14.55,14.55,14.55,14.55,14.55,14.55,14.55,14.55,100.0,0.0,1.0,1.0,0.0
2015-11-06,14.45,14.45,14.33,14.33,14.45,14.45,14.33,14.33,200.0,0.0,1.0,1.0,0.0
2015-11-09,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,0.0,0.0,1.0,1.0,0.0
2015-11-10,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,0.0,0.0,1.0,1.0,0.0
2015-11-11,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,251.0,0.0,1.0,1.0,0.0
2015-11-12,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,0.0,0.0,1.0,1.0,0.0
2015-11-13,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,0.0,0.0,1.0,1.0,0.0
2015-11-16,14.11,14.2,14.11,14.2,14.11,14.2,14.11,14.2,500.0,0.0,1.0,1.0,0.0
2015-11-17,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,0.0,0.0,1.0,1.0,0.0
2015-11-18,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,0.0,0.0,1.0,1.0,0.0
2015-11-19,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,0.0,0.0,1.0,1.0,0.0
2015-11-20,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,100.0,0.0,1.0,1.0,0.0
2015-11-23,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,0.0,0.0,1.0,1.0,0.0
2015-11-24,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,0.0,0.0,1.0,1.0,0.0
2015-11-25,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,0.0,0.0,1.0,1.0,0.0
2015-11-27,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,0.0,0.0,1.0,1.0,0.0
2015-11-30,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,0.0,0.0,1.0,1.0,0.0
2015-12-01,14.26,14.26,14.26,14.26,14.26,14.26,14.26,14.26,0.0,0.1,1.0,1.0,0.0
2015-12-02,14.26,14.26,14.26,14.26,14.26,14.26,14.26,14.26,0.0,0.0,1.0,1.0,0.0
2015-12-03,14.15,14.19,14.15,14.19,14.15,14.19,14.15,14.19,400.0,0.0,1.0,1.0,0.0
2015-12-04,14.19,14.19,14.19,14.19,14.19,14.19,14.19,14.19,0.0,0.0,1.0,1.0,0.0
2015-12-07,13.89,13.95,13.89,13.95,13.89,13.95,13.89,13.95,332.0,0.0,1.0,1.0,0.0
2015-12-08,13.82,13.89,13.82,13.89,13.82,13.89,13.82,13.89,400.0,0.0,1.0,1.0,0.0
2015-12-09,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,0.0,0.0,1.0,1.0,0.0
2015-12-10,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,0.0,0.0,1.0,1.0,0.0
2015-12-11,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,0.0,0.0,1.0,1.0,0.0
2015-12-14,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,491.0,0.0,1.0,1.0,0.0
2015-12-15,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,0.0,0.0,1.0,1.0,0.0
2015-12-16,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26,0.0,0.0,1.0,1.0,0.0
2015-12-17,13.81,13.81,13.74,13.75,13.81,13.81,13.74,13.75,300.0,0.0,1.0,1.0,0.0
2015-12-18,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,1500.0,0.0,1.0,1.0,0.0
2015-12-21,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,44.0,0.0,1.0,1.0,0.0
2015-12-22,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.0,0.0,1.0,1.0,0.0
2015-12-23,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.0,0.0,1.0,1.0,0.0
2015-12-24,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.0,0.0,1.0,1.0,0.0
2015-12-28,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.0,0.0,1.0,1.0,0.0
2015-12-29,13.81,13.85,13.81,13.85,13.81,13.85,13.81,13.85,1300.0,0.18,1.0,1.0,0.0
2015-12-30,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,0.0,0.0,1.0,1.0,0.0
2015-12-31,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,0.0,0.0,1.0,1.0,0.0
2016-01-04,14.02,15.14,13.38,13.71,14.02,15.14,13.38,13.71,600.0,0.0,1.0,1.0,0.0
2016-01-05,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,0.0,0.0,1.0,1.0,0.0
2016-01-06,13.82,13.87,13.76,13.76,13.82,13.87,13.76,13.76,1000.0,0.0,1.0,1.0,0.0
2016-01-07,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.0,0.0,1.0,1.0,0.0
2016-01-08,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,300.0,0.0,1.0,1.0,0.0
2016-01-11,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,0.0,0.0,1.0,1.0,0.0
