Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2015-10-20,25.53,25.54,25.47,25.48,25.53,25.54,25.47,25.48,2100.0,0.0,1.0,1.0,0.0
2015-10-21,24.46,24.51,24.44,24.45,24.46,24.51,24.44,24.45,1000.0,0.0,1.0,1.0,0.0
2015-10-22,25.29,25.3,25.29,25.3,25.29,25.3,25.29,25.3,200.0,0.0,1.0,1.0,0.0
2015-10-23,26.04,26.04,25.78,25.78,26.04,26.04,25.78,25.78,3300.0,0.0,1.0,1.0,0.0
2015-10-26,25.88,25.88,25.3,25.32,25.88,25.88,25.3,25.32,2200.0,0.0,1.0,1.0,0.0
2015-10-27,25.31,25.33,25.21,25.23,25.31,25.33,25.21,25.23,13000.0,0.0,1.0,1.0,0.0
2015-10-28,25.36,25.36,24.49,24.49,25.36,25.36,24.49,24.49,23800.0,0.0,1.0,1.0,0.0
2015-10-29,24.69,24.79,24.69,24.77,24.69,24.79,24.69,24.77,3161.0,0.0,1.0,1.0,0.0
2015-10-30,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,0.0,0.0,1.0,1.0,0.0
2015-11-02,24.44,24.61,24.44,24.61,24.44,24.61,24.44,24.61,970.0,0.0,1.0,1.0,0.0
2015-11-03,24.45,24.45,24.44,24.44,24.45,24.45,24.44,24.44,2260.0,0.0,1.0,1.0,0.0
2015-11-04,25.68,25.68,25.68,25.68,25.68,25.68,25.68,25.68,792.0,0.0,1.0,1.0,0.0
2015-11-05,25.97,26.09,25.97,26.09,25.97,26.09,25.97,26.09,1590.0,0.0,1.0,1.0,0.0
2015-11-06,26.32,26.75,26.32,26.75,26.32,26.75,26.32,26.75,3481.0,0.0,1.0,1.0,0.0
2015-11-09,26.86,26.91,26.66,26.66,26.86,26.91,26.66,26.66,4675.0,0.0,1.0,1.0,0.0
2015-11-10,26.76,26.83,26.76,26.83,26.76,26.83,26.76,26.83,1359.0,0.0,1.0,1.0,0.0
2015-11-11,27.12,27.12,27.01,27.01,27.12,27.12,27.01,27.01,1080.0,0.0,1.0,1.0,0.0
2015-11-12,26.59,26.59,26.49,26.52,26.59,26.59,26.49,26.52,1565.0,0.0,1.0,1.0,0.0
2015-11-13,26.23,26.23,25.47,25.47,26.23,26.23,25.47,25.47,500.0,0.0,1.0,1.0,0.0
2015-11-16,26.55,26.55,26.51,26.53,26.55,26.55,26.51,26.53,388.0,0.0,1.0,1.0,0.0
2015-11-17,26.43,26.54,26.41,26.41,26.43,26.54,26.41,26.41,1900.0,0.0,1.0,1.0,0.0
2015-11-18,26.28,26.28,26.28,26.28,26.28,26.28,26.28,26.28,700.0,0.0,1.0,1.0,0.0
2015-11-19,26.63,26.63,26.51,26.51,26.63,26.63,26.51,26.51,2000.0,0.0,1.0,1.0,0.0
2015-11-20,26.74,26.74,26.73,26.73,26.74,26.74,26.73,26.73,1884.0,0.0,1.0,1.0,0.0
2015-11-23,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,469.0,0.0,1.0,1.0,0.0
2015-11-24,26.36,26.47,26.36,26.47,26.36,26.47,26.36,26.47,469.0,0.0,1.0,1.0,0.0
2015-11-25,26.63,26.63,26.63,26.63,26.63,26.63,26.63,26.63,400.0,0.0,1.0,1.0,0.0
2015-11-27,25.47,25.78,24.89,25.02,25.47,25.78,24.89,25.02,10889.0,0.0,1.0,1.0,0.0
2015-11-30,25.06,25.29,25.06,25.29,25.06,25.29,25.06,25.29,1600.0,0.0,1.0,1.0,0.0
2015-12-01,25.49,25.57,25.42,25.46,25.49,25.57,25.42,25.46,1166.0,0.0,1.0,1.0,0.0
2015-12-02,26.31,26.31,26.19,26.2,26.31,26.31,26.19,26.2,500.0,0.0,1.0,1.0,0.0
2015-12-03,26.28,26.28,26.08,26.09,26.28,26.28,26.08,26.09,1000.0,0.0,1.0,1.0,0.0
2015-12-04,26.13,26.13,26.09,26.09,26.13,26.13,26.09,26.09,400.0,0.0,1.0,1.0,0.0
2015-12-07,25.8,25.87,25.77,25.78,25.8,25.87,25.77,25.78,2900.0,0.0,1.0,1.0,0.0
2015-12-08,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78,0.0,0.0,1.0,1.0,0.0
2015-12-09,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48,200.0,0.0,1.0,1.0,0.0
2015-12-10,25.4,25.4,25.22,25.25,25.4,25.4,25.22,25.25,3400.0,0.0,1.0,1.0,0.0
2015-12-11,25.25,25.25,25.25,25.25,25.25,25.25,25.25,25.25,0.0,0.0,1.0,1.0,0.0
2015-12-14,25.92,25.98,25.92,25.98,25.92,25.98,25.92,25.98,800.0,0.0,1.0,1.0,0.0
2015-12-15,25.98,25.98,25.98,25.98,25.98,25.98,25.98,25.98,0.0,0.0,1.0,1.0,-1.31
2015-12-16,25.62,25.62,25.26,25.35,25.62,25.62,25.26,25.35,3073.0,0.74,1.0,1.0,0.0
2015-12-17,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78,350.0,0.0,1.0,1.0,0.0
2015-12-18,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78,0.0,0.0,1.0,1.0,0.0
2015-12-21,26.41,26.41,26.38,26.38,26.41,26.41,26.38,26.38,200.0,0.0,1.0,1.0,-0.0
2015-12-22,26.55,26.72,26.55,26.72,26.55,26.72,26.55,26.72,500.0,0.0,1.0,1.0,0.0
2015-12-23,26.72,26.72,26.57,26.57,26.72,26.72,26.57,26.57,2200.0,0.0,1.0,1.0,-0.0
2015-12-24,26.3,26.34,26.3,26.34,26.3,26.34,26.3,26.34,1400.0,0.0,1.0,1.0,0.0
2015-12-28,25.5,25.62,25.5,25.62,25.5,25.62,25.5,25.62,250.0,0.0,1.0,1.0,0.0
2015-12-29,25.38,25.75,25.38,25.75,25.38,25.75,25.38,25.75,1095.0,0.0,1.0,1.0,0.0
2015-12-30,25.93,25.93,25.63,25.64,25.93,25.93,25.63,25.64,1000.0,0.0,1.0,1.0,0.0
2015-12-31,25.43,25.43,25.42,25.43,25.43,25.43,25.42,25.43,700.0,0.0,1.0,1.0,0.0
2016-01-04,24.25,24.25,23.0,23.13,24.25,24.25,23.0,23.13,5490.0,0.0,1.0,1.0,0.0
2016-01-05,23.73,23.74,23.72,23.74,23.73,23.74,23.72,23.74,1200.0,0.0,1.0,1.0,0.0
2016-01-06,24.0,24.05,24.0,24.0,24.0,24.05,24.0,24.0,1800.0,0.0,1.0,1.0,0.0
2016-01-07,22.2,22.85,22.2,22.34,22.2,22.85,22.2,22.34,10300.0,0.0,1.0,1.0,0.0
2016-01-08,22.54,22.54,22.4,22.4,22.54,22.54,22.4,22.4,600.0,0.0,1.0,1.0,0.0
2016-01-11,21.73,21.84,21.45,21.83,21.73,21.84,21.45,21.83,4667.0,0.0,1.0,1.0,0.0
2016-01-12,22.12,22.14,22.12,22.14,22.12,22.14,22.12,22.14,400.0,0.0,1.0,1.0,0.0
2016-01-13,21.33,21.33,20.91,20.97,21.33,21.33,20.91,20.97,12400.0,0.0,1.0,1.0,0.0
