Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2019-09-26,50.18,51.69,50.18,50.2,50.18,51.69,50.18,50.2,3400.0,0.0,1.0,1.0,0.0
2019-09-27,50.49,50.49,49.9,49.99,50.49,50.49,49.9,49.99,55573.0,0.0,1.0,1.0,0.0
2019-09-30,49.94,50.35,49.94,50.11,49.94,50.35,49.94,50.11,6587.0,0.0,1.0,1.0,0.0
2019-10-01,50.74,50.74,49.06,49.06,50.74,50.74,49.06,49.06,2964.0,0.0,1.0,1.0,0.0
2019-10-02,48.47,48.51,48.24,48.36,48.47,48.51,48.24,48.36,20200.0,0.0,1.0,1.0,0.0
2019-10-03,47.81,48.37,47.74,48.33,47.81,48.37,47.74,48.33,11182.0,0.0,1.0,1.0,0.0
2019-10-04,48.65,48.72,48.17,48.72,48.65,48.72,48.17,48.72,54400.0,0.0,1.0,1.0,0.0
2019-10-07,48.82,48.84,48.66,48.66,48.82,48.84,48.66,48.66,4300.0,0.0,1.0,1.0,0.0
2019-10-08,48.03,48.16,47.77,47.77,48.03,48.16,47.77,47.77,38600.0,0.0,1.0,1.0,0.0
2019-10-09,47.99,48.19,47.99,48.19,47.99,48.19,47.99,48.19,55200.0,0.0,1.0,1.0,0.0
2019-10-10,48.19,48.55,48.19,48.35,48.19,48.55,48.19,48.35,21300.0,0.0,1.0,1.0,0.0
2019-10-11,49.82,49.82,49.41,49.41,49.82,49.82,49.41,49.41,7577.0,0.0,1.0,1.0,0.0
2019-10-14,49.09,49.21,49.09,49.14,49.09,49.21,49.09,49.14,32152.0,0.0,1.0,1.0,0.0
2019-10-15,49.83,49.97,49.64,49.64,49.83,49.97,49.64,49.64,5463.0,0.0,1.0,1.0,0.98
2019-10-16,49.91,50.05,49.75,49.8,49.91,50.05,49.75,49.8,24800.0,0.0,1.0,1.0,0.0
2019-10-17,50.07,50.35,49.99,50.26,50.07,50.35,49.99,50.26,38755.0,0.0,1.0,1.0,0.0
2019-10-18,50.14,50.21,49.88,50.12,50.14,50.21,49.88,50.12,9776.0,0.0,1.0,1.0,0.0
2019-10-21,50.86,53.76,50.6,50.6,50.86,53.76,50.6,50.6,21300.0,0.0,1.0,1.0,0.0
2019-10-22,50.46,51.14,50.46,50.92,50.46,51.14,50.46,50.92,3300.0,0.0,1.0,1.0,4.05
2019-10-23,50.87,51.31,50.87,51.2,50.87,51.31,50.87,51.2,120300.0,0.0,1.0,1.0,0.0
2019-10-24,51.05,51.1,50.75,51.05,51.05,51.1,50.75,51.05,502259.0,0.0,1.0,1.0,0.0
2019-10-25,51.21,51.75,51.21,51.64,51.21,51.75,51.21,51.64,2600.0,0.0,1.0,1.0,29.59
2019-10-28,52.18,52.31,52.03,52.06,52.18,52.31,52.03,52.06,35500.0,0.0,1.0,1.0,0.0
2019-10-29,52.0,52.48,52.0,52.27,52.0,52.48,52.0,52.27,21800.0,0.0,1.0,1.0,0.0
2019-10-30,51.71,51.71,51.52,51.7,51.71,51.71,51.52,51.7,6000.0,0.0,1.0,1.0,0.0
2019-10-31,51.16,51.18,50.9,51.18,51.16,51.18,50.9,51.18,24600.0,0.0,1.0,1.0,0.0
2019-11-01,52.09,52.2,51.99,52.16,52.09,52.2,51.99,52.16,35468.0,0.0,1.0,1.0,0.0
2019-11-04,52.92,53.19,52.92,53.19,52.92,53.19,52.92,53.19,37989.0,0.0,1.0,1.0,4.17
2019-11-05,53.87,53.87,53.39,53.46,53.87,53.87,53.39,53.46,8600.0,0.0,1.0,1.0,0.0
2019-11-06,53.07,53.18,52.85,53.02,53.07,53.18,52.85,53.02,1382.0,0.0,1.0,1.0,0.0
2019-11-07,53.55,53.56,53.32,53.32,53.55,53.56,53.32,53.32,14575.0,0.0,1.0,1.0,0.0
2019-11-08,53.62,53.62,53.25,53.34,53.62,53.62,53.25,53.34,14100.0,0.0,1.0,1.0,0.0
2019-11-11,53.08,53.2,53.05,53.11,53.08,53.2,53.05,53.11,4466.0,0.0,1.0,1.0,0.0
2019-11-12,53.32,53.38,53.16,53.16,53.32,53.38,53.16,53.16,3671.0,0.0,1.0,1.0,0.0
2019-11-13,52.81,52.92,52.65,52.71,52.81,52.92,52.65,52.71,9600.0,0.0,1.0,1.0,0.0
2019-11-14,52.95,52.95,52.52,52.6,52.95,52.95,52.52,52.6,8880.0,0.0,1.0,1.0,0.0
2019-11-15,52.86,52.95,52.72,52.74,52.86,52.95,52.72,52.74,15400.0,0.0,1.0,1.0,4.21
2019-11-18,52.34,52.43,52.31,52.36,52.34,52.43,52.31,52.36,3892.0,0.0,1.0,1.0,1.05
2019-11-19,53.92,53.92,52.13,52.16,53.92,53.92,52.13,52.16,9600.0,0.0,1.0,1.0,0.0
2019-11-20,51.89,52.2,51.68,51.68,51.89,52.2,51.68,51.68,5000.0,0.0,1.0,1.0,0.0
2019-11-21,51.68,51.68,51.35,51.56,51.68,51.68,51.35,51.56,1097.0,0.0,1.0,1.0,0.0
2019-11-22,51.59,51.84,51.59,51.78,51.59,51.84,51.59,51.78,21498.0,0.0,1.0,1.0,0.0
2019-11-25,52.58,52.77,52.57,52.76,52.58,52.77,52.57,52.76,3866.0,0.0,1.0,1.0,0.0
2019-11-26,52.73,52.8,52.57,52.57,52.73,52.8,52.57,52.57,4100.0,0.0,1.0,1.0,0.0
