Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2018-08-08,25.52,25.52,25.52,25.52,25.52,25.52,25.52,25.52,191.0,0.0,1.0,1.0,0.0
2018-08-09,25.52,25.52,25.52,25.52,25.52,25.52,25.52,25.52,0.0,0.0,1.0,1.0,0.0
2018-08-10,25.52,25.52,25.52,25.52,25.52,25.52,25.52,25.52,0.0,0.0,1.0,1.0,0.0
2018-08-13,24.98,25.0,24.97,24.97,24.98,25.0,24.97,24.97,57500.0,0.0,1.0,1.0,0.0
2018-08-14,25.0,25.24,24.99,25.03,25.0,25.24,24.99,25.03,7415781.0,0.0,1.0,1.0,0.0
2018-08-15,24.75,24.88,24.69,24.81,24.75,24.88,24.69,24.81,5798763.0,0.0,1.0,1.0,0.0
2018-08-16,25.09,25.14,25.04,25.05,25.09,25.14,25.04,25.05,5497158.0,0.0,1.0,1.0,193.67
2018-08-17,25.08,25.35,25.06,25.31,25.08,25.35,25.06,25.31,4800300.0,0.0,1.0,1.0,135.0
2018-08-20,25.3,25.35,25.25,25.31,25.3,25.35,25.25,25.31,311700.0,0.0,1.0,1.0,135.76
2018-08-21,25.32,25.33,25.22,25.26,25.32,25.33,25.22,25.26,428200.0,0.0,1.0,1.0,111.14
2018-08-22,25.29,25.3,25.2,25.24,25.29,25.3,25.2,25.24,99300.0,0.0,1.0,1.0,10.08
2018-08-23,24.98,25.0,24.86,24.88,24.98,25.0,24.86,24.88,107300.0,0.0,1.0,1.0,20.13
2018-08-24,25.0,25.07,24.93,25.05,25.0,25.07,24.93,25.05,40700.0,0.0,1.0,1.0,9.91
2018-08-27,25.25,25.35,25.22,25.32,25.25,25.35,25.22,25.32,53456.0,0.0,1.0,1.0,0.0
2018-08-28,25.41,25.42,25.26,25.31,25.41,25.42,25.26,25.31,95577.0,0.0,1.0,1.0,0.0
2018-08-29,25.38,25.6,25.38,25.59,25.38,25.6,25.38,25.59,133800.0,0.0,1.0,1.0,0.0
2018-08-30,25.34,25.35,25.18,25.24,25.34,25.35,25.18,25.24,48400.0,0.0,1.0,1.0,0.0
2018-08-31,25.14,25.2,25.01,25.1,25.14,25.2,25.01,25.1,42359.0,0.0,1.0,1.0,0.0
2018-09-04,24.88,24.91,24.82,24.9,24.88,24.91,24.82,24.9,41091.0,0.0,1.0,1.0,0.0
2018-09-05,24.58,24.58,24.47,24.55,24.58,24.58,24.47,24.55,57700.0,0.0,1.0,1.0,0.0
2018-09-06,24.38,24.42,24.21,24.32,24.38,24.42,24.21,24.32,64578.0,0.0,1.0,1.0,0.0
2018-09-07,24.04,24.15,23.9,24.0,24.04,24.15,23.9,24.0,53700.0,0.0,1.0,1.0,0.0
2018-09-10,24.08,24.1,23.95,24.01,24.08,24.1,23.95,24.01,66674.0,0.0,1.0,1.0,0.0
2018-09-11,23.93,24.05,23.87,24.05,23.93,24.05,23.87,24.05,61900.0,0.0,1.0,1.0,0.0
2018-09-12,24.11,24.35,24.11,24.33,24.11,24.35,24.11,24.33,134578.0,0.0,1.0,1.0,0.0
2018-09-13,24.51,24.53,24.37,24.49,24.51,24.53,24.37,24.49,56277.0,0.0,1.0,1.0,0.0
2018-09-14,24.46,24.55,24.38,24.45,24.46,24.55,24.38,24.45,62682.0,0.0,1.0,1.0,0.0
2018-09-17,24.45,24.55,24.44,24.44,24.45,24.55,24.44,24.44,34100.0,0.0,1.0,1.0,0.0
2018-09-18,24.64,24.73,24.59,24.72,24.64,24.73,24.59,24.72,47853.0,0.0,1.0,1.0,0.0
2018-09-19,24.79,24.88,24.79,24.85,24.79,24.88,24.79,24.85,41450.0,0.0,1.0,1.0,9.84
2018-09-20,24.87,24.99,24.85,24.98,24.87,24.99,24.85,24.98,42800.0,0.0,1.0,1.0,0.0
2018-09-21,24.99,25.06,24.98,25.02,24.99,25.06,24.98,25.02,26300.0,0.0,1.0,1.0,0.0
2018-09-24,24.91,24.92,24.85,24.89,24.91,24.92,24.85,24.89,59900.0,0.0,1.0,1.0,0.0
2018-09-25,24.84,24.84,24.74,24.78,24.84,24.84,24.74,24.78,38800.0,0.16,1.0,1.0,0.0
2018-09-26,24.71,25.01,24.71,24.75,24.71,25.01,24.71,24.75,43200.0,0.0,1.0,1.0,0.0
2018-09-27,24.69,24.83,24.69,24.74,24.69,24.83,24.69,24.74,47696.0,0.0,1.0,1.0,0.0
2018-09-28,24.69,24.84,24.65,24.7,24.69,24.84,24.65,24.7,48256.0,0.0,1.0,1.0,0.0
2018-10-01,24.62,24.73,24.62,24.7,24.62,24.73,24.62,24.7,40883.0,0.0,1.0,1.0,0.0
2018-10-02,24.27,24.42,24.27,24.37,24.27,24.42,24.27,24.37,55900.0,0.0,1.0,1.0,0.0
2018-10-03,24.3,24.36,24.17,24.18,24.3,24.36,24.17,24.18,54100.0,0.0,1.0,1.0,0.0
2018-10-04,24.04,24.05,23.85,23.93,24.04,24.05,23.85,23.93,74300.0,0.0,1.0,1.0,0.0
2018-10-05,23.95,23.99,23.77,23.88,23.95,23.99,23.77,23.88,85282.0,0.0,1.0,1.0,0.0
2018-10-08,23.63,23.73,23.53,23.73,23.63,23.73,23.53,23.73,59279.0,0.0,1.0,1.0,0.0
2018-10-09,23.53,23.67,23.52,23.65,23.53,23.67,23.52,23.65,30700.0,0.0,1.0,1.0,0.0
2018-10-10,23.56,23.7,23.11,23.11,23.56,23.7,23.11,23.11,91700.0,0.0,1.0,1.0,0.0
2018-10-11,22.86,23.03,22.61,22.81,22.86,23.03,22.61,22.81,67800.0,0.0,1.0,1.0,0.0
2018-10-12,23.03,23.08,22.79,23.03,23.03,23.08,22.79,23.03,59493.0,0.0,1.0,1.0,0.0
2018-10-15,22.93,23.07,22.93,22.96,22.93,23.07,22.93,22.96,178000.0,0.0,1.0,1.0,9.22
2018-10-16,23.07,23.24,23.02,23.23,23.07,23.24,23.02,23.23,182573.0,0.0,1.0,1.0,0.0
2018-10-17,23.16,23.22,23.01,23.17,23.16,23.22,23.01,23.17,265000.0,0.0,1.0,1.0,0.0
2018-10-18,23.13,23.17,22.86,22.96,23.13,23.17,22.86,22.96,150600.0,0.0,1.0,1.0,0.0
2018-10-19,23.13,23.28,23.07,23.16,23.13,23.28,23.07,23.16,131587.0,0.0,1.0,1.0,13.76
2018-10-22,23.2,23.22,23.08,23.17,23.2,23.22,23.08,23.17,53685.0,0.0,1.0,1.0,0.0
2018-10-23,22.65,22.92,22.6,22.92,22.65,22.92,22.6,22.92,107476.0,0.0,1.0,1.0,0.0
2018-10-24,22.74,22.76,22.32,22.35,22.74,22.76,22.32,22.35,70654.0,0.0,1.0,1.0,0.0
2018-10-25,22.33,22.54,22.32,22.47,22.33,22.54,22.32,22.47,122400.0,0.0,1.0,1.0,8.93
2018-10-26,22.11,22.4,22.05,22.31,22.11,22.4,22.05,22.31,106299.0,0.0,1.0,1.0,0.0
2018-10-29,22.51,22.55,22.0,22.18,22.51,22.55,22.0,22.18,92500.0,0.0,1.0,1.0,0.0
2018-10-30,22.3,22.56,22.3,22.56,22.3,22.56,22.3,22.56,247400.0,0.0,1.0,1.0,0.0
2018-10-31,22.7,22.77,22.63,22.71,22.7,22.77,22.63,22.71,87000.0,0.0,1.0,1.0,0.0
