Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2010-04-13,30.23,30.23,29.78,30.03,30.23,30.23,29.78,30.03,15664.0,0.0,1.0,1.0,0.0
2010-04-14,30.3,30.7,30.3,30.65,30.3,30.7,30.3,30.65,18855.0,0.0,1.0,1.0,0.0
2010-04-15,30.57,30.57,30.38,30.4,30.57,30.57,30.38,30.4,13689.0,0.0,1.0,1.0,0.0
2010-04-16,30.09,30.14,29.38,29.45,30.09,30.14,29.38,29.45,38473.0,0.0,1.0,1.0,0.0
2010-04-19,29.55,29.65,29.1,29.3,29.55,29.65,29.1,29.3,9093.0,0.0,1.0,1.0,0.0
2010-04-20,32.07,32.07,29.57,29.82,32.07,32.07,29.57,29.82,36300.0,0.0,1.0,1.0,0.0
2010-04-21,30.05,30.05,29.58,29.77,30.05,30.05,29.58,29.77,43464.0,0.0,1.0,1.0,0.0
2010-04-22,29.74,30.06,29.55,30.06,29.74,30.06,29.55,30.06,21300.0,0.0,1.0,1.0,0.0
2010-04-23,30.02,30.11,29.84,30.11,30.02,30.11,29.84,30.11,24772.0,0.0,1.0,1.0,2.97
2010-04-26,30.34,30.38,29.52,30.25,30.34,30.38,29.52,30.25,19500.0,0.0,1.0,1.0,0.0
2010-04-27,30.04,30.04,29.46,29.46,30.04,30.04,29.46,29.46,24900.0,0.0,1.0,1.0,0.0
2010-04-28,29.95,29.95,29.31,29.5,29.95,29.95,29.31,29.5,13500.0,0.0,1.0,1.0,1.45
2010-04-29,29.4,29.94,29.4,29.94,29.4,29.94,29.4,29.94,24900.0,0.0,1.0,1.0,0.0
2010-04-30,30.17,30.18,29.75,29.75,30.17,30.18,29.75,29.75,11557.0,0.0,1.0,1.0,0.0
2010-05-03,29.63,29.89,29.61,29.83,29.63,29.89,29.61,29.83,10878.0,0.0,1.0,1.0,0.0
2010-05-04,29.63,29.63,28.5,28.68,29.63,29.63,28.5,28.68,12790.0,0.0,1.0,1.0,0.0
2010-05-05,28.32,28.56,28.0,28.3,28.32,28.56,28.0,28.3,30300.0,0.0,1.0,1.0,0.0
2010-05-06,28.04,28.15,15.0,26.67,28.04,28.15,15.0,26.67,41300.0,0.0,1.0,1.0,0.0
2010-05-07,27.51,27.51,26.55,26.87,27.51,27.51,26.55,26.87,11173.0,0.0,1.0,1.0,1.35
2010-05-10,29.89,29.89,28.46,29.04,29.89,29.89,28.46,29.04,36753.0,0.0,1.0,1.0,0.0
2010-05-11,28.44,28.8,28.44,28.56,28.44,28.8,28.44,28.56,3080.0,0.0,1.0,1.0,0.0
2010-05-12,28.35,28.88,27.22,28.86,28.35,28.88,27.22,28.86,28000.0,0.0,1.0,1.0,0.0
2010-05-13,28.95,29.16,28.61,28.61,28.95,29.16,28.61,28.61,41186.0,0.0,1.0,1.0,0.0
2010-05-14,28.16,28.34,28.0,28.08,28.16,28.34,28.0,28.08,3787.0,0.0,1.0,1.0,0.0
2010-05-17,28.06,28.06,27.27,27.69,28.06,28.06,27.27,27.69,17858.0,0.0,1.0,1.0,0.0
2010-05-18,28.09,28.11,27.24,27.24,28.09,28.11,27.24,27.24,6682.0,0.0,1.0,1.0,0.0
2010-05-19,26.81,26.96,26.34,26.7,26.81,26.96,26.34,26.7,6768.0,0.0,1.0,1.0,0.0
2010-05-20,26.08,26.08,25.45,25.76,26.08,26.08,25.45,25.76,11352.0,0.0,1.0,1.0,0.0
2010-05-21,25.62,26.23,25.15,25.95,25.62,26.23,25.15,25.95,10100.0,0.0,1.0,1.0,0.0
2010-05-24,26.63,26.63,26.23,26.32,26.63,26.63,26.23,26.32,4270.0,0.0,1.0,1.0,0.0
2010-05-25,25.15,25.8,25.0,25.8,25.15,25.8,25.0,25.8,10220.0,0.0,1.0,1.0,0.0
2010-05-26,26.2,26.25,25.85,25.85,26.2,26.25,25.85,25.85,4362.0,0.0,1.0,1.0,0.0
2010-05-27,26.87,27.27,26.64,27.26,26.87,27.27,26.64,27.26,12348.0,0.0,1.0,1.0,0.0
2010-05-28,27.32,27.32,26.95,27.3,27.32,27.32,26.95,27.3,5355.0,0.0,1.0,1.0,0.0
2010-06-01,26.81,27.11,26.68,26.7,26.81,27.11,26.68,26.7,4154.0,0.0,1.0,1.0,0.0
2010-06-02,26.89,27.36,26.89,27.36,26.89,27.36,26.89,27.36,11598.0,0.0,1.0,1.0,0.0
2010-06-03,27.55,27.55,26.89,26.89,27.55,27.55,26.89,26.89,15985.0,0.0,1.0,1.0,0.0
2010-06-04,26.72,26.76,26.66,26.68,26.72,26.76,26.66,26.68,957.0,0.0,1.0,1.0,0.0
2010-06-07,26.81,26.81,26.3,26.3,26.81,26.81,26.3,26.3,4853.0,0.0,1.0,1.0,0.0
2010-06-08,26.31,26.41,26.29,26.41,26.31,26.41,26.29,26.41,833.0,0.0,1.0,1.0,0.0
2010-06-09,26.7,26.97,26.42,26.42,26.7,26.97,26.42,26.42,14020.0,0.0,1.0,1.0,0.0
2010-06-10,26.96,27.12,26.92,27.11,26.96,27.12,26.92,27.11,3600.0,0.0,1.0,1.0,0.0
2010-06-11,27.26,27.38,27.26,27.36,27.26,27.38,27.26,27.36,745.0,0.0,1.0,1.0,0.0
2010-06-14,27.7,27.76,27.62,27.73,27.7,27.76,27.62,27.73,1400.0,0.0,1.0,1.0,0.0
2010-06-15,27.92,28.59,27.86,28.26,27.92,28.59,27.86,28.26,14197.0,0.0,1.0,1.0,0.0
2010-06-16,27.97,28.59,27.97,28.22,27.97,28.59,27.97,28.22,13700.0,0.0,1.0,1.0,0.0
2010-06-17,28.76,28.76,27.89,28.41,28.76,28.76,27.89,28.41,3374.0,0.0,1.0,1.0,0.0
2010-06-18,28.53,28.53,28.35,28.42,28.53,28.53,28.35,28.42,2779.0,0.0,1.0,1.0,0.0
2010-06-21,29.2,29.35,29.03,29.06,29.2,29.35,29.03,29.06,1979.0,0.0,1.0,1.0,0.0
2010-06-22,29.06,29.06,28.49,28.49,29.06,29.06,28.49,28.49,1633.0,0.08,1.0,1.0,1.43
2010-06-23,28.32,28.68,28.32,28.68,28.32,28.68,28.32,28.68,2070.0,0.0,1.0,1.0,0.0
2010-06-24,28.79,28.79,28.03,28.18,28.79,28.79,28.03,28.18,2535.0,0.0,1.0,1.0,0.0
2010-06-25,27.9,28.37,27.9,28.13,27.9,28.37,27.9,28.13,12200.0,0.0,1.0,1.0,0.0
2010-06-28,28.08,28.36,28.02,28.02,28.08,28.36,28.02,28.02,773.0,0.0,1.0,1.0,0.0
2010-06-29,27.49,27.49,26.94,27.0,27.49,27.49,26.94,27.0,3400.0,0.0,1.0,1.0,0.0
2010-06-30,27.14,27.27,27.05,27.05,27.14,27.27,27.05,27.05,1400.0,0.0,1.0,1.0,0.0
2010-07-01,27.0,27.0,26.38,27.0,27.0,27.0,26.38,27.0,3878.0,0.0,1.0,1.0,0.0
2010-07-02,26.76,26.99,26.76,26.99,26.76,26.99,26.76,26.99,2455.0,0.0,1.0,1.0,0.0
2010-07-06,27.54,27.54,27.06,27.06,27.54,27.54,27.06,27.06,930.0,0.0,1.0,1.0,0.0
2010-07-07,27.44,27.44,27.4,27.44,27.44,27.44,27.4,27.44,550.0,0.0,1.0,1.0,0.0
2010-07-08,27.66,27.69,27.44,27.69,27.66,27.69,27.44,27.69,1906.0,0.0,1.0,1.0,0.0
2010-07-09,27.7,28.22,27.7,28.18,27.7,28.22,27.7,28.18,1413.0,0.0,1.0,1.0,0.0
2010-07-12,27.95,28.11,27.81,28.11,27.95,28.11,27.81,28.11,10412.0,0.0,1.0,1.0,0.0
2010-07-13,28.32,28.32,28.04,28.2,28.32,28.32,28.04,28.2,4606.0,0.0,1.0,1.0,0.0
2010-07-14,28.07,28.2,28.07,28.2,28.07,28.2,28.07,28.2,600.0,0.0,1.0,1.0,0.0
2010-07-15,28.09,28.1,27.72,27.78,28.09,28.1,27.72,27.78,17941.0,0.0,1.0,1.0,0.0
2010-07-16,27.57,27.74,26.98,27.04,27.57,27.74,26.98,27.04,10395.0,0.0,1.0,1.0,0.0
2010-07-19,27.13,27.26,27.11,27.26,27.13,27.26,27.11,27.26,800.0,0.0,1.0,1.0,0.0
2010-07-20,27.52,27.76,27.47,27.76,27.52,27.76,27.47,27.76,1873.0,0.0,1.0,1.0,0.0
2010-07-21,27.9,28.04,27.72,27.84,27.9,28.04,27.72,27.84,4613.0,0.0,1.0,1.0,0.0
2010-07-22,28.29,28.59,28.29,28.56,28.29,28.59,28.29,28.56,3927.0,0.0,1.0,1.0,0.0
2010-07-23,28.78,28.9,28.61,28.9,28.78,28.9,28.61,28.9,4998.0,0.0,1.0,1.0,0.0
2010-07-26,28.72,29.14,28.72,29.1,28.72,29.14,28.72,29.1,29376.0,0.0,1.0,1.0,0.0
2010-07-27,29.1,29.14,29.06,29.08,29.1,29.14,29.06,29.08,717.0,0.0,1.0,1.0,0.0
2010-07-28,28.95,29.02,28.7,28.83,28.95,29.02,28.7,28.83,7300.0,0.0,1.0,1.0,0.0
2010-07-29,28.82,28.98,28.82,28.98,28.82,28.98,28.82,28.98,1022.0,0.0,1.0,1.0,0.0
2010-07-30,29.11,29.19,28.79,29.12,29.11,29.19,28.79,29.12,9235.0,0.0,1.0,1.0,0.0
2010-08-02,29.73,29.97,29.73,29.97,29.73,29.97,29.73,29.97,4600.0,0.0,1.0,1.0,0.0
2010-08-03,29.77,29.78,29.52,29.67,29.77,29.78,29.52,29.67,12338.0,0.0,1.0,1.0,0.0
2010-08-04,29.82,29.99,29.45,29.85,29.82,29.99,29.45,29.85,100807.0,0.0,1.0,1.0,0.0
2010-08-05,29.88,29.88,29.37,29.55,29.88,29.88,29.37,29.55,35828.0,0.0,1.0,1.0,1.47
2010-08-06,29.42,29.56,29.2,29.5,29.42,29.56,29.2,29.5,20833.0,0.0,1.0,1.0,2.92
2010-08-09,29.87,29.87,29.6,29.69,29.87,29.87,29.6,29.69,33752.0,0.0,1.0,1.0,0.0
2010-08-10,29.3,29.45,28.94,29.31,29.3,29.45,28.94,29.31,19866.0,0.0,1.0,1.0,0.0
2010-08-11,28.82,28.82,28.35,28.39,28.82,28.82,28.35,28.39,14646.0,0.0,1.0,1.0,0.0
2010-08-12,28.57,28.57,28.17,28.44,28.57,28.57,28.17,28.44,62579.0,0.0,1.0,1.0,0.0
2010-08-13,28.49,28.65,28.49,28.65,28.49,28.65,28.49,28.65,3522.0,0.0,1.0,1.0,0.0
2010-08-16,28.63,28.77,28.58,28.76,28.63,28.77,28.58,28.76,16185.0,0.0,1.0,1.0,0.0
2010-08-17,29.16,29.2,28.98,29.0,29.16,29.2,28.98,29.0,36388.0,0.0,1.0,1.0,2.84
2010-08-18,29.14,29.23,29.0,29.21,29.14,29.23,29.0,29.21,17718.0,0.0,1.0,1.0,0.0
2010-08-19,29.44,29.44,28.85,28.98,29.44,29.44,28.85,28.98,12786.0,0.0,1.0,1.0,0.0
2010-08-20,29.31,29.31,28.78,28.98,29.31,29.31,28.78,28.98,7494.0,0.0,1.0,1.0,1.43
2010-08-23,28.88,28.89,28.52,28.61,28.88,28.89,28.52,28.61,9109.0,0.0,1.0,1.0,0.0
2010-08-24,28.01,28.32,27.87,28.12,28.01,28.32,27.87,28.12,10283.0,0.0,1.0,1.0,0.0
2010-08-25,27.87,27.91,27.71,27.84,27.87,27.91,27.71,27.84,22062.0,0.0,1.0,1.0,0.0
2010-08-26,28.07,28.33,27.83,27.93,28.07,28.33,27.83,27.93,40163.0,0.0,1.0,1.0,0.0
