Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2007-11-20,57.3,57.73,56.62,57.36,57.3,57.73,56.62,57.36,5900.0,0.0,1.0,1.0,0.0
2007-11-21,55.66,55.66,54.84,55.14,55.66,55.66,54.84,55.14,9700.0,0.0,1.0,1.0,0.0
2007-11-23,55.91,55.91,55.91,55.91,55.91,55.91,55.91,55.91,100.0,0.0,1.0,1.0,0.0
2007-11-26,58.0,58.0,54.0,54.0,58.0,58.0,54.0,54.0,5400.0,0.0,1.0,1.0,0.0
2007-11-27,54.62,55.68,54.62,55.68,54.62,55.68,54.62,55.68,2900.0,0.0,1.0,1.0,0.0
2007-11-28,56.8,58.63,56.8,58.6,56.8,58.63,56.8,58.6,16500.0,0.0,1.0,1.0,0.0
2007-11-29,58.52,59.45,58.5,58.65,58.52,59.45,58.5,58.65,31500.0,0.0,1.0,1.0,0.0
2007-11-30,60.0,60.34,59.0,59.05,60.0,60.34,59.0,59.05,35900.0,0.0,1.0,1.0,0.0
2007-12-03,60.95,60.95,58.83,59.04,60.95,60.95,58.83,59.04,21744.0,0.0,1.0,1.0,0.0
2007-12-04,59.05,59.28,58.22,59.05,59.05,59.28,58.22,59.05,13300.0,0.0,1.0,1.0,0.0
2007-12-05,61.26,61.46,60.5,61.44,61.26,61.46,60.5,61.44,30500.0,0.0,1.0,1.0,0.0
2007-12-06,61.5,62.61,61.47,62.45,61.5,62.61,61.47,62.45,36400.0,0.0,1.0,1.0,0.0
2007-12-07,63.75,63.75,61.45,61.63,63.75,63.75,61.45,61.63,47015.0,0.0,1.0,1.0,6.11
2007-12-10,61.5,62.11,61.35,61.69,61.5,62.11,61.35,61.69,21700.0,0.0,1.0,1.0,0.0
2007-12-11,62.03,68.99,59.83,59.96,62.03,68.99,59.83,59.96,27100.0,0.0,1.0,1.0,0.0
2007-12-12,61.61,61.98,60.15,60.68,61.61,61.98,60.15,60.68,26900.0,0.0,1.0,1.0,0.0
2007-12-13,59.1,61.05,58.0,59.4,59.1,61.05,58.0,59.4,19000.0,0.0,1.0,1.0,6.02
2007-12-14,57.9,58.5,57.8,58.15,57.9,58.5,57.8,58.15,11400.0,0.0,1.0,1.0,0.0
2007-12-17,56.77,56.77,55.15,55.94,56.77,56.77,55.15,55.94,17200.0,0.0,1.0,1.0,0.0
2007-12-18,56.25,57.24,55.0,57.24,56.25,57.24,55.0,57.24,26100.0,0.0,1.0,1.0,0.0
2007-12-19,57.2,57.67,56.71,57.26,57.2,57.67,56.71,57.26,8000.0,0.0,1.0,1.0,0.0
2007-12-20,57.35,57.8,56.9,57.75,57.35,57.8,56.9,57.75,63800.0,0.0,1.0,1.0,0.0
2007-12-21,59.6,60.69,58.87,60.69,59.6,60.69,58.87,60.69,28000.0,0.0,1.0,1.0,0.0
2007-12-24,60.01,60.85,60.01,60.28,60.01,60.85,60.01,60.28,24000.0,0.0,1.0,1.0,0.0
2007-12-26,60.5,60.85,60.14,60.84,60.5,60.85,60.14,60.84,7500.0,0.0,1.0,1.0,0.0
2007-12-27,60.0,60.64,59.5,59.74,60.0,60.64,59.5,59.74,27700.0,0.0,1.0,1.0,8.95
2007-12-28,60.0,60.04,58.46,58.82,60.0,60.04,58.46,58.82,67100.0,0.0,1.0,1.0,0.0
2007-12-31,62.06,62.06,58.75,59.5,62.06,62.06,58.75,59.5,19800.0,0.0,1.0,1.0,0.0
2008-01-02,59.55,59.87,58.7,58.91,59.55,59.87,58.7,58.91,22700.0,0.0,1.0,1.0,0.0
