Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2016-12-06,25.01,25.1,25.0,25.0,25.01,25.1,25.0,25.0,3052435.0,0.0,1.0,1.0,0.0
2016-12-07,24.65,25.01,23.01,24.99,24.65,25.01,23.01,24.99,11292.0,0.0,1.0,1.0,0.0
2016-12-08,24.99,25.0,23.14,24.98,24.99,25.0,23.14,24.98,7700.0,0.0,1.0,1.0,0.0
2016-12-09,25.0,25.01,24.99,24.99,25.0,25.01,24.99,24.99,3902.0,0.0,1.0,1.0,0.0
2016-12-12,24.98,25.09,24.95,25.02,24.98,25.09,24.95,25.02,12496.0,0.0,1.0,1.0,0.0
2016-12-13,25.0,25.02,24.98,25.02,25.0,25.02,24.98,25.02,16509.0,0.0,1.0,1.0,0.0
2016-12-14,24.71,25.04,24.71,24.91,24.71,25.04,24.71,24.91,31758.0,0.0,1.0,1.0,0.0
2016-12-15,24.98,25.02,24.96,24.98,24.98,25.02,24.96,24.98,17582.0,0.0,1.0,1.0,0.0
2016-12-16,24.97,25.02,24.93,24.93,24.97,25.02,24.93,24.93,14495.0,0.0,1.0,1.0,0.0
2016-12-19,24.97,26.98,24.94,24.97,24.97,26.98,24.94,24.97,9200.0,0.0,1.0,1.0,0.0
2016-12-20,25.19,25.19,24.95,24.98,25.19,25.19,24.95,24.98,22167.0,0.0,1.0,1.0,0.0
2016-12-21,25.02,25.02,24.93,25.02,25.02,25.02,24.93,25.02,20600.0,0.0,1.0,1.0,0.0
2016-12-22,25.51,25.51,24.94,25.03,25.51,25.51,24.94,25.03,31100.0,0.0,1.0,1.0,1.25
2016-12-23,25.03,25.03,24.94,24.94,25.03,25.03,24.94,24.94,26600.0,0.0,1.0,1.0,0.0
2016-12-27,24.98,25.05,24.95,24.95,24.98,25.05,24.95,24.95,8800.0,0.0,1.0,1.0,0.0
2016-12-28,25.05,25.05,24.97,24.98,25.05,25.05,24.97,24.98,9293.0,0.0,1.0,1.0,0.0
2016-12-29,25.0,25.05,24.94,24.99,25.0,25.05,24.94,24.99,10100.0,0.0,1.0,1.0,0.0
2016-12-30,25.04,25.09,24.97,25.01,25.04,25.09,24.97,25.01,23800.0,0.0,1.0,1.0,0.0
2017-01-03,24.98,25.09,24.98,24.99,24.98,25.09,24.98,24.99,16684.0,0.0,1.0,1.0,0.0
2017-01-04,24.99,25.07,24.98,25.07,24.99,25.07,24.98,25.07,2428900.0,0.0,1.0,1.0,0.0
2017-01-05,25.0,25.11,25.0,25.03,25.0,25.11,25.0,25.03,17700.0,0.0,1.0,1.0,60.11
2017-01-06,25.0,25.1,25.0,25.01,25.0,25.1,25.0,25.01,13382.0,0.0,1.0,1.0,0.0
2017-01-09,25.09,25.12,25.03,25.03,25.09,25.12,25.03,25.03,27700.0,0.0,1.0,1.0,0.0
2017-01-10,25.03,25.05,25.02,25.02,25.03,25.05,25.02,25.02,12200.0,0.0,1.0,1.0,0.0
2017-01-11,25.04,25.11,25.03,25.03,25.04,25.11,25.03,25.03,20700.0,0.0,1.0,1.0,0.0
2017-01-12,25.0,25.08,25.0,25.02,25.0,25.08,25.0,25.02,17873.0,0.0,1.0,1.0,0.0
2017-01-13,25.01,25.11,25.01,25.02,25.01,25.11,25.01,25.02,22974.0,0.0,1.0,1.0,0.0
