Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2014-09-17,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,800.0,0.0,1.0,1.0,0.0
2014-09-18,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,1.0,0.0,1.0,1.0,0.0
2014-09-19,20.0,20.02,20.0,20.02,20.0,20.02,20.0,20.02,700.0,0.0,1.0,1.0,0.0
2014-09-22,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,100.0,0.0,1.0,1.0,0.0
2014-09-23,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,1060.0,0.0,1.0,1.0,0.0
2014-09-24,20.12,20.12,20.05,20.12,20.12,20.12,20.05,20.12,7552.0,0.0,1.0,1.0,0.0
2014-09-25,20.11,20.12,20.1,20.1,20.11,20.12,20.1,20.1,2200.0,0.0,1.0,1.0,0.0
2014-09-26,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,1700.0,0.0,1.0,1.0,0.0
2014-09-29,20.07,20.07,20.05,20.05,20.07,20.07,20.05,20.05,360.0,0.0,1.0,1.0,0.0
2014-09-30,20.06,20.14,20.06,20.13,20.06,20.14,20.06,20.13,1850.0,0.0,1.0,1.0,0.0
2014-10-01,20.23,20.27,20.23,20.27,20.23,20.27,20.23,20.27,4054.0,0.0,1.0,1.0,0.0
2014-10-02,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,200.0,0.0,1.0,1.0,0.0
2014-10-03,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,0.0,0.0,1.0,1.0,0.0
2014-10-06,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,0.0,0.0,1.0,1.0,0.0
2014-10-07,20.35,20.39,20.34,20.36,20.35,20.39,20.34,20.36,3589.0,0.0,1.0,1.0,0.0
2014-10-08,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,1.0,0.0,1.0,1.0,0.0
2014-10-09,20.45,20.46,20.35,20.35,20.45,20.46,20.35,20.35,2547.0,0.0,1.0,1.0,0.0
2014-10-10,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,351.0,0.0,1.0,1.0,0.0
2014-10-13,20.52,20.52,20.49,20.49,20.52,20.52,20.49,20.49,271.0,0.0,1.0,1.0,0.0
2014-10-14,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,0.0,0.0,1.0,1.0,0.0
2014-10-15,20.66,20.97,20.66,20.67,20.66,20.97,20.66,20.67,31180.0,0.0,1.0,1.0,0.0
2014-10-16,20.68,20.68,20.66,20.68,20.68,20.68,20.66,20.68,4001.0,0.0,1.0,1.0,0.0
2014-10-17,20.49,20.6,20.49,20.59,20.49,20.6,20.49,20.59,1867.0,0.0,1.0,1.0,0.0
2014-10-20,20.65,20.65,20.62,20.62,20.65,20.65,20.62,20.62,4253.0,0.0,1.0,1.0,0.0
2014-10-21,20.62,20.62,20.55,20.6,20.62,20.62,20.55,20.6,18722.0,0.0,1.0,1.0,0.0
2014-10-22,20.56,20.58,20.55,20.57,20.56,20.58,20.55,20.57,3525.0,0.0,1.0,1.0,3.07
2014-10-23,20.45,20.51,20.45,20.51,20.45,20.51,20.45,20.51,1170.0,0.0,1.0,1.0,0.0
2014-10-24,20.54,20.54,20.54,20.54,20.54,20.54,20.54,20.54,507.0,0.0,1.0,1.0,0.0
2014-10-27,20.56,20.56,20.49,20.49,20.56,20.56,20.49,20.49,4710.0,0.0,1.0,1.0,0.0
2014-10-28,20.48,20.51,20.46,20.51,20.48,20.51,20.46,20.51,1989.0,0.0,1.0,1.0,0.0
2014-10-29,20.4,20.44,20.35,20.35,20.4,20.44,20.35,20.35,5573.0,0.0,1.0,1.0,0.0
2014-10-30,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,11.0,0.0,1.0,1.0,0.0
2014-10-31,20.3,20.31,20.28,20.31,20.3,20.31,20.28,20.31,5425.0,0.0,1.0,1.0,0.0
2014-11-03,20.37,20.37,20.25,20.3,20.37,20.37,20.25,20.3,3144.0,0.05,1.0,1.0,0.0
2014-11-04,20.3,20.3,20.23,20.23,20.3,20.3,20.23,20.23,1019.0,0.0,1.0,1.0,0.0
2014-11-05,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,189.0,0.0,1.0,1.0,0.0
2014-11-06,20.24,20.24,20.23,20.23,20.24,20.24,20.23,20.23,1912.0,0.0,1.0,1.0,0.0
2014-11-07,20.36,20.36,20.35,20.35,20.36,20.36,20.35,20.35,218.0,0.0,1.0,1.0,0.0
2014-11-10,20.42,20.42,20.31,20.33,20.42,20.42,20.31,20.33,4563.0,0.0,1.0,1.0,0.0
2014-11-11,20.34,20.35,20.34,20.34,20.34,20.35,20.34,20.34,2478.0,0.0,1.0,1.0,0.0
2014-11-12,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,0.0,0.0,1.0,1.0,0.0
2014-11-13,20.27,20.27,20.25,20.26,20.27,20.27,20.25,20.26,4463.0,0.0,1.0,1.0,0.0
2014-11-14,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,2498.0,0.0,1.0,1.0,0.0
2014-11-17,20.28,20.28,20.27,20.28,20.28,20.28,20.27,20.28,1815.0,0.0,1.0,1.0,0.0
2014-11-18,20.22,20.23,20.19,20.21,20.22,20.23,20.19,20.21,1159.0,0.0,1.0,1.0,0.0
2014-11-19,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,0.0,0.0,1.0,1.0,0.0
2014-11-20,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,1.0,0.0,1.0,1.0,0.0
2014-11-21,20.29,20.3,20.29,20.3,20.29,20.3,20.29,20.3,8365.0,0.0,1.0,1.0,0.0
2014-11-24,20.32,20.36,20.32,20.36,20.32,20.36,20.32,20.36,994.0,0.0,1.0,1.0,0.0
2014-11-25,20.4,20.4,20.34,20.4,20.4,20.4,20.34,20.4,1833.0,0.0,1.0,1.0,0.0
2014-11-26,20.49,20.49,20.48,20.48,20.49,20.49,20.48,20.48,356.0,0.0,1.0,1.0,0.0
2014-11-28,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,0.0,0.0,1.0,1.0,0.0
2014-12-01,20.46,20.48,20.4,20.4,20.46,20.48,20.4,20.4,15478.0,0.05,1.0,1.0,0.0
2014-12-02,20.39,20.39,20.35,20.37,20.39,20.39,20.35,20.37,728.0,0.0,1.0,1.0,0.0
2014-12-03,20.35,20.36,20.32,20.36,20.35,20.36,20.32,20.36,3947.0,0.0,1.0,1.0,0.0
2014-12-04,20.35,20.4,20.35,20.4,20.35,20.4,20.35,20.4,2083.0,0.0,1.0,1.0,0.0
2014-12-05,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,0.0,0.0,1.0,1.0,0.0
2014-12-08,20.37,20.42,20.31,20.42,20.37,20.42,20.31,20.42,12838.0,0.0,1.0,1.0,0.0
2014-12-09,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,558.0,0.0,1.0,1.0,0.0
2014-12-10,20.4,20.46,20.4,20.46,20.4,20.46,20.4,20.46,4515.0,0.0,1.0,1.0,0.0
2014-12-11,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,127.0,0.0,1.0,1.0,0.0
2014-12-12,20.52,20.52,20.46,20.5,20.52,20.52,20.46,20.5,7562.0,0.0,1.0,1.0,0.0
2014-12-15,20.45,20.5,20.45,20.46,20.45,20.5,20.45,20.46,795.0,0.0,1.0,1.0,0.0
2014-12-16,20.43,20.46,20.43,20.46,20.43,20.46,20.43,20.46,1075.0,0.0,1.0,1.0,0.0
2014-12-17,20.39,20.39,20.36,20.36,20.39,20.39,20.36,20.36,1136.0,0.0,1.0,1.0,0.0
2014-12-18,20.35,20.36,20.3,20.35,20.35,20.36,20.3,20.35,5259.0,0.0,1.0,1.0,0.0
2014-12-19,20.42,20.44,20.36,20.39,20.42,20.44,20.36,20.39,6310.0,0.0,1.0,1.0,0.0
2014-12-22,20.4,20.41,20.36,20.41,20.4,20.41,20.36,20.41,3528.0,0.0,1.0,1.0,0.0
2014-12-23,20.49,20.49,20.29,20.36,20.49,20.49,20.29,20.36,4219.0,0.0,1.0,1.0,0.0
2014-12-24,20.3,20.34,20.23,20.33,20.3,20.34,20.23,20.33,4287.0,0.0,1.0,1.0,0.0
2014-12-26,20.5,20.5,20.36,20.38,20.5,20.5,20.36,20.38,2707.0,0.0,1.0,1.0,0.0
2014-12-29,20.4,20.42,20.34,20.36,20.4,20.42,20.34,20.36,7591.0,0.06,1.0,1.0,0.0
2014-12-30,20.5,20.53,20.5,20.53,20.5,20.53,20.5,20.53,3609.0,0.0,1.0,1.0,0.0
2014-12-31,20.41,20.42,20.4,20.4,20.41,20.42,20.4,20.4,900.0,0.0,1.0,1.0,0.0
2015-01-02,20.54,20.6,20.54,20.58,20.54,20.6,20.54,20.58,3169.0,0.0,1.0,1.0,0.0
2015-01-05,20.51,20.68,20.51,20.65,20.51,20.68,20.51,20.65,1365.0,0.0,1.0,1.0,0.0
2015-01-06,20.75,20.86,20.58,20.74,20.75,20.86,20.58,20.74,15293.0,0.0,1.0,1.0,0.0
2015-01-07,20.65,20.68,20.58,20.68,20.65,20.68,20.58,20.68,3574.0,0.0,1.0,1.0,0.0
2015-01-08,20.6,20.69,20.55,20.61,20.6,20.69,20.55,20.61,9546.0,0.0,1.0,1.0,0.0
2015-01-09,20.59,20.79,20.59,20.65,20.59,20.79,20.59,20.65,22210.0,0.0,1.0,1.0,0.0
2015-01-12,20.72,20.78,20.72,20.78,20.72,20.78,20.72,20.78,3259.0,0.0,1.0,1.0,0.0
2015-01-13,20.75,20.83,20.72,20.83,20.75,20.83,20.72,20.83,4762.0,0.0,1.0,1.0,0.0
2015-01-14,20.98,20.98,20.79,20.86,20.98,20.98,20.79,20.86,10448.0,0.0,1.0,1.0,0.0
2015-01-15,20.85,20.97,20.85,20.92,20.85,20.97,20.85,20.92,6098.0,0.0,1.0,1.0,0.0
2015-01-16,20.93,20.98,20.8,20.8,20.93,20.98,20.8,20.8,2830.0,0.0,1.0,1.0,0.0
2015-01-20,20.92,20.92,20.85,20.91,20.92,20.92,20.85,20.91,12051.0,0.0,1.0,1.0,0.0
2015-01-21,20.9,20.91,20.79,20.79,20.9,20.91,20.79,20.79,4572.0,0.0,1.0,1.0,0.0
2015-01-22,20.79,20.79,20.79,20.79,20.79,20.79,20.79,20.79,8432.0,0.0,1.0,1.0,0.0
2015-01-23,20.93,20.93,20.91,20.91,20.93,20.93,20.91,20.91,2137.0,0.0,1.0,1.0,0.0
2015-01-26,20.9,20.95,20.88,20.95,20.9,20.95,20.88,20.95,4950.0,0.0,1.0,1.0,3.12
2015-01-27,21.07,21.07,20.98,21.02,21.07,21.07,20.98,21.02,17313.0,0.0,1.0,1.0,0.0
2015-01-28,21.03,21.08,20.98,21.07,21.03,21.08,20.98,21.07,9289.0,0.0,1.0,1.0,0.0
2015-01-29,21.16,21.16,21.0,21.09,21.16,21.16,21.0,21.09,9999.0,0.0,1.0,1.0,0.0
2015-01-30,21.19,21.23,21.0,21.19,21.19,21.23,21.0,21.19,11776.0,0.0,1.0,1.0,0.0
2015-02-02,21.14,21.19,21.06,21.19,21.14,21.19,21.06,21.19,7218.0,0.04,1.0,1.0,0.0
2015-02-03,21.05,21.05,20.95,21.0,21.05,21.05,20.95,21.0,12513.0,0.0,1.0,1.0,0.0
2015-02-04,21.05,21.12,20.92,21.12,21.05,21.12,20.92,21.12,16141.0,0.0,1.0,1.0,0.0
2015-02-05,21.08,21.08,21.0,21.0,21.08,21.08,21.0,21.0,6042.0,0.0,1.0,1.0,0.0
2015-02-06,20.98,20.98,20.81,20.82,20.98,20.98,20.81,20.82,12721.0,0.0,1.0,1.0,0.0
2015-02-09,20.9,21.04,20.82,20.88,20.9,21.04,20.82,20.88,16863.0,0.0,1.0,1.0,0.0
2015-02-10,20.89,20.89,20.86,20.89,20.89,20.89,20.86,20.89,6263.0,0.0,1.0,1.0,0.0
2015-02-11,20.82,20.9,20.82,20.84,20.82,20.9,20.82,20.84,90869.0,0.0,1.0,1.0,0.0
2015-02-12,20.84,20.96,20.81,20.91,20.84,20.96,20.81,20.91,3941.0,0.0,1.0,1.0,0.0
2015-02-13,22.0,22.0,20.84,20.92,22.0,22.0,20.84,20.92,8708.0,0.0,1.0,1.0,0.0
2015-02-17,20.82,20.82,20.72,20.75,20.82,20.82,20.72,20.75,8556.0,0.0,1.0,1.0,0.0
2015-02-18,20.79,20.79,20.62,20.78,20.79,20.79,20.62,20.78,8774.0,0.0,1.0,1.0,0.0
2015-02-19,21.84,21.84,20.78,20.87,21.84,21.84,20.78,20.87,6993.0,0.0,1.0,1.0,3.1
