Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2014-12-09,95.56,95.61,95.56,95.59,95.56,95.61,95.56,95.59,,,1.0,1.0,0.0
2014-12-10,94.74,95.06,94.55,95.06,94.74,95.06,94.55,95.06,,,1.0,1.0,71.8
2014-12-11,94.36,94.55,94.36,94.55,94.36,94.55,94.36,94.55,2900.0,0.0,1.0,1.0,0.0
2014-12-12,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,0.0,0.0,1.0,1.0,0.0
2014-12-15,92.18,92.2,92.14,92.14,92.18,92.2,92.14,92.14,1200.0,0.0,1.0,1.0,0.0
2014-12-16,92.21,92.21,92.13,92.13,92.21,92.21,92.13,92.13,1000.0,0.0,1.0,1.0,0.0
2014-12-17,91.55,92.66,91.55,92.55,91.55,92.66,91.55,92.55,7384.0,0.0,1.0,1.0,0.0
2014-12-18,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,0.0,0.0,1.0,1.0,0.0
2014-12-19,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,0.0,0.0,1.0,1.0,0.0
2014-12-22,96.06,96.06,95.45,95.54,96.06,96.06,95.45,95.54,1100.0,0.0,1.0,1.0,0.0
2014-12-23,96.58,96.58,96.58,96.58,96.58,96.58,96.58,96.58,585.0,0.0,1.0,1.0,0.0
2014-12-24,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18,170.0,0.0,1.0,1.0,0.0
2014-12-26,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18,0.0,0.0,1.0,1.0,0.0
2014-12-29,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,980.0,0.0,1.0,1.0,0.0
2014-12-30,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,5.0,0.0,1.0,1.0,0.0
2014-12-31,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,0.0,0.0,1.0,1.0,0.0
2015-01-02,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,150.0,0.0,1.0,1.0,0.0
2015-01-05,93.48,93.48,93.48,93.48,93.48,93.48,93.48,93.48,181.0,0.0,1.0,1.0,0.0
2015-01-06,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,100.0,0.0,1.0,1.0,0.0
2015-01-07,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,16.0,0.0,1.0,1.0,0.0
2015-01-08,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,0.0,0.0,1.0,1.0,0.0
2015-01-09,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,0.0,0.0,1.0,1.0,0.0
2015-01-12,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,150.0,0.0,1.0,1.0,0.0
2015-01-13,94.15,94.15,94.06,94.06,94.15,94.15,94.06,94.06,355.0,0.0,1.0,1.0,0.0
2015-01-14,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,200.0,0.0,1.0,1.0,0.0
2015-01-15,93.1,93.1,93.06,93.06,93.1,93.1,93.06,93.06,200.0,0.0,1.0,1.0,0.0
2015-01-16,93.12,93.12,93.12,93.12,93.12,93.12,93.12,93.12,100.0,0.0,1.0,1.0,0.0
2015-01-20,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,1000.0,0.0,1.0,1.0,0.0
2015-01-21,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,200.0,0.0,1.0,1.0,0.0
2015-01-22,94.64,95.21,94.64,95.21,94.64,95.21,94.64,95.21,4496.0,0.0,1.0,1.0,0.0
2015-01-23,95.47,95.47,95.41,95.41,95.47,95.47,95.41,95.41,557.0,0.0,1.0,1.0,0.0
2015-01-26,96.12,96.12,96.12,96.12,96.12,96.12,96.12,96.12,251.0,0.0,1.0,1.0,0.0
2015-01-27,95.43,95.62,95.43,95.62,95.43,95.62,95.43,95.62,1100.0,0.0,1.0,1.0,0.0
2015-01-28,95.18,95.23,94.87,94.87,95.18,95.23,94.87,94.87,1200.0,0.0,1.0,1.0,0.0
2015-01-29,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,100.0,0.0,1.0,1.0,0.0
2015-01-30,93.77,93.77,93.77,93.77,93.77,93.77,93.77,93.77,551.0,0.0,1.0,1.0,0.0
2015-02-02,93.05,94.22,92.85,94.22,93.05,94.22,92.85,94.22,500.0,0.0,1.0,1.0,0.0
2015-02-03,95.46,95.46,95.46,95.46,95.46,95.46,95.46,95.46,200.0,0.0,1.0,1.0,0.0
2015-02-04,95.46,95.46,95.46,95.46,95.46,95.46,95.46,95.46,0.0,0.0,1.0,1.0,0.0
2015-02-05,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,200.0,0.0,1.0,1.0,0.0
2015-02-06,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,0.0,0.0,1.0,1.0,0.0
2015-02-09,95.63,95.63,95.63,95.63,95.63,95.63,95.63,95.63,300.0,0.0,1.0,1.0,0.0
2015-02-10,95.63,95.63,95.63,95.63,95.63,95.63,95.63,95.63,0.0,0.0,1.0,1.0,0.0
2015-02-11,95.53,95.53,95.52,95.52,95.53,95.53,95.52,95.52,400.0,0.0,1.0,1.0,0.0
2015-02-12,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,160.0,0.0,1.0,1.0,0.0
2015-02-13,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,0.0,0.0,1.0,1.0,0.0
2015-02-17,98.31,98.31,98.31,98.31,98.31,98.31,98.31,98.31,300.0,0.0,1.0,1.0,0.0
