Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2016-06-02,25.08,25.08,25.03,25.03,25.08,25.08,25.03,25.03,7113.0,0.0,1.0,1.0,0.0
2016-06-03,25.17,25.24,25.17,25.24,25.17,25.24,25.17,25.24,13700.0,0.0,1.0,1.0,0.0
2016-06-06,25.31,25.31,25.31,25.31,25.31,25.31,25.31,25.31,1300.0,0.0,1.0,1.0,0.0
2016-06-07,25.34,25.38,25.32,25.32,25.34,25.38,25.32,25.32,1000.0,0.0,1.0,1.0,0.0
2016-06-08,25.45,25.57,25.45,25.48,25.45,25.57,25.45,25.48,129714.0,0.0,1.0,1.0,0.0
2016-06-09,25.42,25.6,25.42,25.42,25.42,25.6,25.42,25.42,5394.0,0.0,1.0,1.0,0.0
2016-06-10,25.39,25.39,25.34,25.37,25.39,25.39,25.34,25.37,9478.0,0.0,1.0,1.0,0.0
2016-06-13,26.3,26.3,25.34,25.34,26.3,26.3,25.34,25.34,3300.0,0.0,1.0,1.0,0.0
2016-06-14,25.88,25.88,25.24,25.27,25.88,25.88,25.24,25.27,1900.0,0.0,1.0,1.0,0.0
2016-06-15,25.32,25.37,25.31,25.37,25.32,25.37,25.31,25.37,9600.0,0.0,1.0,1.0,0.0
2016-06-16,25.34,25.34,25.33,25.34,25.34,25.34,25.33,25.34,1000.0,0.0,1.0,1.0,0.0
2016-06-17,25.4,25.45,25.36,25.45,25.4,25.45,25.36,25.45,432589.0,0.0,1.0,1.0,0.0
2016-06-20,25.52,25.53,25.5,25.52,25.52,25.53,25.5,25.52,9100.0,0.0,1.0,1.0,10.17
2016-06-21,25.46,25.52,25.44,25.52,25.46,25.52,25.44,25.52,15600.0,0.0,1.0,1.0,0.0
2016-06-22,25.6,25.6,25.54,25.56,25.6,25.6,25.54,25.56,20200.0,0.0,1.0,1.0,0.0
2016-06-23,25.63,25.63,25.6,25.6,25.63,25.63,25.6,25.6,5687.0,0.0,1.0,1.0,0.0
2016-06-24,24.4,25.5,24.4,25.36,24.4,25.5,24.4,25.36,6478.0,0.0,1.0,1.0,0.0
2016-06-27,25.51,25.51,25.36,25.4,25.51,25.51,25.36,25.4,7784.0,0.0,1.0,1.0,0.0
2016-06-28,25.52,25.58,25.52,25.56,25.52,25.58,25.52,25.56,3962.0,0.0,1.0,1.0,0.0
2016-06-29,25.63,25.7,25.63,25.7,25.63,25.7,25.63,25.7,6377.0,0.0,1.0,1.0,0.0
2016-06-30,25.73,25.75,25.7,25.75,25.73,25.75,25.7,25.75,1959.0,0.0,1.0,1.0,0.0
2016-07-01,25.84,25.85,25.8,25.82,25.84,25.85,25.8,25.82,11900.0,0.0,1.0,1.0,0.0
2016-07-05,25.84,25.85,25.68,25.7,25.84,25.85,25.68,25.7,9500.0,0.0,1.0,1.0,0.0
2016-07-06,25.77,25.77,25.7,25.75,25.77,25.77,25.7,25.75,6800.0,0.0,1.0,1.0,0.0
2016-07-07,25.76,25.77,25.74,25.74,25.76,25.77,25.74,25.74,2900.0,0.0,1.0,1.0,0.64
