Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2017-08-09,19.93,19.96,19.92,19.93,19.93,19.96,19.92,19.93,10400.0,0.0,1.0,1.0,0.0
2017-08-10,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,271.0,0.0,1.0,1.0,0.0
2017-08-11,19.87,19.87,19.8,19.8,19.87,19.87,19.8,19.8,3000.0,0.0,1.0,1.0,0.0
2017-08-14,19.94,19.94,19.94,19.94,19.94,19.94,19.94,19.94,151.0,0.0,1.0,1.0,0.0
2017-08-15,19.89,19.94,19.89,19.94,19.89,19.94,19.89,19.94,300.0,0.0,1.0,1.0,0.0
2017-08-16,19.98,19.98,19.95,19.95,19.98,19.98,19.95,19.95,386.0,0.0,1.0,1.0,0.0
2017-08-17,19.82,19.82,19.72,19.72,19.82,19.82,19.72,19.72,5190.0,0.0,1.0,1.0,0.0
2017-08-18,19.65,19.69,19.61,19.66,19.65,19.69,19.61,19.66,900.0,0.0,1.0,1.0,0.0
2017-08-21,19.61,19.61,19.61,19.61,19.61,19.61,19.61,19.61,100.0,0.0,1.0,1.0,0.0
2017-08-22,19.61,19.61,19.61,19.61,19.61,19.61,19.61,19.61,0.0,0.0,1.0,1.0,0.0
2017-08-23,19.72,19.72,19.72,19.72,19.72,19.72,19.72,19.72,400.0,0.0,1.0,1.0,0.0
2017-08-24,19.72,19.72,19.72,19.72,19.72,19.72,19.72,19.72,150.0,0.0,1.0,1.0,0.0
2017-08-25,19.78,19.78,19.78,19.78,19.78,19.78,19.78,19.78,150.0,0.0,1.0,1.0,0.0
2017-08-28,19.78,19.78,19.78,19.78,19.78,19.78,19.78,19.78,0.0,0.0,1.0,1.0,0.0
2017-08-29,19.78,19.78,19.78,19.78,19.78,19.78,19.78,19.78,0.0,0.0,1.0,1.0,0.0
2017-08-30,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,500.0,0.0,1.0,1.0,0.0
2017-08-31,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,0.0,0.0,1.0,1.0,0.0
2017-09-01,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,0.0,0.0,1.0,1.0,0.0
2017-09-05,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,0.0,0.0,1.0,1.0,0.0
2017-09-06,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,0.0,0.0,1.0,1.0,0.0
2017-09-07,19.8,19.8,19.74,19.74,19.8,19.8,19.74,19.74,500.0,0.0,1.0,1.0,0.0
2017-09-08,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2017-09-11,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2017-09-12,20.07,20.07,20.01,20.05,20.07,20.07,20.01,20.05,863.0,0.0,1.0,1.0,0.0
2017-09-13,20.09,20.09,20.05,20.09,20.09,20.09,20.05,20.09,7291.0,0.0,1.0,1.0,0.0
2017-09-14,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,300.0,0.0,1.0,1.0,1.0
2017-09-15,20.18,20.21,20.18,20.2,20.18,20.21,20.18,20.2,3300.0,0.0,1.0,1.0,-1.01
2017-09-18,20.17,20.28,20.17,20.26,20.17,20.28,20.17,20.26,1500.0,0.0,1.0,1.0,0.0
2017-09-19,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,2200.0,0.0,1.0,1.0,0.0
2017-09-20,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,1359.0,0.0,1.0,1.0,0.0
2017-09-21,20.27,20.27,20.27,20.27,20.27,20.27,20.27,20.27,1066.0,0.05,1.0,1.0,0.0
2017-09-22,20.27,20.27,20.27,20.27,20.27,20.27,20.27,20.27,0.0,0.0,1.0,1.0,0.0
2017-09-25,20.23,20.23,20.22,20.22,20.23,20.23,20.22,20.22,894.0,0.0,1.0,1.0,0.0
2017-09-26,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,0.0,0.0,1.0,1.0,0.0
2017-09-27,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,500.0,0.0,1.0,1.0,0.0
2017-09-28,20.25,20.25,20.23,20.23,20.25,20.25,20.23,20.23,685.0,0.0,1.0,1.0,0.0
2017-09-29,20.3,20.3,20.19,20.25,20.3,20.3,20.19,20.25,4058.0,0.0,1.0,1.0,0.0
2017-10-02,20.33,20.39,20.33,20.38,20.33,20.39,20.33,20.38,1200.0,0.0,1.0,1.0,0.0
2017-10-03,20.43,20.47,20.43,20.46,20.43,20.47,20.43,20.46,6186.0,0.0,1.0,1.0,0.0
2017-10-04,20.5,20.51,20.48,20.49,20.5,20.51,20.48,20.49,1564.0,0.0,1.0,1.0,0.0
2017-10-05,20.53,20.58,20.49,20.58,20.53,20.58,20.49,20.58,5300.0,0.0,1.0,1.0,0.0
2017-10-06,20.6,20.6,20.56,20.57,20.6,20.6,20.56,20.57,654.0,0.0,1.0,1.0,0.0
2017-10-09,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,0.0,0.0,1.0,1.0,0.0
2017-10-10,20.61,20.63,20.61,20.63,20.61,20.63,20.61,20.63,1289.0,0.0,1.0,1.0,0.0
2017-10-11,20.6,20.65,20.6,20.65,20.6,20.65,20.6,20.65,1300.0,0.0,1.0,1.0,0.0
2017-10-12,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,0.0,0.0,1.0,1.0,0.0
2017-10-13,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,160.0,0.0,1.0,1.0,0.0
2017-10-16,20.71,20.71,20.66,20.71,20.71,20.71,20.66,20.71,2052.0,0.0,1.0,1.0,0.0
2017-10-17,20.72,20.75,20.72,20.75,20.72,20.75,20.72,20.75,699.0,0.0,1.0,1.0,0.0
2017-10-18,20.83,20.83,20.82,20.82,20.83,20.83,20.82,20.82,200.0,0.0,1.0,1.0,0.0
2017-10-19,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,100.0,0.0,1.0,1.0,0.0
2017-10-20,20.93,21.0,20.93,21.0,20.93,21.0,20.93,21.0,1193.0,0.0,1.0,1.0,0.0
2017-10-23,21.04,21.04,20.99,20.99,21.04,21.04,20.99,20.99,900.0,0.0,1.0,1.0,0.0
2017-10-24,21.05,21.09,21.05,21.09,21.05,21.09,21.05,21.09,400.0,0.0,1.0,1.0,0.0
2017-10-25,21.05,21.05,20.9,20.95,21.05,21.05,20.9,20.95,1881.0,0.0,1.0,1.0,0.0
2017-10-26,20.94,21.1,20.94,21.1,20.94,21.1,20.94,21.1,3689.0,0.0,1.0,1.0,0.0
2017-10-27,21.05,21.11,21.05,21.09,21.05,21.11,21.05,21.09,34857.0,0.0,1.0,1.0,0.0
2017-10-30,21.09,21.09,21.09,21.09,21.09,21.09,21.09,21.09,0.0,0.0,1.0,1.0,0.0
2017-10-31,20.87,21.0,20.87,20.95,20.87,21.0,20.87,20.95,1076.0,0.0,1.0,1.0,0.0
2017-11-01,21.07,21.08,21.05,21.05,21.07,21.08,21.05,21.05,4755.0,0.0,1.0,1.0,0.0
2017-11-02,21.14,21.14,21.01,21.08,21.14,21.14,21.01,21.08,5500.0,0.0,1.0,1.0,0.0
2017-11-03,21.09,21.14,21.09,21.12,21.09,21.14,21.09,21.12,1975.0,0.0,1.0,1.0,0.0
2017-11-06,21.12,21.12,21.09,21.09,21.12,21.12,21.09,21.09,3700.0,0.0,1.0,1.0,0.0
2017-11-07,21.08,21.11,21.07,21.11,21.08,21.11,21.07,21.11,1000.0,0.0,1.0,1.0,0.0
2017-11-08,21.11,21.14,21.11,21.14,21.11,21.14,21.11,21.14,1300.0,0.0,1.0,1.0,0.0
2017-11-09,20.98,21.04,20.97,21.04,20.98,21.04,20.97,21.04,1200.0,0.0,1.0,1.0,0.0
2017-11-10,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,0.0,0.0,1.0,1.0,0.0
2017-11-13,21.03,21.07,21.03,21.03,21.03,21.07,21.03,21.03,971.0,0.0,1.0,1.0,0.0
2017-11-14,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,100.0,0.0,1.0,1.0,0.0
2017-11-15,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,100.0,0.0,1.0,1.0,0.0
2017-11-16,21.05,21.1,21.04,21.1,21.05,21.1,21.04,21.1,898.0,0.0,1.0,1.0,0.0
2017-11-17,21.0,21.02,21.0,21.02,21.0,21.02,21.0,21.02,300.0,0.0,1.0,1.0,0.0
2017-11-20,21.02,21.02,21.02,21.02,21.02,21.02,21.02,21.02,900.0,0.0,1.0,1.0,0.0
2017-11-21,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,100.0,0.0,1.0,1.0,0.0
2017-11-22,21.18,21.18,21.14,21.17,21.18,21.18,21.14,21.17,770.0,0.0,1.0,1.0,0.0
2017-11-24,21.17,21.17,21.17,21.17,21.17,21.17,21.17,21.17,0.0,0.0,1.0,1.0,0.0
2017-11-27,21.17,21.17,21.17,21.17,21.17,21.17,21.17,21.17,167.0,0.0,1.0,1.0,0.0
2017-11-28,21.32,21.44,21.32,21.44,21.32,21.44,21.32,21.44,5360.0,0.0,1.0,1.0,0.0
2017-11-29,21.5,21.5,21.49,21.49,21.5,21.5,21.49,21.49,550.0,0.0,1.0,1.0,0.0
2017-11-30,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,0.0,0.0,1.0,1.0,0.0
2017-12-01,21.68,21.68,21.66,21.66,21.68,21.68,21.66,21.66,200.0,0.0,1.0,1.0,0.0
2017-12-04,21.91,21.91,21.78,21.78,21.91,21.91,21.78,21.78,1375.0,0.0,1.0,1.0,0.0
2017-12-05,21.89,21.89,21.67,21.67,21.89,21.89,21.67,21.67,3264.0,0.0,1.0,1.0,0.0
2017-12-06,21.67,21.67,21.62,21.62,21.67,21.67,21.62,21.62,400.0,0.0,1.0,1.0,0.0
2017-12-07,21.6,21.63,21.6,21.6,21.6,21.63,21.6,21.6,2561.0,0.0,1.0,1.0,0.0
2017-12-08,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,0.0,0.0,1.0,1.0,0.0
2017-12-11,21.81,21.81,21.81,21.81,21.81,21.81,21.81,21.81,100.0,0.0,1.0,1.0,0.0
2017-12-12,21.97,21.97,21.95,21.95,21.97,21.97,21.95,21.95,2500.0,0.0,1.0,1.0,0.0
2017-12-13,22.02,22.06,22.0,22.03,22.02,22.06,22.0,22.03,10694.0,0.0,1.0,1.0,0.0
2017-12-14,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,0.0,0.0,1.0,1.0,1.1
2017-12-15,22.1,22.1,22.09,22.09,22.1,22.1,22.09,22.09,2680.0,0.0,1.0,1.0,-1.1
2017-12-18,22.25,22.27,22.23,22.23,22.25,22.27,22.23,22.23,2100.0,0.0,1.0,1.0,0.0
2017-12-19,22.2,22.23,22.17,22.22,22.2,22.23,22.17,22.22,9271.0,0.0,1.0,1.0,0.0
2017-12-20,22.2,22.21,22.17,22.17,22.2,22.21,22.17,22.17,1300.0,0.0,1.0,1.0,0.0
2017-12-21,22.12,22.14,22.09,22.11,22.12,22.14,22.09,22.11,5059.0,0.12,1.0,1.0,0.0
2017-12-22,22.07,22.07,22.04,22.04,22.07,22.07,22.04,22.04,500.0,0.0,1.0,1.0,0.0
2017-12-26,22.03,22.05,22.03,22.04,22.03,22.05,22.03,22.04,1000.0,0.0,1.0,1.0,0.0
2017-12-27,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,0.0,0.0,1.0,1.0,0.0
2017-12-28,22.12,22.13,22.1,22.12,22.12,22.13,22.1,22.12,7600.0,0.0,1.0,1.0,0.0
2017-12-29,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,451.0,0.0,1.0,1.0,0.0
2018-01-02,22.13,22.13,22.1,22.13,22.13,22.13,22.1,22.13,9175.0,0.0,1.0,1.0,0.0
2018-01-03,22.15,22.24,22.15,22.24,22.15,22.24,22.15,22.24,900.0,0.0,1.0,1.0,0.0
2018-01-04,22.36,22.37,22.36,22.37,22.36,22.37,22.36,22.37,700.0,0.0,1.0,1.0,0.0
2018-01-05,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,0.0,0.0,1.0,1.0,0.0
2018-01-08,22.5,22.54,22.5,22.54,22.5,22.54,22.5,22.54,500.0,0.0,1.0,1.0,0.0
2018-01-09,22.56,22.6,22.52,22.6,22.56,22.6,22.52,22.6,1300.0,0.0,1.0,1.0,0.0
2018-01-10,22.5,22.54,22.47,22.52,22.5,22.54,22.47,22.52,5051.0,0.0,1.0,1.0,0.0
2018-01-11,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,200.0,0.0,1.0,1.0,0.0
2018-01-12,22.8,22.82,22.8,22.8,22.8,22.82,22.8,22.8,750.0,0.0,1.0,1.0,0.0
2018-01-16,23.04,23.04,22.8,22.8,23.04,23.04,22.8,22.8,1300.0,0.0,1.0,1.0,0.0
2018-01-17,22.95,23.04,22.95,23.04,22.95,23.04,22.95,23.04,300.0,0.0,1.0,1.0,0.0
2018-01-18,23.02,23.02,22.96,22.98,23.02,23.02,22.96,22.98,3484.0,0.0,1.0,1.0,0.0
2018-01-19,22.94,22.95,22.92,22.95,22.94,22.95,22.92,22.95,1200.0,0.0,1.0,1.0,0.0
2018-01-22,22.96,23.09,22.96,23.06,22.96,23.09,22.96,23.06,1165.0,0.0,1.0,1.0,0.0
2018-01-23,23.21,23.21,23.14,23.14,23.21,23.21,23.14,23.14,859.0,0.0,1.0,1.0,0.0
2018-01-24,23.28,23.35,23.17,23.23,23.28,23.35,23.17,23.23,3200.0,0.0,1.0,1.0,0.0
2018-01-25,23.24,23.32,23.23,23.25,23.24,23.32,23.23,23.25,1300.0,0.0,1.0,1.0,0.0
2018-01-26,23.35,23.41,23.35,23.41,23.35,23.41,23.35,23.41,700.0,0.0,1.0,1.0,0.0
2018-01-29,23.5,23.5,23.46,23.46,23.5,23.5,23.46,23.46,674.0,0.0,1.0,1.0,0.0
2018-01-30,23.2,23.2,23.07,23.1,23.2,23.2,23.07,23.1,4075.0,0.0,1.0,1.0,0.0
2018-01-31,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,100.0,0.0,1.0,1.0,0.0
2018-02-01,23.08,23.16,23.02,23.05,23.08,23.16,23.02,23.05,5091.0,0.0,1.0,1.0,0.0
2018-02-02,22.81,22.85,22.56,22.56,22.81,22.85,22.56,22.56,13482.0,0.0,1.0,1.0,0.0
2018-02-05,22.26,22.4,21.32,21.64,22.26,22.4,21.32,21.64,21600.0,0.0,1.0,1.0,0.0
2018-02-06,19.75,21.84,19.75,21.77,19.75,21.84,19.75,21.77,2886.0,0.0,1.0,1.0,0.0
2018-02-07,21.96,22.24,21.96,21.97,21.96,22.24,21.96,21.97,2591.0,0.0,1.0,1.0,1.1
2018-02-08,21.8,21.8,21.2,21.2,21.8,21.8,21.2,21.2,6400.0,0.0,1.0,1.0,0.0
2018-02-09,21.16,21.27,20.86,21.27,21.16,21.27,20.86,21.27,4262.0,0.0,1.0,1.0,0.0
2018-02-12,21.63,21.77,21.57,21.77,21.63,21.77,21.57,21.77,2100.0,0.0,1.0,1.0,0.0
2018-02-13,21.77,21.77,21.77,21.77,21.77,21.77,21.77,21.77,0.0,0.0,1.0,1.0,0.0
2018-02-14,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,500.0,0.0,1.0,1.0,0.0
2018-02-15,22.08,22.14,22.08,22.08,22.08,22.14,22.08,22.08,1871.0,0.0,1.0,1.0,0.0
2018-02-16,22.26,22.42,22.22,22.27,22.26,22.42,22.22,22.27,10572.0,0.0,1.0,1.0,0.0
