Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2013-11-07,25.25,25.25,24.85,24.85,25.25,25.25,24.85,24.85,1600.0,0.0,1.0,1.0,0.0
2013-11-08,24.8,24.8,24.75,24.75,24.8,24.8,24.75,24.75,1300.0,0.0,1.0,1.0,7.47
2013-11-11,24.61,24.61,24.59,24.61,24.61,24.61,24.59,24.61,4300.0,0.0,1.0,1.0,0.0
2013-11-12,24.55,24.56,24.38,24.38,24.55,24.56,24.38,24.38,4400.0,0.0,1.0,1.0,0.0
2013-11-13,24.34,24.48,24.3,24.48,24.34,24.48,24.3,24.48,1200.0,0.0,1.0,1.0,0.0
2013-11-14,24.73,24.92,24.73,24.9,24.73,24.92,24.73,24.9,2900.0,0.0,1.0,1.0,0.0
2013-11-15,24.9,25.14,24.9,25.02,24.9,25.14,24.9,25.02,7200.0,0.0,1.0,1.0,2.45
2013-11-18,25.13,25.28,25.05,25.05,25.13,25.28,25.05,25.05,5100.0,0.0,1.0,1.0,0.0
2013-11-19,25.09,25.09,24.96,24.96,25.09,25.09,24.96,24.96,2400.0,0.0,1.0,1.0,0.0
2013-11-20,24.95,25.03,24.65,24.69,24.95,25.03,24.65,24.69,8000.0,0.0,1.0,1.0,0.0
2013-11-21,24.68,24.74,24.68,24.73,24.68,24.74,24.68,24.73,800.0,0.0,1.0,1.0,0.0
2013-11-22,24.66,24.66,24.65,24.65,24.66,24.66,24.65,24.65,1600.0,0.0,1.0,1.0,0.0
2013-11-25,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,770.0,0.0,1.0,1.0,0.0
2013-11-26,24.46,24.46,24.4,24.4,24.46,24.46,24.4,24.4,1500.0,0.0,1.0,1.0,0.0
2013-11-27,24.5,24.58,24.49,24.55,24.5,24.58,24.49,24.55,5500.0,0.0,1.0,1.0,0.0
2013-11-29,24.72,24.83,24.72,24.74,24.72,24.83,24.72,24.74,300.0,0.0,1.0,1.0,0.0
2013-12-02,24.81,24.81,24.54,24.54,24.81,24.81,24.54,24.54,17400.0,0.0,1.0,1.0,0.0
2013-12-03,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,100.0,0.0,1.0,1.0,0.0
2013-12-04,24.14,24.2,24.14,24.18,24.14,24.2,24.14,24.18,500.0,0.0,1.0,1.0,0.0
2013-12-05,24.24,24.25,24.24,24.25,24.24,24.25,24.24,24.25,2000.0,0.0,1.0,1.0,0.0
2013-12-06,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.62,100.0,0.0,1.0,1.0,0.0
2013-12-09,24.65,24.67,24.65,24.66,24.65,24.67,24.65,24.66,690.0,0.0,1.0,1.0,0.0
2013-12-10,24.63,24.72,24.63,24.68,24.63,24.72,24.63,24.68,7100.0,0.0,1.0,1.0,0.0
2013-12-11,24.56,24.58,24.51,24.51,24.56,24.58,24.51,24.51,2200.0,0.0,1.0,1.0,2.44
2013-12-12,24.24,24.24,24.23,24.23,24.24,24.24,24.23,24.23,1300.0,0.0,1.0,1.0,0.0
2013-12-13,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.29,180.0,0.0,1.0,1.0,0.0
2013-12-16,24.51,24.53,24.42,24.49,24.51,24.53,24.42,24.49,2100.0,0.0,1.0,1.0,0.0
2013-12-17,24.38,24.41,24.37,24.37,24.38,24.41,24.37,24.37,400.0,0.0,1.0,1.0,0.0
2013-12-18,24.33,24.83,24.25,24.66,24.33,24.83,24.25,24.66,1100.0,0.0,1.0,1.0,0.0
2013-12-19,24.2,24.35,24.2,24.35,24.2,24.35,24.2,24.35,800.0,0.0,1.0,1.0,0.0
2013-12-20,24.33,24.37,24.33,24.37,24.33,24.37,24.33,24.37,780.0,0.0,1.0,1.0,0.0
2013-12-23,24.42,24.42,24.34,24.36,24.42,24.42,24.34,24.36,860.0,0.0,1.0,1.0,0.0
2013-12-24,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.42,300.0,0.0,1.0,1.0,0.0
2013-12-26,24.4,24.4,24.25,24.28,24.4,24.4,24.25,24.28,900.0,0.0,1.0,1.0,0.0
2013-12-27,24.33,24.33,24.23,24.23,24.33,24.33,24.23,24.23,1900.0,0.05,1.0,1.0,0.0
2013-12-30,24.5,24.57,24.5,24.52,24.5,24.57,24.5,24.52,6400.0,0.0,1.0,1.0,0.0
2013-12-31,24.53,24.53,24.42,24.43,24.53,24.53,24.42,24.43,13100.0,0.0,1.0,1.0,0.0
2014-01-02,24.31,24.31,24.05,24.05,24.31,24.31,24.05,24.05,9300.0,0.0,1.0,1.0,0.0
2014-01-03,24.07,24.07,24.0,24.0,24.07,24.07,24.0,24.0,2400.0,0.0,1.0,1.0,0.0
2014-01-06,23.97,24.0,23.97,23.97,23.97,24.0,23.97,23.97,1800.0,0.0,1.0,1.0,0.0
2014-01-07,24.0,24.09,24.0,24.08,24.0,24.09,24.0,24.08,8100.0,0.0,1.0,1.0,0.0
2014-01-08,24.0,24.03,23.87,23.87,24.0,24.03,23.87,23.87,14500.0,0.0,1.0,1.0,0.0
2014-01-09,23.87,23.87,23.75,23.75,23.87,23.87,23.75,23.75,13000.0,0.0,1.0,1.0,0.0
2014-01-10,24.02,24.25,24.02,24.24,24.02,24.25,24.02,24.24,2800.0,0.0,1.0,1.0,0.0
2014-01-13,24.28,24.45,24.11,24.11,24.28,24.45,24.11,24.11,9100.0,0.0,1.0,1.0,0.0
2014-01-14,24.25,24.38,24.25,24.34,24.25,24.38,24.25,24.34,4600.0,0.0,1.0,1.0,0.0
2014-01-15,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,0.0,0.0,1.0,1.0,0.0
2014-01-16,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21,1100.0,0.0,1.0,1.0,0.0
2014-01-17,24.17,24.17,24.15,24.15,24.17,24.17,24.15,24.15,400.0,0.0,1.0,1.0,0.0
2014-01-21,24.2,24.2,24.09,24.11,24.2,24.2,24.09,24.11,2800.0,0.0,1.0,1.0,0.0
2014-01-22,24.11,24.11,24.11,24.11,24.11,24.11,24.11,24.11,0.0,0.0,1.0,1.0,0.0
2014-01-23,24.01,24.01,23.87,23.87,24.01,24.01,23.87,23.87,4800.0,0.0,1.0,1.0,2.4
2014-01-24,23.71,23.71,23.47,23.47,23.71,23.71,23.47,23.47,16700.0,0.0,1.0,1.0,0.0
2014-01-27,23.31,23.31,23.1,23.11,23.31,23.31,23.1,23.11,3900.0,0.0,1.0,1.0,0.0
2014-01-28,23.35,23.42,23.35,23.39,23.35,23.42,23.35,23.39,2700.0,0.0,1.0,1.0,0.0
2014-01-29,23.03,23.03,23.03,23.03,23.03,23.03,23.03,23.03,2300.0,0.0,1.0,1.0,0.0
2014-01-30,23.36,23.36,23.23,23.23,23.36,23.36,23.23,23.23,3200.0,0.0,1.0,1.0,0.0
2014-01-31,23.23,23.23,23.23,23.23,23.23,23.23,23.23,23.23,0.0,0.0,1.0,1.0,0.0
2014-02-03,23.2,23.2,22.72,22.72,23.2,23.2,22.72,22.72,16000.0,0.0,1.0,1.0,0.0
2014-02-04,22.94,23.26,22.94,23.26,22.94,23.26,22.94,23.26,2500.0,0.0,1.0,1.0,0.0
2014-02-05,23.08,23.15,23.08,23.15,23.08,23.15,23.08,23.15,300.0,0.0,1.0,1.0,0.0
2014-02-06,23.45,23.61,23.45,23.5,23.45,23.61,23.45,23.5,500.0,0.0,1.0,1.0,0.0
2014-02-07,23.76,23.76,23.76,23.76,23.76,23.76,23.76,23.76,200.0,0.0,1.0,1.0,0.0
2014-02-10,23.65,23.65,23.57,23.57,23.65,23.65,23.57,23.57,550.0,0.0,1.0,1.0,0.0
