Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2016-09-15,24.86,25.13,24.86,25.1,24.86,25.13,24.86,25.1,14400.0,0.0,1.0,1.0,0.0
2016-09-16,24.99,24.99,24.9,24.99,24.99,24.99,24.9,24.99,2500.0,0.0,1.0,1.0,0.0
2016-09-19,25.08,25.12,24.97,25.02,25.08,25.12,24.97,25.02,9982.0,0.0,1.0,1.0,0.0
2016-09-20,25.3,25.3,25.06,25.06,25.3,25.3,25.06,25.06,7700.0,0.0,1.0,1.0,0.0
2016-09-21,25.16,25.3,25.02,25.27,25.16,25.3,25.02,25.27,6796.0,0.0,1.0,1.0,0.0
2016-09-22,25.46,25.48,25.43,25.46,25.46,25.48,25.43,25.46,8092.0,0.0,1.0,1.0,0.0
2016-09-23,25.58,25.58,25.33,25.35,25.58,25.58,25.33,25.35,17200.0,0.0,1.0,1.0,0.0
2016-09-26,25.47,25.47,25.15,25.15,25.47,25.47,25.15,25.15,17696.0,0.0,1.0,1.0,0.0
2016-09-27,25.15,25.31,25.15,25.27,25.15,25.31,25.15,25.27,22700.0,0.0,1.0,1.0,0.0
2016-09-28,25.28,25.37,25.17,25.37,25.28,25.37,25.17,25.37,11652.0,0.0,1.0,1.0,0.0
2016-09-29,25.43,25.43,25.11,25.14,25.43,25.43,25.11,25.14,9097.0,0.0,1.0,1.0,0.0
2016-09-30,25.25,25.31,25.19,25.27,25.25,25.31,25.19,25.27,15282.0,0.0,1.0,1.0,0.0
2016-10-03,25.43,25.43,25.1,25.14,25.43,25.43,25.1,25.14,19280.0,0.0,1.0,1.0,0.0
2016-10-04,25.15,25.15,24.88,24.94,25.15,25.15,24.88,24.94,9386.0,0.0,1.0,1.0,0.0
2016-10-05,25.12,25.12,24.95,24.95,25.12,25.12,24.95,24.95,8800.0,0.0,1.0,1.0,0.0
2016-10-06,24.88,25.0,24.85,24.99,24.88,25.0,24.85,24.99,6100.0,0.0,1.0,1.0,0.0
2016-10-07,24.98,24.98,24.85,24.97,24.98,24.98,24.85,24.97,4356.0,0.0,1.0,1.0,0.0
2016-10-10,25.14,25.14,25.04,25.04,25.14,25.14,25.04,25.04,2400.0,0.0,1.0,1.0,0.0
2016-10-11,24.97,24.97,24.73,24.77,24.97,24.97,24.73,24.77,15500.0,0.0,1.0,1.0,0.0
2016-10-12,24.84,24.89,24.81,24.89,24.84,24.89,24.81,24.89,4173.0,0.0,1.0,1.0,0.0
2016-10-13,24.77,24.85,24.64,24.85,24.77,24.85,24.64,24.85,8900.0,0.0,1.0,1.0,0.0
