Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2014-05-15,50.19,50.19,50.12,50.15,50.19,50.19,50.12,50.15,9100.0,0.0,1.0,1.0,0.0
2014-05-16,50.13,50.17,50.13,50.17,50.13,50.17,50.13,50.17,5000.0,0.0,1.0,1.0,0.0
2014-05-19,50.09,50.09,49.99,49.99,50.09,50.09,49.99,49.99,11400.0,0.0,1.0,1.0,0.0
2014-05-20,50.02,50.1,50.01,50.01,50.02,50.1,50.01,50.01,6700.0,0.0,1.0,1.0,0.0
2014-05-21,50.03,50.1,49.99,49.99,50.03,50.1,49.99,49.99,11000.0,0.0,1.0,1.0,0.0
2014-05-22,49.97,49.98,49.94,49.98,49.97,49.98,49.94,49.98,5100.0,0.0,1.0,1.0,0.0
2014-05-23,50.0,50.05,50.0,50.04,50.0,50.05,50.0,50.04,5600.0,0.0,1.0,1.0,0.0
2014-05-27,50.02,50.07,50.0,50.02,50.02,50.07,50.0,50.02,13000.0,0.0,1.0,1.0,0.0
2014-05-28,50.05,50.05,50.01,50.02,50.05,50.05,50.01,50.02,2600.0,0.0,1.0,1.0,0.0
2014-05-29,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6800.0,0.0,1.0,1.0,0.0
2014-05-30,50.0,50.02,50.0,50.02,50.0,50.02,50.0,50.02,400.0,0.0,1.0,1.0,0.0
2014-06-02,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,200.0,0.0,1.0,1.0,0.0
2014-06-03,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,200.0,0.0,1.0,1.0,0.0
2014-06-04,49.85,49.85,49.85,49.85,49.85,49.85,49.85,49.85,600.0,0.0,1.0,1.0,0.0
2014-06-05,49.8,49.8,49.69,49.76,49.8,49.8,49.69,49.76,2300.0,0.0,1.0,1.0,0.0
2014-06-06,49.93,49.95,49.89,49.9,49.93,49.95,49.89,49.9,6800.0,0.0,1.0,1.0,0.0
2014-06-09,49.84,50.2,49.84,49.96,49.84,50.2,49.84,49.96,9600.0,0.0,1.0,1.0,0.0
2014-06-10,49.85,49.85,49.7,49.7,49.85,49.85,49.7,49.7,1100.0,0.0,1.0,1.0,0.0
2014-06-11,49.8,49.8,49.7,49.72,49.8,49.8,49.7,49.72,8900.0,0.0,1.0,1.0,0.0
2014-06-12,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,1000.0,0.0,1.0,1.0,0.0
2014-06-13,49.64,49.7,49.58,49.7,49.64,49.7,49.58,49.7,1600.0,0.0,1.0,1.0,0.0
2014-06-16,49.7,50.1,49.7,50.1,49.7,50.1,49.7,50.1,18400.0,0.0,1.0,1.0,0.0
2014-06-17,50.14,50.14,49.89,50.14,50.14,50.14,49.89,50.14,1200.0,0.0,1.0,1.0,0.0
2014-06-18,50.14,50.14,50.0,50.01,50.14,50.14,50.0,50.01,2800.0,0.0,1.0,1.0,0.0
2014-06-19,49.68,49.72,49.63,49.63,49.68,49.72,49.63,49.63,7900.0,0.0,1.0,1.0,0.0
2014-06-20,49.62,49.62,49.57,49.57,49.62,49.62,49.57,49.57,1800.0,0.0,1.0,1.0,0.0
2014-06-23,49.62,50.2,49.59,49.63,49.62,50.2,49.59,49.63,3300.0,0.0,1.0,1.0,0.0
2014-06-24,50.0,50.0,49.49,49.69,50.0,50.0,49.49,49.69,3700.0,0.15,1.0,1.0,0.0
2014-06-25,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,0.0,0.0,1.0,1.0,0.0
2014-06-26,50.1,50.2,50.1,50.1,50.1,50.2,50.1,50.1,1600.0,0.0,1.0,1.0,0.0
2014-06-27,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,0.0,0.0,1.0,1.0,0.0
2014-06-30,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,300.0,0.0,1.0,1.0,0.0
2014-07-01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1.0,1.0,0.0
2014-07-02,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,300.0,0.0,1.0,1.0,0.0
2014-07-03,49.98,50.01,49.98,50.01,49.98,50.01,49.98,50.01,700.0,0.0,1.0,1.0,0.0
2014-07-07,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,0.0,0.0,1.0,1.0,0.0
2014-07-08,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,0.0,0.0,1.0,1.0,0.0
2014-07-09,49.63,49.63,49.52,49.52,49.63,49.63,49.52,49.52,900.0,0.0,1.0,1.0,0.0
2014-07-10,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,0.0,0.0,1.0,1.0,0.0
2014-07-11,49.59,49.67,49.59,49.67,49.59,49.67,49.59,49.67,900.0,0.0,1.0,1.0,0.0
2014-07-14,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,300.0,0.0,1.0,1.0,0.0
2014-07-15,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,0.0,0.0,1.0,1.0,0.0
2014-07-16,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,0.0,0.0,1.0,1.0,0.0
2014-07-17,49.88,49.88,49.88,49.88,49.88,49.88,49.88,49.88,100.0,0.0,1.0,1.0,0.0
2014-07-18,49.88,49.95,49.88,49.95,49.88,49.95,49.88,49.95,1300.0,0.0,1.0,1.0,0.0
2014-07-21,49.97,50.02,49.84,49.92,49.97,50.02,49.84,49.92,2600.0,0.0,1.0,1.0,0.0
2014-07-22,49.93,49.93,49.93,49.93,49.93,49.93,49.93,49.93,200.0,0.15,1.0,1.0,0.0
2014-07-23,49.93,49.93,49.93,49.93,49.93,49.93,49.93,49.93,0.0,0.0,1.0,1.0,0.0
2014-07-24,49.93,49.93,49.93,49.93,49.93,49.93,49.93,49.93,0.0,0.0,1.0,1.0,0.0
2014-07-25,49.93,49.93,49.93,49.93,49.93,49.93,49.93,49.93,0.0,0.0,1.0,1.0,0.0
2014-07-28,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,0.0,0.0,1.0,1.0,0.0
2014-07-29,50.04,50.05,49.95,49.95,50.04,50.05,49.95,49.95,1900.0,0.0,1.0,1.0,0.0
2014-07-30,49.98,49.98,49.98,49.98,49.98,49.98,49.98,49.98,1000.0,0.0,1.0,1.0,0.0
2014-07-31,49.98,49.98,49.98,49.98,49.98,49.98,49.98,49.98,0.0,0.0,1.0,1.0,0.0
2014-08-01,50.14,50.2,50.04,50.1,50.14,50.2,50.04,50.1,2700.0,0.0,1.0,1.0,0.0
2014-08-04,49.98,50.0,49.98,50.0,49.98,50.0,49.98,50.0,4500.0,0.0,1.0,1.0,0.0
2014-08-05,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,500.0,0.0,1.0,1.0,0.0
2014-08-06,50.01,50.01,50.01,50.01,50.01,50.01,50.01,50.01,0.0,0.0,1.0,1.0,0.0
2014-08-07,50.4,50.4,50.3,50.3,50.4,50.4,50.3,50.3,1000.0,0.0,1.0,1.0,0.0
2014-08-08,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,0.0,0.0,1.0,1.0,0.0
2014-08-11,50.12,50.15,50.1,50.12,50.12,50.15,50.1,50.12,2800.0,0.0,1.0,1.0,0.0
2014-08-12,49.99,50.17,49.99,50.17,49.99,50.17,49.99,50.17,800.0,0.0,1.0,1.0,0.0
2014-08-13,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,300.0,0.0,1.0,1.0,0.0
2014-08-14,50.1,50.13,50.1,50.13,50.1,50.13,50.1,50.13,800.0,0.0,1.0,1.0,0.0
2014-08-15,50.14,50.45,50.14,50.45,50.14,50.45,50.14,50.45,400.0,0.0,1.0,1.0,0.0
2014-08-18,50.21,50.31,50.21,50.31,50.21,50.31,50.21,50.31,300.0,0.0,1.0,1.0,0.0
2014-08-19,50.33,50.33,50.16,50.26,50.33,50.33,50.16,50.26,2700.0,0.0,1.0,1.0,0.0
2014-08-20,50.37,50.4,50.33,50.33,50.37,50.4,50.33,50.33,400.0,0.0,1.0,1.0,0.0
2014-08-21,50.23,50.23,50.06,50.21,50.23,50.23,50.06,50.21,4000.0,0.12,1.0,1.0,0.0
2014-08-22,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,300.0,0.0,1.0,1.0,0.0
2014-08-25,50.21,50.36,50.21,50.36,50.21,50.36,50.21,50.36,600.0,0.0,1.0,1.0,0.0
2014-08-26,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,0.0,0.0,1.0,1.0,0.0
2014-08-27,50.48,50.49,50.48,50.48,50.48,50.49,50.48,50.48,2300.0,0.0,1.0,1.0,0.0
2014-08-28,50.48,50.48,50.48,50.48,50.48,50.48,50.48,50.48,0.0,0.0,1.0,1.0,0.0
2014-08-29,50.48,50.48,50.48,50.48,50.48,50.48,50.48,50.48,0.0,0.0,1.0,1.0,0.0
2014-09-02,50.45,50.45,50.45,50.45,50.45,50.45,50.45,50.45,0.0,0.0,1.0,1.0,0.0
2014-09-03,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35,0.0,0.0,1.0,1.0,0.0
2014-09-04,50.44,50.44,50.44,50.44,50.44,50.44,50.44,50.44,0.0,0.0,1.0,1.0,0.0
2014-09-05,50.45,50.45,50.37,50.37,50.45,50.45,50.37,50.37,600.0,0.0,1.0,1.0,0.0
2014-09-08,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,200.0,0.0,1.0,1.0,0.0
2014-09-09,50.52,50.55,50.43,50.46,50.52,50.55,50.43,50.46,4700.0,0.0,1.0,1.0,0.0
2014-09-10,50.53,50.55,50.53,50.55,50.53,50.55,50.53,50.55,1700.0,0.0,1.0,1.0,0.0
2014-09-11,50.42,50.42,50.4,50.4,50.42,50.42,50.4,50.4,300.0,0.0,1.0,1.0,0.0
2014-09-12,50.5,50.54,50.3,50.4,50.5,50.54,50.3,50.4,5800.0,0.0,1.0,1.0,0.0
2014-09-15,50.31,50.4,50.3,50.3,50.31,50.4,50.3,50.3,7400.0,0.0,1.0,1.0,0.0
2014-09-16,50.48,50.48,50.28,50.28,50.48,50.48,50.28,50.28,1100.0,0.0,1.0,1.0,0.0
2014-09-17,50.43,50.43,50.43,50.43,50.43,50.43,50.43,50.43,200.0,0.0,1.0,1.0,0.0
2014-09-18,50.43,50.43,50.43,50.43,50.43,50.43,50.43,50.43,0.0,0.0,1.0,1.0,0.0
2014-09-19,50.43,50.43,50.43,50.43,50.43,50.43,50.43,50.43,0.0,0.0,1.0,1.0,0.0
2014-09-22,50.57,50.57,50.41,50.5,50.57,50.57,50.41,50.5,1500.0,0.0,1.0,1.0,0.0
2014-09-23,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,0.0,0.12,1.0,1.0,0.0
2014-09-24,50.5,50.5,50.3,50.35,50.5,50.5,50.3,50.35,700.0,0.0,1.0,1.0,0.0
2014-09-25,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35,0.0,0.0,1.0,1.0,0.0
2014-09-26,50.33,50.46,50.33,50.37,50.33,50.46,50.33,50.37,2400.0,0.0,1.0,1.0,0.0
2014-09-29,50.56,50.56,50.39,50.39,50.56,50.56,50.39,50.39,9300.0,0.0,1.0,1.0,0.0
2014-09-30,50.55,50.56,50.47,50.53,50.55,50.56,50.47,50.53,1400.0,0.0,1.0,1.0,0.0
2014-10-01,50.62,50.62,50.55,50.55,50.62,50.62,50.55,50.55,800.0,0.0,1.0,1.0,0.0
2014-10-02,50.6,50.6,50.42,50.5,50.6,50.6,50.42,50.5,3500.0,0.0,1.0,1.0,0.0
2014-10-03,50.47,50.47,50.47,50.47,50.47,50.47,50.47,50.47,5670.0,0.0,1.0,1.0,0.0
2014-10-06,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,3000.0,0.0,1.0,1.0,0.0
2014-10-07,50.54,50.63,50.53,50.61,50.54,50.63,50.53,50.61,19400.0,0.0,1.0,1.0,0.0
2014-10-08,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,2800.0,0.0,1.0,1.0,0.0
2014-10-09,50.85,50.89,50.85,50.89,50.85,50.89,50.85,50.89,2000.0,0.0,1.0,1.0,0.0
2014-10-10,50.94,51.02,50.94,51.02,50.94,51.02,50.94,51.02,950.0,0.0,1.0,1.0,0.0
2014-10-13,51.13,51.13,51.12,51.12,51.13,51.13,51.12,51.12,400.0,0.0,1.0,1.0,0.0
2014-10-14,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12,0.0,0.0,1.0,1.0,0.0
2014-10-15,51.4,51.57,51.35,51.45,51.4,51.57,51.35,51.45,125955.0,0.0,1.0,1.0,0.0
2014-10-16,51.48,51.48,51.48,51.48,51.48,51.48,51.48,51.48,4100.0,0.0,1.0,1.0,0.0
2014-10-17,51.49,51.51,51.49,51.51,51.49,51.51,51.49,51.51,28071.0,0.0,1.0,1.0,0.0
