Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2013-08-15,24.98,24.98,24.56,24.6,24.98,24.98,24.56,24.6,12893.0,0.0,1.0,1.0,0.0
2013-08-16,24.7,24.7,24.44,24.5,24.7,24.7,24.44,24.5,23500.0,0.0,1.0,1.0,0.0
2013-08-19,24.48,24.48,24.34,24.34,24.48,24.48,24.34,24.34,10100.0,0.0,1.0,1.0,0.0
2013-08-20,24.33,24.5,24.3,24.42,24.33,24.5,24.3,24.42,24400.0,0.0,1.0,1.0,0.0
2013-08-21,24.36,24.41,24.25,24.25,24.36,24.41,24.25,24.25,18276.0,0.0,1.0,1.0,0.0
2013-08-22,24.27,24.46,24.27,24.42,24.27,24.46,24.27,24.42,14700.0,0.0,1.0,1.0,0.0
2013-08-23,24.48,24.52,24.47,24.52,24.48,24.52,24.47,24.52,10900.0,0.0,1.0,1.0,3.66
2013-08-26,24.56,24.58,24.44,24.44,24.56,24.58,24.44,24.44,5700.0,0.0,1.0,1.0,0.0
2013-08-27,24.24,24.26,24.03,24.08,24.24,24.26,24.03,24.08,49800.0,0.0,1.0,1.0,0.0
2013-08-28,24.06,24.23,24.06,24.16,24.06,24.23,24.06,24.16,20750.0,0.0,1.0,1.0,0.0
2013-08-29,24.14,24.29,24.1,24.19,24.14,24.29,24.1,24.19,5292.0,0.0,1.0,1.0,0.0
2013-08-30,24.22,24.22,24.04,24.13,24.22,24.22,24.04,24.13,15500.0,0.0,1.0,1.0,0.0
2013-09-03,24.39,24.39,24.11,24.12,24.39,24.39,24.11,24.12,23800.0,0.0,1.0,1.0,0.0
2013-09-04,24.29,24.4,24.29,24.36,24.29,24.4,24.29,24.36,11997.0,0.0,1.0,1.0,0.0
2013-09-05,24.34,24.46,24.34,24.4,24.34,24.46,24.34,24.4,6000.0,0.0,1.0,1.0,0.0
2013-09-06,24.48,24.52,24.25,24.41,24.48,24.52,24.25,24.41,40200.0,0.0,1.0,1.0,-0.0
2013-09-09,24.44,24.64,24.4,24.62,24.44,24.64,24.4,24.62,9680.0,0.0,1.0,1.0,0.0
2013-09-10,24.76,24.8,24.71,24.8,24.76,24.8,24.71,24.8,28800.0,0.0,1.0,1.0,0.0
2013-09-11,24.82,24.92,24.79,24.92,24.82,24.92,24.79,24.92,8000.0,0.0,1.0,1.0,0.0
2013-09-12,24.91,24.95,24.82,24.83,24.91,24.95,24.82,24.83,16556.0,0.0,1.0,1.0,0.0
2013-09-13,24.9,24.94,24.86,24.94,24.9,24.94,24.86,24.94,24600.0,0.0,1.0,1.0,0.0
2013-09-16,25.21,25.21,25.03,25.03,25.21,25.21,25.03,25.03,135680.0,0.0,1.0,1.0,0.0
2013-09-17,25.13,25.2,25.13,25.2,25.13,25.2,25.13,25.2,11958.0,0.0,1.0,1.0,0.0
2013-09-18,25.19,25.52,25.06,25.46,25.19,25.52,25.06,25.46,184688.0,0.0,1.0,1.0,0.0
2013-09-19,25.52,25.52,25.38,25.39,25.52,25.52,25.38,25.39,52387.0,0.0,1.0,1.0,2.54
2013-09-20,25.45,25.75,25.2,25.22,25.45,25.75,25.2,25.22,10071.0,0.0,1.0,1.0,0.0
2013-09-23,25.13,25.3,25.0,25.07,25.13,25.3,25.0,25.07,20000.0,0.0,1.0,1.0,0.0
