Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2018-01-23,48.11,48.11,46.5,46.5,481.1,481.1,465.0,465.05,700.0,0.0,1.0,0.1,0.0
2018-01-24,45.88,47.67,45.18,46.72,458.8,476.7,451.81,467.22,2000.0,0.0,1.0,0.1,0.0
2018-01-25,45.81,47.13,45.25,46.7,458.1,471.3,452.5,467.0,2900.0,0.0,1.0,0.1,0.0
2018-01-26,45.21,45.87,42.94,43.29,452.1,458.68,429.4,432.88,1300.0,0.0,1.0,0.1,0.0
2018-01-29,43.65,43.72,42.0,42.0,436.48,437.2,420.0,420.0,1600.0,0.0,1.0,0.1,0.0
2018-01-30,44.55,44.62,42.64,43.35,445.5,446.2,426.4,433.5,1500.0,0.0,1.0,0.1,0.0
2018-01-31,41.98,42.91,41.55,42.8,419.8,429.13,415.5,427.99,2000.0,0.0,1.0,0.1,0.0
2018-02-01,44.67,44.67,42.0,42.62,446.7,446.7,420.0,426.2,1400.0,0.0,1.0,0.1,0.0
2018-02-02,44.63,46.63,43.69,46.5,446.3,466.3,436.87,465.01,2900.0,0.0,1.0,0.1,0.0
2018-02-05,49.09,52.3,45.87,52.3,490.9,523.0,458.68,523.0,6100.0,0.0,1.0,0.1,0.0
2018-02-06,53.5,57.77,47.99,48.02,535.0,577.7,479.9,480.2,4500.0,0.0,1.0,0.1,0.0
2018-02-07,47.9,48.96,46.17,48.28,479.0,489.6,461.66,482.8,1300.0,0.0,1.0,0.1,0.0
2018-02-08,48.2,53.14,42.87,53.14,482.0,531.35,428.7,531.35,4800.0,0.0,1.0,0.1,0.0
2018-02-09,49.5,56.0,49.25,50.88,495.0,560.0,492.5,508.79,3200.0,0.0,1.0,0.1,0.0
2018-02-12,47.64,50.5,47.64,48.03,476.37,505.0,476.37,480.3,1000.0,0.0,1.0,0.1,0.0
2018-02-13,48.88,48.88,45.12,45.49,488.8,488.8,451.15,454.89,1300.0,0.0,1.0,0.1,0.0
2018-02-14,44.25,44.25,41.7,41.76,442.5,442.5,417.0,417.6,1900.0,0.0,1.0,0.1,0.0
2018-02-15,40.63,41.96,39.39,39.39,406.3,419.59,393.9,393.9,1900.0,0.0,1.0,0.1,0.0
2018-02-16,39.89,40.63,39.34,40.1,398.9,406.29,393.35,400.98,1800.0,0.0,1.0,0.1,0.0
2018-02-20,40.81,40.81,38.42,40.0,408.1,408.1,384.2,400.0,1800.0,0.0,1.0,0.1,0.0
2018-02-21,39.0,39.2,37.1,39.2,390.0,392.0,371.01,392.0,1900.0,0.0,1.0,0.1,0.0
2018-02-22,41.0,41.0,38.43,39.47,410.0,410.0,384.3,394.68,800.0,0.0,1.0,0.1,0.0
2018-02-23,38.8,38.8,37.42,37.45,388.0,388.0,374.23,374.51,2200.0,0.0,1.0,0.1,0.0
2018-02-26,37.0,38.28,36.31,36.33,370.0,382.8,363.1,363.3,700.0,0.0,1.0,0.1,0.0
2018-02-27,36.33,37.82,36.3,37.75,363.34,378.2,363.0,377.5,2200.0,0.0,1.0,0.1,0.0
2018-02-28,37.03,38.28,37.03,38.28,370.35,382.8,370.35,382.8,800.0,0.0,1.0,0.1,0.0
2018-03-01,38.8,41.56,38.25,40.13,388.0,415.6,382.5,401.3,1900.0,0.0,1.0,0.1,0.0
2018-03-02,41.85,43.0,38.53,39.0,418.5,430.0,385.35,390.0,1400.0,0.0,1.0,0.1,0.0
2018-03-05,39.74,39.74,36.32,36.33,397.39,397.39,363.2,363.3,700.0,0.0,1.0,0.1,0.0
2018-03-06,35.94,36.2,35.08,35.37,359.4,362.05,350.76,353.7,2600.0,0.0,1.0,0.1,0.0
2018-03-07,36.17,36.31,34.64,34.72,361.66,363.1,346.42,347.2,1400.0,0.0,1.0,0.1,0.0
2018-03-08,34.3,35.49,34.3,35.25,343.0,354.89,343.0,352.5,1000.0,0.0,1.0,0.1,0.0
2018-03-09,35.61,35.61,33.16,33.16,356.1,356.1,331.6,331.6,1600.0,0.0,1.0,0.1,0.0
2018-03-12,32.42,32.51,31.89,32.13,324.2,325.1,318.88,321.28,600.0,0.0,1.0,0.1,0.0
2018-03-13,31.89,34.43,31.89,34.25,318.9,344.31,318.9,342.5,4200.0,0.0,1.0,0.1,0.0
2018-03-14,33.66,33.66,32.35,33.0,336.6,336.6,323.5,330.0,3700.0,0.0,1.0,0.1,0.0
2018-03-15,32.56,33.38,32.27,32.6,325.62,333.76,322.68,326.01,500.0,0.0,1.0,0.1,0.0
2018-03-16,33.35,33.49,33.07,33.16,333.49,334.9,330.7,331.55,300.0,0.0,1.0,0.1,0.0
2018-03-19,34.99,36.88,34.45,36.0,349.9,368.8,344.5,360.0,4900.0,0.0,1.0,0.1,0.0
2018-03-20,36.71,37.51,35.36,36.64,367.1,375.05,353.61,366.4,1000.0,0.0,1.0,0.1,0.0
2018-03-21,37.05,37.05,35.52,36.65,370.55,370.55,355.2,366.5,500.0,0.0,1.0,0.1,0.0
2018-03-22,38.86,40.33,37.63,40.2,388.59,403.3,376.31,402.0,3000.0,0.0,1.0,0.1,0.0
2018-03-23,40.2,43.16,40.2,43.0,402.0,431.65,402.0,430.0,2800.0,0.0,1.0,0.1,0.0
2018-03-26,39.93,44.06,38.68,38.68,399.3,440.6,386.85,386.85,4100.0,0.0,1.0,0.1,0.0
2018-03-27,38.2,46.29,38.2,45.0,382.0,462.9,382.0,449.97,4300.0,0.0,1.0,0.1,0.0
2018-03-28,47.9,50.05,45.65,48.54,479.0,500.54,456.5,485.38,10100.0,0.0,1.0,0.1,0.0
