Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2011-04-20,20.61,20.65,20.57,20.58,20.61,20.65,20.57,20.58,2600.0,0.0,1.0,1.0,0.0
2011-04-21,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,0.0,0.0,1.0,1.0,0.0
2011-04-25,20.83,20.83,20.77,20.82,20.83,20.83,20.77,20.82,993.0,0.0,1.0,1.0,0.0
2011-04-26,20.92,21.02,20.92,21.02,20.92,21.02,20.92,21.02,400.0,0.0,1.0,1.0,0.0
2011-04-27,21.02,21.02,21.02,21.02,21.02,21.02,21.02,21.02,0.0,0.0,1.0,1.0,0.0
2011-04-28,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11,192.0,0.0,1.0,1.0,0.0
2011-04-29,21.22,21.22,21.16,21.16,21.22,21.22,21.16,21.16,1130.0,0.0,1.0,1.0,0.0
2011-05-02,21.06,21.06,21.06,21.06,21.06,21.06,21.06,21.06,300.0,0.0,1.0,1.0,0.0
2011-05-03,21.06,21.06,21.06,21.06,21.06,21.06,21.06,21.06,0.0,0.0,1.0,1.0,0.0
2011-05-04,20.81,20.81,20.54,20.54,20.81,20.81,20.54,20.54,900.0,0.0,1.0,1.0,0.0
2011-05-05,20.69,20.69,20.69,20.69,20.69,20.69,20.69,20.69,270.0,0.0,1.0,1.0,0.0
2011-05-06,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,500.0,0.0,1.0,1.0,0.0
2011-05-09,20.59,20.81,20.55,20.78,20.59,20.81,20.55,20.78,1830.0,0.0,1.0,1.0,0.0
2011-05-10,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,381.0,0.0,1.0,1.0,0.0
2011-05-11,21.01,21.01,20.89,20.89,21.01,21.01,20.89,20.89,555.0,0.0,1.0,1.0,0.0
2011-05-12,20.68,20.93,20.68,20.93,20.68,20.93,20.68,20.93,590.0,0.0,1.0,1.0,0.0
2011-05-13,20.74,20.74,20.74,20.74,20.74,20.74,20.74,20.74,100.0,0.0,1.0,1.0,0.0
2011-05-16,20.74,20.74,20.74,20.74,20.74,20.74,20.74,20.74,0.0,0.0,1.0,1.0,0.0
2011-05-17,20.14,20.2,20.14,20.2,20.14,20.2,20.14,20.2,10586.0,0.0,1.0,1.0,0.0
2011-05-18,20.28,20.39,20.28,20.39,20.28,20.39,20.28,20.39,877.0,0.0,1.0,1.0,0.0
2011-05-19,20.72,20.72,20.62,20.62,20.72,20.72,20.62,20.62,675.0,0.0,1.0,1.0,0.0
2011-05-20,20.57,20.57,20.37,20.5,20.57,20.57,20.37,20.5,1104.0,0.0,1.0,1.0,0.0
2011-05-23,20.13,20.13,20.05,20.05,20.13,20.13,20.05,20.05,768.0,0.0,1.0,1.0,0.0
2011-05-24,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,310.0,0.0,1.0,1.0,0.0
2011-05-25,20.0,20.24,20.0,20.24,20.0,20.24,20.0,20.24,300.0,0.0,1.0,1.0,0.0
2011-05-26,20.24,20.51,20.22,20.49,20.24,20.51,20.22,20.49,1308.0,0.0,1.0,1.0,0.0
2011-05-27,20.58,20.62,20.58,20.62,20.58,20.62,20.58,20.62,800.0,0.0,1.0,1.0,0.0
2011-05-31,20.78,20.78,20.62,20.65,20.78,20.78,20.62,20.65,9812.0,0.0,1.0,1.0,0.0
2011-06-01,20.63,20.63,20.24,20.24,20.63,20.63,20.24,20.24,7559.0,0.0,1.0,1.0,0.0
2011-06-02,20.21,20.35,20.21,20.35,20.21,20.35,20.21,20.35,445.0,0.0,1.0,1.0,0.0
2011-06-03,19.93,20.17,19.92,20.11,19.93,20.17,19.92,20.11,8041.0,0.0,1.0,1.0,0.0
2011-06-06,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,0.0,0.0,1.0,1.0,0.0
2011-06-07,19.81,19.81,19.79,19.79,19.81,19.81,19.79,19.79,750.0,0.0,1.0,1.0,0.0
2011-06-08,19.55,19.55,19.53,19.53,19.55,19.55,19.53,19.53,961.0,0.0,1.0,1.0,0.0
2011-06-09,19.58,19.67,19.58,19.67,19.58,19.67,19.58,19.67,1812.0,0.0,1.0,1.0,0.0
2011-06-10,19.67,19.67,19.67,19.67,19.67,19.67,19.67,19.67,0.0,0.0,1.0,1.0,0.0
2011-06-13,19.67,19.67,19.67,19.67,19.67,19.67,19.67,19.67,0.0,0.0,1.0,1.0,0.0
2011-06-14,19.67,19.67,19.67,19.67,19.67,19.67,19.67,19.67,0.0,0.0,1.0,1.0,0.0
2011-06-15,19.39,19.39,19.39,19.39,19.39,19.39,19.39,19.39,600.0,0.0,1.0,1.0,0.0
2011-06-16,19.37,19.38,19.16,19.16,19.37,19.38,19.16,19.16,2565.0,0.0,1.0,1.0,0.0
2011-06-17,19.41,19.41,19.29,19.29,19.41,19.41,19.29,19.29,1500.0,0.0,1.0,1.0,0.0
2011-06-20,19.46,19.49,19.46,19.49,19.46,19.49,19.46,19.49,1250.0,0.0,1.0,1.0,0.0
2011-06-21,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,292.0,0.0,1.0,1.0,0.0
2011-06-22,19.93,20.0,19.93,20.0,19.93,20.0,19.93,20.0,519.0,0.0,1.0,1.0,0.0
2011-06-23,19.79,20.01,19.79,20.01,19.79,20.01,19.79,20.01,375.0,0.0,1.0,1.0,0.0
2011-06-24,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,400.0,0.0,1.0,1.0,0.0
2011-06-27,19.93,20.05,19.87,20.04,19.93,20.05,19.87,20.04,1950.0,0.0,1.0,1.0,0.0
2011-06-28,20.13,20.35,20.13,20.35,20.13,20.35,20.13,20.35,795.0,0.0,1.0,1.0,0.0
2011-06-29,20.36,20.58,20.36,20.57,20.36,20.58,20.36,20.57,2337.0,0.0,1.0,1.0,0.0
2011-06-30,20.71,20.77,20.71,20.77,20.71,20.77,20.71,20.77,605.0,0.0,1.0,1.0,0.0
2011-07-01,20.9,21.09,20.89,21.04,20.9,21.09,20.89,21.04,109041.0,0.0,1.0,1.0,1.03
