Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2018-11-05,20.07,20.08,20.07,20.08,20.07,20.08,20.07,20.08,3180.0,0.0,1.0,1.0,0.0
2018-11-06,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,200.0,0.0,1.0,1.0,0.0
2018-11-07,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,0.0,0.0,1.0,1.0,0.0
2018-11-08,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,3500.0,0.0,1.0,1.0,0.0
2018-11-09,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,5000.0,0.0,1.0,1.0,0.0
2018-11-12,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,200.0,0.0,1.0,1.0,0.0
2018-11-13,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-11-14,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-11-15,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-11-16,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,200.0,0.0,1.0,1.0,0.0
2018-11-19,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-11-20,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-11-21,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-11-23,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-11-26,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-11-27,20.08,20.08,20.08,20.08,20.08,20.08,20.08,20.08,1500.0,0.0,1.0,1.0,0.0
2018-11-28,20.08,20.08,20.08,20.08,20.08,20.08,20.08,20.08,0.0,0.0,1.0,1.0,0.0
2018-11-29,20.08,20.08,20.08,20.08,20.08,20.08,20.08,20.08,0.0,0.0,1.0,1.0,0.0
2018-11-30,20.08,20.08,20.08,20.08,20.08,20.08,20.08,20.08,0.0,0.0,1.0,1.0,0.0
2018-12-03,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,1500.0,0.0,1.0,1.0,0.0
2018-12-04,20.11,20.11,20.07,20.07,20.11,20.11,20.07,20.07,894.0,0.0,1.0,1.0,0.0
2018-12-06,20.12,20.42,20.11,20.12,20.12,20.42,20.11,20.12,8200.0,0.0,1.0,1.0,0.0
2018-12-07,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,51.0,0.0,1.0,1.0,0.0
2018-12-10,20.12,20.12,20.11,20.11,20.12,20.12,20.11,20.11,100.0,0.0,1.0,1.0,0.0
2018-12-11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,0.0,0.0,1.0,1.0,0.0
2018-12-12,20.08,20.09,20.07,20.07,20.08,20.09,20.07,20.07,2000.0,0.0,1.0,1.0,0.0
2018-12-13,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,51.0,0.0,1.0,1.0,0.0
2018-12-14,20.07,20.07,20.06,20.06,20.07,20.07,20.06,20.06,750.0,0.0,1.0,1.0,0.0
2018-12-17,20.09,20.09,20.07,20.07,20.09,20.09,20.07,20.07,5500.0,0.0,1.0,1.0,0.0
2018-12-18,20.09,20.09,20.07,20.07,20.09,20.09,20.07,20.07,1900.0,0.03,1.0,1.0,0.0
2018-12-19,20.07,20.07,20.05,20.05,20.07,20.07,20.05,20.05,5083.0,0.0,1.0,1.0,0.0
2018-12-20,20.07,20.07,20.05,20.05,20.07,20.07,20.05,20.05,900.0,0.0,1.0,1.0,0.0
2018-12-21,20.07,20.1,20.05,20.1,20.07,20.1,20.05,20.1,12700.0,0.0,1.0,1.0,0.0
2018-12-24,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,0.0,0.0,1.0,1.0,0.0
2018-12-26,20.06,20.07,20.06,20.07,20.06,20.07,20.06,20.07,900.0,0.0,1.0,1.0,0.0
2018-12-27,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,0.0,0.0,1.0,1.0,0.0
2018-12-28,20.07,20.07,20.04,20.05,20.07,20.07,20.04,20.05,1400.0,0.0,1.0,1.0,0.0
2018-12-31,20.1,20.12,20.1,20.11,20.1,20.12,20.1,20.11,350.0,0.0,1.0,1.0,0.0
2019-01-02,20.06,20.06,20.06,20.06,20.06,20.06,20.06,20.06,0.0,0.0,1.0,1.0,0.0
2019-01-03,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,0.0,0.0,1.0,1.0,0.0
2019-01-04,20.04,20.09,20.04,20.09,20.04,20.09,20.04,20.09,199.0,0.0,1.0,1.0,0.0
2019-01-07,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,0.0,0.0,1.0,1.0,0.0
2019-01-08,20.05,20.05,20.02,20.02,20.05,20.05,20.02,20.02,16668.0,0.0,1.0,1.0,0.0
2019-01-09,20.06,20.06,20.0,20.04,20.06,20.06,20.0,20.04,25100.0,0.0,1.0,1.0,0.0
2019-01-10,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,0.0,0.0,1.0,1.0,0.0
2019-01-11,20.01,20.02,20.01,20.02,20.01,20.02,20.01,20.02,12475.0,0.0,1.0,1.0,0.0
2019-01-14,20.06,20.1,20.02,20.02,20.06,20.1,20.02,20.02,45656.0,0.0,1.0,1.0,0.0
2019-01-15,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,500.0,0.0,1.0,1.0,0.0
2019-01-16,20.03,20.04,20.02,20.04,20.03,20.04,20.02,20.04,47756.0,0.0,1.0,1.0,0.0
2019-01-17,20.08,20.09,20.06,20.06,20.08,20.09,20.06,20.06,5900.0,0.0,1.0,1.0,0.0
2019-01-18,20.09,20.09,20.06,20.06,20.09,20.09,20.06,20.06,497.0,0.0,1.0,1.0,0.0
2019-01-22,20.06,20.06,20.06,20.06,20.06,20.06,20.06,20.06,0.0,0.0,1.0,1.0,0.0
2019-01-23,20.06,20.06,20.06,20.06,20.06,20.06,20.06,20.06,0.0,0.03,1.0,1.0,0.0
2019-01-24,20.05,20.07,19.99,20.03,20.05,20.07,19.99,20.03,17650.0,0.0,1.0,1.0,0.0
2019-01-25,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,0.0,0.0,1.0,1.0,0.0
2019-01-28,20.05,20.05,20.0,20.02,20.05,20.05,20.0,20.02,6300.0,0.0,1.0,1.0,0.0
2019-01-29,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,0.0,0.0,1.0,1.0,0.0
2019-01-30,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,0.0,0.0,1.0,1.0,0.0
2019-01-31,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,0.0,0.0,1.0,1.0,0.0
