Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2007-05-10,20.06,20.06,19.79,19.79,20.06,20.06,19.79,19.79,2100.0,0.0,1.0,1.0,0.0
2007-05-11,20.05,20.15,20.04,20.14,20.05,20.15,20.04,20.14,60300.0,0.0,1.0,1.0,0.0
2007-05-14,20.24,20.24,20.06,20.06,20.24,20.24,20.06,20.06,2200.0,0.0,1.0,1.0,0.0
2007-05-15,20.16,20.33,20.16,20.22,20.16,20.33,20.16,20.22,4100.0,0.0,1.0,1.0,0.0
2007-05-16,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,200.0,0.0,1.0,1.0,0.0
2007-05-17,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,500.0,0.0,1.0,1.0,0.0
2007-05-18,20.69,20.8,20.69,20.8,20.69,20.8,20.69,20.8,2200.0,0.0,1.0,1.0,0.0
2007-05-21,20.99,21.18,20.99,21.18,20.99,21.18,20.99,21.18,1000.0,0.0,1.0,1.0,0.0
2007-05-22,21.16,21.16,20.93,20.93,21.16,21.16,20.93,20.93,700.0,0.0,1.0,1.0,0.0
2007-05-23,21.03,21.12,20.9,20.9,21.03,21.12,20.9,20.9,1500.0,0.0,1.0,1.0,0.0
2007-05-24,20.76,20.76,20.4,20.4,20.76,20.76,20.4,20.4,15200.0,0.0,1.0,1.0,0.0
2007-05-25,20.68,20.7,20.68,20.7,20.68,20.7,20.68,20.7,11000.0,0.0,1.0,1.0,0.0
2007-05-29,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,0.0,0.0,1.0,1.0,0.0
2007-05-30,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,0.0,0.0,1.0,1.0,0.0
2007-05-31,21.13,21.13,21.13,21.13,21.13,21.13,21.13,21.13,100.0,0.0,1.0,1.0,0.0
2007-06-01,21.42,21.42,21.37,21.37,21.42,21.42,21.37,21.37,400.0,0.0,1.0,1.0,0.0
2007-06-04,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,700.0,0.0,1.0,1.0,0.0
2007-06-05,21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,0.0,0.0,1.0,1.0,0.0
2007-06-06,21.31,21.31,21.31,21.31,21.31,21.31,21.31,21.31,200.0,0.0,1.0,1.0,0.0
2007-06-07,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94,200.0,0.0,1.0,1.0,0.0
2007-06-08,20.69,20.69,20.69,20.69,20.69,20.69,20.69,20.69,100.0,0.0,1.0,1.0,0.0
2007-06-11,21.23,21.23,21.23,21.23,21.23,21.23,21.23,21.23,200.0,0.0,1.0,1.0,0.0
2007-06-12,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,1000.0,0.0,1.0,1.0,0.0
2007-06-13,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,900.0,0.0,1.0,1.0,0.0
2007-06-14,21.86,21.86,21.86,21.86,21.86,21.86,21.86,21.86,600.0,0.0,1.0,1.0,0.0
2007-06-15,22.15,22.16,22.15,22.16,22.15,22.16,22.15,22.16,2400.0,0.0,1.0,1.0,0.0
2007-06-18,22.31,22.34,22.27,22.34,22.31,22.34,22.27,22.34,1700.0,0.0,1.0,1.0,0.0
2007-06-19,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,100.0,0.0,1.0,1.0,0.0
2007-06-20,21.86,21.86,21.66,21.86,21.86,21.86,21.66,21.86,2100.0,0.0,1.0,1.0,0.0
2007-06-21,21.66,21.66,21.66,21.66,21.66,21.66,21.66,21.66,0.0,0.0,1.0,1.0,0.0
2007-06-22,21.77,21.83,21.77,21.83,21.77,21.83,21.77,21.83,500.0,0.0,1.0,1.0,0.0
2007-06-25,21.69,21.85,21.59,21.59,21.69,21.85,21.59,21.59,3700.0,0.0,1.0,1.0,0.0
2007-06-26,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,0.0,0.0,1.0,1.0,0.0
2007-06-27,20.76,21.1,20.76,21.1,20.76,21.1,20.76,21.1,1600.0,0.0,1.0,1.0,0.0
2007-06-28,21.35,21.35,21.35,21.35,21.35,21.35,21.35,21.35,3600.0,0.0,1.0,1.0,0.0
2007-06-29,21.6,21.6,21.38,21.38,21.6,21.6,21.38,21.38,2000.0,0.0,1.0,1.0,0.0
2007-07-02,21.38,21.38,21.38,21.38,21.38,21.38,21.38,21.38,0.0,0.0,1.0,1.0,0.0
2007-07-03,21.78,21.83,21.78,21.83,21.78,21.83,21.78,21.83,200.0,0.0,1.0,1.0,0.0
2007-07-05,21.84,21.84,21.71,21.79,21.84,21.84,21.71,21.79,2100.0,0.0,1.0,1.0,0.0
2007-07-06,21.98,22.06,21.96,22.0,21.98,22.06,21.96,22.0,1000.0,0.0,1.0,1.0,0.0
2007-07-09,22.15,22.23,22.15,22.23,22.15,22.23,22.15,22.23,400.0,0.0,1.0,1.0,0.0
2007-07-10,22.08,22.31,22.08,22.22,22.08,22.31,22.08,22.22,5100.0,0.0,1.0,1.0,0.0
2007-07-11,22.06,22.12,22.06,22.06,22.06,22.12,22.06,22.06,2000.0,0.0,1.0,1.0,0.0
2007-07-12,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,100.0,0.0,1.0,1.0,0.0
2007-07-13,22.49,22.49,22.46,22.48,22.49,22.49,22.46,22.48,300.0,0.0,1.0,1.0,0.0
2007-07-16,22.57,22.57,22.24,22.24,22.57,22.57,22.24,22.24,500.0,0.0,1.0,1.0,0.0
2007-07-17,22.46,22.46,22.13,22.13,22.46,22.46,22.13,22.13,1500.0,0.0,1.0,1.0,0.0
2007-07-18,22.08,22.33,22.08,22.33,22.08,22.33,22.08,22.33,2100.0,0.0,1.0,1.0,0.0
2007-07-19,22.64,22.64,22.64,22.64,22.64,22.64,22.64,22.64,5700.0,0.0,1.0,1.0,0.0
2007-07-20,22.57,22.57,22.28,22.28,22.57,22.57,22.28,22.28,1700.0,0.0,1.0,1.0,3.38
2007-07-23,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,100.0,0.0,1.0,1.0,0.0
2007-07-24,21.68,21.7,21.36,21.36,21.68,21.7,21.36,21.36,3700.0,0.0,1.0,1.0,0.0
2007-07-25,21.07,21.58,21.07,21.58,21.07,21.58,21.07,21.58,3000.0,0.0,1.0,1.0,0.0
2007-07-26,21.08,21.08,20.65,20.77,21.08,21.08,20.65,20.77,600.0,0.0,1.0,1.0,0.0
2007-07-27,20.93,20.93,20.6,20.6,20.93,20.93,20.6,20.6,400.0,0.0,1.0,1.0,0.0
2007-07-30,20.78,20.83,20.43,20.78,20.78,20.83,20.43,20.78,16400.0,0.0,1.0,1.0,0.0
2007-07-31,21.1,21.22,20.75,20.75,21.1,21.22,20.75,20.75,3500.0,0.0,1.0,1.0,0.0
2007-08-01,20.87,20.87,20.23,20.23,20.87,20.87,20.23,20.23,1900.0,0.0,1.0,1.0,0.0
2007-08-02,20.68,20.68,20.42,20.52,20.68,20.68,20.42,20.52,1200.0,0.0,1.0,1.0,0.0
2007-08-03,20.51,20.51,19.86,19.91,20.51,20.51,19.86,19.91,19400.0,0.0,1.0,1.0,0.0
2007-08-06,19.53,19.91,19.53,19.91,19.53,19.91,19.53,19.91,3200.0,0.0,1.0,1.0,0.0
2007-08-07,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,0.0,0.0,1.0,1.0,0.0
2007-08-08,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,0.0,0.0,1.0,1.0,0.0
2007-08-09,20.04,20.23,19.88,19.88,20.04,20.23,19.88,19.88,1000.0,0.0,1.0,1.0,0.0
2007-08-10,19.2,19.95,19.2,19.92,19.2,19.95,19.2,19.92,36000.0,0.0,1.0,1.0,0.0
2007-08-13,20.55,20.55,20.33,20.33,20.55,20.55,20.33,20.33,2000.0,0.0,1.0,1.0,0.0
2007-08-14,20.13,20.28,20.07,20.07,20.13,20.28,20.07,20.07,1100.0,0.0,1.0,1.0,0.0
2007-08-15,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,200.0,0.0,1.0,1.0,0.0
2007-08-16,19.07,19.07,18.43,19.04,19.07,19.07,18.43,19.04,2300.0,0.0,1.0,1.0,0.0
2007-08-17,19.37,19.58,19.37,19.56,19.37,19.58,19.37,19.56,1400.0,0.0,1.0,1.0,0.0
2007-08-20,19.47,19.47,19.28,19.28,19.47,19.47,19.28,19.28,1200.0,0.0,1.0,1.0,0.0
2007-08-21,19.55,19.55,19.29,19.3,19.55,19.55,19.29,19.3,500.0,0.0,1.0,1.0,0.0
2007-08-22,19.6,19.6,19.54,19.56,19.6,19.6,19.54,19.56,1100.0,0.0,1.0,1.0,0.0
2007-08-23,19.56,19.56,19.56,19.56,19.56,19.56,19.56,19.56,0.0,0.0,1.0,1.0,0.0
2007-08-24,20.12,20.12,20.0,20.0,20.12,20.12,20.0,20.0,1200.0,0.0,1.0,1.0,0.0
2007-08-27,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,400.0,0.0,1.0,1.0,0.0
2007-08-28,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,500.0,0.0,1.0,1.0,0.0
2007-08-29,19.75,20.01,19.75,20.01,19.75,20.01,19.75,20.01,19800.0,0.0,1.0,1.0,0.0
2007-08-30,20.16,20.18,20.01,20.01,20.16,20.18,20.01,20.01,1700.0,0.0,1.0,1.0,0.0
2007-08-31,20.48,20.48,20.32,20.32,20.48,20.48,20.32,20.32,1000.0,0.0,1.0,1.0,0.0
2007-09-04,20.62,21.0,20.62,20.83,20.62,21.0,20.62,20.83,10300.0,0.0,1.0,1.0,0.0
2007-09-05,20.8,20.9,20.79,20.9,20.8,20.9,20.79,20.9,4800.0,0.0,1.0,1.0,0.0
2007-09-06,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,500.0,0.0,1.0,1.0,0.0
2007-09-07,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,0.0,0.0,1.0,1.0,0.0
2007-09-10,20.79,20.79,20.79,20.79,20.79,20.79,20.79,20.79,100.0,0.0,1.0,1.0,0.0
2007-09-11,20.79,20.79,20.79,20.79,20.79,20.79,20.79,20.79,0.0,0.0,1.0,1.0,0.0
2007-09-12,20.97,21.27,20.97,21.27,20.97,21.27,20.97,21.27,1200.0,0.0,1.0,1.0,0.0
2007-09-13,21.25,21.32,21.23,21.23,21.25,21.32,21.23,21.23,9600.0,0.0,1.0,1.0,0.0
2007-09-14,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,1000.0,0.0,1.0,1.0,0.0
2007-09-17,21.33,21.33,21.14,21.14,21.33,21.33,21.14,21.14,7800.0,0.0,1.0,1.0,0.0
2007-09-18,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,500.0,0.0,1.0,1.0,0.0
2007-09-19,21.77,21.9,21.77,21.9,21.77,21.9,21.77,21.9,1300.0,0.0,1.0,1.0,0.0
2007-09-20,21.71,21.89,21.71,21.89,21.71,21.89,21.71,21.89,1100.0,0.0,1.0,1.0,0.0
2007-09-21,22.07,22.14,22.07,22.11,22.07,22.14,22.07,22.11,2200.0,0.0,1.0,1.0,0.0
2007-09-24,22.05,22.05,21.88,21.89,22.05,22.05,21.88,21.89,1700.0,0.0,1.0,1.0,0.0
2007-09-25,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,1000.0,0.0,1.0,1.0,0.0
2007-09-26,21.81,21.81,21.36,21.57,21.81,21.81,21.36,21.57,6100.0,0.0,1.0,1.0,0.0
2007-09-27,21.76,21.78,21.74,21.77,21.76,21.78,21.74,21.77,1200.0,0.0,1.0,1.0,0.0
2007-09-28,21.8,21.8,21.78,21.78,21.8,21.8,21.78,21.78,4500.0,0.0,1.0,1.0,0.0
2007-10-01,21.81,21.81,21.81,21.81,21.81,21.81,21.81,21.81,300.0,0.0,1.0,1.0,0.0
2007-10-02,21.9,21.97,21.9,21.97,21.9,21.97,21.9,21.97,1100.0,0.0,1.0,1.0,0.0
2007-10-03,21.73,21.87,21.73,21.85,21.73,21.87,21.73,21.85,2900.0,0.0,1.0,1.0,0.0
2007-10-04,21.78,21.97,21.7,21.97,21.78,21.97,21.7,21.97,700.0,0.0,1.0,1.0,0.0
2007-10-05,21.87,22.02,21.87,22.0,21.87,22.02,21.87,22.0,600.0,0.0,1.0,1.0,0.0
2007-10-08,21.99,21.99,21.79,21.83,21.99,21.99,21.79,21.83,1300.0,0.0,1.0,1.0,0.0
2007-10-09,22.1,22.21,22.1,22.21,22.1,22.21,22.1,22.21,800.0,0.0,1.0,1.0,0.0
2007-10-10,22.2,22.55,22.2,22.55,22.2,22.55,22.2,22.55,6000.0,0.0,1.0,1.0,0.0
2007-10-11,22.78,23.01,22.67,22.67,22.78,23.01,22.67,22.67,1000.0,0.0,1.0,1.0,0.0
2007-10-12,22.55,22.8,22.55,22.8,22.55,22.8,22.55,22.8,500.0,0.0,1.0,1.0,0.0
2007-10-15,23.06,23.06,22.81,22.87,23.06,23.06,22.81,22.87,2400.0,0.0,1.0,1.0,0.0
2007-10-16,22.91,22.91,22.89,22.89,22.91,22.91,22.89,22.89,1600.0,0.0,1.0,1.0,0.0
2007-10-17,22.81,22.81,22.73,22.73,22.81,22.81,22.73,22.73,1200.0,0.0,1.0,1.0,0.0
2007-10-18,22.8,22.8,22.71,22.71,22.8,22.8,22.71,22.71,800.0,0.0,1.0,1.0,0.0
2007-10-19,22.71,22.71,22.71,22.71,22.71,22.71,22.71,22.71,0.0,0.0,1.0,1.0,0.0
2007-10-22,21.52,21.64,21.38,21.47,21.52,21.64,21.38,21.47,5100.0,0.0,1.0,1.0,0.0
2007-10-23,21.47,21.47,21.47,21.47,21.47,21.47,21.47,21.47,0.0,0.0,1.0,1.0,0.0
2007-10-24,21.91,21.99,21.84,21.99,21.91,21.99,21.84,21.99,1400.0,0.0,1.0,1.0,0.0
2007-10-25,22.18,22.34,22.11,22.34,22.18,22.34,22.11,22.34,1800.0,0.0,1.0,1.0,0.0
2007-10-26,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,200.0,0.0,1.0,1.0,0.0
2007-10-29,22.8,22.8,22.65,22.74,22.8,22.8,22.65,22.74,2800.0,0.0,1.0,1.0,0.0
2007-10-30,22.3,22.3,22.23,22.3,22.3,22.3,22.23,22.3,1400.0,0.0,1.0,1.0,0.0
2007-10-31,22.36,22.52,22.3,22.52,22.36,22.52,22.3,22.52,7600.0,0.0,1.0,1.0,0.0
2007-11-01,22.28,22.58,22.22,22.22,22.28,22.58,22.22,22.22,4900.0,0.0,1.0,1.0,0.0
2007-11-02,22.41,22.59,22.36,22.5,22.41,22.59,22.36,22.5,11000.0,0.0,1.0,1.0,0.0
2007-11-05,22.33,22.48,22.33,22.47,22.33,22.48,22.33,22.47,2300.0,0.0,1.0,1.0,0.0
2007-11-06,22.69,22.88,22.68,22.88,22.69,22.88,22.68,22.88,700.0,0.0,1.0,1.0,0.0
2007-11-07,22.72,22.72,22.53,22.53,22.72,22.72,22.53,22.53,300.0,0.0,1.0,1.0,0.0
2007-11-08,22.53,22.53,22.53,22.53,22.53,22.53,22.53,22.53,0.0,0.0,1.0,1.0,0.0
2007-11-09,22.17,22.31,22.17,22.17,22.17,22.31,22.17,22.17,5100.0,0.0,1.0,1.0,0.0
2007-11-12,21.53,21.53,21.05,21.05,21.53,21.53,21.05,21.05,6200.0,0.0,1.0,1.0,0.0
2007-11-13,21.43,21.52,21.26,21.52,21.43,21.52,21.26,21.52,2200.0,0.0,1.0,1.0,0.0
2007-11-14,21.9,21.9,21.63,21.63,21.9,21.9,21.63,21.63,2100.0,0.0,1.0,1.0,0.0
2007-11-15,21.03,21.61,20.98,21.03,21.03,21.61,20.98,21.03,500.0,0.0,1.0,1.0,0.0
2007-11-16,21.46,21.51,21.26,21.51,21.46,21.51,21.26,21.51,1300.0,0.0,1.0,1.0,0.0
2007-11-19,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51,0.0,0.0,1.0,1.0,0.0
2007-11-20,21.65,21.65,21.61,21.61,21.65,21.65,21.61,21.61,1100.0,0.0,1.0,1.0,0.0
