Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2007-05-10,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,2000.0,0.0,1.0,1.0,0.0
2007-05-11,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,0.0,0.0,1.0,1.0,0.0
2007-05-14,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,300.0,0.0,1.0,1.0,0.0
2007-05-15,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,0.0,0.0,1.0,1.0,0.0
2007-05-16,20.13,20.13,20.13,20.13,20.13,20.13,20.13,20.13,0.0,0.0,1.0,1.0,0.0
2007-05-17,19.99,20.02,19.99,20.02,19.99,20.02,19.99,20.02,2200.0,0.0,1.0,1.0,0.0
2007-05-18,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,0.0,0.0,1.0,1.0,0.0
2007-05-21,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,0.0,0.0,1.0,1.0,0.0
2007-05-22,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,0.0,0.0,1.0,1.0,0.0
2007-05-23,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,200.0,0.0,1.0,1.0,0.0
2007-05-24,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,0.0,0.0,1.0,1.0,0.0
2007-05-25,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,0.0,0.0,1.0,1.0,0.0
2007-05-29,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,0.0,0.0,1.0,1.0,0.0
2007-05-30,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,0.0,0.0,1.0,1.0,0.0
2007-05-31,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,0.0,0.0,1.0,1.0,0.0
