Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2007-05-10,20.07,20.07,19.98,19.98,20.07,20.07,19.98,19.98,2000.0,0.0,1.0,1.0,0.0
2007-05-11,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-14,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-15,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-16,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-17,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-18,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-21,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-22,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-23,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,0.0,0.0,1.0,1.0,0.0
2007-05-24,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,5000.0,0.0,1.0,1.0,0.0
2007-05-25,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,0.0,0.0,1.0,1.0,0.0
2007-05-29,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,0.0,0.0,1.0,1.0,0.0
2007-05-30,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,0.0,0.0,1.0,1.0,0.0
2007-05-31,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,1000.0,0.0,1.0,1.0,0.0
2007-06-01,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,0.0,0.0,1.0,1.0,0.0
2007-06-04,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,0.0,0.0,1.0,1.0,0.0
2007-06-05,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,0.0,0.0,1.0,1.0,0.0
2007-06-06,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,0.0,0.0,1.0,1.0,0.0
2007-06-07,20.67,20.67,20.67,20.67,20.67,20.67,20.67,20.67,0.0,0.0,1.0,1.0,0.0
2007-06-08,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,100.0,0.0,1.0,1.0,0.0
2007-06-11,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2007-06-12,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2007-06-13,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2007-06-14,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2007-06-15,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2007-06-18,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2007-06-19,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2007-06-20,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,0.0,0.0,1.0,1.0,0.0
2007-06-21,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,500.0,0.0,1.0,1.0,0.0
2007-06-22,20.18,20.18,20.18,20.18,20.18,20.18,20.18,20.18,0.0,0.0,1.0,1.0,0.0
2007-06-25,19.87,19.87,19.87,19.87,19.87,19.87,19.87,19.87,200.0,0.0,1.0,1.0,0.0
2007-06-26,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,100.0,0.0,1.0,1.0,0.0
2007-06-27,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0.0,0.0,1.0,1.0,0.0
