Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2007-01-11,100.38,100.38,100.24,100.24,100.38,100.38,100.24,100.24,60200.0,0.0,1.0,1.0,10.01
2007-01-12,100.0,100.0,99.95,99.95,100.0,100.0,99.95,99.95,40300.0,0.0,1.0,1.0,0.0
2007-01-16,99.93,99.93,99.93,99.93,99.93,99.93,99.93,99.93,14000.0,0.0,1.0,1.0,0.0
2007-01-17,99.93,99.93,99.93,99.93,99.93,99.93,99.93,99.93,0.0,0.0,1.0,1.0,0.0
2007-01-18,99.84,99.99,99.84,99.99,99.84,99.99,99.84,99.99,11000.0,0.0,1.0,1.0,0.0
2007-01-19,99.99,99.99,99.9,99.96,99.99,99.99,99.9,99.96,1800.0,0.0,1.0,1.0,0.0
2007-01-22,99.99,100.02,99.97,100.02,99.99,100.02,99.97,100.02,1300.0,0.0,1.0,1.0,0.0
2007-01-23,99.9,99.9,99.82,99.82,99.9,99.9,99.82,99.82,200.0,0.0,1.0,1.0,0.0
2007-01-24,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,9200.0,0.0,1.0,1.0,0.0
2007-01-25,99.79,99.79,99.58,99.58,99.79,99.79,99.58,99.58,3600.0,0.0,1.0,1.0,0.0
2007-01-26,99.54,99.55,99.53,99.53,99.54,99.55,99.53,99.53,4200.0,0.0,1.0,1.0,0.0
2007-01-29,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,1700.0,0.0,1.0,1.0,0.0
2007-01-30,99.54,99.7,99.54,99.7,99.54,99.7,99.54,99.7,500.0,0.0,1.0,1.0,0.0
2007-01-31,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,0.0,0.0,1.0,1.0,0.0
2007-02-01,99.96,100.16,99.65,99.65,99.96,100.16,99.65,99.65,2500.0,0.25,1.0,1.0,0.0
2007-02-02,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,0.0,0.0,1.0,1.0,0.0
2007-02-05,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,2000.0,0.0,1.0,1.0,0.0
2007-02-06,99.85,100.08,99.85,100.08,99.85,100.08,99.85,100.08,7100.0,0.0,1.0,1.0,0.0
2007-02-07,100.13,100.13,100.13,100.13,100.13,100.13,100.13,100.13,2600.0,0.0,1.0,1.0,0.0
2007-02-08,100.13,100.13,100.13,100.13,100.13,100.13,100.13,100.13,0.0,0.0,1.0,1.0,0.0
2007-02-09,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,600.0,0.0,1.0,1.0,0.0
