Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2017-09-07,50.1,50.11,50.1,50.1,50.1,50.11,50.1,50.1,1247.0,0.0,1.0,1.0,0.0
2017-09-08,49.95,49.95,49.87,49.87,49.95,49.95,49.87,49.87,1103.0,0.0,1.0,1.0,0.0
2017-09-11,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,246.0,0.0,1.0,1.0,2.5
2017-09-12,49.97,49.97,49.97,49.97,49.97,49.97,49.97,49.97,112.0,0.0,1.0,1.0,0.0
2017-09-13,49.97,49.97,49.97,49.97,49.97,49.97,49.97,49.97,18.0,0.0,1.0,1.0,0.0
2017-09-14,50.04,50.04,50.0,50.02,50.04,50.04,50.0,50.02,1733.0,0.0,1.0,1.0,0.0
2017-09-15,50.02,50.02,50.02,50.02,50.02,50.02,50.02,50.02,,,1.0,1.0,0.0
2017-09-18,50.06,50.06,50.0,50.0,50.06,50.06,50.0,50.0,5468.0,0.0,1.0,1.0,0.0
2017-09-19,50.06,50.1,50.06,50.08,50.06,50.1,50.06,50.08,1177.0,0.0,1.0,1.0,0.0
2017-09-20,50.11,50.11,49.92,49.93,50.11,50.11,49.92,49.93,14568.0,0.0,1.0,1.0,0.0
2017-09-21,49.95,49.95,49.9,49.94,49.95,49.95,49.9,49.94,20567.0,0.0,1.0,1.0,0.0
2017-09-22,49.96,49.96,49.93,49.95,49.96,49.96,49.93,49.95,6317.0,0.0,1.0,1.0,0.0
2017-09-25,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,5200.0,0.0,1.0,1.0,0.0
2017-09-26,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,100.0,0.0,1.0,1.0,0.0
2017-09-27,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,0.0,0.0,1.0,1.0,0.0
2017-09-28,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,300.0,0.0,1.0,1.0,0.0
2017-09-29,50.11,50.13,50.11,50.13,50.11,50.13,50.11,50.13,600.0,0.0,1.0,1.0,0.0
2017-10-02,49.96,49.96,49.87,49.87,49.96,49.96,49.87,49.87,2200.0,0.14,1.0,1.0,0.0
2017-10-03,50.0,50.0,49.99,50.0,50.0,50.0,49.99,50.0,23200.0,0.0,1.0,1.0,0.0
2017-10-04,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1.0,1.0,0.0
2017-10-05,50.0,50.03,50.0,50.0,50.0,50.03,50.0,50.0,16400.0,0.0,1.0,1.0,10.01
2017-10-06,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10100.0,0.0,1.0,1.0,-10.02
