Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2009-08-19,14.69,15.0,14.66,14.9,14.69,15.0,14.66,14.9,0.0,0.0,1.0,1.0,0.0
2009-08-20,15.09,15.25,15.05,15.17,15.09,15.25,15.05,15.17,0.0,0.0,1.0,1.0,0.0
2009-08-21,15.42,16.14,15.42,16.14,15.42,16.14,15.42,16.14,0.0,0.0,1.0,1.0,-0.0
2009-08-24,16.13,16.13,15.5,15.61,16.13,16.13,15.5,15.61,0.0,0.0,1.0,1.0,-0.0
2009-08-25,15.9,16.0,15.82,15.82,15.9,16.0,15.82,15.82,0.0,0.0,1.0,1.0,0.0
2009-08-26,15.75,15.75,15.5,15.71,15.75,15.75,15.5,15.71,10400.0,0.0,1.0,1.0,-0.0
2009-08-27,15.58,15.88,15.42,15.71,15.58,15.88,15.42,15.71,6800.0,0.0,1.0,1.0,0.0
2009-08-28,16.13,16.18,14.19,15.75,16.13,16.18,14.19,15.75,30600.0,0.0,1.0,1.0,-0.0
2009-08-31,15.59,15.69,14.93,15.69,15.59,15.69,14.93,15.69,7600.0,0.0,1.0,1.0,-0.0
2009-09-01,15.5,15.5,15.0,15.0,15.5,15.5,15.0,15.0,4200.0,0.0,1.0,1.0,0.0
2009-09-02,15.0,15.04,14.46,15.04,15.0,15.04,14.46,15.04,2500.0,0.0,1.0,1.0,-0.0
2009-09-03,15.23,15.23,15.04,15.04,15.23,15.23,15.04,15.04,1100.0,0.0,1.0,1.0,0.0
2009-09-04,15.11,15.68,15.11,15.68,15.11,15.68,15.11,15.68,6600.0,0.0,1.0,1.0,0.0
2009-09-08,16.21,16.21,15.92,15.92,16.21,16.21,15.92,15.92,3100.0,0.0,1.0,1.0,-0.0
2009-09-09,16.1,16.31,16.1,16.31,16.1,16.31,16.1,16.31,3800.0,0.0,1.0,1.0,0.0
2009-09-10,16.08,16.28,16.08,16.2,16.08,16.28,16.08,16.2,1600.0,0.0,1.0,1.0,-0.0
2009-09-11,16.54,16.54,16.19,16.26,16.54,16.54,16.19,16.26,2400.0,0.0,1.0,1.0,-0.0
2009-09-14,16.23,16.31,16.09,16.21,16.23,16.31,16.09,16.21,6200.0,0.0,1.0,1.0,0.0
2009-09-15,16.19,16.33,15.92,16.33,16.19,16.33,15.92,16.33,2400.0,0.0,1.0,1.0,0.0
2009-09-16,16.45,16.5,16.45,16.5,16.45,16.5,16.45,16.5,760.0,0.0,1.0,1.0,-0.0
2009-09-17,16.5,16.61,16.5,16.59,16.5,16.61,16.5,16.59,4500.0,0.0,1.0,1.0,-0.0
2009-09-18,16.75,16.75,16.55,16.67,16.75,16.75,16.55,16.67,3900.0,0.0,1.0,1.0,-0.0
2009-09-21,16.54,16.58,16.31,16.51,16.54,16.58,16.31,16.51,1900.0,0.0,1.0,1.0,0.0
2009-09-22,16.82,16.86,16.75,16.86,16.82,16.86,16.75,16.86,1500.0,0.0,1.0,1.0,0.0
2009-09-23,16.79,16.85,16.6,16.67,16.79,16.85,16.6,16.67,2000.0,0.0,1.0,1.0,-0.0
2009-09-24,16.61,16.61,16.0,16.2,16.61,16.61,16.0,16.2,20900.0,0.0,1.0,1.0,0.0
2009-09-25,16.26,16.32,16.0,16.18,16.26,16.32,16.0,16.18,11700.0,0.0,1.0,1.0,-0.0
2009-09-28,16.22,16.4,16.17,16.35,16.22,16.4,16.17,16.35,10200.0,0.0,1.0,1.0,0.0
2009-09-29,16.3,16.3,15.82,16.07,16.3,16.3,15.82,16.07,8800.0,0.0,1.0,1.0,-0.0
2009-09-30,16.26,16.32,16.0,16.23,16.26,16.32,16.0,16.23,1800.0,0.0,1.0,1.0,0.0
2009-10-01,16.1,16.1,15.7,15.7,16.1,16.1,15.7,15.7,19400.0,0.0,1.0,1.0,-0.0
