Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2008-09-03,37.75,37.82,36.95,37.1,37.75,37.82,36.95,37.1,2500.0,0.0,1.0,1.0,0.0
2008-09-04,38.0,38.0,35.2,35.65,38.0,38.0,35.2,35.65,6900.0,0.0,1.0,1.0,0.0
2008-09-05,35.85,36.15,34.86,36.15,35.85,36.15,34.86,36.15,13755.0,0.0,1.0,1.0,0.0
2008-09-08,36.16,37.05,35.5,35.65,36.16,37.05,35.5,35.65,9850.0,0.0,1.0,1.0,0.0
2008-09-09,35.01,35.01,33.3,33.3,35.01,35.01,33.3,33.3,15792.0,0.0,1.0,1.0,0.0
2008-09-10,34.68,34.68,33.28,33.95,34.68,34.68,33.28,33.95,8159.0,0.0,1.0,1.0,0.0
2008-09-11,33.34,34.12,33.0,34.0,33.34,34.12,33.0,34.0,3409.0,0.0,1.0,1.0,0.0
2008-09-12,34.7,35.9,34.42,35.9,34.7,35.9,34.42,35.9,18875.0,0.0,1.0,1.0,0.0
2008-09-15,35.62,35.63,33.58,33.9,35.62,35.63,33.58,33.9,13218.0,0.0,1.0,1.0,0.0
2008-09-16,32.0,34.1,32.0,34.1,32.0,34.1,32.0,34.1,8680.0,0.0,1.0,1.0,0.0
2008-09-17,33.56,35.26,32.8,33.41,33.56,35.26,32.8,33.41,25100.0,0.0,1.0,1.0,0.0
2008-09-18,34.21,34.35,33.0,34.21,34.21,34.35,33.0,34.21,7500.0,0.0,1.0,1.0,0.0
2008-09-19,36.5,36.7,35.57,36.7,36.5,36.7,35.57,36.7,9200.0,0.0,1.0,1.0,0.0
2008-09-22,37.98,38.21,37.0,37.0,37.98,38.21,37.0,37.0,52178.0,0.0,1.0,1.0,0.0
2008-09-23,37.89,38.76,36.1,37.55,37.89,38.76,36.1,37.55,37099.0,0.0,1.0,1.0,0.0
2008-09-24,37.99,37.99,34.95,34.95,37.99,37.99,34.95,34.95,39500.0,0.0,1.0,1.0,1.76
2008-09-25,35.3,36.07,35.0,35.21,35.3,36.07,35.0,35.21,11084.0,0.0,1.0,1.0,1.76
2008-09-26,34.55,34.65,34.0,34.43,34.55,34.65,34.0,34.43,7794.0,0.0,1.0,1.0,0.0
2008-09-29,34.5,34.63,30.0,31.15,34.5,34.63,30.0,31.15,19224.0,0.0,1.0,1.0,0.0
2008-09-30,32.46,32.46,31.2,32.08,32.46,32.46,31.2,32.08,5711.0,0.0,1.0,1.0,1.52
2008-10-01,31.7,32.49,31.18,31.58,31.7,32.49,31.18,31.58,18350.0,0.0,1.0,1.0,0.0
2008-10-02,31.0,31.0,28.17,28.17,31.0,31.0,28.17,28.17,15275.0,0.0,1.0,1.0,0.0
2008-10-03,28.7,29.62,27.8,27.8,28.7,29.62,27.8,27.8,6898.0,0.0,1.0,1.0,0.0
2008-10-06,25.66,26.5,24.19,25.56,25.66,26.5,24.19,25.56,17836.0,0.0,1.0,1.0,0.0
2008-10-07,25.9,26.5,24.8,24.8,25.9,26.5,24.8,24.8,21750.0,0.0,1.0,1.0,0.0
2008-10-08,23.19,25.55,23.19,25.3,23.19,25.55,23.19,25.3,13647.0,0.0,1.0,1.0,0.0
2008-10-09,25.95,26.24,23.02,23.21,25.95,26.24,23.02,23.21,10857.0,0.0,1.0,1.0,0.0
2008-10-10,19.98,24.15,19.98,22.75,19.98,24.15,19.98,22.75,13510.0,0.0,1.0,1.0,0.0
2008-10-13,26.37,26.37,23.71,25.4,26.37,26.37,23.71,25.4,15061.0,0.0,1.0,1.0,0.0
2008-10-14,25.69,27.0,24.34,25.35,25.69,27.0,24.34,25.35,8425.0,0.0,1.0,1.0,0.0
2008-10-15,24.08,24.15,21.09,22.34,24.08,24.15,21.09,22.34,13285.0,0.0,1.0,1.0,0.0
2008-10-16,21.5,22.4,20.1,22.4,21.5,22.4,20.1,22.4,10575.0,0.0,1.0,1.0,0.0
2008-10-17,23.55,23.79,21.4,22.55,23.55,23.79,21.4,22.55,8951.0,0.0,1.0,1.0,0.0
2008-10-20,23.18,23.92,23.0,23.85,23.18,23.92,23.0,23.85,9372.0,0.0,1.0,1.0,0.0
2008-10-21,24.0,24.0,23.28,23.45,24.0,24.0,23.28,23.45,4312.0,0.0,1.0,1.0,0.0
2008-10-22,22.01,22.28,20.87,21.0,22.01,22.28,20.87,21.0,21050.0,0.0,1.0,1.0,0.0
2008-10-23,22.36,22.36,19.97,20.24,22.36,22.36,19.97,20.24,25712.0,0.0,1.0,1.0,0.0
2008-10-24,19.1,19.8,18.01,19.8,19.1,19.8,18.01,19.8,7757.0,0.0,1.0,1.0,1.03
2008-10-27,19.0,20.0,18.3,19.11,19.0,20.0,18.3,19.11,12564.0,0.0,1.0,1.0,0.0
2008-10-28,20.0,20.3,19.1,20.3,20.0,20.3,19.1,20.3,11855.0,0.0,1.0,1.0,0.0
2008-10-29,21.96,23.1,21.71,22.96,21.96,23.1,21.71,22.96,61710.0,0.0,1.0,1.0,0.0
2008-10-30,24.0,24.0,22.4,23.15,24.0,24.0,22.4,23.15,10930.0,0.0,1.0,1.0,0.0
2008-10-31,23.98,24.17,23.31,24.01,23.98,24.17,23.31,24.01,9794.0,0.0,1.0,1.0,0.0
2008-11-03,23.55,24.0,23.28,23.93,23.55,24.0,23.28,23.93,4500.0,0.0,1.0,1.0,0.0
2008-11-04,24.01,26.0,24.01,25.74,24.01,26.0,24.01,25.74,16260.0,0.0,1.0,1.0,0.0
2008-11-05,26.69,26.69,23.39,24.0,26.69,26.69,23.39,24.0,13570.0,0.0,1.0,1.0,0.0
2008-11-06,24.4,24.4,22.12,22.25,24.4,24.4,22.12,22.25,27728.0,0.0,1.0,1.0,1.2
2008-11-07,24.32,24.32,21.81,23.1,24.32,24.32,21.81,23.1,21642.0,0.0,1.0,1.0,0.0
2008-11-10,25.13,26.96,23.5,23.5,25.13,26.96,23.5,23.5,22713.0,0.0,1.0,1.0,0.0
2008-11-11,25.12,25.12,22.25,22.51,25.12,25.12,22.25,22.51,12200.0,0.0,1.0,1.0,0.0
2008-11-12,23.0,23.0,20.5,20.85,23.0,23.0,20.5,20.85,9273.0,0.0,1.0,1.0,0.0
2008-11-13,20.85,22.35,20.0,22.35,20.85,22.35,20.0,22.35,10293.0,0.0,1.0,1.0,0.0
2008-11-14,22.03,22.5,21.71,21.95,22.03,22.5,21.71,21.95,3362.0,0.0,1.0,1.0,0.0
2008-11-17,23.63,23.63,20.9,21.46,23.63,23.63,20.9,21.46,14170.0,0.0,1.0,1.0,0.0
2008-11-18,21.0,21.41,20.75,21.01,21.0,21.41,20.75,21.01,8600.0,0.0,1.0,1.0,0.0
2008-11-19,20.55,20.72,20.0,20.0,20.55,20.72,20.0,20.0,3200.0,0.0,1.0,1.0,0.0
2008-11-20,20.09,20.09,18.5,18.5,20.09,20.09,18.5,18.5,23422.0,0.0,1.0,1.0,0.0
2008-11-21,19.5,21.0,18.21,19.58,19.5,21.0,18.21,19.58,14421.0,0.0,1.0,1.0,0.0
2008-11-24,21.48,21.48,18.38,21.48,21.48,21.48,18.38,21.48,9372.0,0.0,1.0,1.0,0.0
2008-11-25,21.45,21.84,19.75,21.84,21.45,21.84,19.75,21.84,8250.0,0.0,1.0,1.0,0.0
2008-11-26,22.05,22.55,21.04,22.5,22.05,22.55,21.04,22.5,10638.0,0.0,1.0,1.0,0.0
2008-11-28,22.38,22.73,22.34,22.73,22.38,22.73,22.34,22.73,1300.0,0.0,1.0,1.0,0.0
2008-12-01,22.94,22.99,20.42,20.42,22.94,22.99,20.42,20.42,19120.0,0.0,1.0,1.0,
2008-12-02,22.99,22.99,20.51,20.95,22.99,22.99,20.51,20.95,4280.0,0.0,1.0,1.0,0.0
2008-12-03,20.44,21.07,20.2,20.79,20.44,21.07,20.2,20.79,10645.0,0.0,1.0,1.0,0.0
2008-12-04,22.99,22.99,20.03,20.14,22.99,22.99,20.03,20.14,6931.0,0.0,1.0,1.0,0.0
2008-12-05,19.85,20.45,18.21,20.45,19.85,20.45,18.21,20.45,8600.0,0.0,1.0,1.0,1.0
2008-12-08,21.23,22.29,21.18,22.18,21.23,22.29,21.18,22.18,20776.0,0.0,1.0,1.0,0.0
2008-12-09,21.49,22.75,21.49,22.18,21.49,22.75,21.49,22.18,361677.0,0.0,1.0,1.0,0.0
2008-12-10,22.58,23.47,22.58,23.04,22.58,23.47,22.58,23.04,70234.0,0.0,1.0,1.0,7.61
2008-12-11,23.22,25.79,22.83,23.01,23.22,25.79,22.83,23.01,78200.0,0.0,1.0,1.0,1.14
2008-12-12,22.34,22.93,21.01,22.65,22.34,22.93,21.01,22.65,10950.0,0.0,1.0,1.0,1.12
2008-12-15,24.32,24.42,22.7,22.88,24.32,24.42,22.7,22.88,22464.0,0.0,1.0,1.0,0.0
2008-12-16,23.97,24.62,23.41,24.62,23.97,24.62,23.41,24.62,13234.0,0.0,1.0,1.0,0.0
2008-12-17,28.0,28.0,24.27,24.51,28.0,28.0,24.27,24.51,12983.0,0.0,1.0,1.0,0.0
2008-12-18,27.64,27.64,22.76,22.76,27.64,27.64,22.76,22.76,48897.0,0.0,1.0,1.0,1.2
2008-12-19,22.97,29.84,22.22,22.22,22.97,29.84,22.22,22.22,20363.0,0.0,1.0,1.0,1.15
2008-12-22,22.22,22.88,22.0,22.2,22.22,22.88,22.0,22.2,9232.0,0.0,1.0,1.0,0.0
2008-12-23,22.88,22.88,21.66,22.34,22.88,22.88,21.66,22.34,4109.0,0.0,1.0,1.0,0.0
2008-12-24,22.18,22.18,21.97,22.05,22.18,22.18,21.97,22.05,1414.0,0.0,1.0,1.0,0.0
2008-12-26,22.44,22.69,22.26,22.66,22.44,22.69,22.26,22.66,6153.0,0.06,1.0,1.0,0.0
2008-12-29,23.04,23.04,22.57,22.93,23.04,23.04,22.57,22.93,43088.0,0.0,1.0,1.0,0.0
2008-12-30,23.5,23.5,22.79,23.0,23.5,23.5,22.79,23.0,14488.0,0.0,1.0,1.0,0.0
2008-12-31,23.55,25.6,23.2,23.82,23.55,25.6,23.2,23.82,18989.0,0.0,1.0,1.0,2.3
2009-01-02,23.84,24.73,23.84,24.59,23.84,24.73,23.84,24.59,40222.0,0.0,1.0,1.0,0.0
2009-01-05,26.69,26.69,24.5,24.91,26.69,26.69,24.5,24.91,85073.0,0.0,1.0,1.0,0.0
2009-01-06,25.66,25.66,25.02,25.38,25.66,25.66,25.02,25.38,30349.0,0.0,1.0,1.0,1.23
2009-01-07,25.05,25.12,24.55,24.55,25.05,25.12,24.55,24.55,9837.0,0.0,1.0,1.0,0.0
2009-01-08,24.43,24.66,24.24,24.63,24.43,24.66,24.24,24.63,15270.0,0.0,1.0,1.0,0.0
2009-01-09,24.4,24.53,24.22,24.25,24.4,24.53,24.22,24.25,6513.0,0.0,1.0,1.0,0.0
2009-01-12,24.19,24.19,22.6,22.68,24.19,24.19,22.6,22.68,28480.0,0.0,1.0,1.0,0.0
2009-01-13,22.5,23.29,22.5,23.29,22.5,23.29,22.5,23.29,9135.0,0.0,1.0,1.0,1.14
2009-01-14,22.0,22.39,21.68,21.86,22.0,22.39,21.68,21.86,143591.0,0.0,1.0,1.0,-2.3
2009-01-15,21.7,22.11,20.65,21.75,21.7,22.11,20.65,21.75,96815.0,0.0,1.0,1.0,0.0
2009-01-16,22.73,22.77,22.37,22.66,22.73,22.77,22.37,22.66,7942.0,0.0,1.0,1.0,0.0
2009-01-20,22.35,22.35,21.3,21.3,22.35,22.35,21.3,21.3,17920.0,0.0,1.0,1.0,0.0
2009-01-21,21.74,22.13,21.49,22.0,21.74,22.13,21.49,22.0,4054.0,0.0,1.0,1.0,0.0
2009-01-22,22.0,22.1,21.54,22.0,22.0,22.1,21.54,22.0,3430.0,0.0,1.0,1.0,0.0
2009-01-23,21.75,22.4,21.52,22.35,21.75,22.4,21.52,22.35,5271.0,0.0,1.0,1.0,0.0
2009-01-26,22.98,23.16,22.64,22.83,22.98,23.16,22.64,22.83,7246.0,0.0,1.0,1.0,0.0
2009-01-27,23.05,23.05,22.73,22.9,23.05,23.05,22.73,22.9,5204.0,0.0,1.0,1.0,0.0
2009-01-28,23.5,23.63,23.18,23.42,23.5,23.63,23.18,23.42,8144.0,0.0,1.0,1.0,0.0
2009-01-29,22.99,23.13,22.5,22.5,22.99,23.13,22.5,22.5,69000.0,0.0,1.0,1.0,0.0
2009-01-30,22.94,23.11,22.4,22.58,22.94,23.11,22.4,22.58,5488.0,0.0,1.0,1.0,0.0
2009-02-02,21.99,22.26,21.79,21.79,21.99,22.26,21.79,21.79,6071.0,0.0,1.0,1.0,0.0
2009-02-03,22.35,22.44,21.85,22.44,22.35,22.44,21.85,22.44,15783.0,0.0,1.0,1.0,
2009-02-04,22.94,23.17,22.8,22.9,22.94,23.17,22.8,22.9,7500.0,0.0,1.0,1.0,0.0
