Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2009-02-05,25.73,26.06,25.73,26.05,51.46,52.12,51.46,52.1,61300.0,0.0,1.0,0.5,0.0
2009-02-06,26.06,26.16,26.05,26.16,52.12,52.32,52.1,52.32,71800.0,0.0,1.0,0.5,0.0
2009-02-09,26.17,26.2,26.05,26.2,52.34,52.4,52.1,52.4,34500.0,0.0,1.0,0.5,0.0
2009-02-10,26.21,26.25,26.04,26.2,52.42,52.5,52.08,52.4,18200.0,0.0,1.0,0.5,0.0
2009-02-11,26.2,26.2,26.05,26.17,52.4,52.4,52.1,52.34,3300.0,0.0,1.0,0.5,0.0
2009-02-12,26.19,26.22,26.17,26.22,52.38,52.44,52.34,52.44,14000.0,0.0,1.0,0.5,0.0
2009-02-13,26.22,26.23,26.2,26.23,52.44,52.46,52.4,52.46,7400.0,0.0,1.0,0.5,0.0
2009-02-17,26.23,26.62,26.09,26.22,52.46,53.23,52.18,52.44,12100.0,0.0,1.0,0.5,25.87
2009-02-18,26.24,26.3,26.15,26.28,52.48,52.6,52.3,52.56,14700.0,0.0,1.0,0.5,-25.89
2009-02-19,26.28,26.28,26.11,26.22,52.56,52.56,52.22,52.44,4300.0,0.0,1.0,0.5,0.0
2009-02-20,26.11,26.36,26.11,26.33,52.22,52.72,52.22,52.66,17500.0,0.0,1.0,0.5,0.0
2009-02-23,26.36,26.36,26.26,26.33,52.72,52.72,52.52,52.66,12300.0,0.0,1.0,0.5,0.0
2009-02-24,26.33,26.39,26.31,26.36,52.66,52.78,52.62,52.72,26600.0,0.0,1.0,0.5,0.0
2009-02-25,26.36,26.37,26.29,26.32,52.72,52.74,52.58,52.64,5200.0,0.0,1.0,0.5,0.0
2009-02-26,26.31,26.37,26.31,26.37,52.62,52.74,52.62,52.74,18200.0,0.0,1.0,0.5,0.0
2009-02-27,26.35,26.39,26.35,26.39,52.7,52.78,52.7,52.78,15600.0,0.0,1.0,0.5,0.0
2009-03-02,26.25,26.26,26.18,26.18,52.5,52.52,52.37,52.37,11000.0,0.18,1.0,0.5,0.0
2009-03-03,26.18,26.26,26.16,26.18,52.36,52.52,52.32,52.36,7600.0,0.0,1.0,0.5,0.0
2009-03-04,26.15,26.16,25.88,25.98,52.3,52.32,51.76,51.96,12900.0,0.0,1.0,0.5,0.0
2009-03-05,25.99,26.0,25.67,25.76,51.98,52.0,51.34,51.52,4800.0,0.0,1.0,0.5,0.0
2009-03-06,25.84,25.85,25.81,25.85,51.68,51.7,51.62,51.7,3500.0,0.0,1.0,0.5,0.0
2009-03-09,25.81,25.94,25.81,25.92,51.62,51.88,51.62,51.84,9200.0,0.0,1.0,0.5,0.0
2009-03-10,25.92,25.92,25.58,25.74,51.84,51.84,51.16,51.48,21700.0,0.0,1.0,0.5,0.0
2009-03-11,25.75,25.8,25.75,25.8,51.5,51.6,51.5,51.6,4800.0,0.0,1.0,0.5,0.0
2009-03-12,25.78,25.82,25.75,25.82,51.56,51.64,51.5,51.64,5100.0,0.0,1.0,0.5,0.0
2009-03-13,25.85,25.85,25.83,25.85,51.7,51.7,51.66,51.7,4000.0,0.0,1.0,0.5,0.0
2009-03-16,25.9,25.94,25.9,25.94,51.8,51.88,51.8,51.88,6500.0,0.0,1.0,0.5,0.0
2009-03-17,25.94,25.94,25.85,25.87,51.88,51.88,51.7,51.74,2900.0,0.0,1.0,0.5,0.0
2009-03-18,25.88,26.09,25.78,26.09,51.76,52.18,51.56,52.18,6300.0,0.0,1.0,0.5,0.0
2009-03-19,26.06,26.25,26.06,26.25,52.12,52.5,52.12,52.5,3900.0,0.0,1.0,0.5,0.0
2009-03-20,26.25,26.27,26.02,26.18,52.5,52.54,52.04,52.36,6800.0,0.0,1.0,0.5,0.0
2009-03-23,26.25,26.3,25.94,26.2,52.5,52.6,51.88,52.4,10400.0,0.0,1.0,0.5,0.0
2009-03-24,26.19,26.3,26.13,26.3,52.38,52.6,52.26,52.6,3500.0,0.0,1.0,0.5,0.0
2009-03-25,26.32,26.42,26.25,26.42,52.64,52.84,52.5,52.84,10200.0,0.0,1.0,0.5,0.0
2009-03-26,26.49,26.5,26.39,26.46,52.98,53.0,52.78,52.92,8200.0,0.0,1.0,0.5,0.0
