Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2012-05-14,25.03,25.06,25.02,25.05,25.03,25.06,25.02,25.05,3900.0,0.0,1.0,1.0,0.0
2012-05-15,25.0,25.0,24.96,24.98,25.0,25.0,24.96,24.98,2700.0,0.0,1.0,1.0,0.0
2012-05-16,24.93,24.93,24.88,24.9,24.93,24.93,24.88,24.9,1600.0,0.0,1.0,1.0,0.0
2012-05-17,24.82,24.82,24.5,24.56,24.82,24.82,24.5,24.56,3500.0,0.0,1.0,1.0,0.0
2012-05-18,24.36,24.36,24.23,24.23,24.36,24.36,24.23,24.23,1400.0,0.0,1.0,1.0,0.0
2012-05-21,24.31,24.32,24.31,24.32,24.31,24.32,24.31,24.32,2400.0,0.0,1.0,1.0,0.0
2012-05-22,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.43,1000.0,0.0,1.0,1.0,0.0
2012-05-23,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.39,400.0,0.0,1.0,1.0,0.0
2012-05-24,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.39,0.0,0.0,1.0,1.0,0.0
2012-05-25,24.3,24.3,24.29,24.29,24.3,24.3,24.29,24.29,200.0,0.0,1.0,1.0,0.0
2012-05-29,24.37,24.37,24.33,24.33,24.37,24.37,24.33,24.33,2700.0,0.0,1.0,1.0,0.0
2012-05-30,24.35,24.35,24.32,24.32,24.35,24.35,24.32,24.32,6000.0,0.0,1.0,1.0,0.0
2012-05-31,24.33,24.33,24.33,24.33,24.33,24.33,24.33,24.33,800.0,0.0,1.0,1.0,0.0
2012-06-01,24.11,24.17,24.11,24.17,24.11,24.17,24.11,24.17,2300.0,0.0,1.0,1.0,0.0
2012-06-04,24.24,24.24,24.24,24.24,24.24,24.24,24.24,24.24,500.0,0.0,1.0,1.0,0.0
2012-06-05,24.24,24.24,24.24,24.24,24.24,24.24,24.24,24.24,0.0,0.0,1.0,1.0,0.0
2012-06-06,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,600.0,0.0,1.0,1.0,0.0
2012-06-07,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,1000.0,0.0,1.0,1.0,0.0
2012-06-08,25.16,25.16,24.79,24.79,25.16,25.16,24.79,24.79,1700.0,0.0,1.0,1.0,0.0
2012-06-11,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,0.0,0.0,1.0,1.0,0.0
2012-06-12,24.76,24.76,24.75,24.75,24.76,24.76,24.75,24.75,600.0,0.0,1.0,1.0,0.0
2012-06-13,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,1000.0,0.0,1.0,1.0,0.0
2012-06-14,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,0.0,0.0,1.0,1.0,0.0
2012-06-15,24.75,24.83,24.75,24.83,24.75,24.83,24.75,24.83,400.0,0.0,1.0,1.0,0.0
2012-06-18,25.0,25.0,24.49,24.81,25.0,25.0,24.49,24.81,17400.0,0.0,1.0,1.0,0.0
2012-06-19,24.82,24.82,24.8,24.8,24.82,24.82,24.8,24.8,300.0,0.0,1.0,1.0,0.0
2012-06-20,25.13,25.13,24.96,24.98,25.13,25.13,24.96,24.98,4100.0,0.0,1.0,1.0,0.0
2012-06-21,25.15,25.15,25.0,25.03,25.15,25.15,25.0,25.03,8100.0,0.0,1.0,1.0,0.0
2012-06-22,25.03,25.03,25.03,25.03,25.03,25.03,25.03,25.03,0.0,0.0,1.0,1.0,0.0
2012-06-25,25.67,25.67,25.15,25.53,25.67,25.67,25.15,25.53,2400.0,0.0,1.0,1.0,0.0
2012-06-26,24.9,24.9,24.89,24.89,24.9,24.9,24.89,24.89,900.0,0.0,1.0,1.0,0.0
2012-06-27,24.94,25.06,24.94,25.06,24.94,25.06,24.94,25.06,5400.0,0.0,1.0,1.0,4.91
2012-06-28,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,1600.0,0.0,1.0,1.0,0.0
2012-06-29,25.03,25.03,25.03,25.03,25.03,25.03,25.03,25.03,2200.0,0.0,1.0,1.0,0.0
2012-07-02,25.05,25.05,24.93,24.95,25.05,25.05,24.93,24.95,3100.0,0.16,1.0,1.0,0.0
2012-07-03,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95,0.0,0.0,1.0,1.0,0.0
2012-07-05,25.11,25.17,25.1,25.17,25.11,25.17,25.1,25.17,1200.0,0.0,1.0,1.0,0.0
2012-07-06,25.49,25.83,25.2,25.21,25.49,25.83,25.2,25.21,4300.0,0.0,1.0,1.0,0.0
2012-07-09,25.21,25.21,25.21,25.21,25.21,25.21,25.21,25.21,0.0,0.0,1.0,1.0,0.0
2012-07-10,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16,700.0,0.0,1.0,1.0,0.0
2012-07-11,25.18,25.2,25.16,25.18,25.18,25.2,25.16,25.18,7100.0,0.0,1.0,1.0,0.0
2012-07-12,25.18,25.25,25.16,25.17,25.18,25.25,25.16,25.17,4300.0,0.0,1.0,1.0,0.0
2012-07-13,25.27,25.4,25.25,25.4,25.27,25.4,25.25,25.4,10300.0,0.0,1.0,1.0,0.0
2012-07-16,25.73,25.95,25.39,25.91,25.73,25.95,25.39,25.91,5600.0,0.0,1.0,1.0,0.0
2012-07-17,25.8,25.91,25.79,25.91,25.8,25.91,25.79,25.91,2200.0,0.0,1.0,1.0,0.0
2012-07-18,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,80100.0,0.0,1.0,1.0,0.0
2012-07-19,25.85,25.85,25.6,25.82,25.85,25.85,25.6,25.82,5300.0,0.0,1.0,1.0,0.0
2012-07-20,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,0.0,0.0,1.0,1.0,0.0
2012-07-23,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,0.0,0.0,1.0,1.0,0.0
2012-07-24,25.61,25.66,25.61,25.66,25.61,25.66,25.61,25.66,500.0,0.0,1.0,1.0,0.0
2012-07-25,25.63,25.63,25.55,25.55,25.63,25.63,25.55,25.55,1400.0,0.0,1.0,1.0,0.0
2012-07-26,25.7,25.7,25.62,25.63,25.7,25.7,25.62,25.63,900.0,0.0,1.0,1.0,0.0
2012-07-27,25.74,25.74,25.74,25.74,25.74,25.74,25.74,25.74,400.0,0.0,1.0,1.0,0.0
2012-07-30,25.89,25.95,25.89,25.95,25.89,25.95,25.89,25.95,2000.0,0.0,1.0,1.0,0.0
2012-07-31,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,600.0,0.0,1.0,1.0,0.0
2012-08-01,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,0.0,0.16,1.0,1.0,0.0
2012-08-02,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,0.0,0.0,1.0,1.0,0.0
2012-08-03,25.85,25.85,25.74,25.85,25.85,25.85,25.74,25.85,3300.0,0.0,1.0,1.0,0.0
2012-08-06,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,600.0,0.0,1.0,1.0,0.0
2012-08-07,25.99,25.99,25.97,25.98,25.99,25.99,25.97,25.98,2900.0,0.0,1.0,1.0,0.0
2012-08-08,26.05,26.05,25.99,25.99,26.05,26.05,25.99,25.99,5400.0,0.0,1.0,1.0,0.0
2012-08-09,26.03,26.03,26.0,26.02,26.03,26.03,26.0,26.02,1800.0,0.0,1.0,1.0,0.0
2012-08-10,26.06,26.07,25.92,25.92,26.06,26.07,25.92,25.92,3800.0,0.0,1.0,1.0,0.0
2012-08-13,26.0,26.03,25.95,25.96,26.0,26.03,25.95,25.96,1200.0,0.0,1.0,1.0,0.0
2012-08-14,26.0,26.05,25.89,25.89,26.0,26.05,25.89,25.89,25700.0,0.0,1.0,1.0,0.0
2012-08-15,25.92,25.92,25.85,25.86,25.92,25.92,25.85,25.86,6500.0,0.0,1.0,1.0,0.0
2012-08-16,26.03,26.03,25.86,25.88,26.03,26.03,25.86,25.88,12600.0,0.0,1.0,1.0,0.0
2012-08-17,25.95,25.95,25.89,25.91,25.95,25.95,25.89,25.91,8500.0,0.0,1.0,1.0,0.0
2012-08-20,26.2,26.2,25.94,25.94,26.2,26.2,25.94,25.94,8900.0,0.0,1.0,1.0,0.0
2012-08-21,26.33,26.33,25.98,26.03,26.33,26.33,25.98,26.03,6300.0,0.0,1.0,1.0,0.0
2012-08-22,26.14,26.2,26.06,26.06,26.14,26.2,26.06,26.06,5700.0,0.0,1.0,1.0,0.0
2012-08-23,26.11,26.12,26.05,26.06,26.11,26.12,26.05,26.06,2900.0,0.0,1.0,1.0,0.0
2012-08-24,26.12,26.14,26.08,26.11,26.12,26.14,26.08,26.11,11100.0,0.0,1.0,1.0,0.0
2012-08-27,26.14,26.16,26.12,26.14,26.14,26.16,26.12,26.14,9100.0,0.0,1.0,1.0,0.0
2012-08-28,26.2,26.2,26.1,26.1,26.2,26.2,26.1,26.1,9500.0,0.0,1.0,1.0,0.0
2012-08-29,26.19,26.24,26.16,26.24,26.19,26.24,26.16,26.24,5200.0,0.0,1.0,1.0,0.0
2012-08-30,26.17,26.2,26.06,26.15,26.17,26.2,26.06,26.15,23500.0,0.0,1.0,1.0,0.0
2012-08-31,26.16,26.28,26.07,26.21,26.16,26.28,26.07,26.21,13000.0,0.0,1.0,1.0,0.0
