Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2011-04-14,50.0,50.0,49.96,50.0,50.0,50.0,49.96,50.0,1300.0,0.0,1.0,1.0,0.0
2011-04-15,50.03,50.04,50.0,50.0,50.03,50.04,50.0,50.0,7900.0,0.0,1.0,1.0,0.0
2011-04-18,49.94,49.98,49.91,49.97,49.94,49.98,49.91,49.97,1000.0,0.0,1.0,1.0,0.0
2011-04-19,49.97,49.97,49.97,49.97,49.97,49.97,49.97,49.97,0.0,0.0,1.0,1.0,0.0
2011-04-20,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5100.0,0.0,1.0,1.0,0.0
2011-04-21,50.02,50.1,50.02,50.1,50.02,50.1,50.02,50.1,2000.0,0.0,1.0,1.0,0.0
2011-04-25,50.04,50.13,50.01,50.13,50.04,50.13,50.01,50.13,7000.0,0.0,1.0,1.0,0.0
2011-04-26,50.15,50.15,50.01,50.1,50.15,50.15,50.01,50.1,3400.0,0.0,1.0,1.0,0.0
2011-04-27,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,500.0,0.0,1.0,1.0,0.0
2011-04-28,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04,0.0,0.0,1.0,1.0,0.0
2011-04-29,50.29,50.29,50.04,50.04,50.29,50.29,50.04,50.04,400.0,0.0,1.0,1.0,0.0
2011-05-02,50.02,50.05,49.91,49.99,50.02,50.05,49.91,49.99,9800.0,0.1,1.0,1.0,0.0
2011-05-03,49.91,49.99,49.84,49.95,49.91,49.99,49.84,49.95,17000.0,0.0,1.0,1.0,0.0
2011-05-04,50.05,50.05,49.95,49.95,50.05,50.05,49.95,49.95,300.0,0.0,1.0,1.0,0.0
2011-05-05,49.84,49.85,49.84,49.85,49.84,49.85,49.84,49.85,10000.0,0.0,1.0,1.0,0.0
2011-05-06,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,400.0,0.0,1.0,1.0,0.0
2011-05-09,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,800.0,0.0,1.0,1.0,0.0
2011-05-10,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,0.0,0.0,1.0,1.0,0.0
2011-05-11,50.5,50.5,50.1,50.1,50.5,50.5,50.1,50.1,1000.0,0.0,1.0,1.0,0.0
2011-05-12,50.25,50.25,50.0,50.02,50.25,50.25,50.0,50.02,18000.0,0.0,1.0,1.0,0.0
2011-05-13,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,200.0,0.0,1.0,1.0,0.0
2011-05-16,50.09,50.09,50.0,50.0,50.09,50.09,50.0,50.0,2300.0,0.0,1.0,1.0,0.0
2011-05-17,50.0,50.02,49.99,50.0,50.0,50.02,49.99,50.0,6800.0,0.0,1.0,1.0,0.0
2011-05-18,50.04,50.04,49.98,49.99,50.04,50.04,49.98,49.99,4900.0,0.0,1.0,1.0,0.0
2011-05-19,50.0,50.03,50.0,50.03,50.0,50.03,50.0,50.03,1800.0,0.0,1.0,1.0,0.0
2011-05-20,50.03,50.03,50.03,50.03,50.03,50.03,50.03,50.03,0.0,0.0,1.0,1.0,0.0
2011-05-23,49.93,49.94,49.75,49.83,49.93,49.94,49.75,49.83,6800.0,0.0,1.0,1.0,0.0
2011-05-24,49.83,50.02,49.69,49.69,49.83,50.02,49.69,49.69,8500.0,0.0,1.0,1.0,0.0
2011-05-25,50.0,50.0,49.9,49.95,50.0,50.0,49.9,49.95,10000.0,0.0,1.0,1.0,0.0
2011-05-26,50.02,50.02,49.95,49.95,50.02,50.02,49.95,49.95,600.0,0.0,1.0,1.0,0.0
2011-05-27,50.01,50.91,50.0,50.01,50.01,50.91,50.0,50.01,9000.0,0.0,1.0,1.0,0.0
2011-05-31,50.05,50.05,49.99,50.02,50.05,50.05,49.99,50.02,9800.0,0.0,1.0,1.0,0.0
2011-06-01,49.6,50.0,49.6,49.94,49.6,50.0,49.6,49.94,1200.0,0.26,1.0,1.0,0.0
2011-06-02,49.94,49.94,49.94,49.94,49.94,49.94,49.94,49.94,0.0,0.0,1.0,1.0,0.0
