Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2006-05-05,49.84,50.12,49.84,50.12,49.84,50.12,49.84,50.12,600.0,0.0,1.0,1.0,0.0
2006-05-08,50.53,50.53,50.33,50.36,50.53,50.53,50.33,50.36,900.0,0.0,1.0,1.0,0.0
2006-05-09,50.33,50.38,50.22,50.31,50.33,50.38,50.22,50.31,5100.0,0.0,1.0,1.0,0.0
2006-05-10,50.22,50.35,50.1,50.32,50.22,50.35,50.1,50.32,32300.0,0.0,1.0,1.0,0.0
2006-05-11,50.19,50.19,49.64,49.75,50.19,50.19,49.64,49.75,4100.0,0.0,1.0,1.0,0.0
2006-05-12,49.75,49.82,49.4,49.4,49.75,49.82,49.4,49.4,33400.0,0.0,1.0,1.0,0.0
2006-05-15,49.48,49.83,49.48,49.79,49.48,49.83,49.48,49.79,9700.0,0.0,1.0,1.0,0.0
2006-05-16,49.83,49.83,49.63,49.65,49.83,49.83,49.63,49.65,63400.0,0.0,1.0,1.0,0.0
2006-05-17,48.95,49.38,48.86,49.05,48.95,49.38,48.86,49.05,3800.0,0.0,1.0,1.0,0.0
2006-05-18,49.0,49.0,48.55,48.55,49.0,49.0,48.55,48.55,2100.0,0.0,1.0,1.0,0.0
2006-05-19,48.85,49.08,48.67,49.08,48.85,49.08,48.67,49.08,31000.0,0.0,1.0,1.0,0.0
2006-05-22,48.94,49.2,48.71,49.19,48.94,49.2,48.71,49.19,1800.0,0.0,1.0,1.0,0.0
2006-05-23,49.05,49.05,48.74,48.74,49.05,49.05,48.74,48.74,1700.0,0.0,1.0,1.0,0.0
2006-05-24,48.54,48.96,48.52,48.89,48.54,48.96,48.52,48.89,6800.0,0.0,1.0,1.0,7.3
2006-05-25,48.95,49.08,48.85,48.97,48.95,49.08,48.85,48.97,9700.0,0.0,1.0,1.0,0.0
2006-05-26,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,300.0,0.0,1.0,1.0,0.0
2006-05-30,49.0,49.0,48.65,48.65,49.0,49.0,48.65,48.65,4400.0,0.0,1.0,1.0,0.0
2006-05-31,48.76,48.81,48.76,48.81,48.76,48.81,48.76,48.81,2500.0,0.0,1.0,1.0,0.0
2006-06-01,48.9,49.39,48.9,49.39,48.9,49.39,48.9,49.39,44000.0,0.0,1.0,1.0,0.0
2006-06-02,49.64,49.9,49.52,49.74,49.64,49.9,49.52,49.74,4100.0,0.0,1.0,1.0,0.0
2006-06-05,49.55,49.55,49.0,49.0,49.55,49.55,49.0,49.0,1600.0,0.0,1.0,1.0,0.0
2006-06-06,49.0,49.0,48.5,48.83,49.0,49.0,48.5,48.83,900.0,0.0,1.0,1.0,0.0
