Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2019-09-19,25.14,25.17,25.05,25.17,25.14,25.17,25.05,25.17,30000.0,0.0,1.0,1.0,0.0
2019-09-20,25.22,25.29,25.22,25.29,25.22,25.29,25.22,25.29,3000.0,0.0,1.0,1.0,0.0
2019-09-23,27.06,27.06,25.37,25.37,27.06,27.06,25.37,25.37,5300.0,0.0,1.0,1.0,0.0
2019-09-24,25.41,25.5,25.41,25.48,25.41,25.5,25.41,25.48,2100.0,0.0,1.0,1.0,0.0
2019-09-25,25.45,25.45,25.28,25.28,25.45,25.45,25.28,25.28,900.0,0.0,1.0,1.0,0.0
2019-09-26,25.39,25.4,25.38,25.38,25.39,25.4,25.38,25.38,3100.0,0.0,1.0,1.0,0.0
2019-09-27,25.38,25.41,25.38,25.4,25.38,25.41,25.38,25.4,1400.0,0.0,1.0,1.0,0.0
2019-09-30,25.39,25.4,25.39,25.4,25.39,25.4,25.39,25.4,11000.0,0.0,1.0,1.0,0.0
2019-10-01,25.44,25.46,25.44,25.46,25.44,25.46,25.44,25.46,200.0,0.0,1.0,1.0,0.0
2019-10-02,26.34,26.34,25.48,25.48,26.34,26.34,25.48,25.48,5100.0,0.0,1.0,1.0,0.0
2019-10-03,25.53,25.6,25.49,25.6,25.53,25.6,25.49,25.6,400.0,0.0,1.0,1.0,0.0
2019-10-04,25.69,25.7,25.69,25.69,25.69,25.7,25.69,25.69,500.0,0.0,1.0,1.0,0.0
2019-10-07,25.65,26.51,25.57,25.57,25.65,26.51,25.57,25.57,17200.0,0.0,1.0,1.0,0.0
2019-10-08,25.62,25.62,25.58,25.62,25.62,25.62,25.58,25.62,1700.0,0.0,1.0,1.0,0.0
2019-10-09,25.55,25.55,25.5,25.51,25.55,25.55,25.5,25.51,55900.0,0.0,1.0,1.0,0.0
2019-10-10,25.41,25.43,25.4,25.41,25.41,25.43,25.4,25.41,131200.0,0.0,1.0,1.0,0.0
2019-10-11,25.36,25.36,25.28,25.33,25.36,25.36,25.28,25.33,70900.0,0.0,1.0,1.0,0.0
2019-10-14,25.33,25.46,25.33,25.38,25.33,25.46,25.33,25.38,9300.0,0.0,1.0,1.0,2.52
2019-10-15,25.32,25.36,25.32,25.34,25.32,25.36,25.32,25.34,13000.0,0.0,1.0,1.0,0.0
2019-10-16,25.34,25.42,25.34,25.4,25.34,25.42,25.34,25.4,8200.0,0.0,1.0,1.0,0.0
2019-10-17,25.37,25.46,25.34,25.4,25.37,25.46,25.34,25.4,6000.0,0.0,1.0,1.0,0.0
2019-10-18,25.43,25.46,25.41,25.46,25.43,25.46,25.41,25.46,3200.0,0.0,1.0,1.0,5.06
2019-10-21,25.4,25.4,25.37,25.38,25.4,25.4,25.37,25.38,1000.0,0.0,1.0,1.0,0.0
2019-10-22,25.51,25.51,25.42,25.42,25.51,25.51,25.42,25.42,4800.0,0.0,1.0,1.0,0.0
2019-10-23,25.46,25.48,25.44,25.46,25.46,25.48,25.44,25.46,4500.0,0.0,1.0,1.0,0.0
2019-10-24,25.46,25.49,25.46,25.49,25.46,25.49,25.46,25.49,800.0,0.0,1.0,1.0,0.0
2019-10-25,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,700.0,0.0,1.0,1.0,0.0
2019-10-28,25.4,25.4,25.38,25.38,25.4,25.4,25.38,25.38,900.0,0.0,1.0,1.0,0.0
2019-10-29,25.4,25.4,25.38,25.38,25.4,25.4,25.38,25.38,2600.0,0.0,1.0,1.0,0.0
2019-10-30,25.41,25.41,25.38,25.41,25.41,25.41,25.38,25.41,3300.0,0.0,1.0,1.0,0.0
2019-10-31,25.6,25.63,25.6,25.63,25.6,25.63,25.6,25.63,1700.0,0.0,1.0,1.0,0.0
2019-11-01,25.54,25.54,25.49,25.51,25.54,25.54,25.49,25.51,3400.0,0.08,1.0,1.0,0.0
2019-11-04,25.42,25.44,25.41,25.41,25.42,25.44,25.41,25.41,54400.0,0.0,1.0,1.0,0.0
2019-11-05,25.3,25.3,25.24,25.27,25.3,25.3,25.24,25.27,6600.0,0.0,1.0,1.0,0.0
2019-11-06,25.33,25.34,25.32,25.34,25.33,25.34,25.32,25.34,800.0,0.0,1.0,1.0,0.0
2019-11-07,25.2,25.2,25.18,25.18,25.2,25.2,25.18,25.18,500.0,0.0,1.0,1.0,0.0
2019-11-08,25.26,25.26,25.2,25.2,25.26,25.26,25.2,25.2,5200.0,0.0,1.0,1.0,0.0
2019-11-11,25.22,25.22,25.17,25.2,25.22,25.22,25.17,25.2,4100.0,0.0,1.0,1.0,0.0
2019-11-12,25.23,25.23,25.16,25.18,25.23,25.23,25.16,25.18,1000.0,0.0,1.0,1.0,0.0
2019-11-13,25.23,25.25,25.23,25.24,25.23,25.25,25.23,25.24,14900.0,0.0,1.0,1.0,0.0
2019-11-14,25.33,25.38,25.32,25.36,25.33,25.38,25.32,25.36,8200.0,0.0,1.0,1.0,0.0
2019-11-15,25.35,25.35,25.33,25.34,25.35,25.35,25.33,25.34,6100.0,0.0,1.0,1.0,0.0
2019-11-18,25.38,25.4,25.37,25.39,25.38,25.4,25.37,25.39,11600.0,0.0,1.0,1.0,0.0
2019-11-19,25.37,25.43,25.37,25.43,25.37,25.43,25.37,25.43,18400.0,0.0,1.0,1.0,0.0
2019-11-20,25.48,25.5,25.46,25.48,25.48,25.5,25.46,25.48,2200.0,0.0,1.0,1.0,0.0
2019-11-21,25.4,25.4,25.39,25.4,25.4,25.4,25.39,25.4,600.0,0.0,1.0,1.0,0.0
