Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2019-05-09,25.02,25.02,24.95,24.95,25.02,25.02,24.95,24.95,9500.0,0.0,1.0,1.0,0.0
2019-05-10,24.96,24.97,24.96,24.96,24.96,24.97,24.96,24.96,400.0,0.0,1.0,1.0,0.0
2019-05-13,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,200.0,0.0,1.0,1.0,0.0
2019-05-14,24.93,24.93,24.89,24.89,24.93,24.93,24.89,24.89,12000.0,0.0,1.0,1.0,0.0
2019-05-15,24.93,24.93,24.93,24.93,24.93,24.93,24.93,24.93,200.0,0.0,1.0,1.0,0.0
2019-05-16,24.98,24.98,24.98,24.98,24.98,24.98,24.98,24.98,100.0,0.0,1.0,1.0,0.0
2019-05-17,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,0.0,0.0,1.0,1.0,0.0
2019-05-20,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,0.0,0.0,1.0,1.0,0.0
2019-05-21,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,0.0,0.0,1.0,1.0,0.0
2019-05-22,24.96,25.01,24.96,25.01,24.96,25.01,24.96,25.01,100.0,0.0,1.0,1.0,0.0
2019-05-23,24.97,24.97,24.93,24.93,24.97,24.97,24.93,24.93,300.0,0.0,1.0,1.0,0.0
2019-05-24,24.93,24.93,24.93,24.93,24.93,24.93,24.93,24.93,0.0,0.0,1.0,1.0,0.0
2019-05-28,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,0.0,0.0,1.0,1.0,0.0
2019-05-29,24.84,24.84,24.84,24.84,24.84,24.84,24.84,24.84,100.0,0.0,1.0,1.0,0.0
2019-05-30,24.84,24.84,24.84,24.84,24.84,24.84,24.84,24.84,0.0,0.0,1.0,1.0,0.0
2019-05-31,24.87,24.87,24.77,24.77,24.87,24.87,24.77,24.77,2000.0,0.0,1.0,1.0,0.0
2019-06-03,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,0.0,0.0,1.0,1.0,0.0
2019-06-04,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,0.0,0.0,1.0,1.0,0.0
2019-06-05,24.97,24.97,24.96,24.97,24.97,24.97,24.96,24.97,1000.0,0.0,1.0,1.0,0.0
2019-06-06,24.96,24.99,24.96,24.99,24.96,24.99,24.96,24.99,10900.0,0.0,1.0,1.0,0.0
2019-06-07,25.02,25.02,25.01,25.02,25.02,25.02,25.01,25.02,1400.0,0.0,1.0,1.0,0.0
2019-06-10,25.06,25.07,25.04,25.04,25.06,25.07,25.04,25.04,360.0,0.0,1.0,1.0,0.0
2019-06-11,25.05,25.05,25.05,25.05,25.05,25.05,25.05,25.05,0.0,0.0,1.0,1.0,0.0
2019-06-12,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,100100.0,0.0,1.0,1.0,0.0
2019-06-13,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.04,0.0,0.0,1.0,1.0,0.0
2019-06-14,25.04,25.05,25.04,25.05,25.04,25.05,25.04,25.05,200.0,0.0,1.0,1.0,0.0
2019-06-17,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,1.0,1.0,0.0
2019-06-18,25.11,25.12,25.11,25.11,25.11,25.12,25.11,25.11,1100.0,0.0,1.0,1.0,0.0
2019-06-19,25.19,25.19,25.19,25.19,25.19,25.19,25.19,25.19,0.0,0.0,1.0,1.0,0.0
2019-06-20,25.3,25.3,25.26,25.28,25.3,25.3,25.26,25.28,4700.0,0.0,1.0,1.0,0.0
2019-06-21,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,0.0,0.0,1.0,1.0,0.0
