Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2015-09-04,25.01,25.13,25.01,25.13,25.01,25.13,25.01,25.13,9000.0,0.0,1.0,1.0,0.0
2015-09-08,25.07,25.07,25.05,25.05,25.07,25.07,25.05,25.05,1200.0,0.0,1.0,1.0,0.0
2015-09-09,25.03,25.09,24.97,25.09,25.03,25.09,24.97,25.09,2100.0,0.0,1.0,1.0,0.0
2015-09-10,25.01,25.12,25.01,25.1,25.01,25.12,25.01,25.1,33500.0,0.0,1.0,1.0,0.0
2015-09-11,25.06,25.08,25.05,25.05,25.06,25.08,25.05,25.05,2000.0,0.0,1.0,1.0,0.0
2015-09-14,25.07,25.11,25.06,25.07,25.07,25.11,25.06,25.07,29575.0,0.0,1.0,1.0,0.0
2015-09-15,25.07,25.07,24.99,25.01,25.07,25.07,24.99,25.01,15900.0,0.0,1.0,1.0,2.5
2015-09-16,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,1200.0,0.0,1.0,1.0,0.0
2015-09-17,25.08,25.11,25.06,25.07,25.08,25.11,25.06,25.07,24500.0,0.0,1.0,1.0,0.0
2015-09-18,25.1,25.14,25.1,25.14,25.1,25.14,25.1,25.14,23400.0,0.0,1.0,1.0,0.0
2015-09-21,25.17,25.17,25.17,25.17,25.17,25.17,25.17,25.17,16065.0,0.0,1.0,1.0,0.0
2015-09-22,25.2,25.22,25.2,25.22,25.2,25.22,25.2,25.22,15270.0,0.0,1.0,1.0,0.0
2015-09-23,25.25,25.27,25.17,25.23,25.25,25.27,25.17,25.23,32300.0,0.0,1.0,1.0,0.0
2015-09-24,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,1000.0,0.0,1.0,1.0,0.0
2015-09-25,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,1500.0,0.0,1.0,1.0,0.0
2015-09-28,25.3,25.3,25.28,25.28,25.3,25.3,25.28,25.28,5100.0,0.0,1.0,1.0,0.0
2015-09-29,25.35,25.35,25.34,25.34,25.35,25.35,25.34,25.34,3150.0,0.0,1.0,1.0,2.53
2015-09-30,25.39,25.39,25.37,25.39,25.39,25.39,25.37,25.39,10800.0,0.0,1.0,1.0,0.0
2015-10-01,25.39,25.43,25.39,25.42,25.39,25.43,25.39,25.42,40353.0,0.0,1.0,1.0,0.0
2015-10-02,25.4,25.46,25.38,25.38,25.4,25.46,25.38,25.38,1555.0,0.0,1.0,1.0,0.0
2015-10-05,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38,0.0,0.0,1.0,1.0,0.0
2015-10-06,25.4,25.51,25.4,25.4,25.4,25.51,25.4,25.4,17766.0,0.0,1.0,1.0,0.0
2015-10-07,25.46,25.46,25.39,25.39,25.46,25.46,25.39,25.39,9287.0,0.0,1.0,1.0,0.0
2015-10-08,25.45,25.45,25.44,25.44,25.45,25.45,25.44,25.44,2300.0,0.0,1.0,1.0,0.0
2015-10-09,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,1300.0,0.0,1.0,1.0,0.0
2015-10-12,25.52,25.52,25.45,25.45,25.52,25.52,25.45,25.45,5899.0,0.0,1.0,1.0,0.0
2015-10-13,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48,451.0,0.0,1.0,1.0,0.0
2015-10-14,25.49,25.49,25.49,25.49,25.49,25.49,25.49,25.49,10000.0,0.0,1.0,1.0,0.0
2015-10-15,25.5,25.51,25.41,25.5,25.5,25.51,25.41,25.5,3160.0,0.0,1.0,1.0,0.0
2015-10-16,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,200.0,0.0,1.0,1.0,0.0
