Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2018-11-15,25.19,25.19,25.18,25.18,25.19,25.19,25.18,25.18,4100.0,0.0,1.0,1.0,0.0
2018-11-16,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18,0.0,0.0,1.0,1.0,0.0
2018-11-19,25.23,25.24,25.23,25.24,25.23,25.24,25.23,25.24,2200.0,0.0,1.0,1.0,0.0
2018-11-20,25.24,25.27,25.24,25.27,25.24,25.27,25.24,25.27,7700.0,0.0,1.0,1.0,0.0
2018-11-21,25.27,25.27,25.27,25.27,25.27,25.27,25.27,25.27,0.0,0.0,1.0,1.0,0.0
2018-11-23,25.27,25.27,25.27,25.27,25.27,25.27,25.27,25.27,0.0,0.0,1.0,1.0,0.0
2018-11-26,25.25,25.25,25.25,25.25,25.25,25.25,25.25,25.25,395.0,0.0,1.0,1.0,0.0
2018-11-27,25.25,25.25,25.25,25.25,25.25,25.25,25.25,25.25,0.0,0.0,1.0,1.0,1.26
2018-11-28,25.34,25.34,25.34,25.34,25.34,25.34,25.34,25.34,2000.0,0.0,1.0,1.0,0.0
2018-11-29,25.41,25.41,25.4,25.4,25.41,25.41,25.4,25.4,5000.0,0.0,1.0,1.0,0.0
2018-11-30,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,2200.0,0.0,1.0,1.0,0.0
2018-12-03,25.45,25.48,25.45,25.48,25.45,25.48,25.45,25.48,21000.0,0.0,1.0,1.0,0.0
2018-12-04,25.53,25.56,25.53,25.54,25.53,25.56,25.53,25.54,3900.0,0.0,1.0,1.0,0.0
2018-12-06,25.6,25.6,25.59,25.6,25.6,25.6,25.59,25.6,8778.0,0.0,1.0,1.0,1.28
2018-12-07,25.69,25.72,25.69,25.72,25.69,25.72,25.69,25.72,11000.0,0.0,1.0,1.0,0.0
2018-12-10,25.73,25.73,25.71,25.72,25.73,25.73,25.71,25.72,6300.0,0.0,1.0,1.0,0.0
2018-12-11,25.72,25.72,25.68,25.69,25.72,25.72,25.68,25.69,5100.0,0.0,1.0,1.0,0.0
2018-12-12,25.67,25.7,25.67,25.68,25.67,25.7,25.67,25.68,5600.0,0.0,1.0,1.0,0.0
2018-12-13,25.7,25.7,25.68,25.68,25.7,25.7,25.68,25.68,6100.0,0.0,1.0,1.0,0.0
2018-12-14,25.68,25.71,25.68,25.68,25.68,25.71,25.68,25.68,2300.0,0.0,1.0,1.0,0.0
2018-12-17,25.71,25.73,25.71,25.71,25.71,25.73,25.71,25.71,4600.0,0.0,1.0,1.0,0.0
2018-12-18,25.71,25.72,25.7,25.7,25.71,25.72,25.7,25.7,6300.0,0.06,1.0,1.0,0.0
2018-12-19,25.75,25.75,25.71,25.75,25.75,25.75,25.71,25.75,10574.0,0.0,1.0,1.0,0.0
