Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2007-12-27,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,2000.0,0.0,1.0,1.0,0.0
2007-12-28,47.23,47.56,47.23,47.55,47.23,47.56,47.23,47.55,2312.0,0.0,1.0,1.0,0.0
2007-12-31,47.9,47.9,47.55,47.55,47.9,47.9,47.55,47.55,1900.0,0.0,1.0,1.0,0.0
2008-01-02,47.78,50.1,47.78,48.0,47.78,50.1,47.78,48.0,11591.0,0.0,1.0,1.0,0.0
2008-01-03,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,0.0,0.0,1.0,1.0,0.0
2008-01-04,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,0.0,0.0,1.0,1.0,0.0
2008-01-07,50.89,50.89,45.39,45.41,50.89,50.89,45.39,45.41,2300.0,0.0,1.0,1.0,0.0
2008-01-08,45.11,45.11,45.11,45.11,45.11,45.11,45.11,45.11,1000.0,0.0,1.0,1.0,0.0
2008-01-09,45.11,45.11,45.11,45.11,45.11,45.11,45.11,45.11,0.0,0.0,1.0,1.0,0.0
2008-01-10,43.94,44.02,43.94,44.02,43.94,44.02,43.94,44.02,3570.0,0.0,1.0,1.0,0.0
2008-01-11,42.96,43.03,42.96,43.03,42.96,43.03,42.96,43.03,600.0,0.0,1.0,1.0,0.0
2008-01-14,45.32,45.49,45.32,45.49,45.32,45.49,45.32,45.49,2990.0,0.0,1.0,1.0,0.0
2008-01-15,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,0.0,0.0,1.0,1.0,0.0
2008-01-16,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,0.0,0.0,1.0,1.0,0.0
2008-01-17,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,0.0,0.0,1.0,1.0,0.0
2008-01-18,44.82,44.89,33.3,44.61,44.82,44.89,33.3,44.61,14200.0,0.0,1.0,1.0,0.0
2008-01-22,44.61,46.32,44.61,46.32,44.61,46.32,44.61,46.32,3500.0,0.0,1.0,1.0,0.0
2008-01-23,45.06,45.29,44.73,44.99,45.06,45.29,44.73,44.99,6331.0,0.0,1.0,1.0,0.0
2008-01-24,46.73,48.6,46.53,46.99,46.73,48.6,46.53,46.99,6413.0,0.0,1.0,1.0,0.0
2008-01-25,46.5,47.1,46.5,46.6,46.5,47.1,46.5,46.6,4148.0,0.0,1.0,1.0,0.0
2008-01-28,47.6,47.6,46.54,47.19,47.6,47.6,46.54,47.19,1871.0,0.0,1.0,1.0,0.0
2008-01-29,47.53,48.41,47.53,48.38,47.53,48.41,47.53,48.38,4770.0,0.0,1.0,1.0,0.0
2008-01-30,48.77,48.77,47.51,48.59,48.77,48.77,47.51,48.59,6265.0,0.0,1.0,1.0,0.0
2008-01-31,49.49,49.49,48.65,49.22,49.49,49.49,48.65,49.22,3261.0,0.0,1.0,1.0,0.0
2008-02-01,49.2,49.73,49.2,49.73,49.2,49.73,49.2,49.73,2110.0,0.0,1.0,1.0,0.0
2008-02-04,44.15,54.99,44.1,54.99,44.15,54.99,44.1,54.99,1000.0,0.0,1.0,1.0,0.0
2008-02-05,49.0,51.0,46.88,46.88,49.0,51.0,46.88,46.88,7654.0,0.0,1.0,1.0,0.0
2008-02-06,47.49,47.49,47.16,47.16,47.49,47.49,47.16,47.16,1726.0,0.0,1.0,1.0,0.0
2008-02-07,46.71,49.5,45.66,47.0,46.71,49.5,45.66,47.0,5826.0,0.0,1.0,1.0,0.0
2008-02-08,45.95,47.83,45.7,46.43,45.95,47.83,45.7,46.43,9320.0,0.0,1.0,1.0,0.0
2008-02-11,47.25,49.0,47.0,47.0,47.25,49.0,47.0,47.0,8565.0,0.0,1.0,1.0,0.0
2008-02-12,50.64,50.64,48.03,48.03,50.64,50.64,48.03,48.03,1210.0,0.0,1.0,1.0,0.0
2008-02-13,48.65,48.66,48.64,48.64,48.65,48.66,48.64,48.64,5360.0,0.0,1.0,1.0,0.0
2008-02-14,48.58,48.58,48.3,48.3,48.58,48.58,48.3,48.3,2260.0,0.0,1.0,1.0,0.0
2008-02-15,47.65,47.7,47.6,47.7,47.65,47.7,47.6,47.7,6000.0,0.0,1.0,1.0,0.0
2008-02-19,48.26,48.62,48.11,48.11,48.26,48.62,48.11,48.11,4686.0,0.0,1.0,1.0,0.0
2008-02-20,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,100.0,0.0,1.0,1.0,0.0
2008-02-21,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,1000.0,0.0,1.0,1.0,0.0
2008-02-22,48.89,48.89,48.88,48.88,48.89,48.89,48.88,48.88,2000.0,0.0,1.0,1.0,0.0
2008-02-25,49.4,49.94,49.4,49.81,49.4,49.94,49.4,49.81,2344.0,0.0,1.0,1.0,0.0
2008-02-26,49.81,49.81,49.81,49.81,49.81,49.81,49.81,49.81,0.0,0.0,1.0,1.0,0.0
2008-02-27,51.3,51.85,51.3,51.85,51.3,51.85,51.3,51.85,655.0,0.0,1.0,1.0,0.0
2008-02-28,52.89,52.89,51.29,51.48,52.89,52.89,51.29,51.48,2532.0,0.0,1.0,1.0,0.0
2008-02-29,51.25,52.79,50.14,50.23,51.25,52.79,50.14,50.23,6820.0,0.0,1.0,1.0,0.0
2008-03-03,47.83,50.4,47.83,49.81,47.83,50.4,47.83,49.81,3700.0,0.0,1.0,1.0,0.0
2008-03-04,49.89,49.92,49.72,49.92,49.89,49.92,49.72,49.92,2420.0,0.0,1.0,1.0,0.0
2008-03-05,52.06,52.16,51.7,51.7,52.06,52.16,51.7,51.7,600.0,0.0,1.0,1.0,0.0
2008-03-06,53.08,53.08,51.2,51.2,53.08,53.08,51.2,51.2,1500.0,0.0,1.0,1.0,0.0
2008-03-07,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,400.0,0.0,1.0,1.0,0.0
2008-03-10,50.0,50.0,49.34,49.98,50.0,50.0,49.34,49.98,5825.0,0.0,1.0,1.0,0.0
2008-03-11,51.3,51.3,50.82,50.82,51.3,51.3,50.82,50.82,400.0,0.0,1.0,1.0,0.0
2008-03-12,51.28,51.28,50.94,50.94,51.28,51.28,50.94,50.94,661.0,0.0,1.0,1.0,0.0
2008-03-13,48.25,50.44,48.25,50.44,48.25,50.44,48.25,50.44,350.0,0.0,1.0,1.0,0.0
2008-03-14,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,1500.0,0.0,1.0,1.0,0.0
2008-03-17,53.3,53.55,53.07,53.07,53.3,53.55,53.07,53.07,587.0,0.0,1.0,1.0,0.0
2008-03-18,53.6,53.9,47.65,52.24,53.6,53.9,47.65,52.24,2900.0,0.0,1.0,1.0,0.0
2008-03-19,53.71,53.71,48.5,48.5,53.71,53.71,48.5,48.5,5936.0,0.0,1.0,1.0,0.0
2008-03-20,47.89,47.89,41.0,46.45,47.89,47.89,41.0,46.45,1259.0,0.0,1.0,1.0,0.0
2008-03-24,47.0,48.98,47.0,48.67,47.0,48.98,47.0,48.67,4948.0,0.0,1.0,1.0,0.0
2008-03-25,47.35,47.41,47.35,47.4,47.35,47.41,47.35,47.4,649.0,0.0,1.0,1.0,0.0
2008-03-26,49.85,50.14,49.85,50.14,49.85,50.14,49.85,50.14,300.0,0.09,1.0,1.0,0.0
2008-03-27,51.0,51.45,50.84,50.84,51.0,51.45,50.84,50.84,500.0,0.0,1.0,1.0,0.0
2008-03-28,44.42,50.15,43.0,50.15,44.42,50.15,43.0,50.15,1115.0,0.0,1.0,1.0,0.0
2008-03-31,46.0,50.84,46.0,50.84,46.0,50.84,46.0,50.84,1800.0,0.0,1.0,1.0,0.0
2008-04-01,51.5,52.5,46.0,52.5,51.5,52.5,46.0,52.5,800.0,0.0,1.0,1.0,0.0
2008-04-02,52.13,52.56,52.13,52.49,52.13,52.56,52.13,52.49,2090.0,0.0,1.0,1.0,0.0
2008-04-03,51.4,51.4,51.36,51.36,51.4,51.4,51.36,51.36,2000.0,0.0,1.0,1.0,0.0
2008-04-04,51.36,51.36,51.36,51.36,51.36,51.36,51.36,51.36,0.0,0.0,1.0,1.0,0.0
2008-04-07,51.25,51.25,51.07,51.07,51.25,51.25,51.07,51.07,575.0,0.0,1.0,1.0,0.0
2008-04-08,51.03,51.03,50.63,50.99,51.03,51.03,50.63,50.99,3610.0,0.0,1.0,1.0,0.0
2008-04-09,50.66,50.71,50.65,50.71,50.66,50.71,50.65,50.71,3000.0,0.0,1.0,1.0,0.0
2008-04-10,50.01,50.01,49.77,49.92,50.01,50.01,49.77,49.92,1919.0,0.0,1.0,1.0,0.0
2008-04-11,49.51,49.51,49.15,49.15,49.51,49.51,49.15,49.15,540.0,0.0,1.0,1.0,0.0
2008-04-14,49.38,51.3,49.38,49.47,49.38,51.3,49.38,49.47,3818.0,0.0,1.0,1.0,0.0
2008-04-15,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,500.0,0.0,1.0,1.0,0.0
2008-04-16,50.79,50.79,50.79,50.79,50.79,50.79,50.79,50.79,390.0,0.0,1.0,1.0,0.0
2008-04-17,50.59,50.59,50.59,50.59,50.59,50.59,50.59,50.59,163.0,0.0,1.0,1.0,0.0
2008-04-18,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,100.0,0.0,1.0,1.0,0.0
2008-04-21,50.14,51.86,50.14,50.45,50.14,51.86,50.14,50.45,1636.0,0.0,1.0,1.0,0.0
2008-04-22,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,190.0,0.0,1.0,1.0,0.0
2008-04-23,49.63,49.9,49.56,49.79,49.63,49.9,49.56,49.79,713.0,0.0,1.0,1.0,0.0
2008-04-24,49.0,49.0,48.53,48.53,49.0,49.0,48.53,48.53,400.0,0.0,1.0,1.0,0.0
2008-04-25,48.53,48.53,48.53,48.53,48.53,48.53,48.53,48.53,0.0,0.0,1.0,1.0,0.0
2008-04-28,49.29,51.9,49.29,51.9,49.29,51.9,49.29,51.9,465.0,0.0,1.0,1.0,0.0
2008-04-29,49.53,49.68,48.92,48.94,49.53,49.68,48.92,48.94,1860.0,0.0,1.0,1.0,0.0
2008-04-30,49.41,51.3,49.4,51.3,49.41,51.3,49.4,51.3,700.0,0.0,1.0,1.0,0.0
2008-05-01,49.15,49.15,48.64,48.64,49.15,49.15,48.64,48.64,400.0,0.0,1.0,1.0,0.0
2008-05-02,49.73,49.99,49.68,49.68,49.73,49.99,49.68,49.68,400.0,0.0,1.0,1.0,0.0
2008-05-05,49.68,49.68,49.68,49.68,49.68,49.68,49.68,49.68,0.0,0.0,1.0,1.0,0.0
2008-05-06,49.68,49.68,49.68,49.68,49.68,49.68,49.68,49.68,0.0,0.0,1.0,1.0,0.0
2008-05-07,49.33,49.33,49.24,49.24,49.33,49.33,49.24,49.24,1313.0,0.0,1.0,1.0,0.0
2008-05-08,49.49,49.72,49.49,49.5,49.49,49.72,49.49,49.5,2374.0,0.0,1.0,1.0,0.0
2008-05-09,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0,0.0,1.0,1.0,0.0
2008-05-12,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0,0.0,1.0,1.0,0.0
2008-05-13,49.02,49.1,48.81,48.88,49.02,49.1,48.81,48.88,6485.0,0.0,1.0,1.0,0.0
2008-05-14,49.19,49.19,48.48,48.52,49.19,49.19,48.48,48.52,2956.0,0.0,1.0,1.0,0.0
2008-05-15,48.52,48.52,48.52,48.52,48.52,48.52,48.52,48.52,0.0,0.0,1.0,1.0,0.0
2008-05-16,49.2,49.7,49.2,49.68,49.2,49.7,49.2,49.68,3073.0,0.0,1.0,1.0,0.0
2008-05-19,49.3,49.3,48.62,48.84,49.3,49.3,48.62,48.84,2737.0,0.0,1.0,1.0,0.0
2008-05-20,49.05,49.05,48.75,48.81,49.05,49.05,48.75,48.81,9070.0,0.0,1.0,1.0,0.0
2008-05-21,49.49,49.65,48.84,48.98,49.49,49.65,48.84,48.98,1812.0,0.0,1.0,1.0,0.0
2008-05-22,49.32,49.54,48.99,49.12,49.32,49.54,48.99,49.12,1555.0,0.0,1.0,1.0,0.0
2008-05-23,49.12,49.12,49.12,49.12,49.12,49.12,49.12,49.12,0.0,0.0,1.0,1.0,0.0
2008-05-27,48.57,48.62,46.5,48.13,48.57,48.62,46.5,48.13,1860.0,0.0,1.0,1.0,0.0
2008-05-28,48.05,48.05,47.73,47.73,48.05,48.05,47.73,47.73,1534.0,0.0,1.0,1.0,0.0
2008-05-29,46.92,47.33,46.79,47.33,46.92,47.33,46.79,47.33,1206.0,0.0,1.0,1.0,0.0
2008-05-30,47.33,47.33,47.33,47.33,47.33,47.33,47.33,47.33,0.0,0.0,1.0,1.0,0.0
2008-06-02,46.54,46.62,46.54,46.62,46.54,46.62,46.54,46.62,600.0,0.0,1.0,1.0,0.0
2008-06-03,46.62,46.65,46.62,46.65,46.62,46.65,46.62,46.65,503.0,0.0,1.0,1.0,0.0
2008-06-04,46.85,46.85,46.78,46.78,46.85,46.85,46.78,46.78,1352.0,0.0,1.0,1.0,0.0
2008-06-05,47.4,47.63,47.4,47.63,47.4,47.63,47.4,47.63,600.0,0.0,1.0,1.0,0.0
2008-06-06,47.63,47.63,47.63,47.63,47.63,47.63,47.63,47.63,0.0,0.0,1.0,1.0,0.0
2008-06-09,45.78,45.78,45.62,45.74,45.78,45.78,45.62,45.74,1570.0,0.0,1.0,1.0,0.0
2008-06-10,45.33,45.33,44.68,44.9,45.33,45.33,44.68,44.9,1970.0,0.0,1.0,1.0,0.0
2008-06-11,44.59,44.88,44.41,44.87,44.59,44.88,44.41,44.87,2800.0,0.0,1.0,1.0,0.0
2008-06-12,44.07,44.1,44.07,44.1,44.07,44.1,44.07,44.1,400.0,0.0,1.0,1.0,0.0
2008-06-13,44.65,44.65,44.65,44.65,44.65,44.65,44.65,44.65,300.0,0.0,1.0,1.0,0.0
2008-06-16,44.91,45.0,44.86,45.0,44.91,45.0,44.86,45.0,2400.0,0.0,1.0,1.0,0.0
2008-06-17,45.86,45.86,45.68,45.68,45.86,45.86,45.68,45.68,313.0,0.0,1.0,1.0,0.0
2008-06-18,45.68,45.73,44.66,44.77,45.68,45.73,44.66,44.77,19200.0,0.0,1.0,1.0,0.0
2008-06-19,44.07,44.07,43.8,43.95,44.07,44.07,43.8,43.95,12318.0,0.0,1.0,1.0,0.0
2008-06-20,43.8,44.0,43.8,44.0,43.8,44.0,43.8,44.0,2300.0,0.0,1.0,1.0,0.0
2008-06-23,42.85,42.92,42.51,42.51,42.85,42.92,42.51,42.51,3400.0,0.0,1.0,1.0,0.0
2008-06-24,42.11,42.11,42.02,42.02,42.11,42.11,42.02,42.02,1857.0,0.0,1.0,1.0,0.0
