Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2000-05-26,96.09,96.25,95.16,95.69,16.02,16.04,15.86,15.95,139700.0,0.0,1.0,6.0,0.0
2000-05-30,97.03,97.59,97.03,97.59,16.17,16.26,16.17,16.26,300.0,0.0,1.0,6.0,71.96
2000-05-31,98.75,99.88,98.75,99.88,16.46,16.65,16.46,16.65,2400.0,0.0,1.0,6.0,-79.29
2000-06-01,100.2,101.8,100.2,101.8,16.7,16.97,16.7,16.97,150900.0,0.0,1.0,6.0,79.63
2000-06-02,103.5,104.7,103.5,104.7,17.25,17.45,17.25,17.45,258700.0,0.0,1.0,6.0,0.0
2000-06-05,104.8,105.1,104.8,105.1,17.47,17.52,17.47,17.52,58000.0,0.0,1.0,6.0,0.0
2000-06-06,105.0,105.6,104.1,104.1,17.5,17.6,17.35,17.35,14600.0,0.0,1.0,6.0,0.0
2000-06-07,104.6,104.6,104.1,104.1,17.43,17.43,17.35,17.35,14700.0,0.0,1.0,6.0,-83.29
2000-06-08,104.9,104.9,104.1,104.1,17.48,17.48,17.35,17.35,203700.0,0.0,1.0,6.0,83.78
2000-06-09,104.9,104.9,104.6,104.6,17.48,17.48,17.43,17.43,700.0,0.0,1.0,6.0,0.0
2000-06-12,105.6,105.6,103.7,103.7,17.6,17.6,17.28,17.28,600.0,0.0,1.0,6.0,0.0
2000-06-13,103.2,103.6,102.2,103.6,17.2,17.27,17.03,17.27,56000.0,0.0,1.0,6.0,0.0
2000-06-14,104.8,104.8,104.3,104.5,17.47,17.47,17.38,17.42,1100.0,0.0,1.0,6.0,0.0
2000-06-15,104.0,104.0,103.0,104.0,17.33,17.33,17.17,17.33,9700.0,0.0,1.0,6.0,0.0
2000-06-16,104.7,104.7,103.8,103.8,17.45,17.45,17.3,17.3,12000.0,0.0,1.0,6.0,0.0
2000-06-19,105.3,105.3,105.1,105.1,17.55,17.55,17.52,17.52,4500.0,0.0,1.0,6.0,-83.46
2000-06-20,105.7,105.8,104.6,105.1,17.62,17.63,17.43,17.52,74800.0,0.0,1.0,6.0,0.0
2000-06-21,105.0,105.4,105.0,105.1,17.5,17.57,17.5,17.52,1000.0,0.01,1.0,6.0,0.0
