Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2000-05-19,75.41,75.41,74.31,74.31,75.41,75.41,74.31,74.31,8100.0,0.0,1.0,1.0,0.0
2000-05-22,74.61,74.61,72.08,74.09,74.61,74.61,72.08,74.09,751300.0,0.0,1.0,1.0,204.27
2000-05-23,74.13,74.13,72.84,72.84,74.13,74.13,72.84,72.84,271200.0,0.0,1.0,1.0,0.0
2000-05-24,72.89,73.47,72.0,73.47,72.89,73.47,72.0,73.47,17900.0,0.0,1.0,1.0,0.0
2000-05-25,74.27,74.36,72.92,72.92,74.27,74.36,72.92,72.92,2100.0,0.0,1.0,1.0,0.0
2000-05-26,73.13,73.13,72.48,72.48,73.13,73.13,72.48,72.48,1800.0,0.0,1.0,1.0,58.29
2000-05-30,73.58,73.95,73.58,73.95,73.58,73.95,73.58,73.95,600.0,0.0,1.0,1.0,0.0
2000-05-31,73.95,73.95,73.95,73.95,73.95,73.95,73.95,73.95,0.0,0.0,1.0,1.0,0.0
2000-06-01,75.66,76.69,75.66,76.27,75.66,76.69,75.66,76.27,400.0,0.0,1.0,1.0,0.0
2000-06-02,78.59,78.7,78.38,78.38,78.59,78.7,78.38,78.38,5700.0,0.0,1.0,1.0,0.0
2000-06-05,78.08,78.34,78.0,78.0,78.08,78.34,78.0,78.0,21000.0,0.0,1.0,1.0,0.0
2000-06-06,77.95,78.05,77.53,77.53,77.95,78.05,77.53,77.53,3200.0,0.0,1.0,1.0,0.0
2000-06-07,77.5,78.28,77.5,78.09,77.5,78.28,77.5,78.09,2700.0,0.0,1.0,1.0,0.0
2000-06-08,78.03,78.03,77.5,77.5,78.03,78.03,77.5,77.5,600.0,0.0,1.0,1.0,0.0
2000-06-09,78.08,78.08,77.75,77.77,78.08,78.08,77.75,77.77,1300.0,0.0,1.0,1.0,0.0
2000-06-12,77.83,77.84,77.45,77.45,77.83,77.84,77.45,77.45,1100.0,0.0,1.0,1.0,0.0
2000-06-13,76.58,77.91,76.58,77.91,76.58,77.91,76.58,77.91,1100.0,0.0,1.0,1.0,0.0
2000-06-14,78.7,78.7,78.02,78.02,78.7,78.7,78.02,78.02,1000.0,0.0,1.0,1.0,0.0
2000-06-15,78.02,78.02,78.02,78.02,78.02,78.02,78.02,78.02,0.0,0.0,1.0,1.0,0.0
2000-06-16,78.31,78.31,78.16,78.16,78.31,78.31,78.16,78.16,20200.0,0.0,1.0,1.0,0.0
2000-06-19,78.72,78.72,77.92,77.92,78.72,78.72,77.92,77.92,500.0,0.0,1.0,1.0,0.0
2000-06-20,78.61,78.89,78.44,78.44,78.61,78.89,78.44,78.44,500.0,0.0,1.0,1.0,0.0
2000-06-21,78.34,78.59,78.31,78.59,78.34,78.59,78.31,78.59,1900.0,0.06,1.0,1.0,0.0
2000-06-22,78.33,78.33,77.0,77.0,78.33,78.33,77.0,77.0,13600.0,0.0,1.0,1.0,0.0
2000-06-23,77.25,77.25,76.47,76.47,77.25,77.25,76.47,76.47,13500.0,0.0,1.0,1.0,0.0
2000-06-26,77.11,77.11,76.94,76.94,77.11,77.11,76.94,76.94,12400.0,0.0,1.0,1.0,0.0
2000-06-27,77.3,77.38,77.27,77.27,77.3,77.38,77.27,77.27,300.0,0.0,1.0,1.0,-23.14
2000-06-28,77.09,77.75,77.09,77.47,77.09,77.75,77.09,77.47,18000.0,0.0,1.0,1.0,0.0
2000-06-29,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,5000.0,0.0,1.0,1.0,0.0
2000-06-30,76.69,76.69,76.69,76.69,76.69,76.69,76.69,76.69,100.0,0.0,1.0,1.0,0.0
2000-07-03,77.06,77.53,77.06,77.53,77.06,77.53,77.06,77.53,1500.0,0.0,1.0,1.0,0.0
2000-07-05,77.47,77.47,76.53,76.53,77.47,77.47,76.53,76.53,6200.0,0.0,1.0,1.0,0.0
2000-07-06,76.5,77.17,76.22,77.17,76.5,77.17,76.22,77.17,2100.0,0.0,1.0,1.0,0.0
2000-07-07,77.78,78.5,77.78,78.41,77.78,78.5,77.78,78.41,1200.0,0.0,1.0,1.0,0.0
2000-07-10,78.45,78.53,78.23,78.42,78.45,78.53,78.23,78.42,2100.0,0.0,1.0,1.0,0.0
2000-07-11,78.83,78.86,78.83,78.86,78.83,78.86,78.83,78.86,1400.0,0.0,1.0,1.0,0.0
2000-07-12,79.06,79.28,79.06,79.28,79.06,79.28,79.06,79.28,700.0,0.0,1.0,1.0,0.0
2000-07-13,79.56,79.69,79.56,79.67,79.56,79.69,79.56,79.67,29700.0,0.0,1.0,1.0,0.0
2000-07-14,79.92,80.11,79.55,80.11,79.92,80.11,79.55,80.11,3000.0,0.0,1.0,1.0,0.0
2000-07-17,80.22,80.56,80.22,80.56,80.22,80.56,80.22,80.56,1200.0,0.0,1.0,1.0,0.0
2000-07-18,79.94,79.94,79.41,79.55,79.94,79.94,79.41,79.55,12100.0,0.0,1.0,1.0,0.0
2000-07-19,79.19,79.34,78.59,78.75,79.19,79.34,78.59,78.75,2700.0,0.0,1.0,1.0,0.0
2000-07-20,78.97,78.97,78.97,78.97,78.97,78.97,78.97,78.97,100.0,0.0,1.0,1.0,0.0
2000-07-21,78.98,78.98,78.94,78.97,78.98,78.98,78.94,78.97,900.0,0.0,1.0,1.0,0.0
2000-07-24,78.73,78.73,77.92,77.92,78.73,78.73,77.92,77.92,400.0,0.0,1.0,1.0,0.0
2000-07-25,78.5,78.5,77.95,78.14,78.5,78.5,77.95,78.14,1200.0,0.0,1.0,1.0,0.0
2000-07-26,77.5,77.5,77.0,77.48,77.5,77.5,77.0,77.48,12000.0,0.0,1.0,1.0,0.0
2000-07-27,76.67,77.02,76.67,77.02,76.67,77.02,76.67,77.02,21700.0,0.0,1.0,1.0,0.0
2000-07-28,76.48,76.48,75.47,75.52,76.48,76.48,75.47,75.52,1200.0,0.0,1.0,1.0,0.0
2000-07-31,75.0,75.75,75.0,75.75,75.0,75.75,75.0,75.75,2000.0,0.0,1.0,1.0,0.0
2000-08-01,75.72,76.19,75.72,76.19,75.72,76.19,75.72,76.19,6100.0,0.0,1.0,1.0,0.0
2000-08-02,75.92,76.69,75.92,76.64,75.92,76.69,75.92,76.64,3500.0,0.0,1.0,1.0,0.0
2000-08-03,75.39,76.55,75.39,76.48,75.39,76.55,75.39,76.48,1700.0,0.0,1.0,1.0,0.0
2000-08-04,77.25,77.28,77.19,77.23,77.25,77.28,77.19,77.23,4500.0,0.0,1.0,1.0,0.0
2000-08-07,77.67,78.27,77.67,78.27,77.67,78.27,77.67,78.27,1600.0,0.0,1.0,1.0,0.0
2000-08-08,78.41,78.5,78.41,78.5,78.41,78.5,78.41,78.5,1300.0,0.0,1.0,1.0,0.0
2000-08-09,78.3,78.59,78.3,78.59,78.3,78.59,78.3,78.59,300.0,0.0,1.0,1.0,0.0
2000-08-10,77.86,77.98,77.66,77.66,77.86,77.98,77.66,77.66,5800.0,0.0,1.0,1.0,0.0
2000-08-11,77.19,77.19,77.19,77.19,77.19,77.19,77.19,77.19,600.0,0.0,1.0,1.0,0.0
2000-08-14,78.13,78.81,78.13,78.78,78.13,78.81,78.13,78.78,900.0,0.0,1.0,1.0,0.0
2000-08-15,78.95,79.0,78.73,79.0,78.95,79.0,78.73,79.0,600.0,0.0,1.0,1.0,0.0
2000-08-16,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,2000.0,0.0,1.0,1.0,0.0
2000-08-17,79.0,79.27,79.0,79.27,79.0,79.27,79.0,79.27,900.0,0.0,1.0,1.0,0.0
2000-08-18,79.61,79.61,79.28,79.28,79.61,79.61,79.28,79.28,4200.0,0.0,1.0,1.0,0.0
2000-08-21,79.28,79.28,79.28,79.28,79.28,79.28,79.28,79.28,0.0,0.0,1.0,1.0,0.0
2000-08-22,79.84,80.09,79.69,79.69,79.84,80.09,79.69,79.69,56800.0,0.0,1.0,1.0,0.0
2000-08-23,79.39,80.03,79.39,79.75,79.39,80.03,79.39,79.75,5000.0,0.0,1.0,1.0,0.0
2000-08-24,80.19,80.42,80.19,80.42,80.19,80.42,80.19,80.42,2000.0,0.0,1.0,1.0,0.0
2000-08-25,80.48,80.59,80.41,80.42,80.48,80.59,80.41,80.42,6800.0,0.0,1.0,1.0,0.0
2000-08-28,81.22,81.28,80.88,80.88,81.22,81.28,80.88,80.88,26500.0,0.0,1.0,1.0,0.0
2000-08-29,80.67,80.78,80.63,80.78,80.67,80.78,80.63,80.78,1000.0,0.0,1.0,1.0,0.0
2000-08-30,80.7,80.7,80.41,80.64,80.7,80.7,80.41,80.64,27800.0,0.0,1.0,1.0,0.0
2000-08-31,81.45,81.78,81.45,81.5,81.45,81.78,81.45,81.5,1300.0,0.0,1.0,1.0,0.0
2000-09-01,81.63,81.64,81.25,81.55,81.63,81.64,81.25,81.55,1000.0,0.0,1.0,1.0,0.0
2000-09-05,81.25,81.28,80.75,80.75,81.25,81.28,80.75,80.75,18000.0,0.0,1.0,1.0,0.0
2000-09-06,80.97,80.97,80.09,80.09,80.97,80.97,80.09,80.09,2800.0,0.0,1.0,1.0,0.0
2000-09-07,80.19,80.69,80.19,80.69,80.19,80.69,80.19,80.69,3200.0,0.0,1.0,1.0,0.0
2000-09-08,80.0,80.06,80.0,80.03,80.0,80.06,80.0,80.03,1200.0,0.0,1.0,1.0,0.0
2000-09-11,80.0,80.55,79.53,79.72,80.0,80.55,79.53,79.72,2500.0,0.0,1.0,1.0,0.0
2000-09-12,80.0,80.13,79.38,79.38,80.0,80.13,79.38,79.38,2500.0,0.0,1.0,1.0,0.0
2000-09-13,79.08,79.58,79.06,79.58,79.08,79.58,79.06,79.58,17600.0,0.0,1.0,1.0,0.0
2000-09-14,79.95,79.95,79.56,79.59,79.95,79.95,79.56,79.59,1700.0,0.0,1.0,1.0,0.0
2000-09-15,79.31,79.31,78.41,78.41,79.31,79.31,78.41,78.41,1300.0,0.0,1.0,1.0,0.0
2000-09-18,78.39,78.39,77.5,77.5,78.39,78.39,77.5,77.5,7600.0,0.0,1.0,1.0,0.0
2000-09-19,77.75,78.2,77.75,78.2,77.75,78.2,77.75,78.2,1200.0,0.0,1.0,1.0,0.0
2000-09-20,77.8,77.83,77.39,77.83,77.8,77.83,77.39,77.83,3300.0,0.18,1.0,1.0,0.0
2000-09-21,77.53,77.53,77.31,77.31,77.53,77.53,77.31,77.31,14400.0,0.0,1.0,1.0,0.0
2000-09-22,76.41,77.05,76.41,77.05,76.41,77.05,76.41,77.05,900.0,0.0,1.0,1.0,0.0
2000-09-25,78.25,78.25,77.38,77.38,78.25,78.25,77.38,77.38,13400.0,0.0,1.0,1.0,0.0
2000-09-26,77.51,77.75,76.75,76.8,77.51,77.75,76.75,76.8,17200.0,0.0,1.0,1.0,0.0
2000-09-27,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,200.0,0.0,1.0,1.0,0.0
2000-09-28,77.29,78.46,77.29,78.46,77.29,78.46,77.29,78.46,1300.0,0.0,1.0,1.0,0.0
2000-09-29,78.02,78.08,77.56,77.56,78.02,78.08,77.56,77.56,3200.0,0.0,1.0,1.0,0.0
2000-10-02,77.55,77.55,76.9,77.0,77.55,77.55,76.9,77.0,7100.0,0.0,1.0,1.0,0.0
2000-10-03,77.08,77.97,76.5,76.5,77.08,77.97,76.5,76.5,7000.0,0.0,1.0,1.0,0.0
2000-10-04,76.19,76.67,76.19,76.67,76.19,76.67,76.19,76.67,1500.0,0.0,1.0,1.0,0.0
