Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2015-09-29,24.4,24.44,24.4,24.44,24.4,24.44,24.4,24.44,200.0,0.0,1.0,1.0,0.0
2015-09-30,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,20000.0,0.0,1.0,1.0,0.0
2015-10-01,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,20000.0,0.0,1.0,1.0,0.0
2015-10-02,25.69,25.69,24.2,24.58,25.69,25.69,24.2,24.58,20800.0,0.0,1.0,1.0,0.0
2015-10-05,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,20000.0,0.0,1.0,1.0,0.0
2015-10-06,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,20000.0,0.0,1.0,1.0,0.0
2015-10-07,25.37,25.38,25.37,25.38,25.37,25.38,25.37,25.38,20100.0,0.0,1.0,1.0,0.0
2015-10-08,25.47,25.59,25.47,25.59,25.47,25.59,25.47,25.59,20300.0,0.0,1.0,1.0,0.0
2015-10-09,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,20000.0,0.0,1.0,1.0,0.0
2015-10-12,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,20000.0,0.0,1.0,1.0,0.0
2015-10-13,25.35,25.35,25.35,25.35,25.35,25.35,25.35,25.35,20000.0,0.0,1.0,1.0,0.0
2015-10-14,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.04,20000.0,0.0,1.0,1.0,0.0
2015-10-15,25.35,25.49,25.35,25.49,25.35,25.49,25.35,25.49,20500.0,0.0,1.0,1.0,0.0
2015-10-16,25.67,25.68,25.67,25.68,25.67,25.68,25.67,25.68,20100.0,0.0,1.0,1.0,1.28
2015-10-19,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,20500.0,0.0,1.0,1.0,0.0
2015-10-20,25.84,25.84,25.84,25.84,25.84,25.84,25.84,25.84,20000.0,0.0,1.0,1.0,0.0
2015-10-21,25.75,25.75,25.71,25.71,25.75,25.75,25.71,25.71,20200.0,0.0,1.0,1.0,0.0
2015-10-22,26.01,26.01,25.98,25.98,26.01,26.01,25.98,25.98,20200.0,0.0,1.0,1.0,0.0
2015-10-23,26.18,26.29,26.13,26.29,26.18,26.29,26.13,26.29,21960.0,0.0,1.0,1.0,1.3
2015-10-26,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,20000.0,0.0,1.0,1.0,0.0
2015-10-27,26.02,26.02,25.95,25.99,26.02,26.02,25.95,25.99,20290.0,0.0,1.0,1.0,0.0
2015-10-28,26.36,26.62,26.31,26.62,26.36,26.62,26.31,26.62,21550.0,0.0,1.0,1.0,0.0
2015-10-29,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,20000.0,0.0,1.0,1.0,2.67
2015-10-30,26.4,26.4,26.27,26.27,26.4,26.4,26.27,26.27,20500.0,0.0,1.0,1.0,0.0
2015-11-02,26.58,26.58,26.58,26.58,26.58,26.58,26.58,26.58,20000.0,0.0,1.0,1.0,0.0
2015-11-03,26.62,26.65,26.62,26.65,26.62,26.65,26.62,26.65,20150.0,0.0,1.0,1.0,0.0
2015-11-04,26.65,26.65,26.52,26.54,26.65,26.65,26.52,26.54,24270.0,0.0,1.0,1.0,0.0
2015-11-05,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,20000.0,0.0,1.0,1.0,0.0
2015-11-06,27.07,27.13,27.07,27.1,27.07,27.13,27.07,27.1,21151.0,0.0,1.0,1.0,0.0
2015-11-09,27.06,27.06,26.74,26.89,27.06,27.06,26.74,26.89,22200.0,0.0,1.0,1.0,1.36
2015-11-10,26.83,26.83,26.83,26.83,26.83,26.83,26.83,26.83,350.0,0.0,1.0,1.0,0.0
2015-11-11,26.9,26.9,26.84,26.84,26.9,26.9,26.84,26.84,2900.0,0.0,1.0,1.0,0.0
2015-11-12,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,100.0,0.0,1.0,1.0,0.0
2015-11-13,26.23,26.38,26.17,26.17,26.23,26.38,26.17,26.17,15200.0,0.0,1.0,1.0,0.0
2015-11-16,26.14,26.49,26.14,26.49,26.14,26.49,26.14,26.49,14200.0,0.0,1.0,1.0,1.31
2015-11-17,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,0.0,0.0,1.0,1.0,0.0
2015-11-18,26.59,26.93,26.57,26.91,26.59,26.93,26.57,26.91,13700.0,0.0,1.0,1.0,0.0
2015-11-19,26.93,26.96,26.83,26.89,26.93,26.96,26.83,26.89,5880.0,0.0,1.0,1.0,0.0
2015-11-20,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,300.0,0.0,1.0,1.0,1.34
2015-11-23,26.96,27.04,26.9,26.9,26.96,27.04,26.9,26.9,2180.0,0.0,1.0,1.0,0.0
2015-11-24,26.7,26.74,26.59,26.74,26.7,26.74,26.59,26.74,4100.0,0.0,1.0,1.0,0.0
2015-11-25,26.85,26.85,26.85,26.85,26.85,26.85,26.85,26.85,1000.0,0.0,1.0,1.0,0.0
2015-11-27,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,1300.0,0.0,1.0,1.0,0.0
2015-11-30,26.97,26.97,26.97,26.97,26.97,26.97,26.97,26.97,588.0,0.0,1.0,1.0,0.0
2015-12-01,26.97,26.97,26.97,26.97,26.97,26.97,26.97,26.97,0.0,0.0,1.0,1.0,0.0
2015-12-02,26.97,26.97,26.97,26.97,26.97,26.97,26.97,26.97,0.0,0.0,1.0,1.0,0.0
2015-12-03,26.9,26.9,26.44,26.44,26.9,26.9,26.44,26.44,955.0,0.0,1.0,1.0,0.0
2015-12-04,26.55,27.13,26.55,27.1,26.55,27.13,26.55,27.1,1500.0,0.0,1.0,1.0,0.0
2015-12-07,26.97,27.0,26.83,26.86,26.97,27.0,26.83,26.86,5083.0,0.0,1.0,1.0,0.0
2015-12-08,26.9,26.9,26.48,26.48,26.9,26.9,26.48,26.48,3800.0,0.0,1.0,1.0,0.0
2015-12-09,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,700.0,0.0,1.0,1.0,0.0
2015-12-10,26.24,26.35,26.24,26.26,26.24,26.35,26.24,26.26,37100.0,0.0,1.0,1.0,0.0
2015-12-11,25.88,25.88,25.78,25.79,25.88,25.88,25.78,25.79,23900.0,0.0,1.0,1.0,0.0
2015-12-14,25.77,25.77,25.51,25.51,25.77,25.77,25.51,25.51,1500.0,0.0,1.0,1.0,1.28
2015-12-15,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,652.0,0.0,1.0,1.0,0.0
2015-12-16,26.51,26.62,26.07,26.07,26.51,26.62,26.07,26.07,12800.0,0.0,1.0,1.0,0.0
2015-12-17,26.34,26.34,26.34,26.34,26.34,26.34,26.34,26.34,200.0,0.0,1.0,1.0,0.0
2015-12-18,26.4,26.4,25.45,25.45,26.4,26.4,25.45,25.45,2700.0,0.0,1.0,1.0,0.0
2015-12-21,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,0.0,0.0,1.0,1.0,0.0
2015-12-22,25.96,25.96,25.54,25.76,25.96,25.96,25.54,25.76,2592.0,0.0,1.0,1.0,0.0
2015-12-23,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,600.0,0.0,1.0,1.0,0.0
2015-12-24,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,400.0,0.08,1.0,1.0,0.0
2015-12-28,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,0.0,0.0,1.0,1.0,0.0
2015-12-29,26.3,26.35,26.27,26.35,26.3,26.35,26.27,26.35,4000.0,0.0,1.0,1.0,0.0
2015-12-30,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,0.0,0.0,1.0,1.0,0.0
2015-12-31,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,0.0,0.0,1.0,1.0,0.0
2016-01-04,25.19,25.19,25.15,25.15,25.19,25.19,25.15,25.15,400.0,0.0,1.0,1.0,0.0
2016-01-05,25.15,25.15,25.15,25.15,25.15,25.15,25.15,25.15,0.0,0.0,1.0,1.0,0.0
2016-01-06,24.73,24.97,24.73,24.88,24.73,24.97,24.73,24.88,4585.0,0.0,1.0,1.0,0.0
2016-01-07,24.52,24.54,24.44,24.45,24.52,24.54,24.44,24.45,31000.0,0.0,1.0,1.0,0.0
2016-01-08,24.09,24.15,24.09,24.15,24.09,24.15,24.09,24.15,300.0,0.0,1.0,1.0,0.0
2016-01-11,24.05,24.05,23.64,23.64,24.05,24.05,23.64,23.64,985.0,0.0,1.0,1.0,0.0
2016-01-12,23.74,23.81,23.74,23.81,23.74,23.81,23.74,23.81,395.0,0.0,1.0,1.0,0.0
2016-01-13,24.01,24.13,24.01,24.09,24.01,24.13,24.01,24.09,3257.0,0.0,1.0,1.0,0.0
2016-01-14,23.39,23.71,23.39,23.71,23.39,23.71,23.39,23.71,1000.0,0.0,1.0,1.0,0.0
