Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2018-01-31,51.34,51.34,51.31,51.31,51.34,51.34,51.31,51.31,400.0,0.0,1.0,1.0,
2018-02-01,50.95,51.02,50.95,51.02,50.95,51.02,50.95,51.02,800.0,0.0,1.0,1.0,
2018-02-02,50.92,50.92,50.92,50.92,50.92,50.92,50.92,50.92,100.0,0.0,1.0,1.0,
2018-02-05,50.92,50.92,50.92,50.92,50.92,50.92,50.92,50.92,0.0,0.0,1.0,1.0,
2018-02-06,51.0,51.82,51.0,51.53,51.0,51.82,51.0,51.53,800.0,0.0,1.0,1.0,
2018-02-07,51.53,51.53,51.53,51.53,51.53,51.53,51.53,51.53,0.0,0.0,1.0,1.0,
2018-02-08,51.53,51.53,51.53,51.53,51.53,51.53,51.53,51.53,0.0,0.0,1.0,1.0,
2018-02-09,51.53,51.53,51.53,51.53,51.53,51.53,51.53,51.53,0.0,0.0,1.0,1.0,
2018-02-12,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,100.0,0.0,1.0,1.0,
2018-02-13,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-14,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-15,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-16,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-20,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-21,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-22,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-23,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-26,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-27,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-02-28,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,0.0,0.0,1.0,1.0,
2018-03-01,54.51,54.51,54.51,54.51,54.51,54.51,54.51,54.51,150.0,0.0,1.0,1.0,
2018-03-02,54.51,54.51,54.51,54.51,54.51,54.51,54.51,54.51,0.0,0.0,1.0,1.0,
2018-03-05,54.51,54.51,54.51,54.51,54.51,54.51,54.51,54.51,0.0,0.0,1.0,1.0,
2018-03-06,54.21,54.21,54.07,54.07,54.21,54.21,54.07,54.07,260.0,0.0,1.0,1.0,
2018-03-07,54.07,54.07,54.07,54.07,54.07,54.07,54.07,54.07,0.0,0.0,1.0,1.0,
2018-03-08,54.07,54.07,54.07,54.07,54.07,54.07,54.07,54.07,0.0,0.0,1.0,1.0,
2018-03-09,54.07,54.07,54.07,54.07,54.07,54.07,54.07,54.07,0.0,0.0,1.0,1.0,
2018-03-12,54.07,54.07,54.07,54.07,54.07,54.07,54.07,54.07,0.0,0.0,1.0,1.0,
2018-03-13,53.19,53.21,53.19,53.21,53.19,53.21,53.19,53.21,300.0,0.0,1.0,1.0,
2018-03-14,53.21,53.21,53.21,53.21,53.21,53.21,53.21,53.21,0.0,0.0,1.0,1.0,
2018-03-15,53.21,53.21,53.21,53.21,53.21,53.21,53.21,53.21,0.0,0.0,1.0,1.0,
2018-03-16,53.21,53.21,53.21,53.21,53.21,53.21,53.21,53.21,0.0,0.0,1.0,1.0,
