Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2009-11-17,100.02,100.02,100.0,100.0,100.02,100.02,100.0,100.0,11900.0,0.0,1.0,1.0,3.0
2009-11-18,100.01,100.02,100.0,100.0,100.01,100.02,100.0,100.0,17100.0,0.0,1.0,1.0,0.0
2009-11-19,100.02,100.03,100.02,100.02,100.02,100.03,100.02,100.02,13400.0,0.0,1.0,1.0,0.0
2009-11-20,100.01,100.02,100.0,100.01,100.01,100.02,100.0,100.01,33400.0,0.0,1.0,1.0,0.0
2009-11-23,100.12,100.12,100.03,100.03,100.12,100.12,100.03,100.03,22800.0,0.0,1.0,1.0,0.0
2009-11-24,100.07,100.07,100.05,100.07,100.07,100.07,100.05,100.07,23700.0,0.0,1.0,1.0,7.0
2009-11-25,100.13,100.13,100.07,100.07,100.13,100.13,100.07,100.07,18700.0,0.0,1.0,1.0,0.0
2009-11-27,100.13,100.13,100.07,100.07,100.13,100.13,100.07,100.07,4000.0,0.0,1.0,1.0,0.0
2009-11-30,100.15,100.18,100.13,100.17,100.15,100.18,100.13,100.17,6700.0,0.01,1.0,1.0,0.0
2009-12-01,100.18,100.19,100.16,100.18,100.18,100.19,100.16,100.18,23500.0,0.0,1.0,1.0,0.0
2009-12-02,100.16,100.17,100.13,100.16,100.16,100.17,100.13,100.16,59300.0,0.0,1.0,1.0,0.0
2009-12-03,100.15,100.23,100.12,100.13,100.15,100.23,100.12,100.13,12700.0,0.0,1.0,1.0,7.0
2009-12-04,100.1,100.1,100.06,100.08,100.1,100.1,100.06,100.08,7700.0,0.0,1.0,1.0,7.0
2009-12-07,100.1,100.12,100.04,100.07,100.1,100.12,100.04,100.07,12800.0,0.0,1.0,1.0,0.0
2009-12-08,100.17,100.17,100.14,100.14,100.17,100.17,100.14,100.14,11300.0,0.0,1.0,1.0,0.0
2009-12-09,100.16,100.16,100.14,100.14,100.16,100.16,100.14,100.14,8000.0,0.0,1.0,1.0,0.0
2009-12-10,100.15,100.15,100.14,100.15,100.15,100.15,100.14,100.15,11100.0,0.0,1.0,1.0,0.0
2009-12-11,100.16,101.22,100.12,100.18,100.16,101.22,100.12,100.18,32000.0,0.0,1.0,1.0,0.0
2009-12-14,100.18,100.18,100.16,100.17,100.18,100.18,100.16,100.17,10700.0,0.0,1.0,1.0,0.0
2009-12-15,100.16,100.18,100.14,100.15,100.16,100.18,100.14,100.15,35500.0,0.0,1.0,1.0,0.0
2009-12-16,100.18,100.21,100.16,100.19,100.18,100.21,100.16,100.19,15400.0,0.0,1.0,1.0,0.0
2009-12-17,100.18,100.2,100.18,100.2,100.18,100.2,100.18,100.2,3400.0,0.0,1.0,1.0,7.01
2009-12-18,100.2,100.22,100.14,100.2,100.2,100.22,100.14,100.2,19900.0,0.0,1.0,1.0,0.0
2009-12-21,100.16,100.19,100.14,100.19,100.16,100.19,100.14,100.19,37000.0,0.0,1.0,1.0,0.0
2009-12-22,100.2,100.2,100.15,100.17,100.2,100.2,100.15,100.17,29700.0,0.0,1.0,1.0,0.0
2009-12-23,100.15,100.15,100.11,100.12,100.15,100.15,100.11,100.12,38900.0,0.0,1.0,1.0,7.0
2009-12-24,100.12,100.13,100.1,100.1,100.12,100.13,100.1,100.1,9000.0,0.0,1.0,1.0,0.0
2009-12-28,100.11,100.11,100.05,100.08,100.11,100.11,100.05,100.08,10300.0,0.0,1.0,1.0,0.0
2009-12-29,100.04,100.08,100.04,100.07,100.04,100.08,100.04,100.07,16300.0,0.04,1.0,1.0,0.0
2009-12-30,100.05,100.08,100.01,100.08,100.05,100.08,100.01,100.08,15200.0,0.0,1.0,1.0,0.0
2009-12-31,99.95,100.25,99.86,100.09,99.95,100.25,99.86,100.09,16800.0,0.0,1.0,1.0,0.0
2010-01-04,100.12,100.12,98.89,100.06,100.12,100.12,98.89,100.06,40000.0,0.0,1.0,1.0,0.0
