Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2013-04-18,50.92,50.92,50.92,50.92,50.92,50.92,50.92,50.92,400.0,0.0,1.0,1.0,0.0
2013-04-19,51.54,51.54,51.54,51.54,51.54,51.54,51.54,51.54,0.0,0.0,1.0,1.0,0.0
2013-04-22,50.92,50.92,50.92,50.92,50.92,50.92,50.92,50.92,0.0,0.0,1.0,1.0,0.0
2013-04-23,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,600.0,0.0,1.0,1.0,0.0
2013-04-24,51.7,51.7,51.56,51.56,51.7,51.7,51.56,51.56,1100.0,0.0,1.0,1.0,0.0
2013-04-25,51.81,51.81,51.81,51.81,51.81,51.81,51.81,51.81,350.0,0.0,1.0,1.0,0.0
2013-04-26,51.77,51.77,51.77,51.77,51.77,51.77,51.77,51.77,100.0,0.0,1.0,1.0,0.0
2013-04-29,51.85,52.2,51.85,52.07,51.85,52.2,51.85,52.07,4745.0,0.0,1.0,1.0,0.0
2013-04-30,51.62,51.93,51.62,51.84,51.62,51.93,51.62,51.84,1350.0,0.0,1.0,1.0,0.0
2013-05-01,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,100.0,0.0,1.0,1.0,0.0
2013-05-02,51.82,52.04,51.82,52.03,51.82,52.04,51.82,52.03,2500.0,0.0,1.0,1.0,0.0
2013-05-03,52.65,52.73,52.6,52.62,52.65,52.73,52.6,52.62,991.0,0.0,1.0,1.0,0.0
2013-05-06,53.06,53.06,52.5,52.54,53.06,53.06,52.5,52.54,19430.0,0.0,1.0,1.0,0.0
2013-05-07,52.59,52.59,52.55,52.56,52.59,52.59,52.55,52.56,1500.0,0.0,1.0,1.0,2.62
2013-05-08,52.74,52.82,52.74,52.82,52.74,52.82,52.74,52.82,1600.0,0.0,1.0,1.0,0.0
2013-05-09,52.86,52.91,52.77,52.83,52.86,52.91,52.77,52.83,4677.0,0.0,1.0,1.0,0.0
2013-05-10,53.49,53.49,52.95,52.95,53.49,53.49,52.95,52.95,686.0,0.0,1.0,1.0,0.0
2013-05-13,53.19,53.2,53.09,53.09,53.19,53.2,53.09,53.09,4134.0,0.0,1.0,1.0,0.0
2013-05-14,53.32,53.56,53.32,53.55,53.32,53.56,53.32,53.55,2158.0,0.0,1.0,1.0,0.0
2013-05-15,53.74,54.03,53.71,53.73,53.74,54.03,53.71,53.73,3347.0,0.0,1.0,1.0,0.0
