Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2016-10-27,39.91,39.91,39.8,39.8,39.91,39.91,39.8,39.8,252499.0,0.0,1.0,1.0,0.0
2016-10-28,39.65,39.72,39.64,39.72,39.65,39.72,39.64,39.72,851.0,0.0,1.0,1.0,0.0
2016-10-31,39.72,39.72,39.72,39.72,39.72,39.72,39.72,39.72,0.0,0.0,1.0,1.0,0.0
2016-11-01,40.04,40.04,40.04,40.04,40.04,40.04,40.04,40.04,320.0,0.0,1.0,1.0,0.0
2016-11-02,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,320.0,0.0,1.0,1.0,0.0
2016-11-03,39.76,39.76,39.76,39.76,39.76,39.76,39.76,39.76,115.0,0.0,1.0,1.0,0.0
2016-11-04,39.64,39.64,39.64,39.64,39.64,39.64,39.64,39.64,450.0,0.0,1.0,1.0,0.0
2016-11-07,39.64,39.64,39.64,39.64,39.64,39.64,39.64,39.64,0.0,0.0,1.0,1.0,0.0
2016-11-08,39.64,39.64,39.64,39.64,39.64,39.64,39.64,39.64,0.0,0.0,1.0,1.0,0.0
2016-11-09,39.56,39.56,39.56,39.56,39.56,39.56,39.56,39.56,100.0,0.0,1.0,1.0,0.0
2016-11-10,39.56,39.56,39.56,39.56,39.56,39.56,39.56,39.56,0.0,0.0,1.0,1.0,0.0
2016-11-11,39.56,39.56,39.56,39.56,39.56,39.56,39.56,39.56,0.0,0.0,1.0,1.0,0.0
2016-11-14,39.56,39.56,39.56,39.56,39.56,39.56,39.56,39.56,10.0,0.0,1.0,1.0,0.0
2016-11-15,39.56,39.56,39.56,39.56,39.56,39.56,39.56,39.56,0.0,0.0,1.0,1.0,0.0
2016-11-16,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,250.0,0.0,1.0,1.0,0.0
2016-11-17,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,0.0,0.0,1.0,1.0,0.0
2016-11-18,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,0.0,0.0,1.0,1.0,0.0
2016-11-21,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,10.0,0.0,1.0,1.0,0.0
2016-11-22,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,0.0,0.0,1.0,1.0,0.0
2016-11-23,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,0.0,0.0,1.0,1.0,0.0
2016-11-25,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,0.0,0.0,1.0,1.0,0.0
2016-11-28,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,250.0,0.0,1.0,1.0,0.0
2016-11-29,38.54,38.54,38.54,38.54,38.54,38.54,38.54,38.54,257.0,0.0,1.0,1.0,0.0
2016-11-30,38.53,38.53,38.52,38.52,38.53,38.53,38.52,38.52,750.0,0.0,1.0,1.0,0.0
2016-12-01,38.52,38.52,38.52,38.52,38.52,38.52,38.52,38.52,0.0,0.0,1.0,1.0,0.0
2016-12-02,38.48,38.48,38.48,38.48,38.48,38.48,38.48,38.48,250.0,0.0,1.0,1.0,0.0
2016-12-05,38.48,38.48,38.48,38.48,38.48,38.48,38.48,38.48,0.0,0.0,1.0,1.0,0.0
2016-12-06,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,357.0,0.0,1.0,1.0,0.0
2016-12-07,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,0.0,0.0,1.0,1.0,0.0
2016-12-08,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,0.0,0.0,1.0,1.0,0.0
2016-12-09,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,0.0,0.0,1.0,1.0,0.0
2016-12-12,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,0.0,0.0,1.0,1.0,0.0
2016-12-13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,250.0,0.0,1.0,1.0,0.0
2016-12-14,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,0.0,0.0,1.0,1.0,0.0
2016-12-15,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,0.0,0.0,1.0,1.0,0.0
2016-12-16,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,0.0,0.0,1.0,1.0,0.0
2016-12-19,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,0.0,0.0,1.0,1.0,0.0
2016-12-20,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,0.0,0.0,1.0,1.0,0.0
2016-12-21,38.42,38.42,38.41,38.41,38.42,38.42,38.41,38.41,250.0,0.0,1.0,1.0,0.0
2016-12-22,38.41,38.41,38.41,38.41,38.41,38.41,38.41,38.41,0.0,0.0,1.0,1.0,0.0
2016-12-23,38.41,38.41,38.41,38.41,38.41,38.41,38.41,38.41,0.0,0.12,1.0,1.0,0.0
2016-12-27,38.41,38.41,38.41,38.41,38.41,38.41,38.41,38.41,0.0,0.0,1.0,1.0,0.0
2016-12-28,38.41,38.41,38.41,38.41,38.41,38.41,38.41,38.41,0.0,0.0,1.0,1.0,0.0
2016-12-29,38.41,38.41,38.41,38.41,38.41,38.41,38.41,38.41,0.0,0.0,1.0,1.0,0.0
2016-12-30,38.29,38.29,38.29,38.29,38.29,38.29,38.29,38.29,0.0,0.0,1.0,1.0,0.0
2017-01-03,38.29,38.29,38.29,38.29,38.29,38.29,38.29,38.29,0.0,0.0,1.0,1.0,0.0
2017-01-04,38.86,38.88,38.86,38.88,38.86,38.88,38.86,38.88,400.0,0.0,1.0,1.0,0.0
2017-01-05,38.88,38.88,38.88,38.88,38.88,38.88,38.88,38.88,0.0,0.0,1.0,1.0,0.0
