Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2016-12-14,25.23,25.25,25.22,25.22,25.23,25.25,25.22,25.22,200300.0,0.0,1.0,1.0,0.0
2016-12-15,25.17,25.17,25.17,25.17,25.17,25.17,25.17,25.17,100.0,0.0,1.0,1.0,2.51
2016-12-16,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,595.0,0.0,1.0,1.0,0.0
2016-12-19,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,30.0,0.0,1.0,1.0,0.0
2016-12-20,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,0.0,0.0,1.0,1.0,0.0
2016-12-21,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,30.0,0.0,1.0,1.0,0.0
2016-12-22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,0.0,0.0,1.0,1.0,0.0
2016-12-23,25.2,25.21,25.18,25.2,25.2,25.21,25.18,25.2,595.0,0.0,1.0,1.0,0.0
2016-12-27,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,30.0,0.0,1.0,1.0,0.0
2016-12-28,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,0.0,0.0,1.0,1.0,1.26
2016-12-29,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,30.0,0.0,1.0,1.0,0.0
2016-12-30,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,24.0,0.0,1.0,1.0,0.0
2017-01-03,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,0.0,0.0,1.0,1.0,0.0
2017-01-04,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,0.0,0.0,1.0,1.0,0.0
2017-01-05,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,0.0,0.0,1.0,1.0,0.0
2017-01-06,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,0.0,0.0,1.0,1.0,0.0
2017-01-09,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,0.0,0.0,1.0,1.0,0.0
2017-01-10,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,0.0,0.0,1.0,1.0,0.0
2017-01-11,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,0.0,0.0,1.0,1.0,0.0
2017-01-12,25.53,25.53,25.53,25.53,25.53,25.53,25.53,25.53,1100.0,0.0,1.0,1.0,0.0
