Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2019-10-01,25.08,25.08,25.05,25.05,25.08,25.08,25.05,25.05,109800.0,0.0,1.0,1.0,2.5
2019-10-02,25.11,25.12,25.08,25.08,25.11,25.12,25.08,25.08,17200.0,0.0,1.0,1.0,0.0
2019-10-03,25.17,25.17,25.16,25.16,25.17,25.17,25.16,25.16,100.0,0.0,1.0,1.0,0.0
2019-10-04,25.16,25.21,25.16,25.21,25.16,25.21,25.16,25.21,800.0,0.0,1.0,1.0,0.0
2019-10-07,25.17,25.18,25.15,25.15,25.17,25.18,25.15,25.15,15200.0,0.0,1.0,1.0,0.0
2019-10-08,25.2,25.2,25.16,25.16,25.2,25.2,25.16,25.16,25800.0,0.0,1.0,1.0,1.26
2019-10-09,25.15,25.15,25.11,25.13,25.15,25.15,25.11,25.13,2100.0,0.0,1.0,1.0,0.0
2019-10-10,25.12,25.12,25.07,25.08,25.12,25.12,25.07,25.08,3300.0,0.0,1.0,1.0,0.0
2019-10-11,25.05,25.05,25.0,25.0,25.05,25.05,25.0,25.0,1400.0,0.0,1.0,1.0,0.63
2019-10-14,25.05,25.05,25.05,25.05,25.05,25.05,25.05,25.05,23300.0,0.0,1.0,1.0,0.0
2019-10-15,25.02,25.02,24.98,24.98,25.02,25.02,24.98,24.98,35200.0,0.0,1.0,1.0,0.63
2019-10-16,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.02,49600.0,0.0,1.0,1.0,1.25
2019-10-17,25.02,25.07,25.01,25.02,25.02,25.07,25.01,25.02,55600.0,0.0,1.0,1.0,0.0
2019-10-18,25.06,25.06,25.02,25.02,25.06,25.06,25.02,25.02,102400.0,0.0,1.0,1.0,1.25
2019-10-21,24.97,24.97,24.96,24.96,24.97,24.97,24.96,24.96,87500.0,0.0,1.0,1.0,0.0
2019-10-22,25.02,25.04,25.01,25.02,25.02,25.04,25.01,25.02,116100.0,0.0,1.0,1.0,4.37
2019-10-23,25.05,25.05,25.02,25.05,25.05,25.05,25.02,25.05,114900.0,0.0,1.0,1.0,5.0
2019-10-24,26.29,26.29,25.06,25.06,26.29,26.29,25.06,25.06,104300.0,0.0,1.0,1.0,0.63
2019-10-25,25.03,25.03,25.03,25.03,25.03,25.03,25.03,25.03,0.0,0.0,1.0,1.0,3.13
2019-10-28,25.0,25.01,25.0,25.0,25.0,25.01,25.0,25.0,87100.0,0.0,1.0,1.0,0.63
2019-10-29,25.02,25.03,25.02,25.02,25.02,25.03,25.02,25.02,109400.0,0.0,1.0,1.0,1.87
2019-10-30,25.05,25.08,25.05,25.08,25.05,25.08,25.05,25.08,88000.0,0.0,1.0,1.0,5.0
2019-10-31,25.18,25.2,25.17,25.2,25.18,25.2,25.17,25.2,55400.0,0.0,1.0,1.0,0.0
2019-11-01,25.2,25.2,25.19,25.2,25.2,25.2,25.19,25.2,80800.0,0.0,1.0,1.0,1.89
2019-11-04,25.13,25.17,25.13,25.16,25.13,25.17,25.13,25.16,15500.0,0.0,1.0,1.0,0.0
2019-11-05,25.09,25.09,25.08,25.08,25.09,25.09,25.08,25.08,300.0,0.0,1.0,1.0,1.89
2019-11-06,25.12,25.12,25.12,25.12,25.12,25.12,25.12,25.12,40000.0,0.0,1.0,1.0,1.25
2019-11-07,25.01,25.02,25.01,25.02,25.01,25.02,25.01,25.02,10000.0,0.0,1.0,1.0,1.88
2019-11-08,25.03,25.03,25.02,25.02,25.03,25.03,25.02,25.02,21000.0,0.0,1.0,1.0,0.0
2019-11-11,25.03,25.03,25.03,25.03,25.03,25.03,25.03,25.03,0.0,0.0,1.0,1.0,0.0
2019-11-12,25.07,25.07,25.06,25.06,25.07,25.07,25.06,25.06,15100.0,0.0,1.0,1.0,0.0
2019-11-13,25.11,25.11,25.11,25.11,25.11,25.11,25.11,25.11,28900.0,0.0,1.0,1.0,0.0
2019-11-14,25.19,25.2,25.19,25.2,25.19,25.2,25.19,25.2,12900.0,0.0,1.0,1.0,0.0
2019-11-15,25.2,25.21,25.17,25.19,25.2,25.21,25.17,25.19,6100.0,0.0,1.0,1.0,0.0
2019-11-18,25.26,25.26,25.24,25.24,25.26,25.26,25.24,25.24,21500.0,0.0,1.0,1.0,0.63
2019-11-19,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.28,12800.0,0.0,1.0,1.0,0.0
2019-11-20,25.32,25.35,25.32,25.34,25.32,25.35,25.32,25.34,1100.0,0.0,1.0,1.0,2.53
2019-11-21,25.29,25.3,25.25,25.28,25.29,25.3,25.25,25.28,17500.0,0.0,1.0,1.0,0.0
2019-11-22,25.29,25.31,25.28,25.31,25.29,25.31,25.28,25.31,9500.0,0.0,1.0,1.0,0.0
2019-11-25,25.35,25.36,25.35,25.36,25.35,25.36,25.35,25.36,1100.0,0.0,1.0,1.0,0.0
2019-11-26,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,0.0,0.0,1.0,1.0,0.0
2019-11-27,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,0.0,0.0,1.0,1.0,0.0
2019-11-29,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,0.0,0.0,1.0,1.0,0.0
2019-12-02,25.3,25.31,25.24,25.29,25.3,25.31,25.24,25.29,7800.0,0.0,1.0,1.0,0.0
2019-12-03,25.25,25.33,25.25,25.33,25.25,25.33,25.25,25.33,12000.0,0.0,1.0,1.0,0.0
2019-12-04,25.26,25.26,25.23,25.23,25.26,25.26,25.23,25.23,7800.0,0.0,1.0,1.0,0.0
2019-12-05,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.24,470.0,0.0,1.0,1.0,0.0
2019-12-06,25.27,25.27,25.22,25.22,25.27,25.27,25.22,25.22,260.0,0.0,1.0,1.0,0.0
2019-12-09,25.25,25.28,25.25,25.27,25.25,25.28,25.25,25.27,6100.0,0.0,1.0,1.0,0.0
2019-12-10,25.27,25.28,25.24,25.28,25.27,25.28,25.24,25.28,27100.0,0.0,1.0,1.0,0.0
2019-12-11,25.28,25.34,25.28,25.34,25.28,25.34,25.28,25.34,20000.0,0.0,1.0,1.0,0.0
2019-12-12,25.23,25.26,25.23,25.24,25.23,25.26,25.23,25.24,23900.0,0.0,1.0,1.0,0.63
2019-12-13,25.34,25.41,25.34,25.34,25.34,25.41,25.34,25.34,17000.0,0.0,1.0,1.0,0.0
2019-12-16,25.34,25.34,25.3,25.3,25.34,25.34,25.3,25.3,600.0,0.0,1.0,1.0,0.0
2019-12-17,25.37,25.39,25.26,25.3,25.37,25.39,25.26,25.3,48400.0,0.0,1.0,1.0,0.0
2019-12-18,25.29,25.3,25.26,25.28,25.29,25.3,25.26,25.28,21400.0,0.0,1.0,1.0,0.0
