Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2018-09-05,24.88,24.88,24.5,24.75,24.88,24.88,24.5,24.75,6678.0,0.0,1.0,1.0,2.5
2018-09-06,24.74,24.74,24.5,24.54,24.74,24.74,24.5,24.54,2855.0,0.0,1.0,1.0,0.0
2018-09-07,24.55,24.6,24.5,24.5,24.55,24.6,24.5,24.5,2600.0,0.0,1.0,1.0,0.0
2018-09-10,24.58,24.58,24.47,24.53,24.58,24.58,24.47,24.53,3000.0,0.0,1.0,1.0,0.0
2018-09-11,24.53,24.56,24.53,24.53,24.53,24.56,24.53,24.53,2200.0,0.0,1.0,1.0,0.0
2018-09-12,24.37,24.46,24.36,24.46,24.37,24.46,24.36,24.46,1169.0,0.0,1.0,1.0,0.0
2018-09-13,24.68,24.68,24.53,24.58,24.68,24.68,24.53,24.58,10592.0,0.0,1.0,1.0,0.0
2018-09-14,24.74,24.76,24.73,24.76,24.74,24.76,24.73,24.76,2000.0,0.0,1.0,1.0,0.0
2018-09-17,24.77,24.77,24.59,24.6,24.77,24.77,24.59,24.6,2894.0,0.0,1.0,1.0,0.0
2018-09-18,24.45,24.81,24.45,24.76,24.45,24.81,24.45,24.76,3100.0,0.0,1.0,1.0,0.0
2018-09-19,24.72,24.72,24.66,24.67,24.72,24.72,24.66,24.67,1300.0,0.0,1.0,1.0,0.0
2018-09-20,24.8,24.88,24.78,24.87,24.8,24.88,24.78,24.87,5459.0,0.0,1.0,1.0,0.0
2018-09-21,24.88,24.91,24.84,24.84,24.88,24.91,24.84,24.84,600.0,0.0,1.0,1.0,0.0
2018-09-24,24.63,24.82,24.63,24.82,24.63,24.82,24.63,24.82,1377.0,0.0,1.0,1.0,0.0
2018-09-25,24.84,24.9,24.82,24.88,24.84,24.9,24.82,24.88,800.0,0.0,1.0,1.0,0.0
2018-09-26,24.84,24.86,24.8,24.8,24.84,24.86,24.8,24.8,1100.0,0.0,1.0,1.0,0.0
2018-09-27,24.69,24.7,24.64,24.67,24.69,24.7,24.64,24.67,2165.0,0.0,1.0,1.0,0.0
2018-09-28,24.67,24.67,24.65,24.65,24.67,24.67,24.65,24.65,900.0,0.0,1.0,1.0,0.0
2018-10-01,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,200.0,0.0,1.0,1.0,0.0
2018-10-02,24.63,24.66,24.5,24.5,24.63,24.66,24.5,24.5,2283.0,0.0,1.0,1.0,0.0
2018-10-03,24.57,24.57,24.54,24.54,24.57,24.57,24.54,24.54,400.0,0.0,1.0,1.0,0.0
2018-10-04,24.56,24.56,24.2,24.2,24.56,24.56,24.2,24.2,600.0,0.0,1.0,1.0,0.0
2018-10-05,24.0,24.0,23.69,23.78,24.0,24.0,23.69,23.78,1093.0,0.0,1.0,1.0,0.0
2018-10-08,23.58,23.59,23.58,23.59,23.58,23.59,23.58,23.59,398.0,0.0,1.0,1.0,0.0
2018-10-09,23.42,23.42,23.39,23.39,23.42,23.42,23.39,23.39,900.0,0.0,1.0,1.0,0.0
2018-10-10,23.2,23.2,22.51,22.51,23.2,23.2,22.51,22.51,1600.0,0.0,1.0,1.0,0.0
2018-10-11,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,700.0,0.0,1.0,1.0,0.0
2018-10-12,22.53,22.53,22.49,22.53,22.53,22.53,22.49,22.53,1485.0,0.0,1.0,1.0,0.0
2018-10-15,22.53,22.53,22.53,22.53,22.53,22.53,22.53,22.53,0.0,0.0,1.0,1.0,0.0
2018-10-16,22.72,22.72,22.72,22.72,22.72,22.72,22.72,22.72,169.0,0.0,1.0,1.0,0.0
2018-10-17,23.06,23.07,22.93,23.07,23.06,23.07,22.93,23.07,789.0,0.0,1.0,1.0,0.0
2018-10-18,22.97,22.97,22.59,22.59,22.97,22.97,22.59,22.59,1400.0,0.0,1.0,1.0,0.0
2018-10-19,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.59,0.0,0.0,1.0,1.0,0.0
2018-10-22,22.38,22.39,22.38,22.39,22.38,22.39,22.38,22.39,400.0,0.0,1.0,1.0,0.0
2018-10-23,21.84,22.25,21.84,22.25,21.84,22.25,21.84,22.25,3500.0,0.0,1.0,1.0,0.0
2018-10-24,21.74,21.74,21.65,21.65,21.74,21.74,21.65,21.65,862.0,0.0,1.0,1.0,0.0
2018-10-25,21.64,21.66,21.64,21.66,21.64,21.66,21.64,21.66,400.0,0.0,1.0,1.0,0.0
2018-10-26,21.05,21.44,21.05,21.35,21.05,21.44,21.05,21.35,300.0,0.0,1.0,1.0,0.0
2018-10-29,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,200.0,0.0,1.0,1.0,0.0
2018-10-30,20.96,21.36,20.96,21.35,20.96,21.36,20.96,21.35,700.0,0.0,1.0,1.0,0.0
2018-10-31,21.48,21.61,21.48,21.61,21.48,21.61,21.48,21.61,500.0,0.0,1.0,1.0,0.0
2018-11-01,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,100.0,0.0,1.0,1.0,0.0
2018-11-02,22.6,22.6,22.29,22.37,22.6,22.6,22.29,22.37,63100.0,0.0,1.0,1.0,0.0
2018-11-05,22.37,22.37,22.11,22.11,22.37,22.37,22.11,22.11,352.0,0.0,1.0,1.0,0.0
2018-11-06,22.28,22.39,22.28,22.39,22.28,22.39,22.28,22.39,7454.0,0.0,1.0,1.0,0.0
2018-11-07,22.61,22.8,22.61,22.8,22.61,22.8,22.61,22.8,300.0,0.0,1.0,1.0,0.0
2018-11-08,22.77,22.77,22.66,22.66,22.77,22.77,22.66,22.66,800.0,0.0,1.0,1.0,0.0
2018-11-09,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.66,200.0,0.0,1.0,1.0,0.0
2018-11-12,22.24,22.24,21.6,21.69,22.24,22.24,21.6,21.69,900.0,0.0,1.0,1.0,0.0
2018-11-13,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,200.0,0.0,1.0,1.0,0.0
2018-11-14,21.76,21.76,21.48,21.58,21.76,21.76,21.48,21.58,4393.0,0.0,1.0,1.0,0.0
2018-11-15,21.55,22.17,21.54,22.08,21.55,22.17,21.54,22.08,2692.0,0.0,1.0,1.0,1.08
2018-11-16,21.88,22.0,21.75,21.99,21.88,22.0,21.75,21.99,1195.0,0.0,1.0,1.0,0.0
2018-11-19,22.04,22.04,21.5,21.5,22.04,22.04,21.5,21.5,3163.0,0.0,1.0,1.0,0.0
2018-11-20,20.74,20.96,20.5,20.8,20.74,20.96,20.5,20.8,3376.0,0.0,1.0,1.0,0.0
2018-11-21,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,7.0,0.0,1.0,1.0,0.0
2018-11-23,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,48.0,0.0,1.0,1.0,0.0
2018-11-26,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,200.0,0.0,1.0,1.0,0.0
2018-11-27,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,23.0,0.0,1.0,1.0,0.0
2018-11-28,21.46,21.46,21.28,21.28,21.46,21.46,21.28,21.28,271.0,0.0,1.0,1.0,0.0
2018-11-29,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,4.0,0.0,1.0,1.0,0.0
2018-11-30,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,561.0,0.0,1.0,1.0,0.0
2018-12-03,22.36,22.36,22.36,22.36,22.36,22.36,22.36,22.36,264.0,0.0,1.0,1.0,0.0
2018-12-04,22.36,22.36,22.36,22.36,22.36,22.36,22.36,22.36,27.0,0.0,1.0,1.0,0.0
2018-12-06,21.14,21.53,21.14,21.53,21.14,21.53,21.14,21.53,660.0,0.0,1.0,1.0,0.0
2018-12-07,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,173.0,0.0,1.0,1.0,0.0
2018-12-10,20.9,21.18,20.9,21.18,20.9,21.18,20.9,21.18,400.0,0.0,1.0,1.0,0.0
2018-12-11,21.31,21.31,21.09,21.09,21.31,21.31,21.09,21.09,258.0,0.0,1.0,1.0,0.0
2018-12-12,21.4,21.4,21.33,21.33,21.4,21.4,21.33,21.33,352.0,0.0,1.0,1.0,0.0
2018-12-13,21.14,21.14,21.12,21.12,21.14,21.14,21.12,21.12,100.0,0.0,1.0,1.0,0.0
2018-12-14,20.98,20.98,20.81,20.81,20.98,20.98,20.81,20.81,258.0,0.0,1.0,1.0,0.0
2018-12-17,20.28,20.28,20.28,20.28,20.28,20.28,20.28,20.28,100.0,0.0,1.0,1.0,0.0
2018-12-18,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,22.0,0.0,1.0,1.0,0.0
2018-12-19,20.0,20.1,20.0,20.1,20.0,20.1,20.0,20.1,5582.0,0.0,1.0,1.0,0.0
2018-12-20,19.53,19.74,19.53,19.67,19.53,19.74,19.53,19.67,5885.0,0.0,1.0,1.0,0.0
2018-12-21,19.58,19.71,19.17,19.17,19.58,19.71,19.17,19.17,9495.0,0.0,1.0,1.0,0.0
2018-12-24,19.14,19.14,18.83,18.83,19.14,19.14,18.83,18.83,500.0,0.0,1.0,1.0,0.0
2018-12-26,18.85,19.6,18.85,19.6,18.85,19.6,18.85,19.6,399.0,0.0,1.0,1.0,0.0
2018-12-27,19.36,19.78,19.36,19.78,19.36,19.78,19.36,19.78,700.0,0.0,1.0,1.0,0.0
2018-12-28,19.88,19.88,19.76,19.86,19.88,19.88,19.76,19.86,4900.0,0.04,1.0,1.0,0.0
2018-12-31,19.89,20.0,19.86,20.0,19.89,20.0,19.86,20.0,1200.0,0.0,1.0,1.0,0.0
2019-01-02,19.86,20.11,19.86,20.11,19.86,20.11,19.86,20.11,1200.0,0.0,1.0,1.0,0.0
2019-01-03,19.91,19.91,19.36,19.36,19.91,19.91,19.36,19.36,60176.0,0.0,1.0,1.0,0.0
2019-01-04,19.86,20.12,19.86,20.12,19.86,20.12,19.86,20.12,300.0,0.0,1.0,1.0,0.0
2019-01-07,20.2,20.37,20.2,20.37,20.2,20.37,20.2,20.37,200.0,0.0,1.0,1.0,0.0
2019-01-08,20.46,20.46,20.1,20.39,20.46,20.46,20.1,20.39,255.0,0.0,1.0,1.0,0.0
2019-01-09,20.58,20.69,20.58,20.68,20.58,20.69,20.58,20.68,200.0,0.0,1.0,1.0,0.0
2019-01-10,20.64,20.9,20.64,20.9,20.64,20.9,20.64,20.9,800.0,0.0,1.0,1.0,1.03
2019-01-11,20.76,20.84,20.76,20.84,20.76,20.84,20.76,20.84,100.0,0.0,1.0,1.0,0.0
2019-01-14,20.67,20.7,20.58,20.59,20.67,20.7,20.58,20.59,4788.0,0.0,1.0,1.0,0.0
2019-01-15,20.78,20.82,20.74,20.79,20.78,20.82,20.74,20.79,4600.0,0.0,1.0,1.0,0.0
2019-01-16,20.84,20.84,20.82,20.82,20.84,20.84,20.82,20.82,265.0,0.0,1.0,1.0,0.0
2019-01-17,20.76,21.0,20.76,20.97,20.76,21.0,20.76,20.97,592.0,0.0,1.0,1.0,0.0
2019-01-18,21.17,21.37,21.11,21.37,21.17,21.37,21.11,21.37,3000.0,0.0,1.0,1.0,0.0
2019-01-22,21.05,21.06,20.87,20.87,21.05,21.06,20.87,20.87,1500.0,0.0,1.0,1.0,0.0
2019-01-23,21.03,21.04,20.87,20.97,21.03,21.04,20.87,20.97,800.0,0.0,1.0,1.0,0.0
2019-01-24,21.53,21.63,21.53,21.63,21.53,21.63,21.53,21.63,484.0,0.0,1.0,1.0,0.0
2019-01-25,21.85,22.18,21.85,22.18,21.85,22.18,21.85,22.18,769.0,0.0,1.0,1.0,0.0
2019-01-28,21.89,22.04,21.89,21.98,21.89,22.04,21.89,21.98,692.0,0.0,1.0,1.0,0.0
2019-01-29,21.94,21.94,21.81,21.81,21.94,21.94,21.81,21.81,788.0,0.0,1.0,1.0,0.0
2019-01-30,22.01,22.37,22.01,22.37,22.01,22.37,22.01,22.37,273.0,0.0,1.0,1.0,0.0
2019-01-31,22.41,22.58,22.41,22.47,22.41,22.58,22.41,22.47,4800.0,0.0,1.0,1.0,0.0
2019-02-01,22.53,22.65,22.52,22.58,22.53,22.65,22.52,22.58,7900.0,0.0,1.0,1.0,0.0
2019-02-04,22.63,22.72,22.63,22.72,22.63,22.72,22.63,22.72,588.0,0.0,1.0,1.0,0.0
2019-02-05,22.86,22.86,22.84,22.84,22.86,22.86,22.84,22.84,1699.0,0.0,1.0,1.0,0.0
2019-02-06,22.81,23.0,22.81,22.94,22.81,23.0,22.81,22.94,1296.0,0.0,1.0,1.0,0.0
2019-02-07,22.56,22.62,22.53,22.6,22.56,22.62,22.53,22.6,1058.0,0.0,1.0,1.0,0.0
