Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2010-12-09,40.54,40.76,40.54,40.68,40.54,40.76,40.54,40.68,2400.0,0.0,1.0,1.0,0.0
2010-12-10,41.61,41.61,40.88,40.97,41.61,41.61,40.88,40.97,4100.0,0.0,1.0,1.0,0.0
2010-12-13,40.96,41.72,40.82,40.86,40.96,41.72,40.82,40.86,9200.0,0.0,1.0,1.0,0.0
2010-12-14,40.87,40.87,40.82,40.83,40.87,40.87,40.82,40.83,2100.0,0.0,1.0,1.0,0.0
2010-12-15,40.86,40.86,40.77,40.78,40.86,40.86,40.77,40.78,3925.0,0.0,1.0,1.0,0.0
2010-12-16,40.8,40.88,40.8,40.88,40.8,40.88,40.8,40.88,2500.0,0.0,1.0,1.0,0.0
2010-12-17,41.73,41.73,40.84,40.84,41.73,41.73,40.84,40.84,3795.0,0.0,1.0,1.0,0.0
2010-12-20,40.95,41.04,40.95,40.99,40.95,41.04,40.95,40.99,2500.0,0.0,1.0,1.0,0.0
2010-12-21,41.09,41.18,41.09,41.18,41.09,41.18,41.09,41.18,4300.0,0.0,1.0,1.0,0.0
2010-12-22,42.04,42.04,41.25,41.43,42.04,42.04,41.25,41.43,8310.0,0.0,1.0,1.0,0.0
2010-12-23,41.47,42.25,41.41,41.43,41.47,42.25,41.41,41.43,24725.0,0.03,1.0,1.0,0.0
2010-12-27,41.38,41.53,41.38,41.45,41.38,41.53,41.38,41.45,5885.0,0.0,1.0,1.0,0.0
2010-12-28,41.5,41.6,41.5,41.6,41.5,41.6,41.5,41.6,2900.0,0.0,1.0,1.0,0.0
2010-12-29,41.75,41.85,40.94,41.47,41.75,41.85,40.94,41.47,9600.0,0.0,1.0,1.0,0.0
2010-12-30,41.47,41.49,41.2,41.48,41.47,41.49,41.2,41.48,5730.0,0.0,1.0,1.0,0.0
2010-12-31,41.44,42.13,41.44,41.51,41.44,42.13,41.44,41.51,12263.0,0.0,1.0,1.0,0.0
2011-01-03,41.57,41.62,41.55,41.62,41.57,41.62,41.55,41.62,2661.0,0.0,1.0,1.0,0.0
2011-01-04,41.8,41.96,41.8,41.95,41.8,41.96,41.8,41.95,1925.0,0.0,1.0,1.0,0.0
2011-01-05,42.13,42.25,42.11,42.25,42.13,42.25,42.11,42.25,2320.0,0.0,1.0,1.0,0.0
2011-01-06,42.24,42.28,42.24,42.25,42.24,42.28,42.24,42.25,4645.0,0.0,1.0,1.0,0.0
2011-01-07,42.23,42.94,42.09,42.16,42.23,42.94,42.09,42.16,4749.0,0.0,1.0,1.0,0.0
2011-01-10,42.14,42.14,42.06,42.08,42.14,42.14,42.06,42.08,1747.0,0.0,1.0,1.0,0.0
2011-01-11,42.07,42.45,42.03,42.08,42.07,42.45,42.03,42.08,7385.0,0.0,1.0,1.0,0.0
2011-01-12,42.12,42.44,42.1,42.1,42.12,42.44,42.1,42.1,8735.0,0.0,1.0,1.0,0.0
2011-01-13,42.19,42.2,42.12,42.13,42.19,42.2,42.12,42.13,3150.0,0.0,1.0,1.0,0.0
2011-01-14,42.11,42.13,42.11,42.13,42.11,42.13,42.11,42.13,250.0,0.0,1.0,1.0,0.0
2011-01-18,42.11,42.49,42.01,42.03,42.11,42.49,42.01,42.03,8103.0,0.0,1.0,1.0,0.0
