Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2007-02-01,70.0,70.01,70.0,70.01,17.5,17.5,17.5,17.5,200.0,0.0,1.0,4.0,0.0
2007-02-02,70.8,70.8,70.29,70.46,17.7,17.7,17.57,17.61,10000.0,0.0,1.0,4.0,0.0
2007-02-05,70.68,70.77,70.53,70.66,17.67,17.69,17.63,17.66,20200.0,0.0,1.0,4.0,0.0
2007-02-06,70.31,70.31,69.54,70.21,17.58,17.58,17.39,17.55,6200.0,0.0,1.0,4.0,0.0
2007-02-07,70.87,71.7,70.87,71.17,17.72,17.92,17.72,17.79,7000.0,0.0,1.0,4.0,0.0
2007-02-08,70.87,71.65,70.87,71.65,17.72,17.91,17.72,17.91,13400.0,0.0,1.0,4.0,0.0
2007-02-09,71.71,71.71,69.48,69.48,17.93,17.93,17.37,17.37,9400.0,0.0,1.0,4.0,0.0
2007-02-12,68.95,69.23,68.88,69.1,17.24,17.31,17.22,17.27,7000.0,0.0,1.0,4.0,0.0
2007-02-13,69.33,69.33,68.85,69.25,17.33,17.33,17.21,17.31,1000.0,0.0,1.0,4.0,0.0
2007-02-14,69.81,71.5,69.81,71.27,17.45,17.88,17.45,17.82,6500.0,0.0,1.0,4.0,0.0
2007-02-15,71.5,71.81,71.32,71.73,17.88,17.95,17.83,17.93,8200.0,0.0,1.0,4.0,0.0
2007-02-16,70.78,70.79,70.78,70.79,17.7,17.7,17.7,17.7,3000.0,0.0,1.0,4.0,0.0
2007-02-20,70.56,71.87,70.36,71.86,17.64,17.97,17.59,17.96,2300.0,0.0,1.0,4.0,0.0
2007-02-21,71.32,71.43,71.32,71.43,17.83,17.86,17.83,17.86,5300.0,0.0,1.0,4.0,0.0
2007-02-22,72.64,73.03,71.85,72.03,18.16,18.26,17.96,18.01,30600.0,0.0,1.0,4.0,0.0
2007-02-23,72.23,72.28,71.89,72.25,18.06,18.07,17.97,18.06,15400.0,0.0,1.0,4.0,0.0
2007-02-26,71.85,71.85,71.31,71.31,17.96,17.96,17.83,17.83,20200.0,0.0,1.0,4.0,0.0
2007-02-27,68.4,69.35,65.38,65.58,17.1,17.34,16.34,16.4,99400.0,0.0,1.0,4.0,0.0
2007-02-28,65.4,66.9,65.4,66.9,16.35,16.73,16.35,16.73,1300.0,0.0,1.0,4.0,0.0
2007-03-01,65.73,65.73,65.73,65.73,16.43,16.43,16.43,16.43,200.0,0.0,1.0,4.0,0.0
2007-03-02,65.6,65.6,65.09,65.09,16.4,16.4,16.27,16.27,300.0,0.0,1.0,4.0,0.0
2007-03-05,63.1,64.2,63.05,63.05,15.78,16.05,15.76,15.76,1700.0,0.0,1.0,4.0,0.0
2007-03-06,64.5,65.03,64.5,65.03,16.12,16.26,16.12,16.26,400.0,0.0,1.0,4.0,0.0
2007-03-07,65.0,65.15,64.67,64.67,16.25,16.29,16.17,16.17,1500.0,0.0,1.0,4.0,0.0
2007-03-08,64.67,64.67,64.67,64.67,16.17,16.17,16.17,16.17,0.0,0.0,1.0,4.0,0.0
2007-03-09,64.67,64.67,64.67,64.67,16.17,16.17,16.17,16.17,0.0,0.0,1.0,4.0,0.0
2007-03-12,66.1,66.26,66.1,66.26,16.52,16.57,16.52,16.57,300.0,0.0,1.0,4.0,0.0
2007-03-13,65.64,66.03,64.0,64.0,16.41,16.51,16.0,16.0,500.0,0.0,1.0,4.0,0.0
2007-03-14,65.1,65.11,65.1,65.11,16.27,16.28,16.27,16.28,200.0,0.0,1.0,4.0,0.0
2007-03-15,65.12,65.12,64.97,64.97,16.28,16.28,16.24,16.24,600.0,0.0,1.0,4.0,0.0
2007-03-16,64.97,64.97,64.97,64.97,16.24,16.24,16.24,16.24,0.0,0.0,1.0,4.0,0.0
2007-03-19,64.97,64.97,64.97,64.97,16.24,16.24,16.24,16.24,0.0,0.0,1.0,4.0,0.0
2007-03-20,65.99,66.85,65.99,66.33,16.5,16.71,16.5,16.58,1600.0,0.0,1.0,4.0,0.0
2007-03-21,67.15,68.74,66.63,68.74,16.79,17.18,16.66,17.18,3700.0,0.0,1.0,4.0,0.0
2007-03-22,68.44,68.44,68.08,68.08,17.11,17.11,17.02,17.02,1200.0,0.0,1.0,4.0,0.0
2007-03-23,68.45,68.45,68.45,68.45,17.11,17.11,17.11,17.11,200.0,0.0,1.0,4.0,0.0
2007-03-26,68.2,68.2,68.2,68.2,17.05,17.05,17.05,17.05,300.0,0.0,1.0,4.0,0.0
2007-03-27,68.2,68.2,68.2,68.2,17.05,17.05,17.05,17.05,0.0,0.0,1.0,4.0,0.0
2007-03-28,67.26,67.26,67.26,67.26,16.82,16.82,16.82,16.82,100.0,0.0,1.0,4.0,0.0
2007-03-29,67.26,67.26,67.26,67.26,16.82,16.82,16.82,16.82,0.0,0.0,1.0,4.0,0.0
2007-03-30,67.26,67.26,67.26,67.26,16.82,16.82,16.82,16.82,0.0,0.0,1.0,4.0,0.0
2007-04-02,67.26,67.26,67.26,67.26,16.82,16.82,16.82,16.82,0.0,0.0,1.0,4.0,0.0
2007-04-03,67.3,67.85,67.3,67.85,16.82,16.96,16.82,16.96,700.0,0.0,1.0,4.0,0.0
2007-04-04,67.85,67.85,67.85,67.85,16.96,16.96,16.96,16.96,0.0,0.0,1.0,4.0,0.0
2007-04-05,67.85,67.85,67.85,67.85,16.96,16.96,16.96,16.96,0.0,0.0,1.0,4.0,0.0
2007-04-09,67.85,67.85,67.85,67.85,16.96,16.96,16.96,16.96,0.0,0.0,1.0,4.0,0.0
2007-04-10,68.75,68.75,68.57,68.72,17.19,17.19,17.14,17.18,400.0,0.0,1.0,4.0,0.0
2007-04-11,68.72,68.72,68.72,68.72,17.18,17.18,17.18,17.18,0.0,0.0,1.0,4.0,0.0
2007-04-12,68.72,68.72,68.72,68.72,17.18,17.18,17.18,17.18,0.0,0.0,1.0,4.0,0.0
2007-04-13,68.15,69.42,68.15,69.26,17.04,17.36,17.04,17.32,2100.0,0.0,1.0,4.0,0.0
2007-04-16,70.06,70.27,70.06,70.27,17.52,17.57,17.52,17.57,300.0,0.0,1.0,4.0,0.0
2007-04-17,70.89,70.89,70.65,70.65,17.72,17.72,17.66,17.66,1700.0,0.0,1.0,4.0,0.0
2007-04-18,70.65,70.9,70.46,70.46,17.66,17.73,17.61,17.61,6100.0,0.0,1.0,4.0,0.0
2007-04-19,70.39,70.84,70.33,70.33,17.6,17.71,17.58,17.58,6800.0,0.0,1.0,4.0,0.0
2007-04-20,70.91,71.35,70.91,71.35,17.73,17.84,17.73,17.84,1100.0,0.0,1.0,4.0,0.0
2007-04-23,71.5,71.5,71.47,71.47,17.88,17.88,17.87,17.87,400.0,0.0,1.0,4.0,0.0
2007-04-24,71.44,71.97,71.44,71.97,17.86,17.99,17.86,17.99,700.0,0.0,1.0,4.0,0.0
2007-04-25,72.74,73.62,72.16,73.46,18.18,18.4,18.04,18.36,800.0,0.0,1.0,4.0,0.0
2007-04-26,74.06,74.06,73.63,73.63,18.52,18.52,18.41,18.41,900.0,0.0,1.0,4.0,0.0
2007-04-27,74.0,74.37,73.99,74.05,18.5,18.59,18.5,18.51,3300.0,0.0,1.0,4.0,0.0
2007-04-30,73.97,73.97,72.8,72.8,18.49,18.49,18.2,18.2,400.0,0.0,1.0,4.0,0.0
2007-05-01,72.55,73.07,71.75,73.07,18.14,18.27,17.94,18.27,4600.0,0.0,1.0,4.0,0.0
2007-05-02,73.51,73.97,73.51,73.97,18.38,18.49,18.38,18.49,1800.0,0.0,1.0,4.0,0.0
2007-05-03,75.25,75.25,74.69,74.83,18.81,18.81,18.67,18.71,800.0,0.0,1.0,4.0,0.0
2007-05-04,75.25,75.42,75.02,75.42,18.81,18.86,18.76,18.86,2400.0,0.0,1.0,4.0,0.0
2007-05-07,75.67,75.67,75.42,75.42,18.92,18.92,18.86,18.86,300.0,0.0,1.0,4.0,0.0
2007-05-08,75.67,76.08,75.06,75.95,18.92,19.02,18.76,18.99,4800.0,0.0,1.0,4.0,0.0
2007-05-09,75.53,76.34,75.4,76.33,18.88,19.08,18.85,19.08,800.0,0.0,1.0,4.0,0.0
2007-05-10,75.03,75.17,74.68,74.68,18.76,18.79,18.67,18.67,12100.0,0.0,1.0,4.0,0.0
2007-05-11,76.71,77.0,76.71,77.0,19.18,19.25,19.18,19.25,3000.0,0.0,1.0,4.0,0.0
2007-05-14,77.0,77.0,75.17,75.17,19.25,19.25,18.79,18.79,5100.0,0.0,1.0,4.0,0.0
2007-05-15,76.13,76.31,74.56,74.56,19.03,19.08,18.64,18.64,2100.0,0.0,1.0,4.0,0.0
2007-05-16,74.8,75.84,74.74,75.77,18.7,18.96,18.68,18.94,900.0,0.0,1.0,4.0,-5.59
2007-05-17,75.78,75.79,73.97,75.65,18.94,18.95,18.49,18.91,1400.0,0.0,1.0,4.0,0.0
2007-05-18,75.96,76.65,75.69,76.54,18.99,19.16,18.92,19.14,4000.0,0.0,1.0,4.0,0.0
2007-05-21,76.87,77.97,76.87,77.22,19.22,19.49,19.22,19.3,1700.0,0.0,1.0,4.0,0.0
2007-05-22,77.58,78.03,77.5,77.97,19.4,19.51,19.38,19.49,3000.0,0.0,1.0,4.0,0.0
2007-05-23,77.67,77.96,76.62,76.65,19.42,19.49,19.16,19.16,3200.0,0.0,1.0,4.0,0.0
2007-05-24,75.89,76.55,72.74,73.14,18.97,19.14,18.18,18.29,2300.0,0.0,1.0,4.0,0.0
