Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2001-08-27,126.5,126.5,126.5,126.5,42.17,42.17,42.17,42.17,0.0,0.0,1.0,3.0,0.0
2001-08-28,126.5,126.5,126.5,126.5,42.17,42.17,42.17,42.17,0.0,0.0,1.0,3.0,0.0
2001-08-29,124.6,124.6,123.7,124.1,41.53,41.53,41.23,41.37,4600.0,0.0,1.0,3.0,0.0
2001-08-30,123.5,123.5,123.5,123.5,41.17,41.17,41.17,41.17,1000.0,0.0,1.0,3.0,0.0
2001-08-31,123.2,123.2,123.2,123.2,41.07,41.07,41.07,41.07,300.0,0.0,1.0,3.0,0.0
2001-09-04,123.0,123.0,123.0,123.0,41.0,41.0,41.0,41.0,200.0,0.0,1.0,3.0,0.0
2001-09-05,123.0,123.0,122.6,122.7,41.0,41.0,40.87,40.9,33800.0,0.0,1.0,3.0,0.0
2001-09-06,122.1,122.1,122.1,122.1,40.7,40.7,40.7,40.7,4100.0,0.0,1.0,3.0,0.0
2001-09-07,120.0,120.0,120.0,120.0,40.0,40.0,40.0,40.0,200.0,0.0,1.0,3.0,0.0
2001-09-10,120.0,120.0,120.0,120.0,40.0,40.0,40.0,40.0,0.0,0.0,1.0,3.0,0.0
2001-09-17,120.0,120.0,120.0,120.0,40.0,40.0,40.0,40.0,0.0,0.0,1.0,3.0,0.0
2001-09-18,116.8,117.6,116.8,117.6,38.93,39.2,38.93,39.2,1500.0,0.0,1.0,3.0,0.0
2001-09-19,116.4,116.4,113.6,113.6,38.8,38.8,37.87,37.87,1500.0,0.0,1.0,3.0,0.0
2001-09-20,113.8,113.8,113.5,113.5,37.93,37.93,37.83,37.83,200.0,0.0,1.0,3.0,0.0
2001-09-21,111.35,111.35,111.35,111.35,37.12,37.12,37.12,37.12,0.0,0.0,1.0,3.0,0.0
2001-09-24,111.3,111.3,109.7,110.2,37.1,37.1,36.57,36.73,9800.0,0.0,1.0,3.0,0.0
2001-09-25,110.78,111.17,110.78,111.17,36.93,37.06,36.93,37.06,200.0,0.0,1.0,3.0,0.0
2001-09-26,112.5,112.5,111.8,112.5,37.5,37.5,37.27,37.5,200.0,0.0,1.0,3.0,0.0
2001-09-27,113.2,113.2,113.2,113.2,37.73,37.73,37.73,37.73,700.0,0.0,1.0,3.0,0.0
2001-09-28,114.9,115.5,114.9,115.4,38.3,38.5,38.3,38.47,1100.0,0.0,1.0,3.0,0.0
2001-10-01,115.2,115.3,115.2,115.3,38.4,38.43,38.4,38.43,800.0,0.0,1.0,3.0,0.0
2001-10-02,116.0,116.0,114.1,114.1,38.67,38.67,38.03,38.03,3500.0,0.0,1.0,3.0,0.0
2001-10-03,113.2,113.2,113.1,113.2,37.73,37.73,37.7,37.73,6800.0,0.0,1.0,3.0,0.0
2001-10-04,115.7,115.7,115.0,115.0,38.57,38.57,38.33,38.33,9100.0,0.0,1.0,3.0,0.0
