Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2007-01-25,70.87,71.03,70.87,71.03,35.44,35.52,35.44,35.52,8000.0,0.0,1.0,2.0,0.0
2007-01-26,69.46,69.65,69.46,69.65,34.73,34.83,34.73,34.83,6500.0,0.0,1.0,2.0,0.0
2007-01-29,69.65,69.65,69.65,69.65,34.83,34.83,34.83,34.83,0.0,0.0,1.0,2.0,0.0
2007-01-30,71.83,71.83,71.53,71.53,35.92,35.92,35.76,35.76,600.0,0.0,1.0,2.0,0.0
2007-01-31,71.35,73.17,71.35,73.04,35.67,36.59,35.67,36.52,4200.0,0.0,1.0,2.0,0.0
2007-02-01,73.5,74.4,73.34,74.4,36.75,37.2,36.67,37.2,10900.0,0.0,1.0,2.0,0.0
2007-02-02,74.55,74.55,74.3,74.3,37.28,37.28,37.15,37.15,300.0,0.0,1.0,2.0,0.0
2007-02-05,74.45,74.66,74.05,74.05,37.22,37.33,37.02,37.02,43400.0,0.0,1.0,2.0,0.0
2007-02-06,73.95,74.74,73.85,74.74,36.98,37.37,36.92,37.37,21000.0,0.0,1.0,2.0,0.0
2007-02-07,74.78,75.69,74.72,75.68,37.39,37.84,37.36,37.84,7100.0,0.0,1.0,2.0,0.0
2007-02-08,75.38,75.67,74.89,75.42,37.69,37.84,37.44,37.71,12200.0,0.0,1.0,2.0,0.0
2007-02-09,75.42,75.42,73.35,73.74,37.71,37.71,36.67,36.87,3700.0,0.0,1.0,2.0,0.0
2007-02-12,73.32,73.4,73.24,73.4,36.66,36.7,36.62,36.7,1300.0,0.0,1.0,2.0,0.0
2007-02-13,74.3,74.61,73.91,74.61,37.15,37.3,36.96,37.3,13800.0,0.0,1.0,2.0,0.0
2007-02-14,74.53,75.71,74.45,75.13,37.26,37.85,37.22,37.56,13600.0,0.0,1.0,2.0,0.0
2007-02-15,75.0,75.65,74.75,75.37,37.5,37.83,37.38,37.68,4500.0,0.0,1.0,2.0,0.0
2007-02-16,75.27,75.81,74.82,75.66,37.64,37.9,37.41,37.83,9000.0,0.0,1.0,2.0,0.0
2007-02-20,75.33,77.44,74.88,77.4,37.66,38.72,37.44,38.7,8100.0,0.0,1.0,2.0,0.0
2007-02-21,77.19,77.64,76.66,77.57,38.6,38.82,38.33,38.78,20000.0,0.0,1.0,2.0,0.0
2007-02-22,77.52,77.89,77.52,77.89,38.76,38.94,38.76,38.94,1300.0,0.0,1.0,2.0,0.0
2007-02-23,77.05,77.31,76.83,77.31,38.52,38.66,38.42,38.66,3000.0,0.0,1.0,2.0,0.0
