Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2011-05-05,24.08,24.44,24.08,24.18,24.08,24.44,24.08,24.18,86200.0,0.0,1.0,1.0,0.0
2011-05-06,24.63,24.63,24.17,24.27,24.63,24.63,24.17,24.27,26000.0,0.0,1.0,1.0,0.0
2011-05-09,24.27,24.27,24.27,24.27,24.27,24.27,24.27,24.27,0.0,0.0,1.0,1.0,0.0
2011-05-10,24.69,24.78,24.69,24.78,24.69,24.78,24.69,24.78,1300.0,0.0,1.0,1.0,0.0
2011-05-11,24.65,24.65,24.23,24.27,24.65,24.65,24.23,24.27,2700.0,0.0,1.0,1.0,0.0
2011-05-12,24.18,24.41,24.18,24.38,24.18,24.41,24.18,24.38,1700.0,0.0,1.0,1.0,0.0
2011-05-13,24.38,24.38,24.38,24.38,24.38,24.38,24.38,24.38,0.0,0.0,1.0,1.0,0.0
2011-05-16,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,100.0,0.0,1.0,1.0,0.0
2011-05-17,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,0.0,0.0,1.0,1.0,0.0
2011-05-18,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83,300.0,0.0,1.0,1.0,0.0
2011-05-19,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83,0.0,0.0,1.0,1.0,0.0
2011-05-20,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,500.0,0.0,1.0,1.0,0.0
2011-05-23,23.47,23.47,23.42,23.42,23.47,23.47,23.42,23.42,2300.0,0.0,1.0,1.0,0.0
2011-05-24,23.42,23.42,23.42,23.42,23.42,23.42,23.42,23.42,0.0,0.0,1.0,1.0,0.0
2011-05-25,23.42,23.42,23.42,23.42,23.42,23.42,23.42,23.42,0.0,0.0,1.0,1.0,0.0
2011-05-26,23.75,23.94,23.75,23.94,23.75,23.94,23.75,23.94,900.0,0.0,1.0,1.0,0.0
2011-05-27,24.07,24.15,24.07,24.07,24.07,24.15,24.07,24.07,340.0,0.0,1.0,1.0,0.0
2011-05-31,24.41,24.41,24.41,24.41,24.41,24.41,24.41,24.41,200.0,0.0,1.0,1.0,0.0
2011-06-01,23.62,23.66,23.62,23.66,23.62,23.66,23.62,23.66,200.0,0.0,1.0,1.0,0.0
2011-06-02,23.61,23.61,23.35,23.35,23.61,23.61,23.35,23.35,300.0,0.0,1.0,1.0,0.0
2011-06-03,23.18,23.18,23.18,23.18,23.18,23.18,23.18,23.18,500.0,0.0,1.0,1.0,0.0
2011-06-06,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,100.0,0.0,1.0,1.0,0.0
2011-06-07,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0,0.0,1.0,1.0,0.0
2011-06-08,22.75,22.75,22.72,22.72,22.75,22.75,22.72,22.72,300.0,0.0,1.0,1.0,0.0
2011-06-09,22.72,22.72,22.72,22.72,22.72,22.72,22.72,22.72,0.0,0.0,1.0,1.0,0.0
2011-06-10,22.46,22.46,22.46,22.46,22.46,22.46,22.46,22.46,1200.0,0.0,1.0,1.0,0.0
2011-06-13,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,800.0,0.0,1.0,1.0,0.0
2011-06-14,22.34,22.55,22.34,22.55,22.34,22.55,22.34,22.55,1380.0,0.0,1.0,1.0,0.0
2011-06-15,22.36,22.36,21.99,21.99,22.36,22.36,21.99,21.99,1800.0,0.0,1.0,1.0,0.0
