Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2009-02-20,30.74,30.79,30.2,30.5,30.74,30.79,30.2,30.5,16800.0,0.0,1.0,1.0,0.0
2009-02-23,30.67,30.67,30.3,30.31,30.67,30.67,30.3,30.31,16800.0,0.0,1.0,1.0,0.0
2009-02-24,30.33,30.33,30.0,30.0,30.33,30.33,30.0,30.0,12200.0,0.0,1.0,1.0,0.0
2009-02-25,29.79,29.79,29.14,29.47,29.79,29.79,29.14,29.47,5500.0,0.0,1.0,1.0,0.0
2009-02-26,29.65,29.65,29.23,29.28,29.65,29.65,29.23,29.28,18700.0,0.0,1.0,1.0,0.0
2009-02-27,29.3,29.52,29.26,29.51,29.3,29.52,29.26,29.51,2000.0,0.0,1.0,1.0,0.0
2009-03-02,29.49,29.5,29.34,29.34,29.49,29.5,29.34,29.34,1600.0,0.06,1.0,1.0,0.0
2009-03-03,29.48,29.64,29.34,29.34,29.48,29.64,29.34,29.34,22900.0,0.0,1.0,1.0,0.0
2009-03-04,29.39,29.39,28.99,29.23,29.39,29.39,28.99,29.23,20800.0,0.0,1.0,1.0,0.0
2009-03-05,29.34,29.45,29.17,29.3,29.34,29.45,29.17,29.3,14800.0,0.0,1.0,1.0,0.0
2009-03-06,29.15,29.17,29.02,29.13,29.15,29.17,29.02,29.13,3400.0,0.0,1.0,1.0,0.0
2009-03-09,29.07,29.07,28.8,28.8,29.07,29.07,28.8,28.8,4700.0,0.0,1.0,1.0,0.0
2009-03-10,28.99,29.0,28.81,28.95,28.99,29.0,28.81,28.95,2900.0,0.0,1.0,1.0,0.0
2009-03-11,28.9,29.1,28.9,29.1,28.9,29.1,28.9,29.1,4800.0,0.0,1.0,1.0,0.0
2009-03-12,29.2,29.26,29.14,29.17,29.2,29.26,29.14,29.17,9400.0,0.0,1.0,1.0,0.0
2009-03-13,29.23,29.23,29.05,29.22,29.23,29.23,29.05,29.22,1000.0,0.0,1.0,1.0,0.0
2009-03-16,29.3,29.3,29.05,29.22,29.3,29.3,29.05,29.22,6000.0,0.0,1.0,1.0,0.0
2009-03-17,29.38,29.4,29.25,29.26,29.38,29.4,29.25,29.26,5200.0,0.0,1.0,1.0,0.0
2009-03-18,29.32,29.89,29.22,29.58,29.32,29.89,29.22,29.58,3300.0,0.0,1.0,1.0,0.0
2009-03-19,30.16,30.16,29.9,29.93,30.16,30.16,29.9,29.93,10500.0,0.0,1.0,1.0,0.0
2009-03-20,29.75,29.75,29.59,29.62,29.75,29.75,29.59,29.62,2800.0,0.0,1.0,1.0,0.0
2009-03-23,29.4,29.85,29.4,29.7,29.4,29.85,29.4,29.7,4700.0,0.0,1.0,1.0,0.0
2009-03-24,29.66,29.67,29.51,29.51,29.66,29.67,29.51,29.51,4600.0,0.0,1.0,1.0,0.0
2009-03-25,29.5,29.52,29.32,29.41,29.5,29.52,29.32,29.41,13200.0,0.0,1.0,1.0,0.0
2009-03-26,29.4,29.49,29.4,29.49,29.4,29.49,29.4,29.49,37000.0,0.0,1.0,1.0,0.0
2009-03-27,29.56,29.61,29.12,29.52,29.56,29.61,29.12,29.52,28800.0,0.0,1.0,1.0,0.0
2009-03-30,29.93,29.93,29.42,29.45,29.93,29.93,29.42,29.45,4100.0,0.0,1.0,1.0,0.0
2009-03-31,29.47,29.51,29.46,29.51,29.47,29.51,29.46,29.51,4000.0,0.0,1.0,1.0,0.0
2009-04-01,29.43,29.43,29.36,29.4,29.43,29.43,29.36,29.4,3400.0,0.13,1.0,1.0,0.0
2009-04-02,29.02,29.16,29.02,29.13,29.02,29.16,29.02,29.13,2700.0,0.0,1.0,1.0,0.0
2009-04-03,29.34,29.34,28.9,28.97,29.34,29.34,28.9,28.97,4700.0,0.0,1.0,1.0,0.0
2009-04-06,28.86,29.33,28.68,29.29,28.86,29.33,28.68,29.29,5700.0,0.0,1.0,1.0,0.0
2009-04-07,28.77,29.39,28.75,29.39,28.77,29.39,28.75,29.39,8200.0,0.0,1.0,1.0,0.0
2009-04-08,29.58,29.58,29.46,29.55,29.58,29.58,29.46,29.55,1800.0,0.0,1.0,1.0,0.0
2009-04-09,29.51,29.64,29.5,29.64,29.51,29.64,29.5,29.64,138100.0,0.0,1.0,1.0,0.0
2009-04-13,29.74,29.79,29.62,29.79,29.74,29.79,29.62,29.79,5700.0,0.0,1.0,1.0,0.0
2009-04-14,30.01,30.06,29.88,30.05,30.01,30.06,29.88,30.05,9500.0,0.0,1.0,1.0,0.0
2009-04-15,30.06,30.06,29.98,30.02,30.06,30.06,29.98,30.02,6500.0,0.0,1.0,1.0,0.0
2009-04-16,30.09,30.13,30.0,30.08,30.09,30.13,30.0,30.08,5400.0,0.0,1.0,1.0,0.0
2009-04-17,30.07,30.1,30.03,30.1,30.07,30.1,30.03,30.1,13000.0,0.0,1.0,1.0,0.0
2009-04-20,30.2,30.21,30.04,30.11,30.2,30.21,30.04,30.11,4800.0,0.0,1.0,1.0,0.0
2009-04-21,30.24,30.24,30.06,30.09,30.24,30.24,30.06,30.09,4400.0,0.0,1.0,1.0,0.0
2009-04-22,30.11,30.11,29.96,30.02,30.11,30.11,29.96,30.02,4500.0,0.0,1.0,1.0,2.93
2009-04-23,29.93,29.95,29.9,29.94,29.93,29.95,29.9,29.94,7700.0,0.0,1.0,1.0,0.0
2009-04-24,30.09,30.28,29.94,30.18,30.09,30.28,29.94,30.18,19500.0,0.0,1.0,1.0,0.0
2009-04-27,30.22,30.23,30.1,30.15,30.22,30.23,30.1,30.15,8000.0,0.0,1.0,1.0,0.0
2009-04-28,30.13,31.6,30.01,30.17,30.13,31.6,30.01,30.17,57600.0,0.0,1.0,1.0,0.0
2009-04-29,29.9,31.1,29.9,30.2,29.9,31.1,29.9,30.2,4600.0,0.0,1.0,1.0,0.0
2009-04-30,30.32,30.34,30.0,30.16,30.32,30.34,30.0,30.16,22100.0,0.0,1.0,1.0,0.0
2009-05-01,29.98,29.98,29.75,29.95,29.98,29.98,29.75,29.95,4300.0,0.13,1.0,1.0,0.0
2009-05-04,29.98,30.1,29.98,30.1,29.98,30.1,29.98,30.1,25100.0,0.0,1.0,1.0,0.0
2009-05-05,30.13,30.14,30.09,30.12,30.13,30.14,30.09,30.12,10800.0,0.0,1.0,1.0,0.0
2009-05-06,30.25,30.25,30.0,30.03,30.25,30.25,30.0,30.03,16900.0,0.0,1.0,1.0,0.0
2009-05-07,30.39,30.46,30.25,30.34,30.39,30.46,30.25,30.34,10600.0,0.0,1.0,1.0,0.0
2009-05-08,30.32,30.72,30.28,30.45,30.32,30.72,30.28,30.45,7900.0,0.0,1.0,1.0,0.0
2009-05-11,30.41,30.58,30.4,30.58,30.41,30.58,30.4,30.58,3700.0,0.0,1.0,1.0,2.97
2009-05-12,30.54,30.63,30.53,30.62,30.54,30.63,30.53,30.62,11000.0,0.0,1.0,1.0,0.0
2009-05-13,30.68,30.68,30.49,30.65,30.68,30.68,30.49,30.65,6600.0,0.0,1.0,1.0,0.0
2009-05-14,30.5,30.66,30.5,30.57,30.5,30.66,30.5,30.57,8800.0,0.0,1.0,1.0,0.0
2009-05-15,30.55,30.58,30.52,30.57,30.55,30.58,30.52,30.57,11900.0,0.0,1.0,1.0,0.0
2009-05-18,30.62,30.62,30.48,30.56,30.62,30.62,30.48,30.56,5500.0,0.0,1.0,1.0,0.0
2009-05-19,30.41,30.55,30.41,30.55,30.41,30.55,30.41,30.55,4900.0,0.0,1.0,1.0,0.0
2009-05-20,30.51,30.77,30.51,30.77,30.51,30.77,30.51,30.77,2800.0,0.0,1.0,1.0,0.0
2009-05-21,30.73,30.73,30.52,30.58,30.73,30.73,30.52,30.58,15100.0,0.0,1.0,1.0,0.0
2009-05-22,30.63,30.65,30.56,30.57,30.63,30.65,30.56,30.57,1700.0,0.0,1.0,1.0,0.0
2009-05-26,30.68,30.68,30.51,30.51,30.68,30.68,30.51,30.51,6000.0,0.0,1.0,1.0,0.0
