Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2015-10-12,25.22,25.22,25.19,25.19,25.22,25.22,25.19,25.19,200.0,0.0,1.0,1.0,0.0
2015-10-13,25.19,25.19,25.19,25.19,25.19,25.19,25.19,25.19,0.0,0.0,1.0,1.0,0.0
2015-10-14,25.19,25.19,25.19,25.19,25.19,25.19,25.19,25.19,0.0,0.0,1.0,1.0,0.0
2015-10-15,25.19,25.19,25.19,25.19,25.19,25.19,25.19,25.19,0.0,0.0,1.0,1.0,0.0
2015-10-16,25.35,25.35,25.34,25.34,25.35,25.35,25.34,25.34,200.0,0.0,1.0,1.0,0.0
2015-10-19,25.34,25.34,25.34,25.34,25.34,25.34,25.34,25.34,0.0,0.0,1.0,1.0,0.0
2015-10-20,25.34,25.34,25.34,25.34,25.34,25.34,25.34,25.34,0.0,0.0,1.0,1.0,0.0
2015-10-21,25.34,25.34,25.34,25.34,25.34,25.34,25.34,25.34,0.0,0.0,1.0,1.0,0.0
2015-10-22,25.44,25.54,25.44,25.54,25.44,25.54,25.44,25.54,200.0,0.0,1.0,1.0,0.0
2015-10-23,25.54,25.54,25.54,25.54,25.54,25.54,25.54,25.54,0.0,0.0,1.0,1.0,0.0
2015-10-26,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,100.0,0.0,1.0,1.0,0.0
2015-10-27,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,0.0,0.0,1.0,1.0,0.0
2015-10-28,26.36,26.36,26.36,26.36,26.36,26.36,26.36,26.36,1098.0,0.0,1.0,1.0,0.0
2015-10-29,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,2050.0,0.0,1.0,1.0,0.0
2015-10-30,26.18,26.18,26.18,26.18,26.18,26.18,26.18,26.18,100.0,0.0,1.0,1.0,0.0
2015-11-02,26.18,26.18,26.18,26.18,26.18,26.18,26.18,26.18,6.0,0.0,1.0,1.0,0.0
2015-11-03,26.18,26.18,26.18,26.18,26.18,26.18,26.18,26.18,0.0,0.0,1.0,1.0,0.0
2015-11-04,26.18,26.18,26.18,26.18,26.18,26.18,26.18,26.18,0.0,0.0,1.0,1.0,0.0
2015-11-05,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,200.0,0.0,1.0,1.0,0.0
2015-11-06,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,1000.0,0.0,1.0,1.0,0.0
2015-11-09,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,0.0,0.0,1.0,1.0,0.0
2015-11-10,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,500.0,0.0,1.0,1.0,0.0
2015-11-11,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,0.0,0.0,1.0,1.0,0.0
2015-11-12,25.96,25.96,25.96,25.96,25.96,25.96,25.96,25.96,0.0,0.0,1.0,1.0,0.0
2015-11-13,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.42,200.0,0.0,1.0,1.0,0.0
2015-11-16,25.3,25.55,25.3,25.55,25.3,25.55,25.3,25.55,300.0,0.0,1.0,1.0,0.0
2015-11-17,25.55,25.55,25.55,25.55,25.55,25.55,25.55,25.55,0.0,0.0,1.0,1.0,0.0
2015-11-18,25.55,25.55,25.55,25.55,25.55,25.55,25.55,25.55,0.0,0.0,1.0,1.0,0.0
2015-11-19,26.03,26.03,25.98,25.98,26.03,26.03,25.98,25.98,470.0,0.0,1.0,1.0,0.0
2015-11-20,25.98,25.98,25.98,25.98,25.98,25.98,25.98,25.98,0.0,0.0,1.0,1.0,0.0
2015-11-23,25.98,25.98,25.98,25.98,25.98,25.98,25.98,25.98,0.0,0.0,1.0,1.0,0.0
2015-11-24,26.0,26.05,26.0,26.05,26.0,26.05,26.0,26.05,400.0,0.0,1.0,1.0,0.0
2015-11-25,26.45,26.45,26.45,26.45,26.45,26.45,26.45,26.45,200.0,0.0,1.0,1.0,0.0
2015-11-27,26.45,26.45,26.45,26.45,26.45,26.45,26.45,26.45,0.0,0.0,1.0,1.0,0.0
2015-11-30,26.45,26.45,26.45,26.45,26.45,26.45,26.45,26.45,0.0,0.0,1.0,1.0,0.0
2015-12-01,26.37,26.37,26.36,26.36,26.37,26.37,26.36,26.36,2000.0,0.0,1.0,1.0,0.0
