Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2013-07-09,60.5,60.5,60.27,60.31,20.17,20.17,20.09,20.1,3000.0,0.0,1.0,3.0,0.0
2013-07-10,60.5,60.7,60.49,60.49,20.17,20.23,20.16,20.16,11700.0,0.0,1.0,3.0,0.0
2013-07-11,60.49,60.49,60.49,60.49,20.16,20.16,20.16,20.16,0.0,0.0,1.0,3.0,0.0
2013-07-12,61.61,61.69,61.61,61.69,20.54,20.56,20.54,20.56,4800.0,0.0,1.0,3.0,0.0
2013-07-15,61.98,61.98,61.98,61.98,20.66,20.66,20.66,20.66,300.0,0.0,1.0,3.0,0.0
2013-07-16,61.83,61.87,61.8,61.87,20.61,20.62,20.6,20.62,6000.0,0.0,1.0,3.0,0.0
2013-07-17,62.17,62.37,61.84,62.13,20.72,20.79,20.61,20.71,29400.0,0.0,1.0,3.0,0.0
2013-07-18,62.25,62.76,62.25,62.39,20.75,20.92,20.75,20.8,3900.0,0.0,1.0,3.0,0.0
2013-07-19,62.55,62.55,62.43,62.43,20.85,20.85,20.81,20.81,3300.0,0.0,1.0,3.0,0.0
2013-07-22,62.69,62.8,62.66,62.79,20.9,20.93,20.89,20.93,3000.0,0.0,1.0,3.0,0.0
2013-07-23,62.9,62.91,62.9,62.91,20.97,20.97,20.97,20.97,900.0,0.0,1.0,3.0,0.0
2013-07-24,63.03,63.03,63.03,63.03,21.01,21.01,21.01,21.01,600.0,0.0,1.0,3.0,0.0
2013-07-25,62.05,62.79,62.05,62.79,20.68,20.93,20.68,20.93,8100.0,0.0,1.0,3.0,0.0
2013-07-26,62.13,62.38,62.13,62.38,20.71,20.79,20.71,20.79,2400.0,0.0,1.0,3.0,0.0
2013-07-29,62.31,62.31,61.88,62.0,20.77,20.77,20.63,20.67,6600.0,0.0,1.0,3.0,0.0
2013-07-30,61.97,61.97,61.95,61.95,20.66,20.66,20.65,20.65,30600.0,0.0,1.0,3.0,0.0
2013-07-31,61.95,61.95,61.95,61.95,20.65,20.65,20.65,20.65,0.0,0.0,1.0,3.0,0.0
2013-08-01,62.95,62.95,62.86,62.86,20.98,20.98,20.95,20.95,600.0,0.0,1.0,3.0,0.0
2013-08-02,62.96,62.96,62.95,62.95,20.99,20.99,20.98,20.98,1200.0,0.0,1.0,3.0,0.0
2013-08-05,63.65,63.65,63.15,63.15,21.22,21.22,21.05,21.05,600.0,0.0,1.0,3.0,0.0
2013-08-06,63.15,63.15,63.15,63.15,21.05,21.05,21.05,21.05,0.0,0.0,1.0,3.0,0.0
2013-08-07,63.15,63.15,63.15,63.15,21.05,21.05,21.05,21.05,0.0,0.0,1.0,3.0,0.0
2013-08-08,62.3,62.5,62.3,62.5,20.77,20.83,20.77,20.83,900.0,0.0,1.0,3.0,0.0
2013-08-09,62.5,62.5,62.5,62.5,20.83,20.83,20.83,20.83,0.0,0.0,1.0,3.0,0.0
2013-08-12,62.07,62.07,62.07,62.07,20.69,20.69,20.69,20.69,300.0,0.0,1.0,3.0,0.0
2013-08-13,62.56,62.56,62.56,62.56,20.85,20.85,20.85,20.85,300.0,0.0,1.0,3.0,0.0
2013-08-14,62.47,62.47,62.41,62.41,20.82,20.82,20.8,20.8,600.0,0.0,1.0,3.0,0.0
2013-08-15,61.95,61.95,61.4,61.4,20.65,20.65,20.47,20.47,5100.0,0.0,1.0,3.0,0.0
2013-08-16,61.34,61.34,61.34,61.34,20.45,20.45,20.45,20.45,300.0,0.0,1.0,3.0,0.0
2013-08-19,60.5,60.52,60.5,60.52,20.17,20.17,20.17,20.17,2100.0,0.0,1.0,3.0,0.0
2013-08-20,60.52,60.52,60.52,60.52,20.17,20.17,20.17,20.17,0.0,0.0,1.0,3.0,0.0
2013-08-21,60.52,60.52,60.52,60.52,20.17,20.17,20.17,20.17,0.0,0.0,1.0,3.0,0.0
2013-08-22,60.52,60.52,60.52,60.52,20.17,20.17,20.17,20.17,0.0,0.0,1.0,3.0,0.0
2013-08-23,61.67,61.91,61.6,61.91,20.56,20.64,20.53,20.64,3000.0,0.0,1.0,3.0,0.0
2013-08-26,61.94,61.95,61.94,61.95,20.65,20.65,20.65,20.65,9600.0,0.0,1.0,3.0,0.0
2013-08-27,61.35,61.35,60.2,60.2,20.45,20.45,20.07,20.07,4200.0,0.0,1.0,3.0,0.0
2013-08-28,60.66,60.66,60.66,60.66,20.22,20.22,20.22,20.22,1500.0,0.0,1.0,3.0,0.0
2013-08-29,60.66,60.66,60.66,60.66,20.22,20.22,20.22,20.22,0.0,0.0,1.0,3.0,0.0
2013-08-30,60.66,60.66,60.66,60.66,20.22,20.22,20.22,20.22,0.0,0.0,1.0,3.0,0.0
2013-09-03,61.0,61.0,61.0,61.0,20.33,20.33,20.33,20.33,600.0,0.0,1.0,3.0,0.0
