Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2006-06-21,70.88,71.81,70.82,71.5,35.44,35.9,35.41,35.75,277300.0,0.0,1.0,2.0,0.0
2006-06-22,71.08,71.08,70.26,70.74,35.54,35.54,35.13,35.37,136600.0,0.0,1.0,2.0,0.0
2006-06-23,70.32,71.38,70.13,70.73,35.16,35.69,35.06,35.36,44600.0,0.0,1.0,2.0,0.0
2006-06-26,70.75,71.17,70.51,71.14,35.38,35.58,35.26,35.57,37700.0,0.0,1.0,2.0,0.0
2006-06-27,71.37,71.37,69.88,69.88,35.68,35.68,34.94,34.94,114700.0,0.0,1.0,2.0,0.0
2006-06-28,70.09,70.7,69.7,70.5,35.04,35.35,34.85,35.25,42600.0,0.0,1.0,2.0,0.0
2006-06-29,71.5,73.49,71.39,73.49,35.75,36.74,35.69,36.74,66800.0,0.0,1.0,2.0,0.0
2006-06-30,74.01,74.1,73.45,73.45,37.01,37.05,36.72,36.72,90600.0,0.0,1.0,2.0,0.0
2006-07-03,73.85,74.45,73.76,74.45,36.92,37.22,36.88,37.22,28400.0,0.0,1.0,2.0,0.0
2006-07-05,73.65,73.77,72.89,73.46,36.83,36.88,36.44,36.73,74000.0,0.0,1.0,2.0,0.0
2006-07-06,73.7,74.21,73.46,73.69,36.85,37.1,36.73,36.84,116600.0,0.0,1.0,2.0,11.0
2006-07-07,73.15,73.78,72.48,72.84,36.58,36.89,36.24,36.42,71100.0,0.0,1.0,2.0,0.0
2006-07-10,73.45,73.73,72.7,72.97,36.72,36.86,36.35,36.48,72000.0,0.0,1.0,2.0,0.0
2006-07-11,72.65,73.64,72.07,73.59,36.33,36.82,36.03,36.8,192500.0,0.0,1.0,2.0,0.0
2006-07-12,73.51,73.54,71.84,72.14,36.76,36.77,35.92,36.07,128200.0,0.0,1.0,2.0,0.0
2006-07-13,71.17,71.52,69.91,69.96,35.58,35.76,34.96,34.98,173800.0,0.0,1.0,2.0,0.0
2006-07-14,69.74,69.95,68.5,69.33,34.87,34.98,34.25,34.66,203800.0,0.0,1.0,2.0,0.0
2006-07-17,69.43,69.8,68.8,69.26,34.72,34.9,34.4,34.63,56900.0,0.0,1.0,2.0,0.0
2006-07-18,69.75,70.65,68.11,69.37,34.88,35.33,34.06,34.68,204900.0,0.0,1.0,2.0,0.0
2006-07-19,70.0,72.2,69.99,71.75,35.0,36.1,34.99,35.88,219000.0,0.0,1.0,2.0,10.41
2006-07-20,72.4,72.5,70.75,70.91,36.2,36.25,35.38,35.46,115300.0,0.0,1.0,2.0,0.0
2006-07-21,70.3,70.61,69.51,69.79,35.15,35.3,34.76,34.9,128400.0,0.0,1.0,2.0,0.0
2006-07-24,70.47,72.14,70.47,72.0,35.24,36.07,35.24,36.0,133400.0,0.0,1.0,2.0,0.0
2006-07-25,71.86,73.29,71.53,72.91,35.93,36.65,35.76,36.46,171400.0,0.0,1.0,2.0,10.8
2006-07-26,72.44,73.54,72.14,73.05,36.22,36.77,36.07,36.52,138200.0,0.0,1.0,2.0,0.0
2006-07-27,73.59,73.8,72.06,72.35,36.8,36.9,36.03,36.17,179000.0,0.0,1.0,2.0,0.0
2006-07-28,72.71,74.26,72.66,74.0,36.35,37.13,36.33,37.0,112900.0,0.0,1.0,2.0,0.0
