Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2017-02-15,25.02,25.16,25.02,25.14,25.02,25.16,25.02,25.14,3300.0,0.0,1.0,1.0,2.5
2017-02-16,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.14,400.0,0.0,1.0,1.0,0.0
2017-02-17,25.05,25.07,25.03,25.03,25.05,25.07,25.03,25.03,900.0,0.0,1.0,1.0,0.0
2017-02-21,25.2,25.42,25.2,25.42,25.2,25.42,25.2,25.42,900.0,0.0,1.0,1.0,0.0
2017-02-22,25.51,25.54,25.51,25.53,25.51,25.54,25.51,25.53,1800.0,0.0,1.0,1.0,0.0
2017-02-23,25.41,25.44,25.38,25.42,25.41,25.44,25.38,25.42,1600.0,0.0,1.0,1.0,0.0
2017-02-24,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.42,0.0,0.0,1.0,1.0,0.0
2017-02-27,25.54,25.58,25.54,25.58,25.54,25.58,25.54,25.58,500.0,0.0,1.0,1.0,0.0
2017-02-28,25.56,25.56,25.42,25.42,25.56,25.56,25.42,25.42,500.0,0.0,1.0,1.0,0.0
2017-03-01,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,300.0,0.0,1.0,1.0,0.0
2017-03-02,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,100.0,0.0,1.0,1.0,0.0
2017-03-03,25.4,25.4,25.35,25.35,25.4,25.4,25.35,25.35,500.0,0.0,1.0,1.0,0.0
2017-03-06,25.34,25.36,25.3,25.3,25.34,25.36,25.3,25.3,10200.0,0.0,1.0,1.0,0.0
2017-03-07,25.31,25.31,25.25,25.27,25.31,25.31,25.25,25.27,2800.0,0.0,1.0,1.0,0.0
2017-03-08,25.11,25.11,25.01,25.01,25.11,25.11,25.01,25.01,200.0,0.0,1.0,1.0,0.0
2017-03-09,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.08,100.0,0.0,1.0,1.0,0.0
2017-03-10,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,200.0,0.0,1.0,1.0,0.0
2017-03-13,25.0,25.0,24.99,24.99,25.0,25.0,24.99,24.99,1700.0,0.0,1.0,1.0,0.0
2017-03-14,25.06,25.06,24.78,24.8,25.06,25.06,24.78,24.8,1900.0,0.0,1.0,1.0,0.0
2017-03-15,25.08,25.08,25.0,25.0,25.08,25.08,25.0,25.0,300.0,0.0,1.0,1.0,0.0
2017-03-16,25.15,25.17,25.15,25.17,25.15,25.17,25.15,25.17,500.0,0.0,1.0,1.0,0.0
2017-03-17,25.35,25.35,25.32,25.32,25.35,25.35,25.32,25.32,600.0,0.0,1.0,1.0,0.0
2017-03-20,25.3,25.3,25.18,25.18,25.3,25.3,25.18,25.18,2300.0,0.0,1.0,1.0,0.0
2017-03-21,25.18,25.18,25.1,25.1,25.18,25.18,25.1,25.1,1700.0,0.0,1.0,1.0,0.0
2017-03-22,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,700.0,0.0,1.0,1.0,0.0
2017-03-23,24.99,25.0,24.99,24.99,24.99,25.0,24.99,24.99,20200.0,0.0,1.0,1.0,0.0
2017-03-24,25.02,25.02,24.92,24.94,25.02,25.02,24.92,24.94,7800.0,0.0,1.0,1.0,0.0
2017-03-27,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94,200.0,0.0,1.0,1.0,0.0
2017-03-28,24.87,25.03,24.87,25.03,24.87,25.03,24.87,25.03,8400.0,0.0,1.0,1.0,0.0
2017-03-29,25.05,25.16,25.05,25.16,25.05,25.16,25.05,25.16,992.0,0.0,1.0,1.0,0.0
2017-03-30,25.1,25.2,25.1,25.2,25.1,25.2,25.1,25.2,500.0,0.0,1.0,1.0,0.0
2017-03-31,25.29,25.49,25.29,25.49,25.29,25.49,25.29,25.49,1700.0,0.0,1.0,1.0,0.0
2017-04-03,25.31,25.31,25.31,25.31,25.31,25.31,25.31,25.31,300.0,0.0,1.0,1.0,0.0
2017-04-04,25.31,25.31,25.31,25.31,25.31,25.31,25.31,25.31,0.0,0.0,1.0,1.0,0.0
2017-04-05,25.31,25.31,25.31,25.31,25.31,25.31,25.31,25.31,0.0,0.0,1.0,1.0,0.0
2017-04-06,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,1000.0,0.0,1.0,1.0,0.0
2017-04-07,25.41,25.41,25.33,25.33,25.41,25.41,25.33,25.33,600.0,0.0,1.0,1.0,0.0
2017-04-10,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18,100.0,0.0,1.0,1.0,0.0
2017-04-11,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48,500.0,0.0,1.0,1.0,0.0
2017-04-12,25.21,25.25,25.2,25.2,25.21,25.25,25.2,25.2,700.0,0.0,1.0,1.0,0.0
2017-04-13,25.24,25.24,24.99,24.99,25.24,25.24,24.99,24.99,1900.0,0.0,1.0,1.0,0.0
2017-04-17,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.13,500.0,0.0,1.0,1.0,0.0
2017-04-18,25.29,25.35,25.25,25.28,25.29,25.35,25.25,25.28,1000.0,0.0,1.0,1.0,0.0
2017-04-19,25.33,25.33,25.31,25.31,25.33,25.33,25.31,25.31,700.0,0.0,1.0,1.0,0.0
2017-04-20,26.53,26.53,25.32,25.44,26.53,26.53,25.32,25.44,1600.0,0.0,1.0,1.0,0.0
2017-04-21,25.58,25.58,25.49,25.51,25.58,25.58,25.49,25.51,3800.0,0.0,1.0,1.0,0.0
2017-04-24,25.83,25.89,25.81,25.86,25.83,25.89,25.81,25.86,2400.0,0.0,1.0,1.0,0.0
2017-04-25,25.86,25.86,25.86,25.86,25.86,25.86,25.86,25.86,0.0,0.0,1.0,1.0,0.0
2017-04-26,26.27,26.27,26.27,26.27,26.27,26.27,26.27,26.27,100.0,0.0,1.0,1.0,0.0
2017-04-27,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,200.0,0.0,1.0,1.0,0.0
2017-04-28,26.18,26.18,25.79,25.79,26.18,26.18,25.79,25.79,600.0,0.0,1.0,1.0,0.0
2017-05-01,25.6,25.62,25.57,25.62,25.6,25.62,25.57,25.62,500.0,0.0,1.0,1.0,0.0
2017-05-02,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,200.0,0.0,1.0,1.0,0.0
2017-05-03,25.38,25.45,25.38,25.43,25.38,25.45,25.38,25.43,1300.0,0.0,1.0,1.0,0.0
2017-05-04,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,100.0,0.0,1.0,1.0,0.0
2017-05-05,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,0.0,0.0,1.0,1.0,0.0
2017-05-08,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,0.0,0.0,1.0,1.0,0.0
2017-05-09,25.19,25.44,25.19,25.41,25.19,25.44,25.19,25.41,9000.0,0.0,1.0,1.0,0.0
2017-05-10,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,100.0,0.0,1.0,1.0,0.0
2017-05-11,25.17,25.17,25.12,25.16,25.17,25.17,25.12,25.16,1900.0,0.0,1.0,1.0,0.0
2017-05-12,25.25,25.25,25.25,25.25,25.25,25.25,25.25,25.25,100.0,0.0,1.0,1.0,0.0
2017-05-15,25.36,25.41,25.36,25.41,25.36,25.41,25.36,25.41,300.0,0.0,1.0,1.0,0.0
2017-05-16,25.36,25.43,25.36,25.38,25.36,25.43,25.36,25.38,1200.0,0.0,1.0,1.0,0.0
2017-05-17,25.17,25.17,25.14,25.17,25.17,25.17,25.14,25.17,300.0,0.0,1.0,1.0,0.0
