Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2008-12-30,50.63,52.98,50.09,52.75,3.16,3.31,3.13,3.3,21700.0,0.0,1.0,16.0,0.0
2008-12-31,52.5,55.75,52.5,54.58,3.28,3.48,3.28,3.41,10000.0,0.0,1.0,16.0,0.0
2009-01-02,54.57,61.14,53.93,61.14,3.41,3.82,3.37,3.82,10100.0,0.0,1.0,16.0,0.0
2009-01-05,60.69,63.25,59.34,61.61,3.79,3.95,3.71,3.85,34700.0,0.0,1.0,16.0,0.0
2009-01-06,64.13,68.84,63.82,67.06,4.01,4.3,3.99,4.19,33000.0,0.0,1.0,16.0,0.0
2009-01-07,63.84,63.84,58.91,60.0,3.99,3.99,3.68,3.75,31900.0,0.0,1.0,16.0,0.0
2009-01-08,59.26,60.96,57.7,60.93,3.7,3.81,3.61,3.81,31400.0,0.0,1.0,16.0,0.0
2009-01-09,60.3,60.3,56.38,56.89,3.77,3.77,3.52,3.56,31600.0,0.0,1.0,16.0,0.0
2009-01-12,57.03,57.03,52.76,54.73,3.56,3.56,3.3,3.42,23500.0,0.0,1.0,16.0,0.0
2009-01-13,53.76,55.92,51.83,53.5,3.36,3.49,3.24,3.34,65600.0,0.0,1.0,16.0,0.0
2009-01-14,51.4,51.4,47.24,48.28,3.21,3.21,2.95,3.02,23800.0,0.0,1.0,16.0,0.0
2009-01-15,47.55,50.13,44.75,49.24,2.97,3.13,2.8,3.08,61200.0,0.0,1.0,16.0,0.0
2009-01-16,52.38,52.79,47.38,51.01,3.27,3.3,2.96,3.19,63800.0,0.0,1.0,16.0,0.0
2009-01-20,50.1,50.42,43.1,43.17,3.13,3.15,2.69,2.7,100200.0,0.0,1.0,16.0,4.29
2009-01-21,45.06,49.57,44.36,49.56,2.82,3.1,2.77,3.1,57000.0,0.0,1.0,16.0,0.0
2009-01-22,45.72,48.8,43.95,46.96,2.86,3.05,2.75,2.94,56400.0,0.0,1.0,16.0,0.0
2009-01-23,44.86,51.12,44.0,49.17,2.8,3.2,2.75,3.07,39700.0,0.0,1.0,16.0,0.0
2009-01-26,49.5,52.76,48.99,50.4,3.09,3.3,3.06,3.15,31400.0,0.0,1.0,16.0,0.0
2009-01-27,50.78,53.37,50.78,52.45,3.17,3.34,3.17,3.28,29700.0,0.0,1.0,16.0,0.0
2009-01-28,55.44,59.03,54.87,57.67,3.46,3.69,3.43,3.6,101900.0,0.0,1.0,16.0,0.0
2009-01-29,54.83,55.42,51.89,52.31,3.43,3.46,3.24,3.27,84400.0,0.0,1.0,16.0,0.0
2009-01-30,52.67,54.0,47.5,47.94,3.29,3.38,2.97,3.0,89800.0,0.0,1.0,16.0,0.0
2009-02-02,45.74,50.79,45.74,49.5,2.86,3.17,2.86,3.09,58100.0,0.0,1.0,16.0,0.0
2009-02-03,49.85,52.54,47.14,51.94,3.12,3.28,2.95,3.25,57400.0,0.0,1.0,16.0,
2009-02-04,53.0,56.78,52.08,53.0,3.31,3.55,3.26,3.31,86300.0,0.0,1.0,16.0,0.0
2009-02-05,50.61,57.53,50.0,56.04,3.16,3.6,3.12,3.5,89100.0,0.0,1.0,16.0,0.0
2009-02-06,57.01,63.1,56.42,62.1,3.56,3.94,3.53,3.88,107100.0,0.0,1.0,16.0,0.0
2009-02-09,62.37,63.52,60.68,62.82,3.9,3.97,3.79,3.93,118200.0,0.0,1.0,16.0,0.0
2009-02-10,61.39,63.44,53.92,55.2,3.84,3.96,3.37,3.45,233900.0,0.0,1.0,16.0,0.0
2009-02-11,56.01,56.36,53.0,55.47,3.5,3.52,3.31,3.47,60200.0,0.0,1.0,16.0,8.29
2009-02-12,54.1,56.6,51.19,56.6,3.38,3.54,3.2,3.54,73100.0,0.0,1.0,16.0,0.0
2009-02-13,56.14,58.34,55.73,56.02,3.51,3.65,3.48,3.5,70200.0,0.0,1.0,16.0,0.0
2009-02-17,51.73,51.73,48.44,48.68,3.23,3.23,3.03,3.04,115200.0,0.0,1.0,16.0,0.0
2009-02-18,49.95,51.05,47.22,48.88,3.12,3.19,2.95,3.06,125400.0,0.0,1.0,16.0,0.0
2009-02-19,49.0,49.6,44.0,44.42,3.06,3.1,2.75,2.78,74600.0,0.0,1.0,16.0,0.0
2009-02-20,42.38,45.63,42.31,44.46,2.65,2.85,2.64,2.78,88000.0,0.0,1.0,16.0,0.0
2009-02-23,45.41,45.41,38.43,38.84,2.84,2.84,2.4,2.43,122800.0,0.0,1.0,16.0,0.0
2009-02-24,39.24,43.11,38.82,42.17,2.45,2.69,2.43,2.64,84100.0,0.0,1.0,16.0,0.0
2009-02-25,41.97,44.78,39.32,42.48,2.62,2.8,2.46,2.66,74900.0,0.0,1.0,16.0,2.12
2009-02-26,44.08,45.51,41.0,41.05,2.76,2.84,2.56,2.57,94400.0,0.0,1.0,16.0,0.0
2009-02-27,41.76,42.78,38.0,40.69,2.61,2.67,2.38,2.54,123500.0,0.0,1.0,16.0,6.1
2009-03-02,38.8,41.09,36.49,37.0,2.42,2.57,2.28,2.31,92400.0,0.0,1.0,16.0,3.66
2009-03-03,38.15,39.01,36.0,37.11,2.38,2.44,2.25,2.32,104000.0,0.0,1.0,16.0,0.0
2009-03-04,38.42,41.56,38.32,39.84,2.4,2.6,2.4,2.49,129500.0,0.0,1.0,16.0,0.0
2009-03-05,38.3,39.69,35.61,35.93,2.39,2.48,2.23,2.25,191300.0,0.0,1.0,16.0,0.0
2009-03-06,35.88,37.67,32.49,34.96,2.24,2.35,2.03,2.18,142200.0,0.0,1.0,16.0,0.0
2009-03-09,34.03,36.66,31.86,32.28,2.13,2.29,1.99,2.02,158600.0,0.0,1.0,16.0,0.0
2009-03-10,34.33,39.04,34.0,38.93,2.15,2.44,2.12,2.43,182900.0,0.0,1.0,16.0,0.0
2009-03-11,40.45,42.99,39.0,41.93,2.53,2.69,2.44,2.62,152400.0,0.0,1.0,16.0,0.0
2009-03-12,42.5,45.62,40.68,45.31,2.66,2.85,2.54,2.83,180900.0,0.0,1.0,16.0,0.0
2009-03-13,45.38,46.17,43.16,44.85,2.84,2.89,2.7,2.8,134500.0,0.0,1.0,16.0,0.0
2009-03-16,45.89,46.39,42.59,42.88,2.87,2.9,2.66,2.68,199600.0,0.0,1.0,16.0,0.0
2009-03-17,43.82,47.5,42.9,47.49,2.74,2.97,2.68,2.97,133800.0,0.0,1.0,16.0,0.0
2009-03-18,46.99,52.0,46.3,49.7,2.94,3.25,2.89,3.11,235000.0,0.0,1.0,16.0,0.0
2009-03-19,52.52,52.68,49.66,50.54,3.28,3.29,3.1,3.16,127000.0,0.0,1.0,16.0,0.0
2009-03-20,50.88,53.0,47.08,47.92,3.18,3.31,2.94,3.0,180800.0,0.0,1.0,16.0,0.0
2009-03-23,53.88,56.81,50.4,56.74,3.37,3.55,3.15,3.55,204300.0,0.0,1.0,16.0,0.0
2009-03-24,55.0,57.25,54.0,54.5,3.44,3.58,3.38,3.41,178200.0,0.0,1.0,16.0,0.0
2009-03-25,55.41,58.18,50.95,54.38,3.46,3.64,3.18,3.4,224900.0,0.0,1.0,16.0,0.0
2009-03-26,57.27,60.93,56.45,60.88,3.58,3.81,3.53,3.8,313800.0,0.0,1.0,16.0,0.0
2009-03-27,58.72,58.72,55.69,56.25,3.67,3.67,3.48,3.52,328700.0,0.0,1.0,16.0,0.0
2009-03-30,52.33,52.65,48.99,51.28,3.27,3.29,3.06,3.2,260000.0,0.0,1.0,16.0,0.0
2009-03-31,53.36,57.18,52.94,53.86,3.34,3.57,3.31,3.37,247600.0,0.0,1.0,16.0,0.0
2009-04-01,51.61,58.6,51.51,58.0,3.23,3.66,3.22,3.62,243500.0,0.0,1.0,16.0,0.0
2009-04-02,61.42,67.15,61.17,63.35,3.84,4.2,3.82,3.96,428700.0,0.0,1.0,16.0,-9.59
2009-04-03,63.42,66.7,62.63,66.25,3.96,4.17,3.91,4.14,231100.0,0.0,1.0,16.0,9.98
2009-04-06,62.93,64.53,60.46,64.21,3.93,4.03,3.78,4.01,191700.0,0.0,1.0,16.0,-9.65
2009-04-07,61.42,62.09,58.19,58.83,3.84,3.88,3.64,3.68,193200.0,0.0,1.0,16.0,0.0
2009-04-08,61.1,63.73,60.0,62.37,3.82,3.98,3.75,3.9,221600.0,0.0,1.0,16.0,0.0
2009-04-09,66.05,68.65,64.1,67.81,4.13,4.29,4.01,4.24,259600.0,0.0,1.0,16.0,0.0
2009-04-13,67.3,68.27,64.63,66.73,4.21,4.27,4.04,4.17,228200.0,0.0,1.0,16.0,0.0
2009-04-14,65.78,67.35,63.55,65.09,4.11,4.21,3.97,4.07,223100.0,0.0,1.0,16.0,0.0
2009-04-15,63.1,64.12,60.76,63.83,3.94,4.01,3.8,3.99,246100.0,0.0,1.0,16.0,0.0
2009-04-16,66.45,71.07,64.03,69.9,4.15,4.44,4.0,4.37,385500.0,0.0,1.0,16.0,0.0
2009-04-17,70.0,70.83,67.3,69.85,4.38,4.43,4.21,4.37,332300.0,0.0,1.0,16.0,0.0
2009-04-20,66.2,66.23,62.55,63.09,4.14,4.14,3.91,3.94,355100.0,0.0,1.0,16.0,3.15
2009-04-21,61.52,66.57,61.03,66.42,3.84,4.16,3.81,4.15,395500.0,0.0,1.0,16.0,0.0
2009-04-22,64.89,71.14,64.01,66.92,4.06,4.45,4.0,4.18,450600.0,0.0,1.0,16.0,0.0
2009-04-23,67.93,68.21,63.66,67.88,4.25,4.26,3.98,4.24,525900.0,0.0,1.0,16.0,0.0
2009-04-24,69.9,73.54,67.94,72.05,4.37,4.6,4.25,4.5,447300.0,0.0,1.0,16.0,0.0
2009-04-27,69.34,74.46,69.3,71.05,4.33,4.65,4.33,4.44,367600.0,0.0,1.0,16.0,0.0
2009-04-28,69.67,72.0,68.26,69.9,4.35,4.5,4.27,4.37,269500.0,0.0,1.0,16.0,0.0
2009-04-29,71.0,76.5,71.0,73.98,4.44,4.78,4.44,4.62,318200.0,0.0,1.0,16.0,0.0
2009-04-30,76.65,80.32,73.63,74.95,4.79,5.02,4.6,4.68,394900.0,0.0,1.0,16.0,0.0
2009-05-01,74.89,76.84,72.61,76.36,4.68,4.8,4.54,4.77,249600.0,0.0,1.0,16.0,0.0
2009-05-04,78.56,80.9,77.07,80.65,4.91,5.06,4.82,5.04,345100.0,0.0,1.0,16.0,0.0
2009-05-05,80.0,80.51,77.44,79.55,5.0,5.03,4.84,4.97,265600.0,0.0,1.0,16.0,0.0
2009-05-06,81.64,82.0,76.33,79.22,5.1,5.12,4.77,4.95,374500.0,0.0,1.0,16.0,0.0
2009-05-07,81.5,81.5,69.93,71.66,5.09,5.09,4.37,4.48,431700.0,0.0,1.0,16.0,0.0
