Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2017-12-12,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.08,100.0,0.0,1.0,1.0,0.0
2017-12-13,25.62,25.62,25.62,25.62,25.62,25.62,25.62,25.62,200.0,0.0,1.0,1.0,0.0
2017-12-14,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,200.0,0.0,1.0,1.0,0.0
2017-12-15,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,0.0
2017-12-18,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,0.0
2017-12-19,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,0.0
2017-12-20,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,0.0
2017-12-21,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,0.0
2017-12-22,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,0.06
2017-12-26,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,-0.06
2017-12-27,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,0.0
2017-12-28,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,0.0,0.0,1.0,1.0,0.0
2017-12-29,26.54,26.54,26.54,26.54,26.54,26.54,26.54,26.54,100.0,0.0,1.0,1.0,0.0
2018-01-02,26.54,26.54,26.54,26.54,26.54,26.54,26.54,26.54,0.0,0.0,1.0,1.0,0.0
2018-01-03,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,100.0,0.0,1.0,1.0,0.0
2018-01-04,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-05,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-08,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-09,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-10,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-11,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-12,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-16,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-17,26.21,26.21,26.21,26.21,26.21,26.21,26.21,26.21,0.0,0.0,1.0,1.0,0.0
2018-01-18,28.21,28.21,28.14,28.14,28.21,28.21,28.14,28.14,200.0,0.0,1.0,1.0,0.0
2018-01-19,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,0.0,0.0,1.0,1.0,0.0
2018-01-22,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,100.0,0.0,1.0,1.0,0.0
2018-01-23,28.06,28.26,28.06,28.26,28.06,28.26,28.06,28.26,200.0,0.0,1.0,1.0,0.0
2018-01-24,29.98,29.98,29.69,29.73,29.98,29.98,29.69,29.73,600.0,0.0,1.0,1.0,0.0
2018-01-25,29.89,29.89,29.89,29.89,29.89,29.89,29.89,29.89,100.0,0.0,1.0,1.0,0.0
2018-01-26,30.93,31.21,30.93,31.16,30.93,31.21,30.93,31.16,300.0,0.0,1.0,1.0,0.0
2018-01-29,30.83,30.83,30.65,30.65,30.83,30.83,30.65,30.65,200.0,0.0,1.0,1.0,0.0
2018-01-30,31.12,31.12,31.06,31.06,31.12,31.12,31.06,31.06,300.0,0.0,1.0,1.0,0.0
2018-01-31,31.54,31.54,31.54,31.54,31.54,31.54,31.54,31.54,400.0,0.0,1.0,1.0,0.0
2018-02-01,32.08,32.08,32.08,32.08,32.08,32.08,32.08,32.08,100.0,0.0,1.0,1.0,0.0
2018-02-02,31.29,31.29,31.29,31.29,31.29,31.29,31.29,31.29,100.0,0.0,1.0,1.0,0.0
2018-02-05,31.29,31.29,31.29,31.29,31.29,31.29,31.29,31.29,0.0,0.0,1.0,1.0,0.0
2018-02-06,30.47,30.95,30.47,30.95,30.47,30.95,30.47,30.95,600.0,0.0,1.0,1.0,0.0
2018-02-07,30.09,30.09,29.67,29.9,30.09,30.09,29.67,29.9,600.0,0.0,1.0,1.0,0.0
2018-02-08,30.61,30.73,30.44,30.73,30.61,30.73,30.44,30.73,700.0,0.0,1.0,1.0,0.0
2018-02-09,30.73,30.73,30.73,30.73,30.73,30.73,30.73,30.73,0.0,0.0,1.0,1.0,0.0
2018-02-12,30.73,30.73,30.73,30.73,30.73,30.73,30.73,30.73,0.0,0.0,1.0,1.0,0.0
2018-02-13,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,100.0,0.0,1.0,1.0,0.0
2018-02-14,30.67,31.39,30.67,31.35,30.67,31.39,30.67,31.35,2600.0,0.0,1.0,1.0,0.0
2018-02-15,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35,0.0,0.0,1.0,1.0,0.0
2018-02-16,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35,0.0,0.0,1.0,1.0,0.0
2018-02-20,30.76,30.76,30.76,30.76,30.76,30.76,30.76,30.76,100.0,0.0,1.0,1.0,0.0
2018-02-21,30.52,30.52,30.42,30.42,30.52,30.52,30.42,30.42,200.0,0.0,1.0,1.0,0.0
2018-02-22,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,100.0,0.0,1.0,1.0,0.0
2018-02-23,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,0.0,0.0,1.0,1.0,0.0
2018-02-26,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,0.0,0.0,1.0,1.0,0.0
2018-02-27,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,0.0,0.0,1.0,1.0,0.0
2018-02-28,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,0.0,0.0,1.0,1.0,0.0
2018-03-01,29.22,29.22,29.22,29.22,29.22,29.22,29.22,29.22,100.0,0.0,1.0,1.0,0.0
2018-03-02,30.32,30.39,30.21,30.39,30.32,30.39,30.21,30.39,300.0,0.0,1.0,1.0,0.0
2018-03-05,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,0.0,0.0,1.0,1.0,0.0
2018-03-06,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,0.0,0.0,1.0,1.0,0.0
2018-03-07,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,0.0,0.0,1.0,1.0,0.0
2018-03-08,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,0.0,0.0,1.0,1.0,0.0
2018-03-09,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54,100.0,0.0,1.0,1.0,0.0
2018-03-12,28.7,28.84,28.7,28.84,28.7,28.84,28.7,28.84,200.0,0.0,1.0,1.0,0.0
2018-03-13,29.27,29.27,29.27,29.27,29.27,29.27,29.27,29.27,100.0,0.0,1.0,1.0,0.0
2018-03-14,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,100.0,0.0,1.0,1.0,0.0
2018-03-15,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,0.0,0.0,1.0,1.0,0.0
2018-03-16,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,0.0,0.0,1.0,1.0,0.0
2018-03-19,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,100.0,0.0,1.0,1.0,0.0
2018-03-20,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,100.0,0.0,1.0,1.0,0.0
2018-03-21,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,0.0,0.0,1.0,1.0,0.0
2018-03-22,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.48,100.0,0.0,1.0,1.0,0.0
2018-03-23,28.72,28.72,28.72,28.72,28.72,28.72,28.72,28.72,100.0,0.0,1.0,1.0,0.0
2018-03-26,29.16,29.16,29.16,29.16,29.16,29.16,29.16,29.16,100.0,0.0,1.0,1.0,0.0
2018-03-27,28.62,28.62,28.62,28.62,28.62,28.62,28.62,28.62,100.0,0.0,1.0,1.0,0.0
2018-03-28,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,200.0,0.0,1.0,1.0,0.0
2018-03-29,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,0.0,0.0,1.0,1.0,0.0
2018-04-02,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,0.0,0.0,1.0,1.0,0.0
2018-04-03,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38,100.0,0.0,1.0,1.0,0.0
2018-04-04,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,100.0,0.0,1.0,1.0,0.0
2018-04-05,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,100.0,0.0,1.0,1.0,0.0
2018-04-06,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,100.0,0.0,1.0,1.0,0.0
2018-04-09,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,100.0,0.0,1.0,1.0,0.0
2018-04-10,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,0.0,0.0,1.0,1.0,0.0
2018-04-11,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,0.0,0.0,1.0,1.0,0.0
2018-04-12,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,0.0,0.0,1.0,1.0,0.0
2018-04-13,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,0.0,0.0,1.0,1.0,0.0
2018-04-16,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,0.0,0.0,1.0,1.0,0.0
2018-04-17,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,100.0,0.0,1.0,1.0,0.0
2018-04-18,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-04-19,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-04-20,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-04-23,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-04-24,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-04-25,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-04-26,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-04-27,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-04-30,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-05-01,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,0.0,0.0,1.0,1.0,0.0
2018-05-02,23.03,23.29,23.03,23.29,23.03,23.29,23.03,23.29,200.0,0.0,1.0,1.0,0.0
2018-05-03,23.29,23.29,23.29,23.29,23.29,23.29,23.29,23.29,0.0,0.0,1.0,1.0,0.0
2018-05-04,23.29,23.29,23.29,23.29,23.29,23.29,23.29,23.29,0.0,0.0,1.0,1.0,0.0
2018-05-07,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,100.0,0.0,1.0,1.0,0.0
2018-05-08,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,0.0,0.0,1.0,1.0,0.0
2018-05-09,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,0.0,0.0,1.0,1.0,0.0
