Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2019-12-04,25.14,25.29,25.14,25.23,25.14,25.29,25.14,25.23,3975.0,0.0,1.0,1.0,2.5
2019-12-05,25.21,25.56,25.21,25.48,25.21,25.56,25.21,25.48,11400.0,0.0,1.0,1.0,-0.0
2019-12-06,25.62,25.9,25.62,25.8,25.62,25.9,25.62,25.8,7781.0,0.0,1.0,1.0,0.0
2019-12-09,25.92,25.92,25.37,25.37,25.92,25.92,25.37,25.37,9564.0,0.0,1.0,1.0,0.0
2019-12-10,25.34,25.58,25.34,25.4,25.34,25.58,25.34,25.4,6700.0,0.0,1.0,1.0,0.0
2019-12-11,25.4,25.61,25.4,25.54,25.4,25.61,25.4,25.54,8990.0,0.0,1.0,1.0,-0.0
2019-12-12,25.86,25.96,25.65,25.69,25.86,25.96,25.65,25.69,15996.0,0.0,1.0,1.0,0.0
2019-12-13,25.69,25.75,25.55,25.6,25.69,25.75,25.55,25.6,4600.0,0.0,1.0,1.0,0.0
2019-12-16,25.79,25.79,25.55,25.55,25.79,25.79,25.55,25.55,5994.0,0.0,1.0,1.0,-0.0
2019-12-17,25.42,25.42,25.27,25.29,25.42,25.42,25.27,25.29,4595.0,0.0,1.0,1.0,0.0
2019-12-18,25.3,25.62,25.3,25.61,25.3,25.62,25.3,25.61,2188.0,0.0,1.0,1.0,-0.0
2019-12-19,25.65,25.66,25.5,25.57,25.65,25.66,25.5,25.57,6786.0,0.0,1.0,1.0,0.0
2019-12-20,25.69,25.8,25.47,25.47,25.69,25.8,25.47,25.47,3800.0,0.0,1.0,1.0,0.0
2019-12-23,25.6,25.76,25.6,25.76,25.6,25.76,25.6,25.76,2351.0,0.0,1.0,1.0,-0.0
2019-12-24,25.89,25.89,25.74,25.74,25.89,25.89,25.74,25.74,876.0,0.0,1.0,1.0,0.0
2019-12-26,25.89,26.16,25.89,25.99,25.89,26.16,25.89,25.99,6480.0,0.0,1.0,1.0,0.0
2019-12-27,25.99,26.15,25.99,26.06,25.99,26.15,25.99,26.06,5879.0,0.0,1.0,1.0,0.0
2019-12-30,26.18,26.19,26.1,26.12,26.18,26.19,26.1,26.12,3357.0,0.0,1.0,1.0,-0.0
2019-12-31,26.16,26.22,26.08,26.16,26.16,26.22,26.08,26.16,21576.0,0.0,1.0,1.0,0.0
2020-01-02,26.27,26.27,26.14,26.24,26.27,26.27,26.14,26.24,4100.0,0.0,1.0,1.0,0.0
2020-01-03,26.2,26.39,26.2,26.33,26.2,26.39,26.2,26.33,3000.0,0.0,1.0,1.0,0.0
2020-01-06,26.33,26.45,26.23,26.44,26.33,26.45,26.23,26.44,10000.0,0.0,1.0,1.0,-0.0
2020-01-07,26.25,26.27,25.91,25.91,26.25,26.27,25.91,25.91,11778.0,0.0,1.0,1.0,0.0
2020-01-08,25.75,25.78,24.61,25.73,25.75,25.78,24.61,25.73,7900.0,0.0,1.0,1.0,-0.0
2020-01-09,25.79,25.86,25.39,25.41,25.79,25.86,25.39,25.41,19168.0,0.0,1.0,1.0,0.0
2020-01-10,25.43,25.56,25.41,25.5,25.43,25.56,25.41,25.5,14285.0,0.0,1.0,1.0,-0.0
2020-01-13,25.7,25.84,25.58,25.71,25.7,25.84,25.58,25.71,6169.0,0.0,1.0,1.0,0.0
2020-01-14,25.7,25.77,25.65,25.65,25.7,25.77,25.65,25.65,4300.0,0.0,1.0,1.0,-0.0
2020-01-15,25.68,25.68,25.43,25.44,25.68,25.68,25.43,25.44,2953.0,0.0,1.0,1.0,0.0
2020-01-16,25.65,25.72,25.61,25.66,25.65,25.72,25.61,25.66,6800.0,0.0,1.0,1.0,-0.0
2020-01-17,25.75,25.81,25.37,25.53,25.75,25.81,25.37,25.53,7700.0,0.0,1.0,1.0,-0.0
2020-01-21,25.4,25.4,25.15,25.15,25.4,25.4,25.15,25.15,3800.0,0.0,1.0,1.0,0.0
2020-01-22,25.15,25.16,25.04,25.09,25.15,25.16,25.04,25.09,3000.0,0.0,1.0,1.0,-0.0
2020-01-23,24.98,24.98,24.65,24.76,24.98,24.98,24.65,24.76,8955.0,0.0,1.0,1.0,0.0
2020-01-24,24.85,26.91,24.51,24.51,24.85,26.91,24.51,24.51,6877.0,0.0,1.0,1.0,-0.0
2020-01-27,24.13,24.13,23.93,23.93,24.13,24.13,23.93,23.93,6588.0,0.0,1.0,1.0,-0.0
2020-01-28,24.05,24.05,23.81,23.81,24.05,24.05,23.81,23.81,3100.0,0.0,1.0,1.0,0.0
2020-01-29,23.75,23.75,23.51,23.6,23.75,23.75,23.51,23.6,2200.0,0.0,1.0,1.0,0.0
2020-01-30,23.25,23.56,23.25,23.56,23.25,23.56,23.25,23.56,600.0,0.0,1.0,1.0,-0.0
2020-01-31,23.51,23.55,23.4,23.48,23.51,23.55,23.4,23.48,10164.0,0.0,1.0,1.0,-0.0
