Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2017-12-13,25.05,25.09,25.05,25.07,25.05,25.09,25.05,25.07,101900.0,0.0,1.0,1.0,2.5
2017-12-14,25.45,25.45,25.4,25.44,25.45,25.45,25.4,25.44,7600.0,0.0,1.0,1.0,0.0
2017-12-15,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,0.0,0.0,1.0,1.0,0.0
2017-12-18,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,0.0,0.0,1.0,1.0,0.0
2017-12-19,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44,600.0,0.0,1.0,1.0,1.27
2017-12-20,25.18,25.28,25.15,25.15,25.18,25.28,25.15,25.15,1500.0,0.0,1.0,1.0,0.0
2017-12-21,25.15,25.15,25.15,25.15,25.15,25.15,25.15,25.15,0.0,0.0,1.0,1.0,0.0
2017-12-22,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,1000.0,0.0,1.0,1.0,0.0
2017-12-26,25.79,25.86,25.79,25.86,25.79,25.86,25.79,25.86,300.0,0.0,1.0,1.0,0.0
2017-12-27,25.86,25.86,25.86,25.86,25.86,25.86,25.86,25.86,0.0,0.0,1.0,1.0,0.0
2017-12-28,25.86,25.86,25.86,25.86,25.86,25.86,25.86,25.86,0.0,0.02,1.0,1.0,0.0
2017-12-29,25.97,25.98,25.97,25.98,25.97,25.98,25.97,25.98,600.0,0.0,1.0,1.0,0.0
2018-01-02,26.15,26.38,26.15,26.36,26.15,26.38,26.15,26.36,1700.0,0.0,1.0,1.0,0.0
2018-01-03,26.75,26.92,26.73,26.92,26.75,26.92,26.73,26.92,1700.0,0.0,1.0,1.0,0.0
2018-01-04,27.06,27.06,26.9,26.9,27.06,27.06,26.9,26.9,2500.0,0.0,1.0,1.0,0.0
2018-01-05,26.75,26.75,26.65,26.65,26.75,26.75,26.65,26.65,1100.0,0.0,1.0,1.0,0.0
2018-01-08,26.84,26.84,26.65,26.83,26.84,26.84,26.65,26.83,1200.0,0.0,1.0,1.0,0.0
2018-01-09,26.82,26.84,26.8,26.8,26.82,26.84,26.8,26.8,8700.0,0.0,1.0,1.0,0.0
2018-01-10,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,7500.0,0.0,1.0,1.0,0.0
2018-01-11,26.82,27.17,26.82,27.17,26.82,27.17,26.82,27.17,1200.0,0.0,1.0,1.0,0.0
2018-01-12,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,100.0,0.0,1.0,1.0,0.0
2018-01-16,27.56,27.62,27.22,27.29,27.56,27.62,27.22,27.29,5900.0,0.0,1.0,1.0,0.0
2018-01-17,27.27,27.27,27.11,27.23,27.27,27.27,27.11,27.23,1300.0,0.0,1.0,1.0,0.0
2018-01-18,27.23,27.23,27.23,27.23,27.23,27.23,27.23,27.23,0.0,0.0,1.0,1.0,0.0
2018-01-19,26.75,26.75,26.75,26.75,26.75,26.75,26.75,26.75,1800.0,0.0,1.0,1.0,0.0
2018-01-22,27.2,27.22,27.2,27.22,27.2,27.22,27.2,27.22,400.0,0.0,1.0,1.0,0.0
2018-01-23,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,600.0,0.0,1.0,1.0,0.0
2018-01-24,27.72,27.72,27.63,27.63,27.72,27.72,27.63,27.63,900.0,0.0,1.0,1.0,0.0
2018-01-25,27.51,27.51,27.35,27.35,27.51,27.51,27.35,27.35,400.0,0.0,1.0,1.0,0.0
2018-01-26,27.35,27.35,27.35,27.35,27.35,27.35,27.35,27.35,0.0,0.0,1.0,1.0,0.0
2018-01-29,27.28,27.28,27.01,27.01,27.28,27.28,27.01,27.01,12500.0,0.0,1.0,1.0,0.0
2018-01-30,26.75,26.75,26.5,26.5,26.75,26.75,26.5,26.5,500.0,0.0,1.0,1.0,0.0
2018-01-31,26.48,26.48,26.48,26.48,26.48,26.48,26.48,26.48,200.0,0.0,1.0,1.0,0.0
2018-02-01,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,200.0,0.0,1.0,1.0,0.0
2018-02-02,25.85,25.85,25.68,25.68,25.85,25.85,25.68,25.68,1200.0,0.0,1.0,1.0,0.0
2018-02-05,25.28,25.28,24.75,24.95,25.28,25.28,24.75,24.95,1300.0,0.0,1.0,1.0,0.0
2018-02-06,24.0,25.39,24.0,25.39,24.0,25.39,24.0,25.39,1800.0,0.0,1.0,1.0,0.0
