Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2015-09-09,25.25,25.25,24.91,24.94,25.25,25.25,24.91,24.94,14600.0,0.0,1.0,1.0,0.0
2015-09-10,25.17,25.27,25.16,25.16,25.17,25.27,25.16,25.16,3888.0,0.0,1.0,1.0,0.0
2015-09-11,25.11,25.24,25.11,25.24,25.11,25.24,25.11,25.24,1600.0,0.0,1.0,1.0,0.0
2015-09-14,25.99,25.99,25.0,25.09,25.99,25.99,25.0,25.09,9892.0,0.0,1.0,1.0,0.0
2015-09-15,25.15,25.15,25.04,25.05,25.15,25.15,25.04,25.05,20598.0,0.0,1.0,1.0,0.0
2015-09-16,24.97,24.97,24.91,24.91,24.97,24.97,24.91,24.91,1289.0,0.0,1.0,1.0,0.0
2015-09-17,25.47,25.47,24.89,25.07,25.47,25.47,24.89,25.07,1600.0,0.0,1.0,1.0,0.0
2015-09-18,25.18,25.19,25.16,25.16,25.18,25.19,25.16,25.16,4650.0,0.0,1.0,1.0,0.0
2015-09-21,25.06,25.17,25.06,25.11,25.06,25.17,25.06,25.11,10300.0,0.0,1.0,1.0,0.0
2015-09-22,25.02,25.19,24.95,24.95,25.02,25.19,24.95,24.95,8500.0,0.0,1.0,1.0,0.0
2015-09-23,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95,0.0,0.0,1.0,1.0,0.0
2015-09-24,25.19,25.45,25.08,25.24,25.19,25.45,25.08,25.24,3576.0,0.0,1.0,1.0,0.0
2015-09-25,25.25,25.3,25.18,25.19,25.25,25.3,25.18,25.19,1750.0,0.0,1.0,1.0,0.0
2015-09-28,25.12,25.12,24.98,25.03,25.12,25.12,24.98,25.03,1879.0,0.0,1.0,1.0,0.0
2015-09-29,25.0,25.0,24.9,24.9,25.0,25.0,24.9,24.9,2000.0,0.0,1.0,1.0,0.0
2015-09-30,24.82,24.82,24.81,24.81,24.82,24.82,24.81,24.81,600.0,0.0,1.0,1.0,0.0
