Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2010-09-22,51.84,51.86,51.48,51.48,51.84,51.86,51.48,51.48,50200.0,0.0,1.0,1.0,5.14
2010-09-23,51.06,51.47,50.95,50.95,51.06,51.47,50.95,50.95,13700.0,0.0,1.0,1.0,0.0
2010-09-24,51.54,52.03,51.54,52.01,51.54,52.03,51.54,52.01,22900.0,0.0,1.0,1.0,0.0
2010-09-27,52.09,52.1,51.85,52.1,52.09,52.1,51.85,52.1,24400.0,0.0,1.0,1.0,0.0
2010-09-28,51.6,51.89,51.6,51.82,51.6,51.89,51.6,51.82,6000.0,0.0,1.0,1.0,0.0
2010-09-29,51.85,51.95,51.85,51.95,51.85,51.95,51.85,51.95,17000.0,0.0,1.0,1.0,0.0
2010-09-30,52.25,52.37,51.79,51.79,52.25,52.37,51.79,51.79,2300.0,0.0,1.0,1.0,0.0
2010-10-01,52.28,52.28,52.01,52.02,52.28,52.28,52.01,52.02,1900.0,0.0,1.0,1.0,0.0
2010-10-04,51.92,51.95,51.54,51.59,51.92,51.95,51.54,51.59,4400.0,0.0,1.0,1.0,0.0
2010-10-05,52.12,52.64,52.12,52.64,52.12,52.64,52.12,52.64,2400.0,0.0,1.0,1.0,0.0
2010-10-06,52.57,52.57,52.57,52.57,52.57,52.57,52.57,52.57,1000.0,0.0,1.0,1.0,0.0
2010-10-07,52.85,52.85,52.3,52.55,52.85,52.85,52.3,52.55,31100.0,0.0,1.0,1.0,0.0
2010-10-08,52.58,52.9,52.55,52.9,52.58,52.9,52.55,52.9,19600.0,0.0,1.0,1.0,0.0
2010-10-11,52.92,53.04,52.92,53.04,52.92,53.04,52.92,53.04,6500.0,0.0,1.0,1.0,0.0
2010-10-12,52.7,53.18,52.5,53.18,52.7,53.18,52.5,53.18,25900.0,0.0,1.0,1.0,0.0
2010-10-13,53.46,53.73,53.37,53.63,53.46,53.73,53.37,53.63,8600.0,0.0,1.0,1.0,0.0
2010-10-14,53.45,53.45,53.1,53.21,53.45,53.45,53.1,53.21,9600.0,0.0,1.0,1.0,0.0
2010-10-15,53.04,53.39,53.04,53.39,53.04,53.39,53.04,53.39,7700.0,0.0,1.0,1.0,0.0
2010-10-18,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,0.0,0.0,1.0,1.0,0.0
2010-10-19,53.33,53.39,52.72,52.72,53.33,53.39,52.72,52.72,600.0,0.0,1.0,1.0,0.0
2010-10-20,53.37,53.72,53.37,53.62,53.37,53.72,53.37,53.62,1700.0,0.0,1.0,1.0,0.0
2010-10-21,53.88,53.88,53.25,53.25,53.88,53.88,53.25,53.25,2100.0,0.0,1.0,1.0,0.0
2010-10-22,53.66,53.67,53.64,53.64,53.66,53.67,53.64,53.64,1500.0,0.0,1.0,1.0,-2.68
2010-10-25,54.02,54.06,53.9,53.9,54.02,54.06,53.9,53.9,2300.0,0.0,1.0,1.0,0.0
2010-10-26,53.53,53.94,53.53,53.87,53.53,53.94,53.53,53.87,36900.0,0.0,1.0,1.0,0.0
2010-10-27,53.56,53.69,53.35,53.59,53.56,53.69,53.35,53.59,5800.0,0.0,1.0,1.0,0.0
2010-10-28,53.91,53.92,53.58,53.81,53.91,53.92,53.58,53.81,6600.0,0.0,1.0,1.0,0.0
2010-10-29,53.78,53.91,53.69,53.91,53.78,53.91,53.69,53.91,2400.0,0.0,1.0,1.0,0.0
2010-11-01,54.25,54.25,53.63,53.63,54.25,54.25,53.63,53.63,3600.0,0.0,1.0,1.0,0.0
2010-11-02,54.32,54.41,54.15,54.31,54.32,54.41,54.15,54.31,60394.0,0.0,1.0,1.0,0.0
2010-11-03,54.16,54.43,54.09,54.43,54.16,54.43,54.09,54.43,1100.0,0.0,1.0,1.0,0.0
2010-11-04,55.18,55.34,55.18,55.32,55.18,55.34,55.18,55.32,2300.0,0.0,1.0,1.0,0.0
2010-11-05,55.64,55.68,55.64,55.68,55.64,55.68,55.64,55.68,1200.0,0.0,1.0,1.0,0.0
