Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2009-04-06,52.33,52.62,51.78,52.62,52.33,52.62,51.78,52.62,17100.0,0.0,1.0,1.0,0.0
2009-04-07,51.57,51.75,51.28,51.41,51.57,51.75,51.28,51.41,11500.0,0.0,1.0,1.0,0.0
2009-04-08,51.97,54.8,51.66,52.09,51.97,54.8,51.66,52.09,8800.0,0.0,1.0,1.0,0.06
2009-04-09,53.58,53.8,53.0,53.8,53.58,53.8,53.0,53.8,16168.0,0.0,1.0,1.0,-0.0
2009-04-13,53.49,57.6,53.44,54.73,53.49,57.6,53.44,54.73,31500.0,0.0,1.0,1.0,0.0
2009-04-14,54.45,54.84,54.28,54.33,54.45,54.84,54.28,54.33,19900.0,0.0,1.0,1.0,0.0
2009-04-15,54.57,55.53,54.57,55.53,54.57,55.53,54.57,55.53,12500.0,0.0,1.0,1.0,0.01
2009-04-16,55.54,57.78,55.0,55.78,55.54,57.78,55.0,55.78,16100.0,0.0,1.0,1.0,0.02
2009-04-17,55.33,55.45,55.01,55.37,55.33,55.45,55.01,55.37,30650.0,0.0,1.0,1.0,-0.0
2009-04-20,53.79,53.85,52.85,52.89,53.79,53.85,52.85,52.89,18000.0,0.0,1.0,1.0,0.0
2009-04-21,53.04,54.37,53.04,54.37,53.04,54.37,53.04,54.37,10100.0,0.0,1.0,1.0,0.0
2009-04-22,53.72,55.16,53.72,54.19,53.72,55.16,53.72,54.19,19300.0,0.0,1.0,1.0,0.0
2009-04-23,55.11,55.67,54.98,55.49,55.11,55.67,54.98,55.49,12800.0,0.0,1.0,1.0,0.36
2009-04-24,56.45,58.9,56.37,56.74,56.45,58.9,56.37,56.74,15286.0,0.0,1.0,1.0,-0.0
2009-04-27,55.74,56.79,55.0,55.49,55.74,56.79,55.0,55.49,78913.0,0.0,1.0,1.0,0.0
2009-04-28,54.3,55.39,54.3,55.03,54.3,55.39,54.3,55.03,21572.0,0.0,1.0,1.0,0.1
2009-04-29,56.13,57.21,56.13,56.73,56.13,57.21,56.13,56.73,26693.0,0.0,1.0,1.0,0.08
2009-04-30,57.45,57.74,56.76,57.03,57.45,57.74,56.76,57.03,10699.0,0.0,1.0,1.0,-0.0
2009-05-01,57.53,58.1,57.34,58.08,57.53,58.1,57.34,58.08,7309.0,0.0,1.0,1.0,0.01
2009-05-04,60.19,66.6,58.17,60.7,60.19,66.6,58.17,60.7,53300.0,0.0,1.0,1.0,0.07
2009-05-05,59.82,60.66,58.39,60.42,59.82,60.66,58.39,60.42,36509.0,0.0,1.0,1.0,-0.0
2009-05-06,61.46,61.9,60.83,61.83,61.46,61.9,60.83,61.83,360745.0,0.0,1.0,1.0,0.0
2009-05-07,62.11,62.24,60.13,60.54,62.11,62.24,60.13,60.54,102997.0,0.0,1.0,1.0,30.41
2009-05-08,61.74,62.96,61.6,62.89,61.74,62.96,61.6,62.89,50447.0,0.0,1.0,1.0,24.14
2009-05-11,61.89,61.89,60.91,60.99,61.89,61.89,60.91,60.99,50635.0,0.0,1.0,1.0,0.0
2009-05-12,61.98,62.09,61.11,61.82,61.98,62.09,61.11,61.82,43787.0,0.0,1.0,1.0,0.0
2009-05-13,60.82,60.82,59.48,59.65,60.82,60.82,59.48,59.65,51323.0,0.0,1.0,1.0,0.0
2009-05-14,60.03,61.07,59.81,60.69,60.03,61.07,59.81,60.69,23694.0,0.0,1.0,1.0,0.0
2009-05-15,60.87,61.25,59.94,60.42,60.87,61.25,59.94,60.42,67026.0,0.0,1.0,1.0,0.0
2009-05-18,61.42,62.98,61.42,62.95,61.42,62.98,61.42,62.95,56572.0,0.0,1.0,1.0,0.0
2009-05-19,62.78,63.65,62.65,63.22,62.78,63.65,62.65,63.22,37319.0,0.0,1.0,1.0,0.0
2009-05-20,64.37,64.94,64.04,64.1,64.37,64.94,64.04,64.1,32800.0,0.0,1.0,1.0,0.0
2009-05-21,63.37,63.94,63.18,63.8,63.37,63.94,63.18,63.8,49347.0,0.0,1.0,1.0,0.0
2009-05-22,64.73,64.89,64.33,64.52,64.73,64.89,64.33,64.52,44475.0,0.0,1.0,1.0,0.16
2009-05-26,63.57,65.36,63.42,65.19,63.57,65.36,63.42,65.19,49145.0,0.0,1.0,1.0,-0.0
2009-05-27,65.4,65.4,64.11,64.23,65.4,65.4,64.11,64.23,26170.0,0.0,1.0,1.0,0.0
2009-05-28,64.96,65.46,64.44,65.36,64.96,65.46,64.44,65.36,22774.0,0.0,1.0,1.0,0.0
2009-05-29,66.28,66.59,65.9,66.59,66.28,66.59,65.9,66.59,62069.0,0.0,1.0,1.0,0.0
2009-06-01,67.59,68.32,67.59,67.91,67.59,68.32,67.59,67.91,89598.0,0.0,1.0,1.0,0.0
2009-06-02,68.21,68.97,68.15,68.8,68.21,68.97,68.15,68.8,51314.0,0.0,1.0,1.0,0.0
2009-06-03,67.8,67.8,66.21,66.82,67.8,67.8,66.21,66.82,24614.0,0.0,1.0,1.0,0.11
2009-06-04,67.06,67.63,66.8,67.55,67.06,67.63,66.8,67.55,40664.0,0.0,1.0,1.0,-0.0
