Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2004-01-30,49.51,49.56,49.5,49.56,49.51,49.56,49.5,49.56,21900.0,0.0,1.0,1.0,0.0
2004-02-02,49.7,49.94,49.65,49.65,49.7,49.94,49.65,49.65,2200.0,0.0,1.0,1.0,0.0
2004-02-03,49.82,49.88,49.7,49.87,49.82,49.88,49.7,49.87,5600.0,0.0,1.0,1.0,0.0
2004-02-04,49.5,49.75,49.35,49.46,49.5,49.75,49.35,49.46,1600.0,0.0,1.0,1.0,0.0
2004-02-05,49.33,49.54,49.33,49.5,49.33,49.54,49.33,49.5,3300.0,0.0,1.0,1.0,0.0
2004-02-06,49.65,50.12,49.65,50.12,49.65,50.12,49.65,50.12,400.0,0.0,1.0,1.0,0.0
2004-02-09,50.19,50.33,50.09,50.09,50.19,50.33,50.09,50.09,3400.0,0.0,1.0,1.0,0.0
2004-02-10,50.3,50.3,50.27,50.3,50.3,50.3,50.27,50.3,3000.0,0.0,1.0,1.0,0.0
2004-02-11,50.29,50.75,50.21,50.75,50.29,50.75,50.21,50.75,1400.0,0.0,1.0,1.0,0.0
2004-02-12,50.75,50.75,50.75,50.75,50.75,50.75,50.75,50.75,0.0,0.0,1.0,1.0,0.0
2004-02-13,50.7,50.7,50.19,50.19,50.7,50.7,50.19,50.19,4300.0,0.0,1.0,1.0,0.0
2004-02-17,50.54,50.75,50.53,50.75,50.54,50.75,50.53,50.75,1500.0,0.0,1.0,1.0,0.0
2004-02-18,50.54,50.54,50.53,50.53,50.54,50.54,50.53,50.53,600.0,0.0,1.0,1.0,0.0
2004-02-19,50.77,50.87,50.68,50.68,50.77,50.87,50.68,50.68,3900.0,0.0,1.0,1.0,0.0
2004-02-20,50.3,50.3,49.8,49.85,50.3,50.3,49.8,49.85,1200.0,0.0,1.0,1.0,0.0
2004-02-23,50.0,50.0,49.68,49.68,50.0,50.0,49.68,49.68,900.0,0.0,1.0,1.0,0.0
2004-02-24,49.58,49.82,49.58,49.82,49.58,49.82,49.58,49.82,700.0,0.0,1.0,1.0,0.0
2004-02-25,49.92,49.92,49.92,49.92,49.92,49.92,49.92,49.92,400.0,0.0,1.0,1.0,0.14
2004-02-26,49.98,49.99,49.98,49.99,49.98,49.99,49.98,49.99,21000.0,0.0,1.0,1.0,-0.0
2004-02-27,49.92,50.11,49.92,50.04,49.92,50.11,49.92,50.04,8700.0,0.0,1.0,1.0,0.0
2004-03-01,50.4,50.4,50.1,50.36,50.4,50.4,50.1,50.36,400.0,0.0,1.0,1.0,0.0
2004-03-02,50.52,50.52,50.43,50.5,50.52,50.52,50.43,50.5,1600.0,0.0,1.0,1.0,0.0
2004-03-03,49.9,49.94,49.9,49.94,49.9,49.94,49.9,49.94,500.0,0.0,1.0,1.0,0.0
2004-03-04,50.21,50.33,50.21,50.33,50.21,50.33,50.21,50.33,1100.0,0.0,1.0,1.0,0.0
2004-03-05,50.38,50.42,50.27,50.39,50.38,50.42,50.27,50.39,7400.0,0.0,1.0,1.0,0.0
2004-03-08,50.39,50.39,50.39,50.39,50.39,50.39,50.39,50.39,500.0,0.0,1.0,1.0,0.0
2004-03-09,49.8,49.8,49.37,49.37,49.8,49.8,49.37,49.37,200.0,0.0,1.0,1.0,0.0
2004-03-10,49.4,49.4,48.96,48.96,49.4,49.4,48.96,48.96,9000.0,0.0,1.0,1.0,0.0
2004-03-11,48.74,48.85,48.55,48.55,48.74,48.85,48.55,48.55,2900.0,0.0,1.0,1.0,0.0
2004-03-12,48.7,48.78,48.55,48.67,48.7,48.78,48.55,48.67,2400.0,0.0,1.0,1.0,0.0
2004-03-15,48.37,48.41,48.3,48.41,48.37,48.41,48.3,48.41,23000.0,0.0,1.0,1.0,0.0
2004-03-16,48.52,48.52,48.52,48.52,48.52,48.52,48.52,48.52,100.0,0.0,1.0,1.0,0.0
2004-03-17,48.83,49.05,48.77,49.05,48.83,49.05,48.77,49.05,4900.0,0.0,1.0,1.0,0.0
2004-03-18,48.61,48.86,48.53,48.86,48.61,48.86,48.53,48.86,600.0,0.0,1.0,1.0,0.0
2004-03-19,48.67,48.67,48.36,48.36,48.67,48.67,48.36,48.36,600.0,0.0,1.0,1.0,0.0
2004-03-22,48.0,48.0,47.47,47.48,48.0,48.0,47.47,47.48,8700.0,0.0,1.0,1.0,0.0
